plot.id,block.id.harvest,site.id,block.id,site.name,region,landuse,block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,rain.acc.sum,target.sp.,pasture.disc.setup,height. setup,target.sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,target.sp.cover.harvest,total.veg.cover.harvest,biomass.target.sp.,biomass.other.sp.,biomass.total.g,N.target.SUA,N.target.SUA.dup,N.target.SUA.unchopped,N.target.NMBU,N.target.NTNU,P.target.SUA,P.target.SUA.dup,P.target.SUA.unchopped,P.target.NMBU,P.target.USDM,N.other.SUA,N.other.SUA.dup,N.other.SUA.unchopped,N.other.NMBU,N.other.NTNU,P.otherSUA,P.other.SUA.dup,P.other.SUA.unchopped,P.other.NMBU,P.other.USDM,N.target,P.target,N.other,P.other
DRY_W_3_EX_H1,DRY_W_3_H1,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX,H1,998,-3.295645,34.852435,2/20/2017,3/24/2017,32,164.632957245,164.632957245,Cyn.dac,,0.6,10,25,1.5,4.8,20,53,8.26,30.12,38.38,0.39,,,,,0.13,,,,,2.35,,,,,0.14,,,,,0.39,0.13,2.35,0.14
DRY_W_3_EX2_H1,DRY_W_3_H1,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX2,H1,998,-3.295645,34.852435,2/20/2017,3/25/2017,33,166.339471484,495.605385974,Cyn.dac,,0.2,10,40,2,12,25,70,17.64,56.39,74.03,3.5,,,,,0.12,,,,,3.33,,,,,0.38,,,,,3.50,0.12,3.33,0.38
DRY_W_3_OP_H1,DRY_W_3_H1,DRY_W,DRY_W_3,Maswa,DRY,W,3,OP,H1,998,-3.295645,34.852435,2/20/2017,3/24/2017,32,164.632957245,329.26591449,Cyn.dac,,0.3,20,45,1.3,3.3,20,60,7.26,17.91,25.17,2.1,,,,1.9,0.13,,,0.31,,2.03,,,,,0.23,,,,,1.90,0.31,2.03,0.23
DRY_W_4_EX_H1,DRY_W_4_H1,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,170.333851448,170.333851448,Cyn.dac,,0.2,7.5,30,1.6,3.9,10,50,3.59,49.69,53.28,,,,,1.77,,,,0.3,,2.07,,,,,0.21,,,,,1.77,0.30,2.07,0.21
DRY_W_4_EX2_H1,DRY_W_4_H1,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX2,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,170.333851448,340.667702896,Cyn.dac,,0.3,12,25,3.5,3.3,15,50,49.76,46.73,96.49,2.28,,,,,0.27,,,,,1.79,,,,,0.04,,,,,2.28,0.27,1.79,0.04
DRY_W_4_OP_H1,DRY_W_4_H1,DRY_W,DRY_W_4,Maswa,DRY,W,4,OP,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,170.333851448,511.001554344,Cyn.dac,,0.5,8,45,4,14,9,60,8.39,17.82,26.21,1.61,,,,,0.06,,,,,,,,,,,,,,,1.61,0.06,,
DRY_P_1_EX_H1,DRY_P_1_H1,DRY_P,DRY_P_1,Makao,DRY,P,1,EX,H1,1009,-3.303212,34.847736,2/21/2017,3/26/2017,33,156.806441567,156.806441567,Chl.pyc,1.3,1.4,5,55,7.5,18.6,3,95,3.06,106.62,109.68,,,,,1.59,,,,0.32,,,,,,1.35,,,,0.29,,1.59,0.32,1.35,0.29
DRY_P_1_OP_H1,DRY_P_1_H1,DRY_P,DRY_P_1,Makao,DRY,P,1,OP,H1,1009,-3.303212,34.847736,2/21/2017,3/26/2017,33,156.806441567,313.612883134,Chl.pyc,1.4,1.3,8,50,2,4,8,70,8.04,47.08,55.12,3.92,,,,1.52,0.22,,,0.34,,1.3,,,,,0.15,,,,,1.52,0.34,1.30,0.15
DRY_P_2_EX_H1,DRY_P_2_H1,DRY_P,DRY_P_2,Makao,DRY,P,2,EX,H1,1006,-3.408426,34.850244,2/21/2017,3/26/2017,33,156.806441567,156.806441567,Chl.pyc,1,0.2,24,45,3,10,20,47,20.78,33.33,54.11,2.91,,,,,0.14,,,,,,,,,1.39,,,,0.31,,2.91,0.14,1.39,0.31
DRY_P_2_OP_H1,DRY_P_2_H1,DRY_P,DRY_P_2,Makao,DRY,P,2,OP,H1,1006,-3.408426,34.850244,2/21/2017,3/26/2017,33,156.806441567,313.612883134,Chl.pyc,0.8,1.1,3,30,1,0.9,9,55,3.13,39.21,42.34,,,,,1.86,,,,0.42,,1.93,,,,,0.02,,,,,1.86,0.42,1.93,0.02
DRY_P_3_EX_H1,DRY_P_3_H1,DRY_P,DRY_P_3,Makao,DRY,P,3,EX,H1,1001,-3.406316,34.850407,2/20/2017,3/26/2017,34,176.815837167,176.815837167,Chl.pyc,1.7,1.5,4,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_P_3_OP_H1,DRY_P_3_H1,DRY_P,DRY_P_3,Makao,DRY,P,3,OP,H1,1001,-3.406316,34.850407,2/20/2017,3/26/2017,34,176.815837167,353.631674334,Chl.pyc,1.2,1.2,2,50,2,2.4,7,60,1.61,51.76,53.37,,,,,1.83,,,,0.2,,,,,,1.45,,,,0.22,,1.83,0.20,1.45,0.22
DRY_P_4_EX_H1,DRY_P_4_H1,DRY_P,DRY_P_4,Makao,DRY,P,4,EX,H1,1003,-3.406853,34.851600,2/20/2017,3/26/2017,34,176.815837167,176.815837167,Chl.pyc,1.5,1.9,10,45,4,8.2,10,55,9.01,47.2,56.21,,,,,1.59,,,,0.16,,1.51,,,,,0.14,,,,,1.59,0.16,1.51,0.14
DRY_P_4_OP_H1,DRY_P_4_H1,DRY_P,DRY_P_4,Makao,DRY,P,4,OP,H1,1003,-3.406853,34.851600,2/20/2017,3/26/2017,34,176.815837167,353.631674334,Chl.pyc,1.5,3.5,5,45,2.3,5.6,4,50,2.04,34.92,36.96,,,,,1.81,,,,0.19,,,,,,1.39,,,,0.19,,1.81,0.19,1.39,0.19
SE_1_EX_H1,SE_1_H1,SE,SE_1,Seronera,SE,W,1,EX,H1,1023,-2.437747,34.855162,2/26/2017,3/18/2017,20,84.864578339,84.864578339,Dig.mac,,0.9,4,45,4,7.3,6,65,5.02,36.34,41.36,,,,,1.56,,,,0.53,1.7,1.99,,,,,0.92,,,,,1.56,0.53,1.99,0.92
SE_1_EX2_H1,SE_1_H1,SE,SE_1,Seronera,SE,W,1,EX2,H1,1023,-2.437747,34.855162,2/25/2017,3/18/2017,21,86.139725777,171.004304116,Dig.mac,,1,2,45,3.9,8.3,3,60,3.18,47.03,50.21,,,,,1.44,,,,0.41,1.29,1.69,,,,,0.08,,,,,1.44,0.41,1.69,0.08
SE_1_OP_H1,SE_1_H1,SE,SE_1,Seronera,SE,W,1,OP,H1,1023,-2.437747,34.855162,2/25/2017,3/18/2017,21,86.139725777,257.144029893,Dig.mac,,2.6,2,45,4.3,10.3,10,55,9.72,34.21,43.93,,,,,1.23,,,,0.33,1.13,1.96,,,,,0.12,,,,,1.23,0.33,1.96,0.12
SE_2_EX_H1,SE_2_H1,SE,SE_2,Seronera,SE,W,2,EX,H1,1025,-2.437766,34.855394,2/26/2017,3/18/2017,20,84.864578339,84.864578339,Dig.mac,,1.8,3,35,3.9,7.4,5,70,4.68,36.83,41.51,,,,,1.7,,,,0.5,0.93,1.93,,,,,0.13,,,,,1.70,0.50,1.93,0.13
SE_2_EX2_H1,SE_2_H1,SE,SE_2,Seronera,SE,W,2,EX2,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,86.139725777,171.004304116,Dig.mac,,2.1,12,30,3.4,5.4,18,45,7.25,16.19,23.44,,,,,1.74,,,,0.51,1.15,1.82,,,,,0.21,,,,,1.74,0.51,1.82,0.21
SE_2_OP_H1,SE_2_H1,SE,SE_2,Seronera,SE,W,2,OP,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,86.139725777,257.144029893,Dig.mac,,3.3,8,35,3.4,4.4,10,40,7.5,26.02,33.52,1.72,,,,,0.13,,,,1.09,1.96,,,,,0.27,,,,,1.72,1.09,1.96,0.27
SE_3_EX_H1,SE_3_H1,SE,SE_3,Seronera,SE,W,3,EX,H1,1027,-2.437991,34.855418,2/26/2017,3/18/2017,20,84.864578339,84.864578339,Dig.mac,,2.4,5,50,5,8.3,7,70,16.94,46.21,63.15,1.65,,,,,0.22,,,,1.56,0.4,,,,,0.19,,,,,1.65,1.56,0.40,0.19
SE_3_EX2_H1,SE_3_H1,SE,SE_3,Seronera,SE,W,3,EX2,H1,1027,-2.437991,34.855418,2/25/2017,3/18/2017,21,86.139725777,171.004304116,Dig.mac,,1.4,5,45,5,3.3,15,65,9.12,30.96,40.08,1.36,,,,1.6,0.16,,,0.34,0.59,1.69,,,,,0.38,,,,,1.60,0.34,1.69,0.38
SE_3_OP_H1,SE_3_H1,SE,SE_3,Seronera,SE,W,3,OP,H1,1027,-2.437991,34.855418,2/25/2017,3/18/2017,21,86.139725777,257.144029893,Dig.mac,,1.3,10,40,4.1,6,6,50,6.31,32.97,39.28,,,,,1.65,,,,0.43,0.95,1.72,,,,,0.05,,,,,1.65,0.43,1.72,0.05
SE_4_EX_H1,SE_4_H1,SE,SE_4,Seronera,SE,W,4,EX,H1,1026,-2.438079,34.854989,2/26/2017,3/18/2017,20,84.864578339,84.864578339,Dig.mac,,3.9,6,35,5.6,8.8,8,65,9.73,42.17,51.90,1.89,,,,,0.16,,,,1.46,2.03,,,,2,0.33,,,0.47,,1.89,1.46,2.00,0.47
SE_4_EX2_H1,SE_4_H1,SE,SE_4,Seronera,SE,W,4,EX2,H1,1026,-2.438079,34.854989,2/25/2017,3/18/2017,21,86.139725777,171.004304116,Dig.mac,,2.74,15,35,5.4,12.5,25,55,26.28,34.41,60.69,1.58,,,,1.43,0.22,,,0.34,1.25,2.14,,,,,0.23,,,,,1.43,0.34,2.14,0.23
SE_4_OP_H1,SE_4_H1,SE,SE_4,Seronera,SE,W,4,OP,H1,1026,-2.438079,34.854989,2/25/2017,3/18/2017,21,86.139725777,257.144029893,Dig.mac,,4.1,6,40,4.7,7.1,10,45,9.08,27.41,36.49,,,,,1.18,,,,0.36,1.38,2.1,,,,,0.12,,,,,1.18,0.36,2.10,0.12
WET_W_1_EX_H2,WET_W_1_H2,WET_W,WET_W_1,Handajega,WET,W,1,EX,H2,954,-2.272484,34.023326,3/20/2017,5/13/2017,54,217.804459587,509.148074663,The.tri,1.5,2.7,7,45,3.5,17,5,40,2.22,23.49,25.71,,,,,1.53,,,,0.23,,,,,,1.39,,,,0.26,,1.53,0.23,1.39,0.26
WET_W_1_OP_H2,WET_W_1_H2,WET_W,WET_W_1,Handajega,WET,W,1,OP,H2,954,-2.272484,34.023326,3/20/2017,5/13/2017,54,217.804459587,726.95253425,The.tri,1.5,5.5,5,45,5.2,10.2,5,30,1.43,35.27,36.70,,,,,1.44,,,,0.23,,,,,,1.5,,,,0.24,,1.44,0.23,1.50,0.24
WET_W_2_EX_H2,WET_W_2_H2,WET_W,WET_W_2,Handajega,WET,W,2,EX,H2,953,-2.278300,34.024459,3/20/2017,5/13/2017,54,217.804459587,509.148074663,The.tri,1.5,1.4,8,35,5,24.6,20,55,14.86,37.83,52.69,,,,,0.73,,,,0.23,,1.4,,,,,0.16,,,,,0.73,0.23,1.40,0.16
WET_W_2_OP_H2,WET_W_2_H2,WET_W,WET_W_2,Handajega,WET,W,2,OP,H2,953,-2.278300,34.024459,3/20/2017,5/13/2017,54,217.804459587,726.95253425,The.tri,0.8,3.7,15,35,3,9.6,15,50,,12.97,12.97,,,,,,,,,,,,,,,1.3,,,,0.34,,,,1.30,0.34
WET_W_3_EX_H2,WET_W_3_H2,WET_W,WET_W_3,Handajega,WET,W,3,EX,H2,951,-2.277999,34.027678,3/21/2017,5/13/2017,53,213.793256298,518.850849188,The.tri,2.8,1.4,15,35,3.5,31.6,40,65,63.96,17.08,81.04,1.44,,0.84,,,0.12,,0.19,,,,,1.23,,1.18,,,0.23,0.27,,1.44,0.12,1.18,0.27
WET_W_3_OP_H2,WET_W_3_H2,WET_W,WET_W_3,Handajega,WET,W,3,OP,H2,951,-2.277999,34.027678,3/21/2017,5/13/2017,53,213.793256298,732.644105486,The.tri,2.7,1.5,33,40,3.2,13.2,20,55,,17.26,17.26,,,,,,,,,,,1.16,,1.26,,,0.15,,0.22,,,,,1.16,0.15
WET_W_4_EX_H2,WET_W_4_H2,WET_W,WET_W_4,Handajega,WET,W,4,EX,H2,950,-2.278837,34.031884,3/21/2017,5/13/2017,53,213.793256298,518.850849188,The.tri,1,3.3,25,40,3.5,20.6,15,50,9.28,24.44,33.72,,,1.23,,1.21,,,0.21,0.25,,1.33,,,,,0.1,,,,,1.21,0.25,1.33,0.10
