"plot.id";"block.id.harvest";"site.id";"block.id";"site.name";"region";"landuse";"block";"treatment";"harvest";"wp";"lat";"long";"setup.date";"harvest.date";"growth.period";"rain.sum";"target.sp.";"pasture.disc.setup";"height..setup";"spo_pyr";"mic_kun";"sol_inc";"the_tri";"chr_ori";"chl_pyc";"het_con";"orm_tri";"spo_fes";"dic_cin";"dig_sp";"dig_mac";"bot_ins";"ind_vol";"ble_sp";"cen_cil";"cyp_sp";"spo_ioc";"pan_col";"ind_sp";"com_sp";"pen_mez";"tri_ter";"gut_cor";"bra_sp";"eup_ind";"ipo_mom";"cyn_dac";"X906";"X918";"X921";"X963";"X964";"X965.967";"sid_ova";"jus_mat";"her_sch";"ind_hoc";"dac_aeg";"jus_bet";"ari_sp";"era_rac";"era_ten";"X20";"X21";"spo_mar";"oxy_sin";"leu_sp";"leu_def";"oxy_sp";"bid_sp";"dys_rad";"sph_sp";"com_ben";"spo_afr";"ath_sp";"bra_sem";"dys_sp";"chl_gay";"kyl_sp";"cro_spi";"bra_bri";"tra_ber";"arc_sp";"ari_ken";"dic_rad";"ind_ere";"spo_sp";"gut_pet";"mon_deb";"era_sp";"pan_max";"spo_fim";"cyn_ple";"aca_rob";"lon_sp";"kyl_ner";"eup_hir";"dic_mon";"kyl_alb";"rue_pat";"old_sp";"spo_sta";"aca_sey";"aca_tor";"com_afr";"eus_pas";"ipo_sp";"mon_sp";"het_ste";"sen_aby";"cyn_sp";"hel_ste";"son_sp";"gut_sp";"dac_gig";"mar_sp";"cra_pla";"por_gra";"het_sp";"hyp_sp";"ort_par";"por_sp";"tep_pum";"hyp_dis";"bot_scr";"oci_sua";"eup_ina";"ach_asp";"her_sp";"dig_vel";"cya_sp";"com_tru";"bid_sch";"mar_amo";"sed_ort";"target.sp.cover.setup";"sum.sp.setup";"total.veg.cover.setup";"Comments..setup.";"Observer.s..setup";"pasture.disc.harvest";"height.harvest";"spo_pyr.1";"mic_kun.1";"sol_inc.1";"the_tri.1";"chr_ori.1";"chl_pyc.1";"het_con.1";"orm_tri.1";"spo_fes.1";"dic_cin.1";"dig_sp.1";"dig_mac.1";"bot_ins.1";"ind_vol.1";"ble_sp.1";"cen_cil.1";"cyp_sp.1";"spo_ioc.1";"pan_col.1";"ind_sp.1";"com_sp.1";"pen_mez.1";"tri_ter.1";"tra_bet";"gut_cor.1";"bra_sp.1";"eup_ind.1";"ipo_mom.1";"cyn_dac.1";"X906.1";"X918.1";"X921.1";"X963.1";"X964.1";"X965.967.1";"sid_ova.1";"jus_mat.1";"her_sch.1";"ind_hoc.1";"dac_aeg.1";"jus_bet.1";"ari_sp.1";"era_rac.1";"era_ten.1";"X20.1";"X21.1";"spo_mar.1";"oxy_sin.1";"leu_sp.1";"leu_def.1";"oxy_sp.1";"bid_sp.1";"dys_rad.1";"sph_sp.1";"com_ben.1";"spo_afr.1";"ath_sp.1";"bra_sem.1";"dys_sp.1";"chl_gay.1";"kyl_sp.1";"cro_spi.1";"bra_bri.1";"tra_ber.1";"arc_sp.1";"ari_ken.1";"dic_rad.1";"ind_ere.1";"spo_sp.1";"gut_pet.1";"mon_deb.1";"era_sp.1";"pan_max.1";"spo_fim.1";"cyn_ple.1";"aca_rob.1";"lon_sp.1";"kyl_ner.1";"eup_hir.1";"dic_mon.1";"kyl_alb.1";"rue_pat.1";"old_sp.1";"spo_sta.1";"aca_sey.1";"aca_tor.1";"com_afr.1";"eus_pas.1";"ipo_sp.1";"mon_sp.1";"het_ste.1";"sen_aby.1";"cyn_sp.1";"hel_ste.1";"son_sp.1";"gut_sp.1";"dac_gig.1";"mar_sp.1";"cra_pla.1";"por_gra.1";"het_sp.1";"hyp_sp.1";"ort_par.1";"por_sp.1";"tep_pum.1";"hyp_dis.1";"bot_scr.1";"oci_sua.1";"eup_ina.1";"ach_asp.1";"her_sp.1";"dig_vel.1";"cya_sp.1";"com_tru.1";"bid_sch.1";"mar_amo.1";"sed_ort.1";"target.sp.cover.harvest";"sum.sp.harvest";"total.veg.cover.harvest";"Comments..harvest.";"Observer.s..harvest";"PREVIOUS..HX.1.biomass.target.sp.g";"PREVIOUS..HX.1.biomass.total.g";"biomass.target.sp.";"Sub.SUA";"Sub.NTNU";"Ref.material.Arusha";"biomass.other.sp.";"Sub.SUA.1";"Sub.NTNU.1";"Ref.material.Arusha.1";"subsample.target.des";"subsample.other.dec";"N.target";"P.target";"N.other";"P.other";"N.total";"P.total";"N.target..DEC.";"P.target..DEC.";"N.other..DEC.";"P.other..DEC.";"biomass.total.g";"productivity.target.g.m2.day";"consumption.target.g.m2.day";"productivity.total.g.m2.day";"consumption.total.g.m2.day"
"2";"WET_W_2_H0";"WET_W_2_H1";"WET_W";"WET_W_2";"Handajega";"WET";"W";2;"H0";"H0";953;-2.2783;34.024459;"2/16/2017";"";;;"The.tri";;;;10;;;;;;;;15;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;36;40;"Was burnt in oct.-nov. 2016";"MKA, JB";;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"MKA, JB";;;2.22;;2.22;"";10.14;4.72;3.11;"";;;;;;;;;;;;;12.36;;;;
"31";"WET_W_3_H0";"WET_W_3_H1";"WET_W";"WET_W_3";"Handajega";"WET";"W";3;"H0";"H0";951;-2.277999;34.027678;"2/16/2017";"";;;"The.tri";3.4;3.8;;15;;;;;;;15;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;60;60;"Was burnt in oct.-nov. 2016";"MKA, JB";;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"MKA, JB";;;8.61;4.11;2.15;"";14.16;6.59;4.87;"";;;;;;;;;;;;;22.77;;;;
"12";"DRY_W_4_H0";"DRY_W_4_H1";"DRY_W";"DRY_W_4";"Maswa";"DRY";"W";4;"H0";"H0";1000;-3.296013;34.854327;"2/20/2017";"";;;"Cyn.dac";;0.4;;;;;;1;;;;;;;;;;;;;;2;;;25;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;40;40;"";"MKA, JB";;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"MKA, JB";;;1.47;;1.47;"";13.36;5.62;5.01;"";;;;;;;;;;;;;14.83;;;;
"16";"DRY_P_4_H0";"DRY_P_4_H1";"DRY_P";"DRY_P_4";"Makao";"DRY";"P";4;"H0";"H0";1003;-3.406853;34.8516;"2/20/2017";"";;;"Chl.pyc";1.3;1.9;;1;;;;;;;1;;;;;;;;2;20;;0;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;37;40;"Sandy soil.";"MKA, JB";;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"MKA, JB";;;1.16;;1.16;"";11.66;4.68;4.42;"";;;;;;;;;;;;;12.82;;;;
"21";"WET_W_1_EX_H1";"WET_W_1_H1";"WET_W";"WET_W_1";"Handajega";"WET";"W";1;"EX";"H1";954;-2.272484;34.023326;"2/16/2017";"3/20/2017";32;145.67;"The.tri";3;1.9;20;10;1;;;;10;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;57;65;"Was burnt in oct.-nov. 2016. Hard to distinguish species.";"MKA, JB";4;1.2;;13;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;32;45;"";"MKA, JB";;;1.28;;1.28;"";16.1;4.97;3.73;"YES";;;;;;;;;;;;;17.38;-0.05;-0.04;0.14;0.32
"22";"WET_W_1_OP_H1";"WET_W_1_H1";"WET_W";"WET_W_1";"Handajega";"WET";"W";1;"OP";"H1";954;-2.272484;34.023326;"2/16/2017";"3/20/2017";32;145.67;"The.tri";2.5;2.3;15;10;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;40;40;"Was burnt in oct.-nov. 2016. Hard to distinguish species.";"MKA, JB";1.5;1.4;;11;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;19;30;"";"MKA, JB";1.83;15.8;1.74;;1.74;"";11.99;4.99;2.98;"YES";;;;;;;;;;;;;13.73;-0.01;;-0.18;
"261";"WET_W_3_OP_H1";"WET_W_3_H1";"WET_W";"WET_W_3";"Handajega";"WET";"W";3;"OP";"H1";951;-2.277999;34.027678;"2/16/2017";"3/21/2017";33;152.53;"The.tri";2.5;2.6;;10;;;;;7;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;42;45;"Was burnt in oct.-nov. 2016";"MKA, JB";0.7;4.5;;;;;;;;;;5;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;20;40;"";"MKA, JB";8.61;22.77;10.92;5.2;5.77;"";12.83;4.94;3.64;"YES";;;;;;;;;;;;;23.75;0.19;;0.08;
"49";"DRY_P_1_EX_H1";"DRY_P_1_H1";"DRY_P";"DRY_P_1";"Makao";"DRY";"P";1;"EX";"H1";1009;-3.303212;34.847736;"2/21/2017";"3/26/2017";33;156.81;"Chl.pyc";1.3;1.4;;;;;;;;;1;;;;;;;;2;;;4;;;;;2;;;3;;;;;;;;;;;29;8;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;55;55;"Open clearing between large trees. Small shrubs scattered.";"MKA, JB";7.5;18.6;;;;;;;;;;;;;;7;;;"";;;"";;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;90;95;"Quite close to tree, shaded. ";"MKA, JB";;;3.06;;3.06;"";106.62;5.92;4.89;"YES";;;;;;;;;;;;;109.68;0.09;-0.42;8.07;4.59
"51";"DRY_P_2_EX_H1";"DRY_P_2_H1";"DRY_P";"DRY_P_2";"Makao";"DRY";"P";2;"EX";"H1";1006;-3.408426;34.850244;"2/21/2017";"3/26/2017";33;156.81;"Chl.pyc";1;0.2;2;;;;;;;;;;;;;;;;;;;1;;;;;4;;;5;;;;1;;;;3;;;1;;;1;;;;;;;3;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;46;45;"";"MKA, JB";3;10;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;6;;;;;;;;;5;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;41;47;"Leucas deflexa?";"MKA, JB";;;20.78;5.43;5.07;"YES";33.33;5.71;4.82;"YES";;;2.91;0.14;;;2.91;0.14;;;;;54.11;1.25;1.49;3.7;0.99
"54";"DRY_P_3_OP_H1";"DRY_P_3_H1";"DRY_P";"DRY_P_3";"Makao";"DRY";"P";3;"OP";"H1";1001;-3.406316;34.850407;"2/20/2017";"3/26/2017";34;176.82;"Chl.pyc";1.2;1.2;4;2;;;;;;;;;;;;;;;3;10;;;;;;;5;2;;;;;;;;;;;;;;;;;;;;20;;;;1;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;55;50;"Nær pløyd jorde. Mulig det vil utvides.";"MKA, JB";2;2.4;;;;;;;;;;;;;;;;;"";10;;"";;;;5;;;;;;;;;;;;;;;;6;;;;;;;;;;;;5;;;;;;10;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;48;60;"Each of others <5%";"MKA, JB";0.79;11.79;1.61;;1.61;"";51.76;6.3;4.99;"YES";;;;;;;;;;;;;53.37;0.07;;3.4;
"56";"DRY_P_4_OP_H1";"DRY_P_4_H1";"DRY_P";"DRY_P_4";"Makao";"DRY";"P";4;"OP";"H1";1003;-3.406853;34.8516;"2/20/2017";"3/26/2017";34;176.82;"Chl.pyc";1.5;3.5;;2;;;;;;;2;;;;;;;;3;18;;;;;;;1;1;;;;;;;;;;;;;;;2;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;42;45;"Sandy soil.";"MKA, JB";2.3;5.6;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;40;50;"";"MKA, JB";1.16;12.82;2.04;;2.04;"";34.92;4.95;4.98;"YES";;;;;;;;;;;;;36.96;0.07;;1.97;
"69";"WET_W_1_EX_H2";"WET_W_1_H2";"WET_W";"WET_W_1";"Handajega";"WET";"W";1;"EX";"H2";954;-2.272484;34.023326;"3/20/2017";"5/13/2017";54;217.8;"The.tri";1.5;2.7;;10;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;22;45;"";"JB, SWS";3.5;17;;10;;;;;12;;5;;;;10;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;42;40;"Setup very dry. Difficult to separate The.tri from Het.con. Now, surely both present.";"SWS, JB";1.28;17.38;2.22;;2.22;"";23.49;5.18;4.87;"YES";;;;;;;;;;;;;25.71;0.02;0.04;0.62;-0.57
"70";"WET_W_1_OP_H2";"WET_W_1_H2";"WET_W";"WET_W_1";"Handajega";"WET";"W";1;"OP";"H2";954;-2.272484;34.023326;"3/20/2017";"5/13/2017";54;217.8;"The.tri";1.5;5.5;;10;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;24;45;"";"JB, SWS";5.2;10.2;;;;;;;5;;;;;15;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;25;30;"||";"SWS, JB";1.74;13.73;1.43;;1.43;"";35.27;5.06;4.89;"YES";;;;;;;;;;;;;36.7;-0.02;;1.18;
"72";"WET_W_2_OP_H2";"WET_W_2_H2";"WET_W";"WET_W_2";"Handajega";"WET";"W";2;"OP";"H2";953;-2.2783;34.024459;"3/20/2017";"5/13/2017";54;217.8;"The.tri";0.8;3.7;;15;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;35;35;"";"JB, SWS";3;9.6;;;;;;;30;;7;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;52;50;"";"SWS, JB";1.85;7.29;;;;"";12.97;5;4.57;"YES";;;;;;;;;;;;;12.97;;;0.29;
"73";"WET_W_3_EX_H2";"WET_W_3_H2";"WET_W";"WET_W_3";"Handajega";"WET";"W";3;"EX";"H2";951;-2.277999;34.027678;"3/21/2017";"5/13/2017";53;213.79;"The.tri";2.8;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;22;35;"";"JB, SWS";3.5;31.6;;;;;;;;;10;;;10;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;60;65;"";"SWS, JB";8.18;14.7;63.96;5.24;5.03;"YES";17.08;5.37;5.03;"";10.77;6.27;1.44;0.12;;;1.44;0.12;0.84;0.19;1.23;0.23;81.04;2.78;3.35;3;3.34
"94";"DRY_W_4_EX_H2";"DRY_W_4_H2";"DRY_W";"DRY_W_4";"Maswa";"DRY";"W";4;"EX";"H2";1000;-3.296013;34.854327;"3/25/2017";"5/11/2017";47;132.71;"Cyn.dac";1;2.3;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;31;35;"No grazing";"JB, SWS";2;3.6;;;;;;;;;;;;;;;;;"";;;"";;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;23;25;"Dry. ";"SWS, JB";3.59;53.28;4.07;;4.07;"";39.53;5.04;5.17;"YES";;;;;;;;;;;;;43.6;-0.26;-0.08;1.03;1.62
"98";"DRY_P_1_OP_H2";"DRY_P_1_H2";"DRY_P";"DRY_P_1";"Makao";"DRY";"P";1;"OP";"H2";1009;-3.303212;34.847736;"3/26/2017";"5/9/2017";44;90.82;"Chl.pyc";1.8;7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;35;70;"";"JB, SWS";1.5;8.8;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;70;75;"Dry";"SWS, JB";8.04;55.12;23.31;5.12;4.98;"YES";8.38;5.14;3.24;"";;;1.33;0.11;;;1.33;0.11;;;;;31.69;0.96;;-1.48;
