plot.id;block.id.harvest;site.id;block.id;site.name;region;landuse;block;treatment;harvest;wp;lat;long;setup.date;harvest.date;growth.period;rain.sum;target.sp.;pasture.disc.setup;height. setup;target.sp.cover.setup;total.veg.cover.setup;Comments (setup);Observer(s) setup;pasture.disc.harvest;height.harvest;target.sp.cover.harvest;total.veg.cover.harvest;Comments (harvest);Observer(s) harvest;PREVIOUS (HX-1)biomass.target.sp.g;PREVIOUS (HX-1)biomass.total.g;biomass.target.sp.;Sub.SUA;Sub.NTNU;biomass.other.sp.;Sub.SUA;Sub.NTNU;N.target.SUA;N.target.SUA17;N.target.NMBU;N.target.NTNU;P.target.SUA;P.target.SUA17;P.target.NMBU;P.target.USDM;N.other.SUA;N.other.SUA17;N.other.NMBU;N.other.NTNU;P.otherSUA;P.other.SUA17;P.other.NTNU;P.other.USDM;;;;;biomass.total.g;productivity.target.g.m2.day;consumption.target.g.m2.day;productivity.total.g.m2.day;consumption.total.g.m2.day
DRY_W_3_H0;DRY_W_3_H1;DRY_W;DRY_W_3;Maswa;DRY;W;3;H0;H0;998;-3.295645;34.852435;20.02.2017;;;;Cyn.dac;;0.4;8;30;;MKA, JB;;;;;;MKA, JB;;;2.42;;2.42;11.05;6.37;2.12;;;;;;;;3.34;5.57;;;;0.21;;;1.36;;;;;13.47;;;;
DRY_W_4_H0;DRY_W_4_H1;DRY_W;DRY_W_4;Maswa;DRY;W;4;H0;H0;1000;-3.296013;34.854327;20.02.2017;;;;Cyn.dac;;0.4;10;40;;MKA, JB;;;;;;MKA, JB;;;1.47;;1.47;13.36;5.62;5.01;;;;;;;;;;;;;;;;0.87;;;;;14.83;;;;
DRY_P_1_H0;DRY_P_1_H1;DRY_P;DRY_P_1;Makao;DRY;P;1;H0;H0;1009;-3.303212;34.847736;21.02.2017;;;;Chl.pyc;1.4;3.1;10;50;Open clearing between large trees. Small shrubs scattered.;MKA, JB;;;;;;MKA, JB;;;2.03;;2.03;11.73;6.22;3.05;;;;;;;;2.43;2.14;;;;0.16;;;1.15;;;;;13.76;;;;
DRY_P_2_H0;DRY_P_2_H1;DRY_P;DRY_P_2;Makao;DRY;P;2;H0;H0;1006;-3.408426;34.850244;21.02.2017;;;;Chl.pyc;0.5;1.3;27;45;Chloris dominant;MKA, JB;;;;;;MKA, JB;;;5.90;;5.90;4.22;;4.22;;;;;;;;0.69;;;;;;;;1.40;;;;;10.12;;;;
DRY_P_3_H0;DRY_P_3_H1;DRY_P;DRY_P_3;Makao;DRY;P;3;H0;H0;1001;-3.406316;34.850407;20.02.2017;;;;Chl.pyc;1.0;3.0;8;30;Nær pløyd jorde. Mulig det vil utvides.;MKA, JB;;;;;;MKA, JB;;;0.79;;0.79;11.00;6.26;1.96;;;;;;;;2.61;2.70;;;;0.13;;;1.16;;;;;11.79;;;;
DRY_P_4_H0;DRY_P_4_H1;DRY_P;DRY_P_4;Makao;DRY;P;4;H0;H0;1003;-3.406853;34.851600;20.02.2017;;;;Chl.pyc;1.3;1.9;7;40;Sandy soil.;MKA, JB;;;;;;MKA, JB;;;1.16;;1.16;11.66;4.68;4.42;;;;;;;;;;;;;;;;0.89;;;;;12.82;;;;
SE_1_H0;SE_1_H1;SE_1_;SE_1;Seronera;SE;W;1;H0;H0;1023;-2.437747;34.855162;26.02.2017;;;;Dig.mac;;;;35;;MKA, JB;;;;;;MKA, JB;;;;;;12.35;5.04;3.99;;;;;;;;;2.73;;;;0.06;;;0.67;;;;;12.35;;;;
SE_2_H0;SE_2_H1;SE_2_;SE_2;Seronera;SE;W;2;H0;H0;1025;-2.437766;34.855394;26.02.2017;;;;Dig.mac;;;;30;;MKA, JB;;;;;;MKA, JB;;;;;;8.48;5.86;2.49;;;;;;;;;2.56;;;;0.15;;;1.02;;;;;8.48;;;;
SE_3_H0;SE_3_H1;SE_3_;SE_3;Seronera;SE;W;3;H0;H0;1027;-2.437991;34.855418;26.02.2017;;;;Dig.mac;;;;40;;MKA, JB;;;;;;MKA, JB;;;;;;9.81;6.82;3.07;;;;;;;;;2.77;;;;0.34;;;0.93;;;;;9.81;;;;
SE_4_H0;SE_4_H1;SE_4_;SE_4;Seronera;SE;W;4;H0;H0;1026;-2.438079;34.854989;26.02.2017;;;;Dig.mac;;;;35;;MKA, JB;;;;;;MKA, JB;;;;;;10.10;5.19;4.92;;;;;;;;;3.71;;;;0.30;;;1.24;;;;;10.10;;;;
WET_W_1_EX_H1;WET_W_1_H1;WET_W;WET_W_1;Handajega;WET;W;1;EX;H1;954;-2.272484;34.023326;16.02.2017;20.03.2017;32;145.67;The.tri;3.0;1.9;10;65;Was burnt in oct.-nov. 2016. Hard to distinguish species.;MKA, JB;4;1.2;4;45;;MKA, JB;;;1.28;;1.28;16.10;4.97;3.73;;;;;;;;;;;;;;;;;;;;;17.38;-0.05;-0.04;0.14;0.32
WET_W_1_OP_H1;WET_W_1_H1;WET_W;WET_W_1;Handajega;WET;W;1;OP;H1;954;-2.272484;34.023326;16.02.2017;20.03.2017;32;145.67;The.tri;2.5;2.3;10;40;Was burnt in oct.-nov. 2016. Hard to distinguish species.;MKA, JB;1.5;1.4;8;30;;MKA, JB;1.83;15.8;1.74;;1.74;11.99;4.99;2.98;;;;;;;;;;;;;;;;;;;;;13.73;-0.01;;-0.18;
WET_W_2_EX_H1;WET_W_2_H1;WET_W;WET_W_2;Handajega;WET;W;2;EX;H1;953;-2.278300;34.024459;16.02.2017;20.03.2017;32;145.67;The.tri;2.3;2.1;20;40;Was burnt in oct.-nov. 2016;MKA, JB;2.3;2.6;5;20;;MKA, JB;;;2.47;;3.03;5.28;;5.28;;;;;;;;;;;;;;;;;;;;;7.75;0.02;0.05;-0.40;0.04
WET_W_2_OP_H1;WET_W_2_H1;WET_W;WET_W_2;Handajega;WET;W;2;OP;H1;953;-2.278300;34.024459;16.02.2017;20.03.2017;32;145.67;The.tri;2.5;0.6;12;40;Was burnt in oct.-nov. 2016;MKA, JB;1.5;0.6;7;24;;MKA, JB;2.22;12.36;1.85;;1.85;5.44;;5.44;;;;;;;;;;;;;;;;;;;;;7.29;-0.03;;-0.44;
WET_W_3_EX_H1;WET_W_3_H1;WET_W;WET_W_3;Handajega;WET;W;3;EX;H1;951;-2.277999;34.027678;16.02.2017;21.03.2017;33;152.53;The.tri;3.5;2.4;25;55;Was burnt in oct.-nov. 2016. Mostly grasses, 1 herb;MKA, JB;2.5;4.1;20;50;;MKA, JB;;;8.18;5.42;4.07;6.52;3.86;2.57;1.47;;;;0.13;;;;2.03;;;;0.11;;;;;;;;14.70;-0.04;-0.23;-0.68;-0.76
WET_W_3_OP_H1;WET_W_3_H1;WET_W;WET_W_3;Handajega;WET;W;3;OP;H1;951;-2.277999;34.027678;16.02.2017;21.03.2017;33;152.53;The.tri;2.5;2.6;20;45;Was burnt in oct.-nov. 2016;MKA, JB;0.7;4.5;15;40;;MKA, JB;8.61;22.77;10.92;5.20;5.77;12.83;4.94;3.64;;;;;;;;;;;;;;;;;;;;;23.75;0.19;;0.08;
WET_W_4_EX_H1;WET_W_4_H1;WET_W;WET_W_4;Handajega;WET;W;4;EX;H1;950;-2.278837;34.031884;16.02.2017;21.03.2017;33;152.53;The.tri;1.5;0.9;15;70;Was burnt in oct.-nov. 2016;MKA, JB;1.8;2.7;5;35;;MKA, JB;;;2.91;;2.91;10.26;6.97;3.17;;;;;;;;;1.82;;;;0.10;;;;;;;;13.17;;-0.22;-1.35;0.27
WET_W_4_OP_H1;WET_W_4_H1;WET_W;WET_W_4;Handajega;WET;W;4;OP;H1;950;-2.278837;34.031884;16.02.2017;21.03.2017;33;152.53;The.tri;2.5;1.8;25;65;Was burnt in oct.-nov. 2016. Spo. And mic. Very hard to distinguish when not flowering. ;MKA, JB;1.8;2.2;18;30;;MKA, JB;;29.26;5.55;;5.55;4.45;;4.45;;;;;;;;;;;;;;;;;;;;;10.00;;;-1.62;
WET_P_1_EX_H1;WET_P_1_H1;WET_P;WET_P_1;Mwantimba;WET;P;1;EX;H1;957;-2.350052;34.049976;17.02.2017;22.03.2017;33;161.60;Chr.ori;0.5;0.4;1;7;Heavily grazed. Small thorny Acacia scattered around.;MKA, JB;1.8;0.9;6;25;Some grass eaten by ants;MKA, JB;;;1.91;;1.91;13.25;7.28;4.93;;;;;;;;;2.35;;;;0.03;;;;;;;;15.16;-0.04;-0.57;1.00;0.29
WET_P_1_OP_H1;WET_P_1_H1;WET_P;WET_P_1;Mwantimba;WET;P;1;OP;H1;957;-2.350052;34.049976;17.02.2017;22.03.2017;33;161.60;Chr.ori;1.0;1.0;10;15;Heavily grazed. Small thorny Acacia scattered around.;MKA, JB;1.5;0.8;10;18;Some grass eaten by ants;MKA, JB;2.42;3.28;8.69;5.39;3.20;3.00;;3.00;;;;;;;;;1.96;;;;0.26;;;;;;;;11.69;0.53;;0.71;
WET_P_2_EX_H1;WET_P_2_H1;WET_P;WET_P_2;Mwantimba;WET;P;2;EX;H1;959;-2.348488;34.050110;17.02.2017;22.03.2017;33;161.60;Chr.ori;0.5;0.6;0;15;Heavily grazed. Small thorny Acacia scattered around. Near settlement with large hedge.;MKA, JB;1.6;3;0;40;Some grass eaten by ants;MKA, JB;;;0.00;;;13.46;5.19;4.02;;;;;;;;;2.00;;;;0.13;;;;;;;;13.46;-0.06;-0.01;0.86;0.68
WET_P_2_OP_H1;WET_P_2_H1;WET_P;WET_P_2;Mwantimba;WET;P;2;OP;H1;959;-2.348488;34.050110;17.02.2017;22.03.2017;33;161.60;Chr.ori;1.0;0.2;0;7;Heavily grazed. Small thorny Acacia scattered around. Near settlement with large hedge.;MKA, JB;1;2.6;3;20;Some grass eaten by ants;MKA, JB;0.69;3.21;0.15;;0.15;5.26;;5.26;;;;;;;;;;;;;;;;;;;;;5.41;-0.05;;0.19;
WET_P_3_EX_H1;WET_P_3_H1;WET_P;WET_P_3;Mwantimba;WET;P;3;EX;H1;1022;-2.367293;34.062509;17.02.2017;22.03.2017;33;161.60;Chr.ori;1.0;1.5;;;Very dry, almost no green vegetation.;MKA, JB;3.2;2.6;5;70;Other sp. together 20 %;MKA, JB;;;5.16;;5.16;31.55;4.96;4.78;;;;;;;;;2.17;;;;0.19;;;;;;;;36.71;;0.35;2.67;1.26
WET_P_3_OP_H1;WET_P_3_H1;WET_P;WET_P_3;Mwantimba;WET;P;3;OP;H1;1022;-2.367293;34.062509;17.02.2017;22.03.2017;33;161.60;Chr.ori;1.0;0.9;;;Very dry, almost no green vegetation.;MKA, JB;1.6;0.8;2;55;;MKA, JB;;4.96;0.97;;0.97;20.81;4.94;4.08;;;;;;;;;1.05;;;;0.09;;;;;;;;21.78;;;1.42;
WET_P_4_EX_H1;WET_P_4_H1;WET_P;WET_P_4;Mwantimba;WET;P;4;EX;H1;1020;-2.368570;34.062586;23.02.2017;22.03.2017;27;119.69;Chr.ori;;0.7;9;20;Very dry, almost no green vegetation. No pasture disc on setup.;MKA, JB;1.5;0.7;0;60;;MKA, JB;;;0.00;;;26.71;5.35;4.94;;;;;;;;;2.31;;;;0.10;;;;;;;;26.71;-0.17;0.00;2.29;0.91
WET_P_4_OP_H1;WET_P_4_H1;WET_P;WET_P_4;Mwantimba;WET;P;4;OP;H1;1020;-2.368570;34.062586;23.02.2017;22.03.2017;27;119.69;Chr.ori;;0.4;8;15;Very dry, almost no green vegetation. No pasture disc on setup.;MKA, JB;0.5;1.5;0;40;;MKA, JB;1.65;4.41;0.00;;;17.84;5.06;2.93;2.49;;;;0.12;;;;2.07;;;;0.18;;;;;;;;17.84;-0.17;;1.38;
DRY_W_1_EX_H1;DRY_W_1_H1;DRY_W;DRY_W_1;Maswa;DRY;W;1;EX;H1;995;-3.299332;34.848458;19.02.2017;24.03.2017;33;165.31;Cyn.dac;;1.8;10;20;;MKA, JB;3.5;6.8;12;55;Sum of other sp. <5%;MKA, JB;;;14.67;4.93;5.02;41.78;5.12;4.95;1.82;;;;0.15;;;;1.86;;;;0.15;;;;;;;;56.45;0.20;0.61;3.55;2.38
DRY_W_1_EX2_H1;DRY_W_1_H1;DRY_W;DRY_W_1;Maswa;DRY;W;1;EX2;H1;995;-3.299332;34.848458;19.02.2017;25.03.2017;34;167.02;Cyn.dac;;1.2;10;30;;MKA, JB;2.8;13.4;28;78;;MKA, JB;;;24.35;5.23;4.95;56.73;5.92;4.87;1.58;;;;0.04;;;;2.35;;;;0.16;;;;;;;;81.08;0.99;1.38;5.46;4.32
DRY_W_1_OP_H1;DRY_W_1_H1;DRY_W;DRY_W_1;Maswa;DRY;W;1;OP;H1;995;-3.299332;34.848458;19.02.2017;24.03.2017;33;165.31;Cyn.dac;;0.4;18;35;;MKA, JB;2;1.7;8;28;Each of others <5%;MKA, JB;12.24;14.22;7.46;5.02;2.39;20.77;5.11;4.91;2.03;;;;0.12;;;;2.07;;;;0.39;;;;;;;;28.23;-0.40;;1.18;
DRY_W_2_EX_H1;DRY_W_2_H1;DRY_W;DRY_W_2;Maswa;DRY;W;2;EX;H1;980;-3.303268;34.847796;19.02.2017;24.03.2017;33;165.31;Cyn.dac;;0.4;15;45;Soft soil. Easy to dig in.;MKA, JB;0.5;1.7;4;40;Plot disturbed by animal. Cage knocked over;MKA, JB;;;3.03;;3.03;34.02;5.18;4.92;;;;;;;;;2.21;;;;0.28;;;;;;;;37.05;-0.08;0.08;2.17;-0.28
DRY_W_2_EX2_H1;DRY_W_2_H1;DRY_W;DRY_W_2;Maswa;DRY;W;2;EX2;H1;980;-3.303268;34.847796;19.02.2017;25.03.2017;34;167.02;Cyn.dac;;0.7;15;50;Soft soil. Easy to dig in.;MKA, JB;3;24.6;10;80;All dominant sp. in flowering stage;MKA, JB;;;9.42;5.05;2.50;80.87;5.11;4.97;;;;;;;;;1.82;;;;0.47;;;;;;;;90.29;0.44;0.60;6.46;4.08
DRY_W_2_OP_H1;DRY_W_2_H1;DRY_W;DRY_W_2;Maswa;DRY;W;2;OP;H1;980;-3.303268;34.847796;19.02.2017;24.03.2017;33;165.31;Cyn.dac;;1.1;7;60;;MKA, JB;1.5;2.8;6;45;;MKA, JB;3.99;11.25;2.09;;2.09;38.32;5.65;4.61;;;;;;;;;3.26;;;;0.05;;;;;;;;40.41;-0.16;;2.45;
DRY_W_3_EX_H1;DRY_W_3_H1;DRY_W;DRY_W_3;Maswa;DRY;W;3;EX;H1;998;-3.295645;34.852435;20.02.2017;24.03.2017;32;164.63;Cyn.dac;;0.6;10;25;;MKA, JB;1.5;4.8;20;53;No grazing;MKA, JB;;;8.26;4.07;4.13;30.12;5.05;5.05;0.39;;;;0.13;;;;2.35;;;;0.14;;;;;;;;38.38;0.51;0.09;2.16;1.15
DRY_W_3_EX2_H1;DRY_W_3_H1;DRY_W;DRY_W_3;Maswa;DRY;W;3;EX2;H1;998;-3.295645;34.852435;20.02.2017;25.03.2017;33;166.34;Cyn.dac;;0.2;10;40;;MKA, JB;2;12;25;70;Target sp. in flowering stage;MKA, JB;;;17.64;5.02;4.76;56.39;5.77;4.69;3.50;;;;0.12;;;;3.33;;;;0.38;;;;;;;;74.03;1.28;0.87;5.10;4.11
DRY_W_3_OP_H1;DRY_W_3_H1;DRY_W;DRY_W_3;Maswa;DRY;W;3;OP;H1;998;-3.295645;34.852435;20.02.2017;24.03.2017;32;164.63;Cyn.dac;;0.3;20;45;;MKA, JB;1.3;3.3;20;60;Some grazing on target sp. ;MKA, JB;2.42;13.47;7.26;5.06;3.63;17.91;5.18;4.82;2.10;;;;0.13;;;;2.03;;;;0.23;;;;;;;;25.17;0.42;;1.02;
DRY_W_4_EX_H1;DRY_W_4_H1;DRY_W;DRY_W_4;Maswa;DRY;W;4;EX;H1;1000;-3.296013;34.854327;20.02.2017;25.03.2017;33;170.33;Cyn.dac;;0.2;8;30;;MKA, JB;1.6;3.9;10;50;No grazing;MKA, JB;;;3.59;;3.59;49.69;5.06;4.87;;;;;;;;;2.07;;;;0.21;;;;;;;;53.28;0.18;-0.40;3.24;2.28
DRY_W_4_EX2_H1;DRY_W_4_H1;DRY_W;DRY_W_4;Maswa;DRY;W;4;EX2;H1;1000;-3.296013;34.854327;20.02.2017;25.03.2017;33;170.33;Cyn.dac;;0.3;12;25;;MKA, JB;3.5;3.3;15;50;No grazing;MKA, JB;;;49.76;6.03;4.85;46.73;5.22;4.19;2.28;;;;0.27;;;;1.79;;;;0.04;;;;;;;;96.49;4.06;3.48;6.87;5.92
DRY_W_4_OP_H1;DRY_W_4_H1;DRY_W;DRY_W_4;Maswa;DRY;W;4;OP;H1;1000;-3.296013;34.854327;20.02.2017;25.03.2017;33;170.33;Cyn.dac;;0.5;8;45;;MKA, JB;4;14;9;60;No grazing;MKA, JB;1.47;14.83;8.39;4.96;3.30;17.82;;;1.61;;;;0.06;;;;;;;;;;;;;;;;26.21;0.58;;0.96;
DRY_P_1_EX_H1;DRY_P_1_H1;DRY_P;DRY_P_1;Makao;DRY;P;1;EX;H1;1009;-3.303212;34.847736;21.02.2017;26.03.2017;33;156.81;Chl.pyc;1.3;1.4;5;55;Open clearing between large trees. Small shrubs scattered.;MKA, JB;7.5;18.6;3;95;Quite close to tree, shaded. ;MKA, JB;;;3.06;;3.06;106.62;5.92;4.89;;;;;;;;;;;;;;;;;;;;;109.68;0.09;-0.42;8.07;4.59
DRY_P_1_OP_H1;DRY_P_1_H1;DRY_P;DRY_P_1;Makao;DRY;P;1;OP;H1;1009;-3.303212;34.847736;21.02.2017;26.03.2017;33;156.81;Chl.pyc;1.4;1.3;8;50;Open clearing between large trees. Small shrubs scattered.;MKA, JB;2;4;8;70;;MKA, JB;2.03;13.76;8.04;4.88;3.21;47.08;5.78;4.71;3.92;;;;0.22;;;;1.30;;;;0.15;;;;;;;;55.12;0.51;;3.48;
DRY_P_2_EX_H1;DRY_P_2_H1;DRY_P;DRY_P_2;Makao;DRY;P;2;EX;H1;1006;-3.408426;34.850244;21.02.2017;26.03.2017;33;156.81;Chl.pyc;1.0;0.2;24;45;;MKA, JB;3;10;20;47;Leucas deflexa?;MKA, JB;;;20.78;5.43;5.07;33.33;5.71;4.82;2.91;;;;0.14;;;;;;;;;;;;;;;;54.11;1.25;1.49;3.70;0.99
DRY_P_2_OP_H1;DRY_P_2_H1;DRY_P;DRY_P_2;Makao;DRY;P;2;OP;H1;1006;-3.408426;34.850244;21.02.2017;26.03.2017;33;156.81;Chl.pyc;0.8;1.1;3;30;;MKA, JB;1;0.9;9;55;Each of others <5%;MKA, JB;5.9;10.12;3.13;;3.13;39.21;5.05;4.84;;;;;;;;;1.93;;;;0.02;;;;;;;;42.34;-0.23;;2.71;
DRY_P_3_EX_H1;DRY_P_3_H1;DRY_P;DRY_P_3;Makao;DRY;P;3;EX;H1;1001;-3.406316;34.850407;20.02.2017;26.03.2017;34;176.82;Chl.pyc;1.7;1.5;4;55;Nær pløyd jorde. Mulig det vil utvides.;MKA, JB;;;;;Cage was gone. No records made. ;MKA, JB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRY_P_3_OP_H1;DRY_P_3_H1;DRY_P;DRY_P_3;Makao;DRY;P;3;OP;H1;1001;-3.406316;34.850407;20.02.2017;26.03.2017;34;176.82;Chl.pyc;1.2;1.2;2;50;Nær pløyd jorde. Mulig det vil utvides.;MKA, JB;2;2.4;7;60;Each of others <5%;MKA, JB;0.79;11.79;1.61;;1.61;51.76;6.30;4.99;;;;;;;;;;;;;;;;;;;;;53.37;0.07;;3.40;
DRY_P_4_EX_H1;DRY_P_4_H1;DRY_P;DRY_P_4;Makao;DRY;P;4;EX;H1;1003;-3.406853;34.851600;20.02.2017;26.03.2017;34;176.82;Chl.pyc;1.5;1.9;10;45;Sandy soil.;MKA, JB;4;8.2;10;55;;MKA, JB;;;9.01;5.17;4.01;47.20;4.97;4.99;;;;;;;;;1.51;;;;0.14;;;;;;;;56.21;0.64;0.57;3.54;1.57
DRY_P_4_OP_H1;DRY_P_4_H1;DRY_P;DRY_P_4;Makao;DRY;P;4;OP;H1;1003;-3.406853;34.851600;20.02.2017;26.03.2017;34;176.82;Chl.pyc;1.5;3.5;5;45;Sandy soil.;MKA, JB;2.3;5.6;4;50;;MKA, JB;1.16;12.82;2.04;;2.04;34.92;4.95;4.98;;;;;;;;;;;;;;;;;;;;;36.96;0.07;;1.97;
SE_1_EX_H1;SE_1_H1;SE;SE_1;Seronera;SE;W;1;EX;H1;1023;-2.437747;34.855162;26.02.2017;18.03.2017;20;84.86;Dig.mac;;0.9;4;45;;MKA, JB;4;7.3;6;65;;MKA, JB;;;5.02;;5.02;36.34;5.19;5.17;;;;;;;;1.70;1.99;;;;0.92;;;;;;;;41.36;;-0.65;4.03;-0.36
SE_1_EX2_H1;SE_1_H1;SE;SE_1;Seronera;SE;W;1;EX2;H1;1023;-2.437747;34.855162;25.02.2017;18.03.2017;21;86.14;Dig.mac;;1.0;2;45;;MKA, JB;3.9;8.3;3;60;;MKA, JB;;;3.18;;3.18;47.03;5.33;4.92;;;;;;;;1.29;1.69;;;;0.08;;;;;;;;50.21;;-0.87;5.01;0.83
SE_1_OP_H1;SE_1_H1;SE;SE_1;Seronera;SE;W;1;OP;H1;1023;-2.437747;34.855162;25.02.2017;18.03.2017;21;86.14;Dig.mac;;2.6;2;45;;MKA, JB;4.3;10.3;10;55;;MKA, JB;;12.35;9.72;;9.72;34.21;5.55;5.08;;;;;;;;1.13;1.96;;;;0.12;;;;;;;;43.93;;;4.18;
SE_2_EX_H1;SE_2_H1;SE;SE_2;Seronera;SE;W;2;EX;H1;1025;-2.437766;34.855394;26.02.2017;18.03.2017;20;84.86;Dig.mac;;1.8;3;35;;MKA, JB;3.9;7.4;5;70;;MKA, JB;;;4.68;;4.68;36.83;5.43;5.10;;;;;;;;0.93;1.93;;;;0.13;;;;;;;;41.51;;-0.39;4.59;1.11
SE_2_EX2_H1;SE_2_H1;SE;SE_2;Seronera;SE;W;2;EX2;H1;1025;-2.437766;34.855394;25.02.2017;18.03.2017;21;86.14;Dig.mac;;2.1;12;30;;MKA, JB;3.4;5.4;18;45;;MKA, JB;;;7.25;;4.81;16.19;5.47;4.56;;;;;;;;1.15;1.82;;;;0.21;;;;;;;;23.44;;-0.03;1.98;-1.33
SE_2_OP_H1;SE_2_H1;SE;SE_2;Seronera;SE;W;2;OP;H1;1025;-2.437766;34.855394;25.02.2017;18.03.2017;21;86.14;Dig.mac;;3.3;8;35;;MKA, JB;3.4;4.4;10;40;NB! Check sphaerantus sp.;MKA, JB;;8.48;7.50;2.79;2.17;26.02;5.22;5.08;1.72;;;;0.13;;;1.09;1.96;;;;0.27;;;;;;;;33.52;;;3.31;
SE_3_EX_H1;SE_3_H1;SE;SE_3;Seronera;SE;W;3;EX;H1;1027;-2.437991;34.855418;26.02.2017;18.03.2017;20;84.86;Dig.mac;;2.4;5;50;;MKA, JB;5;8.3;7;70;;MKA, JB;;;16.94;5.08;5.07;46.21;5.16;5.08;1.65;;;;0.22;;;1.56;0.40;;;;0.19;;;;;;;;63.15;;1.48;7.41;3.32
