plot.id;block.id.harvest;site.id;block.id;site.name;region;landuse;block;treatment;harvest;wp;lat;long;setup.date;harvest.date;growth.period;rain.sum;target.sp.;pasture.disc.setup;height. setup;spo_pyr;mic_kun;sol_inc;the_tri;chr_ori;chl_pyc;het_con;orm_tri;spo_fes;dic_cin;dig_sp;dig_mac;bot_ins;ind_vol;ble_sp;cen_cil;cyp_sp;spo_ioc;pan_col;ind_sp;com_sp;pen_mez;tri_ter;gut_cor;bra_sp;eup_ind;ipo_mom;cyn_dac;906;918;921;963;964;965-967;sid_ova;jus_mat;her_sch;ind_hoc;dac_aeg;jus_bet;ari_sp;era_rac;era_ten;20;21;spo_mar;oxy_sin;leu_sp;leu_def;oxy_sp;bid_sp;dys_rad;sph_sp;com_ben;spo_afr;ath_sp;bra_sem;dys_sp;chl_gay;kyl_sp;cro_spi;bra_bri;tra_ber;arc_sp;ari_ken;dic_rad;ind_ere;spo_sp;gut_pet;mon_deb;era_sp;pan_max;spo_fim;cyn_ple;aca_rob;lon_sp;kyl_ner;eup_hir;dic_mon;kyl_alb;rue_pat;old_sp;spo_sta;aca_sey;aca_tor;com_afr;eus_pas;ipo_sp;mon_sp;het_ste;sen_aby;cyn_sp;hel_ste;son_sp;gut_sp;dac_gig;mar_sp;cra_pla;por_gra;het_sp;hyp_sp;ort_par;por_sp;tep_pum;hyp_dis;bot_scr;oci_sua;eup_ina;ach_asp;her_sp;dig_vel ;cya_sp;com_tru;bid_sch;mar_amo;sed_ort;target.sp.cover.setup;sum.sp.setup;total.veg.cover.setup
DRY_W_3_H0;DRY_W_3_H1;DRY_W;DRY_W_3;Maswa;DRY;W;3;H0;H0;998;-3.295645;34.852435;2/20/2017;;;;Cyn.dac;;0.4;4;;;;;2;;;1;;;;;;;;2;;;1;;;12;1;2;2;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;35;30
DRY_W_4_H0;DRY_W_4_H1;DRY_W;DRY_W_4;Maswa;DRY;W;4;H0;H0;1000;-3.296013;34.854327;2/20/2017;;;;Cyn.dac;;0.4;;;;;;1;;;;;;;;;;;;;;2;;;25;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;40;40
DRY_P_1_H0;DRY_P_1_H1;DRY_P;DRY_P_1;Makao;DRY;P;1;H0;H0;1009;-3.303212;34.847736;2/21/2017;;;;Chl.pyc;1.4;3.1;2;;;;;;;3;;;;;;;;;2;1;;;;;;;3;;;;;;;;;;;1;;;20;;;1;;;1;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;49;50
DRY_P_2_H0;DRY_P_2_H1;DRY_P;DRY_P_2;Makao;DRY;P;2;H0;H0;1006;-3.408426;34.850244;2/21/2017;;;;Chl.pyc;0.5;1.3;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;1;;;;;;;4;;;;;2;2;;;;;;3;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;27;46;45
DRY_P_3_H0;DRY_P_3_H1;DRY_P;DRY_P_3;Makao;DRY;P;3;H0;H0;1001;-3.406316;34.850407;2/20/2017;;;;Chl.pyc;1;3;;2;;;;;;;;;;;;;;;;2;;;;;;;1;1;;;;;;;;;;;;;;3;2;;2;;;;;2;;1;8;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;37;30
DRY_P_4_H0;DRY_P_4_H1;DRY_P;DRY_P_4;Makao;DRY;P;4;H0;H0;1003;-3.406853;34.8516;2/20/2017;;;;Chl.pyc;1.3;1.9;;1;;;;;;;1;;;;;;;;2;20;;0;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;37;40
SE_1_H0;SE_1_H1;SE_1_;SE_1;Seronera;SE;W;1;H0;H0;1023;-2.437747;34.855162;2/26/2017;;;;Dig.mac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;35
SE_2_H0;SE_2_H1;SE_2_;SE_2;Seronera;SE;W;2;H0;H0;1025;-2.437766;34.855394;2/26/2017;;;;Dig.mac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;30
SE_3_H0;SE_3_H1;SE_3_;SE_3;Seronera;SE;W;3;H0;H0;1027;-2.437991;34.855418;2/26/2017;;;;Dig.mac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;40
SE_4_H0;SE_4_H1;SE_4_;SE_4;Seronera;SE;W;4;H0;H0;1026;-2.438079;34.854989;2/26/2017;;;;Dig.mac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;35
WET_W_1_EX_H1;WET_W_1_H1;WET_W;WET_W_1;Handajega;WET;W;1;EX;H1;954;-2.272484;34.023326;2/16/2017;3/20/2017;32;145.67;The.tri;3;1.9;20;10;1;;;;10;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;57;65
WET_W_1_OP_H1;WET_W_1_H1;WET_W;WET_W_1;Handajega;WET;W;1;OP;H1;954;-2.272484;34.023326;2/16/2017;3/20/2017;32;145.67;The.tri;2.5;2.3;15;10;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;40;40
WET_W_2_EX_H1;WET_W_2_H1;WET_W;WET_W_2;Handajega;WET;W;2;EX;H1;953;-2.2783;34.024459;2/16/2017;3/20/2017;32;145.67;The.tri;2.3;2.1;;10;;;;;;;;10;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;43;40
WET_W_2_OP_H1;WET_W_2_H1;WET_W;WET_W_2;Handajega;WET;W;2;OP;H1;953;-2.2783;34.024459;2/16/2017;3/20/2017;32;145.67;The.tri;2.5;0.6;;;;;;;;;10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;40
WET_W_3_EX_H1;WET_W_3_H1;WET_W;WET_W_3;Handajega;WET;W;3;EX;H1;951;-2.277999;34.027678;2/16/2017;3/21/2017;33;152.53;The.tri;3.5;2.4;;15;;;;;;;5;;;5;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;55;55
WET_W_3_OP_H1;WET_W_3_H1;WET_W;WET_W_3;Handajega;WET;W;3;OP;H1;951;-2.277999;34.027678;2/16/2017;3/21/2017;33;152.53;The.tri;2.5;2.6;;10;;;;;7;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;42;45
WET_W_4_EX_H1;WET_W_4_H1;WET_W;WET_W_4;Handajega;WET;W;4;EX;H1;950;-2.278837;34.031884;2/16/2017;3/21/2017;33;152.53;The.tri;1.5;0.9;;17;;;;;;;18;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;60;70
WET_W_4_OP_H1;WET_W_4_H1;WET_W;WET_W_4;Handajega;WET;W;4;OP;H1;950;-2.278837;34.031884;2/16/2017;3/21/2017;33;152.53;The.tri;2.5;1.8;;15;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;55;65
WET_P_1_EX_H1;WET_P_1_H1;WET_P;WET_P_1;Mwantimba;WET;P;1;EX;H1;957;-2.350052;34.049976;2/17/2017;3/22/2017;33;161.6;Chr.ori;0.5;0.4;;;;0;;5;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6;7
WET_P_1_OP_H1;WET_P_1_H1;WET_P;WET_P_1;Mwantimba;WET;P;1;OP;H1;957;-2.350052;34.049976;2/17/2017;3/22/2017;33;161.6;Chr.ori;1;1;;;;0;;4;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;15;15
WET_P_2_EX_H1;WET_P_2_H1;WET_P;WET_P_2;Mwantimba;WET;P;2;EX;H1;959;-2.348488;34.05011;2/17/2017;3/22/2017;33;161.6;Chr.ori;0.5;0.6;;;;4;;2;;;;;;;;;;;8;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;15
WET_P_2_OP_H1;WET_P_2_H1;WET_P;WET_P_2;Mwantimba;WET;P;2;OP;H1;959;-2.348488;34.05011;2/17/2017;3/22/2017;33;161.6;Chr.ori;1;0.2;;;;0;;0;;;;;;;1;;;;5;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;6;7
WET_P_3_EX_H1;WET_P_3_H1;WET_P;WET_P_3;Mwantimba;WET;P;3;EX;H1;1022;-2.367293;34.062509;2/17/2017;3/22/2017;33;161.6;Chr.ori;1;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
WET_P_3_OP_H1;WET_P_3_H1;WET_P;WET_P_3;Mwantimba;WET;P;3;OP;H1;1022;-2.367293;34.062509;2/17/2017;3/22/2017;33;161.6;Chr.ori;1;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
WET_P_4_EX_H1;WET_P_4_H1;WET_P;WET_P_4;Mwantimba;WET;P;4;EX;H1;1020;-2.36857;34.062586;2/23/2017;3/22/2017;27;119.69;Chr.ori;;0.7;1;;;;;6;1;0;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;20;20
WET_P_4_OP_H1;WET_P_4_H1;WET_P;WET_P_4;Mwantimba;WET;P;4;OP;H1;1020;-2.36857;34.062586;2/23/2017;3/22/2017;27;119.69;Chr.ori;;0.4;1;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;15;15
DRY_W_1_EX_H1;DRY_W_1_H1;DRY_W;DRY_W_1;Maswa;DRY;W;1;EX;H1;995;-3.299332;34.848458;2/19/2017;3/24/2017;33;165.31;Cyn.dac;;1.8;;;;;;;;;;;;;;;;;;;;2;;5;2;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;27;20
DRY_W_1_EX2_H1;DRY_W_1_H1;DRY_W;DRY_W_1;Maswa;DRY;W;1;EX2;H1;995;-3.299332;34.848458;2/19/2017;3/25/2017;34;167.02;Cyn.dac;;1.2;;;;;;12;;;;;;;;;;;;;;1;;;4;1;8;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;40;30
DRY_W_1_OP_H1;DRY_W_1_H1;DRY_W;DRY_W_1;Maswa;DRY;W;1;OP;H1;995;-3.299332;34.848458;2/19/2017;3/24/2017;33;165.31;Cyn.dac;;0.4;;;;;;;;;;;;;;;;;;;;4;;;2;;8;2;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;37;35
DRY_W_2_EX_H1;DRY_W_2_H1;DRY_W;DRY_W_2;Maswa;DRY;W;2;EX;H1;980;-3.303268;34.847796;2/19/2017;3/24/2017;33;165.31;Cyn.dac;;0.4;;;;;;4;;;;;;;;;;;;;;5;;;12;;3;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;42;45
DRY_W_2_EX2_H1;DRY_W_2_H1;DRY_W;DRY_W_2;Maswa;DRY;W;2;EX2;H1;980;-3.303268;34.847796;2/19/2017;3/25/2017;34;167.02;Cyn.dac;;0.7;;;;;;;;;;;;;;;;;;;;7;;;20;2;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;50;50
DRY_W_2_OP_H1;DRY_W_2_H1;DRY_W;DRY_W_2;Maswa;DRY;W;2;OP;H1;980;-3.303268;34.847796;2/19/2017;3/24/2017;33;165.31;Cyn.dac;;1.1;;;;;;3;;;;;;;;;;;;;;5;;;10;2;5;1;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;34;60
DRY_W_3_EX_H1;DRY_W_3_H1;DRY_W;DRY_W_3;Maswa;DRY;W;3;EX;H1;998;-3.295645;34.852435;2/20/2017;3/24/2017;32;164.63;Cyn.dac;;0.6;;;;;;;;;;;;;;;;;;;;;;;10;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;25;25
DRY_W_3_EX2_H1;DRY_W_3_H1;DRY_W;DRY_W_3;Maswa;DRY;W;3;EX2;H1;998;-3.295645;34.852435;2/20/2017;3/25/2017;33;166.34;Cyn.dac;;0.2;;;;;;0;;;;;;;;;;;;;;0;;;25;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;37;40
DRY_W_3_OP_H1;DRY_W_3_H1;DRY_W;DRY_W_3;Maswa;DRY;W;3;OP;H1;998;-3.295645;34.852435;2/20/2017;3/24/2017;32;164.63;Cyn.dac;;0.3;1;;;;;;;;;;;;;;;;3;;;;;;15;;3;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;43;45
DRY_W_4_EX_H1;DRY_W_4_H1;DRY_W;DRY_W_4;Maswa;DRY;W;4;EX;H1;1000;-3.296013;34.854327;2/20/2017;3/25/2017;33;170.33;Cyn.dac;;0.2;;;;;;1;;;;;;;;;;;;;;1;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;30;30
DRY_W_4_EX2_H1;DRY_W_4_H1;DRY_W;DRY_W_4;Maswa;DRY;W;4;EX2;H1;1000;-3.296013;34.854327;2/20/2017;3/25/2017;33;170.33;Cyn.dac;;0.3;;;;;;;;;;;;;;;;;;;;;;;12;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;26;25
DRY_W_4_OP_H1;DRY_W_4_H1;DRY_W;DRY_W_4;Maswa;DRY;W;4;OP;H1;1000;-3.296013;34.854327;2/20/2017;3/25/2017;33;170.33;Cyn.dac;;0.5;;;;;;3;;;;;;;;;;;;;;4;;;14;7;1;6;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;45;45
DRY_P_1_EX_H1;DRY_P_1_H1;DRY_P;DRY_P_1;Makao;DRY;P;1;EX;H1;1009;-3.303212;34.847736;2/21/2017;3/26/2017;33;156.81;Chl.pyc;1.3;1.4;;;;;;;;;1;;;;;;;;2;;;4;;;;;2;;;3;;;;;;;;;;;29;8;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;55;55
DRY_P_1_OP_H1;DRY_P_1_H1;DRY_P;DRY_P_1;Makao;DRY;P;1;OP;H1;1009;-3.303212;34.847736;2/21/2017;3/26/2017;33;156.81;Chl.pyc;1.4;1.3;5;1;;;;;;;;;;;;;;;2;7;;;;;;;10;;;;;;;;;;;;;;15;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;50;50
DRY_P_2_EX_H1;DRY_P_2_H1;DRY_P;DRY_P_2;Makao;DRY;P;2;EX;H1;1006;-3.408426;34.850244;2/21/2017;3/26/2017;33;156.81;Chl.pyc;1;0.2;2;;;;;;;;;;;;;;;;;;;1;;;;;4;;;5;;;;1;;;;3;;;1;;;1;;;;;;;3;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;46;45
DRY_P_2_OP_H1;DRY_P_2_H1;DRY_P;DRY_P_2;Makao;DRY;P;2;OP;H1;1006;-3.408426;34.850244;2/21/2017;3/26/2017;33;156.81;Chl.pyc;0.8;1.1;;;2;;;;;;;;;;;;;;2;5;;4;;;;;2;;;5;;;;;;;;1;;;;;;1;;;;;;;;5;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;40;30
DRY_P_3_EX_H1;DRY_P_3_H1;DRY_P;DRY_P_3;Makao;DRY;P;3;EX;H1;1001;-3.406316;34.850407;2/20/2017;3/26/2017;34;176.82;Chl.pyc;1.7;1.5;15;;;;;;;;;;;;;;;;;2;;7;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;1;;2;4;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;55;55
DRY_P_3_OP_H1;DRY_P_3_H1;DRY_P;DRY_P_3;Makao;DRY;P;3;OP;H1;1001;-3.406316;34.850407;2/20/2017;3/26/2017;34;176.82;Chl.pyc;1.2;1.2;4;2;;;;;;;;;;;;;;;3;10;;;;;;;5;2;;;;;;;;;;;;;;;;;;;;20;;;;1;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;55;50
DRY_P_4_EX_H1;DRY_P_4_H1;DRY_P;DRY_P_4;Makao;DRY;P;4;EX;H1;1003;-3.406853;34.8516;2/20/2017;3/26/2017;34;176.82;Chl.pyc;1.5;1.9;2;;;;;;;;;;;;;3;;;5;10;;;;;;;4;;;;;;;;;;;;;1;;;1;;;1;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;46;45
