plot.id,block.id,rainfall,landuse,site,treatment,harvest,setup.date,harvest.date,date2,date3,rain.sum,zero.days,consec.NoRain.days
WET_W_2_EX_H1,WET_W_2,WET,W,2,EX,H1,16/02/2017,20/03/2017,20/03/2017,16/02/2017,145.6718075,4,3
WET_W_2_OP_H1,WET_W_2,WET,W,2,OP,H1,16/02/2017,20/03/2017,20/03/2017,16/02/2017,145.6718075,4,3
WET_W_3_EX_H1,WET_W_3,WET,W,3,EX,H1,16/02/2017,21/03/2017,21/03/2017,16/02/2017,152.5287964,4,3
WET_W_3_OP_H1,WET_W_3,WET,W,3,OP,H1,16/02/2017,21/03/2017,21/03/2017,16/02/2017,152.5287964,4,3
WET_W_4_EX_H1,WET_W_4,WET,W,4,EX,H1,16/02/2017,21/03/2017,21/03/2017,16/02/2017,152.5287964,4,3
WET_W_4_OP_H1,WET_W_4,WET,W,4,OP,H1,16/02/2017,21/03/2017,21/03/2017,16/02/2017,152.5287964,4,3
WET_P_1_EX_H1,WET_P_1,WET,P,1,EX,H1,17/02/2017,22/03/2017,22/03/2017,17/02/2017,161.5982631,5,2
WET_P_1_OP_H1,WET_P_1,WET,P,1,OP,H1,17/02/2017,22/03/2017,22/03/2017,17/02/2017,161.5982631,5,2
WET_P_2_EX_H1,WET_P_2,WET,P,2,EX,H1,17/02/2017,22/03/2017,22/03/2017,17/02/2017,161.5982631,5,2
WET_P_2_OP_H1,WET_P_2,WET,P,2,OP,H1,17/02/2017,22/03/2017,22/03/2017,17/02/2017,161.5982631,5,2
WET_P_3_EX_H1,WET_P_3,WET,P,3,EX,H1,17/02/2017,22/03/2017,22/03/2017,17/02/2017,161.5982631,5,2
WET_P_3_OP_H1,WET_P_3,WET,P,3,OP,H1,17/02/2017,22/03/2017,22/03/2017,17/02/2017,161.5982631,5,2
WET_P_4_EX_H1,WET_P_4,WET,P,4,EX,H1,23/02/2017,22/03/2017,22/03/2017,23/02/2017,119.6903966,5,3
WET_P_4_OP_H1,WET_P_4,WET,P,4,OP,H1,23/02/2017,22/03/2017,22/03/2017,23/02/2017,119.6903966,5,3
DRY_W_1_EX_H1,DRY_W_1,DRY,W,1,EX,H1,19/02/2017,24/03/2017,24/03/2017,19/02/2017,165.312109,8,2
DRY_W_1_EX2_H1,DRY_W_1,DRY,W,1,EX2,H1,19/02/2017,25/03/2017,25/03/2017,19/02/2017,167.0186233,8,2
DRY_W_1_OP_H1,DRY_W_1,DRY,W,1,OP,H1,19/02/2017,24/03/2017,24/03/2017,19/02/2017,165.312109,8,2
DRY_W_2_EX_H1,DRY_W_2,DRY,W,2,EX,H1,19/02/2017,24/03/2017,24/03/2017,19/02/2017,165.312109,8,2
DRY_W_2_EX2_H1,DRY_W_2,DRY,W,2,EX2,H1,19/02/2017,25/03/2017,25/03/2017,19/02/2017,167.0186233,8,2
DRY_W_2_OP_H1,DRY_W_2,DRY,W,2,OP,H1,19/02/2017,24/03/2017,24/03/2017,19/02/2017,165.312109,8,2
DRY_W_3_EX_H1,DRY_W_3,DRY,W,3,EX,H1,20/02/2017,24/03/2017,24/03/2017,20/02/2017,164.6329572,8,3
DRY_W_3_EX2_H1,DRY_W_3,DRY,W,3,EX2,H1,20/02/2017,25/03/2017,25/03/2017,20/02/2017,166.3394715,8,3
DRY_W_3_OP_H1,DRY_W_3,DRY,W,3,OP,H1,20/02/2017,24/03/2017,24/03/2017,20/02/2017,164.6329572,8,3
DRY_W_4_EX_H1,DRY_W_4,DRY,W,4,EX,H1,20/02/2017,25/03/2017,25/03/2017,20/02/2017,170.3338514,7,3
DRY_W_4_EX2_H1,DRY_W_4,DRY,W,4,EX2,H1,20/02/2017,25/03/2017,25/03/2017,20/02/2017,170.3338514,7,3
DRY_W_4_OP_H1,DRY_W_4,DRY,W,4,OP,H1,20/02/2017,25/03/2017,25/03/2017,20/02/2017,170.3338514,7,3
DRY_P_1_EX_H1,DRY_P_1,DRY,P,1,EX,H1,21/02/2017,26/03/2017,26/03/2017,21/02/2017,156.8064416,9,1
DRY_P_1_OP_H1,DRY_P_1,DRY,P,1,OP,H1,21/02/2017,26/03/2017,26/03/2017,21/02/2017,156.8064416,9,1
DRY_P_2_EX_H1,DRY_P_2,DRY,P,2,EX,H1,21/02/2017,26/03/2017,26/03/2017,21/02/2017,156.8064416,9,2
DRY_P_2_OP_H1,DRY_P_2,DRY,P,2,OP,H1,21/02/2017,26/03/2017,26/03/2017,21/02/2017,156.8064416,9,2
DRY_P_3_EX_H1,DRY_P_3,DRY,P,3,EX,H1,20/02/2017,26/03/2017,26/03/2017,20/02/2017,176.8158372,9,2
DRY_P_3_OP_H1,DRY_P_3,DRY,P,3,OP,H1,20/02/2017,26/03/2017,26/03/2017,20/02/2017,176.8158372,9,2
DRY_P_4_EX_H1,DRY_P_4,DRY,P,4,EX,H1,20/02/2017,26/03/2017,26/03/2017,20/02/2017,176.8158372,9,2
DRY_P_4_OP_H1,DRY_P_4,DRY,P,4,OP,H1,20/02/2017,26/03/2017,26/03/2017,20/02/2017,176.8158372,9,2
SE_1_EX_H1,SE_1,SE,W,1,EX,H1,26/02/2017,18/03/2017,18/03/2017,26/02/2017,84.86457834,4,3
SE_1_EX2_H1,SE_1,SE,W,1,EX2,H1,25/02/2017,18/03/2017,18/03/2017,25/02/2017,86.13972578,4,3
SE_1_OP_H1,SE_1,SE,W,1,OP,H1,25/02/2017,18/03/2017,18/03/2017,25/02/2017,86.13972578,4,3
SE_2_EX_H1,SE_2,SE,W,2,EX,H1,26/02/2017,18/03/2017,18/03/2017,26/02/2017,84.86457834,4,3
SE_2_EX2_H1,SE_2,SE,W,2,EX2,H1,25/02/2017,18/03/2017,18/03/2017,25/02/2017,86.13972578,4,3
SE_2_OP_H1,SE_2,SE,W,2,OP,H1,25/02/2017,18/03/2017,18/03/2017,25/02/2017,86.13972578,4,3
SE_3_EX_H1,SE_3,SE,W,3,EX,H1,26/02/2017,18/03/2017,18/03/2017,26/02/2017,84.86457834,4,3
SE_3_EX2_H1,SE_3,SE,W,3,EX2,H1,25/02/2017,18/03/2017,18/03/2017,25/02/2017,86.13972578,4,3
SE_3_OP_H1,SE_3,SE,W,3,OP,H1,25/02/2017,18/03/2017,18/03/2017,25/02/2017,86.13972578,4,3
SE_4_EX_H1,SE_4,SE,W,4,EX,H1,26/02/2017,18/03/2017,18/03/2017,26/02/2017,84.86457834,4,3
SE_4_EX2_H1,SE_4,SE,W,4,EX2,H1,25/02/2017,18/03/2017,18/03/2017,25/02/2017,86.13972578,4,3
SE_4_OP_H1,SE_4,SE,W,4,OP,H1,25/02/2017,18/03/2017,18/03/2017,25/02/2017,86.13972578,4,3
WET_W_1_EX_H2,WET_W_1,WET,W,1,EX,H2,20/03/2017,13/05/2017,13/05/2017,20/03/2017,217.8044596,18,8
WET_W_1_OP_H2,WET_W_1,WET,W,1,OP,H2,20/03/2017,13/05/2017,13/05/2017,20/03/2017,217.8044596,18,8
WET_W_2_EX_H2,WET_W_2,WET,W,2,EX,H2,20/03/2017,13/05/2017,13/05/2017,20/03/2017,217.8044596,18,8
WET_W_2_OP_H2,WET_W_2,WET,W,2,OP,H2,20/03/2017,13/05/2017,13/05/2017,20/03/2017,217.8044596,18,8
WET_W_3_EX_H2,WET_W_3,WET,W,3,EX,H2,21/03/2017,13/05/2017,13/05/2017,21/03/2017,213.7932563,18,8
WET_W_3_OP_H2,WET_W_3,WET,W,3,OP,H2,21/03/2017,13/05/2017,13/05/2017,21/03/2017,213.7932563,18,8
WET_W_4_EX_H2,WET_W_4,WET,W,4,EX,H2,21/03/2017,13/05/2017,13/05/2017,21/03/2017,213.7932563,18,9
WET_W_4_OP_H2,WET_W_4,WET,W,4,OP,H2,21/03/2017,13/05/2017,13/05/2017,21/03/2017,213.7932563,18,9
WET_P_1_EX_H2,WET_P_1,WET,P,1,EX,H2,22/03/2017,14/05/2017,14/05/2017,22/03/2017,222.9241108,18,7
WET_P_1_OP_H2,WET_P_1,WET,P,1,OP,H2,22/03/2017,14/05/2017,14/05/2017,22/03/2017,222.9241108,18,7
WET_P_2_EX_H2,WET_P_2,WET,P,2,EX,H2,22/03/2017,14/05/2017,14/05/2017,22/03/2017,222.9241108,18,7
WET_P_2_OP_H2,WET_P_2,WET,P,2,OP,H2,22/03/2017,14/05/2017,14/05/2017,22/03/2017,222.9241108,18,7
WET_P_3_EX_H2,WET_P_3,WET,P,3,EX,H2,22/03/2017,14/05/2017,14/05/2017,22/03/2017,222.9241108,18,8
WET_P_3_OP_H2,WET_P_3,WET,P,3,OP,H2,22/03/2017,14/05/2017,14/05/2017,22/03/2017,222.9241108,18,8
WET_P_4_EX_H2,WET_P_4,WET,P,4,EX,H2,22/03/2017,14/05/2017,14/05/2017,22/03/2017,222.9241108,18,8
WET_P_4_OP_H2,WET_P_4,WET,P,4,OP,H2,22/03/2017,14/05/2017,14/05/2017,22/03/2017,222.9241108,18,8
DRY_W_1_EX_H2,DRY_W_1,DRY,W,1,EX,H2,24/03/2017,11/05/2017,11/05/2017,24/03/2017,115.3342527,25,10
DRY_W_1_EX2_H2,DRY_W_1,DRY,W,1,EX2,H2,25/03/2017,11/05/2017,11/05/2017,25/03/2017,115.3342527,24,10
DRY_W_1_OP_H2,DRY_W_1,DRY,W,1,OP,H2,24/03/2017,11/05/2017,11/05/2017,24/03/2017,115.3342527,25,10
DRY_W_2_EX_H2,DRY_W_2,DRY,W,2,EX,H2,24/03/2017,11/05/2017,11/05/2017,24/03/2017,115.3342527,25,10
DRY_W_2_EX2_H2,DRY_W_2,DRY,W,2,EX2,H2,25/03/2017,11/05/2017,11/05/2017,25/03/2017,115.3342527,24,10
DRY_W_2_OP_H2,DRY_W_2,DRY,W,2,OP,H2,24/03/2017,11/05/2017,11/05/2017,24/03/2017,115.3342527,25,10
DRY_W_3_EX_H2,DRY_W_3,DRY,W,3,EX,H2,24/03/2017,11/05/2017,11/05/2017,24/03/2017,115.3342527,25,11
DRY_W_3_EX2_H2,DRY_W_3,DRY,W,3,EX2,H2,25/03/2017,11/05/2017,11/05/2017,25/03/2017,115.3342527,24,11
DRY_W_3_OP_H2,DRY_W_3,DRY,W,3,OP,H2,24/03/2017,11/05/2017,11/05/2017,24/03/2017,115.3342527,25,11
DRY_W_4_EX_H2,DRY_W_4,DRY,W,4,EX,H2,25/03/2017,11/05/2017,11/05/2017,25/03/2017,132.7109577,26,11
DRY_W_4_EX2_H2,DRY_W_4,DRY,W,4,EX2,H2,25/03/2017,11/05/2017,11/05/2017,25/03/2017,132.7109577,26,11
DRY_W_4_OP_H2,DRY_W_4,DRY,W,4,OP,H2,25/03/2017,11/05/2017,11/05/2017,25/03/2017,132.7109577,26,11
DRY_P_1_EX_H2,DRY_P_1,DRY,P,1,EX,H2,26/03/2017,09/05/2017,09/05/2017,26/03/2017,90.81671935,26,9
DRY_P_1_OP_H2,DRY_P_1,DRY,P,1,OP,H2,26/03/2017,09/05/2017,09/05/2017,26/03/2017,90.81671935,26,9
DRY_P_2_EX_H2,DRY_P_2,DRY,P,2,EX,H2,26/03/2017,09/05/2017,09/05/2017,26/03/2017,90.81671935,26,9
DRY_P_2_OP_H2,DRY_P_2,DRY,P,2,OP,H2,26/03/2017,09/05/2017,09/05/2017,26/03/2017,90.81671935,26,9
DRY_P_3_EX_H2,DRY_P_3,DRY,P,3,EX,H2,26/03/2017,09/05/2017,09/05/2017,26/03/2017,90.81671935,26,10
DRY_P_3_OP_H2,DRY_P_3,DRY,P,3,OP,H2,26/03/2017,09/05/2017,09/05/2017,26/03/2017,90.81671935,26,10
DRY_P_4_EX_H2,DRY_P_4,DRY,P,4,EX,H2,26/03/2017,09/05/2017,09/05/2017,26/03/2017,90.81671935,26,11
DRY_P_4_OP_H2,DRY_P_4,DRY,P,4,OP,H2,26/03/2017,09/05/2017,09/05/2017,26/03/2017,90.81671935,26,11
SE_1_EX_H2,SE_1,SE,W,1,EX,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,9
SE_1_EX2_H2,SE_1,SE,W,1,EX2,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,9
SE_1_OP_H2,SE_1,SE,W,1,OP,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,9
SE_2_EX_H2,SE_2,SE,W,2,EX,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,9
SE_2_EX2_H2,SE_2,SE,W,2,EX2,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,9
SE_2_OP_H2,SE_2,SE,W,2,OP,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,9
SE_3_EX_H2,SE_3,SE,W,3,EX,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,10
SE_3_EX2_H2,SE_3,SE,W,3,EX2,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,10
SE_3_OP_H2,SE_3,SE,W,3,OP,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,10
SE_4_EX_H2,SE_4,SE,W,4,EX,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,10
SE_4_EX2_H2,SE_4,SE,W,4,EX2,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,10
SE_4_OP_H2,SE_4,SE,W,4,OP,H2,18/03/2017,17/05/2017,17/05/2017,18/03/2017,136.4154895,35,10
WET_W_1_EX_H3,WET_W_1,WET,W,1,EX,H3,13/05/2017,24/07/2017,24/07/2017,13/05/2017,95.97168411,56,27
WET_W_1_OP_H3,WET_W_1,WET,W,1,OP,H3,13/05/2017,24/07/2017,24/07/2017,13/05/2017,95.97168411,56,27
WET_W_2_EX_H3,WET_W_2,WET,W,2,EX,H3,13/05/2017,24/07/2017,24/07/2017,13/05/2017,95.97168411,56,27
WET_W_2_OP_H3,WET_W_2,WET,W,2,OP,H3,13/05/2017,24/07/2017,24/07/2017,13/05/2017,95.97168411,56,27
WET_W_3_EX_H3,WET_W_3,WET,W,3,EX,H3,13/05/2017,24/07/2017,24/07/2017,13/05/2017,95.97168411,56,28
WET_W_3_OP_H3,WET_W_3,WET,W,3,OP,H3,13/05/2017,24/07/2017,24/07/2017,13/05/2017,95.97168411,56,28
WET_W_4_EX_H3,WET_W_4,WET,W,4,EX,H3,13/05/2017,24/07/2017,24/07/2017,13/05/2017,95.97168411,56,29
WET_W_4_OP_H3,WET_W_4,WET,W,4,OP,H3,13/05/2017,24/07/2017,24/07/2017,13/05/2017,95.97168411,56,29
WET_P_1_EX_H3,WET_P_1,WET,P,1,EX,H3,14/05/2017,23/07/2017,23/07/2017,14/05/2017,71.69629998,54,25
WET_P_1_OP_H3,WET_P_1,WET,P,1,OP,H3,14/05/2017,23/07/2017,23/07/2017,14/05/2017,71.69629998,54,25
WET_P_2_EX_H3,WET_P_2,WET,P,2,EX,H3,14/05/2017,23/07/2017,23/07/2017,14/05/2017,71.69629998,54,25
WET_P_2_OP_H3,WET_P_2,WET,P,2,OP,H3,14/05/2017,23/07/2017,23/07/2017,14/05/2017,71.69629998,54,25
WET_P_3_EX_H3,WET_P_3,WET,P,3,EX,H3,14/05/2017,23/07/2017,23/07/2017,14/05/2017,71.69629998,54,26
WET_P_3_OP_H3,WET_P_3,WET,P,3,OP,H3,14/05/2017,23/07/2017,23/07/2017,14/05/2017,71.69629998,54,26
WET_P_4_EX_H3,WET_P_4,WET,P,4,EX,H3,14/05/2017,23/07/2017,23/07/2017,14/05/2017,71.69629998,54,27
WET_P_4_OP_H3,WET_P_4,WET,P,4,OP,H3,14/05/2017,23/07/2017,23/07/2017,14/05/2017,71.69629998,54,27
DRY_W_1_EX_H3,DRY_W_1,DRY,W,1,EX,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,9.600000233,69,32
DRY_W_1_EX2_H3,DRY_W_1,DRY,W,1,EX2,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,9.600000233,69,32
DRY_W_1_OP_H3,DRY_W_1,DRY,W,1,OP,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,9.600000233,69,32
DRY_W_2_EX_H3,DRY_W_2,DRY,W,2,EX,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,9.600000233,69,33
DRY_W_2_EX2_H3,DRY_W_2,DRY,W,2,EX2,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,9.600000233,69,33
DRY_W_2_OP_H3,DRY_W_2,DRY,W,2,OP,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,9.600000233,69,33
DRY_W_3_EX_H3,DRY_W_3,DRY,W,3,EX,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,9.600000233,69,34
DRY_W_3_EX2_H3,DRY_W_3,DRY,W,3,EX2,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,9.600000233,69,34
DRY_W_3_OP_H3,DRY_W_3,DRY,W,3,OP,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,9.600000233,69,34
DRY_W_4_EX_H3,DRY_W_4,DRY,W,4,EX,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,16.5750003,66,33
DRY_W_4_EX2_H3,DRY_W_4,DRY,W,4,EX2,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,16.5750003,66,33
DRY_W_4_OP_H3,DRY_W_4,DRY,W,4,OP,H3,11/05/2017,21/07/2017,21/07/2017,11/05/2017,16.5750003,66,33
DRY_P_1_EX_H3,DRY_P_1,DRY,P,1,EX,H3,09/05/2017,22/07/2017,22/07/2017,09/05/2017,6.674999863,72,28
DRY_P_1_OP_H3,DRY_P_1,DRY,P,1,OP,H3,09/05/2017,22/07/2017,22/07/2017,09/05/2017,6.674999863,72,28
DRY_P_2_EX_H3,DRY_P_2,DRY,P,2,EX,H3,09/05/2017,22/07/2017,22/07/2017,09/05/2017,6.674999863,72,29
DRY_P_2_OP_H3,DRY_P_2,DRY,P,2,OP,H3,09/05/2017,22/07/2017,22/07/2017,09/05/2017,6.674999863,72,29
DRY_P_3_EX_H3,DRY_P_3,DRY,P,3,EX,H3,09/05/2017,22/07/2017,22/07/2017,09/05/2017,6.674999863,72,30
DRY_P_3_OP_H3,DRY_P_3,DRY,P,3,OP,H3,09/05/2017,22/07/2017,22/07/2017,09/05/2017,6.674999863,72,30
DRY_P_4_EX_H3,DRY_P_4,DRY,P,4,EX,H3,09/05/2017,22/07/2017,22/07/2017,09/05/2017,6.674999863,72,31
DRY_P_4_OP_H3,DRY_P_4,DRY,P,4,OP,H3,09/05/2017,22/07/2017,22/07/2017,09/05/2017,6.674999863,72,31
SE_1_EX_H3,SE_1,SE,W,1,EX,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,26
SE_1_EX2_H3,SE_1,SE,W,1,EX2,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,26
SE_1_OP_H3,SE_1,SE,W,1,OP,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,26
SE_2_EX_H3,SE_2,SE,W,2,EX,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,27
SE_2_EX2_H3,SE_2,SE,W,2,EX2,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,27
SE_2_OP_H3,SE_2,SE,W,2,OP,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,27
SE_3_EX_H3,SE_3,SE,W,3,EX,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,28
SE_3_EX2_H3,SE_3,SE,W,3,EX2,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,28
SE_3_OP_H3,SE_3,SE,W,3,OP,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,28
SE_4_EX_H3,SE_4,SE,W,4,EX,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,28
SE_4_EX2_H3,SE_4,SE,W,4,EX2,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,28
SE_4_OP_H3,SE_4,SE,W,4,OP,H3,17/05/2017,26/07/2017,26/07/2017,17/05/2017,65.34465349,52,28
WET_W_1_EX_H4,WET_W_1,WET,W,1,EX,H4,24/07/2017,01/10/2017,01/10/2017,24/07/2017,162.6342073,34,14
