Season;Plot;Site;Region;Landuse;Block;Blockcode;Treatment;Green tea code;Red tea code;Initial weight green tea including bag, cord and label;Initial weight red tea including bag, cord, and label;Initial weight green tea tea only;Ashed subsample percentage controll initial green tea tea only;Ashed initial corrected weight green tea tea only;Initial weight red tea tea only;Ashed subsample percentage controll initiall red tea tea only;Ashed Initial corrected weight red tea tea only;Final weight green tea including bag and cord, no label;Final weight red tea including bag and cord, no label;Final weight green tea tea only;Final weight red tea tea only;Ashed subsample percentage green tea;Ashed subsample percentage red tea;Ashed final weight green tea tea only;Ashed final weight red tea tea only;Fraction decomposed green tea (ag) ;Fraction decomposed green tea (ag) ASH CORRECTED;Predicted labile fraction red tea (ar) KEUSHAMP;Predicted labile fraction red tea (ar) MUELLER; Fraction remaining red tea (Wt); Fraction remaining red tea (Wt) ASH CORRECTED;Date of burial;Recovery date;incubation time      red and green tea (t);S (Keushamp);K (Keushamp);S (Mueller);K (Mueller);Sign of termite cheeting on red tea;Sign of hole(s) on red tea;Sign of roots on red tea;Sign of termite cheeting on green tea;Sign of hole(s) on green tea;Sign of roots on green tea;Massloss (g) Green tea ;Massloss (g) Ash corrected Green tea;Massloss (g) Red tea ;Massloss (g) Ash corrected Red tea;;;;;;;;Keushamp;P.Mueller et al.
Wet;26;Makao;Dry;Agriculture;4;Dry_Ag4_T2;Open;G651;R148;1,97;2,149;1,7202;5,509415873;1,625427028;1,8992;2,281664727;1,855866624;0,7758;1,5741;0,6252;1,4235;12,512;3,347;0,547;1,376;0,637;0,663489288;0,417313238;0,461211607;0,749526116;0,724442075;01.02.2017;24.03.2017;51;0,243997756;0,017976583;0,31773431;0,015357698;;;;;;YES;1,095;1,078453421;0,4757;0,480006234;;;;;;;;;
Wet;27;Makao;Dry;Agriculture;4;Dry_Ag4_T3;Open;G583;R112;2,183;2,261;1,9332;5,509415873;1,826691972;2,0112;2,281664727;1,965311159;0,6617;1,3584;0,5111;1,2078;12,757;6,111;0,446;1,134;0,736;0,75589698;0,482258994;0,532989192;0,600536993;0,563840746;01.02.2017;24.03.2017;51;0,126342402;0,034551014;0,21155445;0,027141246;;;;;;;1,4221;1,380790946;0,8034;0,831314651;;;;;;;;;
Wet;28;Makao;Dry;Agriculture;4;Dry_Ag4_T4;Open;G702;R436;2,109;2,224;1,8592;5,509415873;1,75676894;1,9742;2,281664727;1,929155375;0,737;1,5295;0,5864;1,3789;10,711;4,175;0,524;1,321;0,685;0,701957332;0,448808468;0,496019909;0,698460136;0,669299772;01.02.2017;24.03.2017;51;0,186941182;0,021849766;0,266242739;0,018358559;;;;;;;1,2728;1,233176837;0,5953;0,607823765;;;;;;;;;
Wet;29;Makao;Dry;Agriculture;4;Dry_Ag4_T5;Open;G838;R386;2,037;2,231;1,7872;5,509415873;1,68873572;1,9812;2,281664727;1,935995658;0,7083;1,5941;0,5577;1,4435;8,240;10,998;0,512;1,285;0,688;0,69696671;0,451006046;0,498448656;0,728598829;0,648470685;01.02.2017;24.03.2017;51;0,182960062;0,018053362;0,262649917;0,015418459;;YES;YES;;;YES;1,2295;1,176992578;0,5377;0,651245537;;;;;;;;;
Wet;30;Makao;Dry;Agriculture;4;Dry_Ag4_T6;Open;G518;R507;1,995;2,192;1,7452;5,509415873;1,649049674;1,9422;2,281664727;1,897885508;0,682;1,3523;0,5314;1,2017;11,010;4,821;0,473;1,144;0,696;0,713231862;0,455962278;0,503926249;0,618731336;0,588901843;01.02.2017;24.03.2017;51;0,17398138;0,035470892;0,254546969;0,027706536;;;YES;;;YES;1,2138;1,17615477;0,7405;0,754120349;;;;;;;;;
Wet;31;Makao;Dry;Agriculture;4;Dry_Ag4_T7;Open;G404;R141;2,113;2,203;1,8632;5,509415873;1,760548563;1,9532;2,281664727;1,908634525;0,7535;1,3197;0,6029;1,1691;13,930;5,550;0,519;1,104;0,676;0,705253591;0,44344672;0,490094144;0,598556215;0,565335471;01.02.2017;24.03.2017;51;0,196654493;0,046212513;0,275008663;0,0335274;;;YES;;;YES;1,2603;1,241633197;0,7841;0,804421282;;;;;;;;;
Wet;32;Makao;Dry;Agriculture;4;Dry_Ag4_T8;Open;G527;R396;1,913;2,14;1,6632;5,509415873;1,571567395;1,8902;2,281664727;1,847071973;0,6644;1,3464;0,5138;1,1958;8,492;7,576;0,470;1,105;0,691;0,700826938;0,453057895;0,500716345;0,632631468;0,584700186;01.02.2017;24.03.2017;51;0,179242944;0,032652769;0,259295347;0,025942724;;;YES;;;YES;1,1494;1,101396766;0,6944;0,741871682;;;;;;;;;
Wet;33;Makao;Dry;Pasture;1;Dry_P1_T1;Open;G366;R109;2,107;2,209;1,8572;5,509415873;1,754879128;1,9592;2,281664727;1,914497625;0,767;0,415;0,6164;0,2644;9,367;;0,559;;0,668;0,68165301;0,437995951;0,484069993;0,134953042;;30.01.2017;26.03.2017;55;0,206529074;;0,283920129;;YES;YES;;;;YES;1,2408;1,19621864;1,6948;;;;;;;;;;
Wet;34;Makao;Dry;Pasture;1;Dry_P1_T2;Open;G516;R153;2,116;2,22;1,8662;5,509415873;1,763383281;1,9702;2,281664727;1,925246642;0,8727;0,3452;0,7221;0,1946;39,314;;0,438;;0,613;0,751493179;0,401913678;0,444192123;0,098771698;;30.01.2017;26.03.2017;55;0,27189551;;0,342911061;;YES;YES;;YES;YES;YES;1,1441;1,325170508;1,7756;;;;;;;;;;
Wet;35;Makao;Dry;Pasture;1;Dry_P1_T3;Open;G670;R64;2,095;2,288;1,8452;5,509415873;1,743540258;2,0382;2,281664727;1,99169511;0,817;1,615;0,6664;1,4644;18,586;5,305;0,543;1,387;0,639;0,688825951;0,418816388;0,462872877;0,718477088;0,680365336;30.01.2017;26.03.2017;55;0,241274659;0,020278397;0,315276809;0,017036796;;;;;;;1,1788;1,200995777;0,5738;0,604974481;;;;;;;;;
