Plot,Area,Region,Sitecode,site,experiment,landuse,placement,Season,date,time,temperature.C,moist
43,Makao,Dry,Dry_P2_T3,P2,Main,pasture,placement,Dry,22/07/2017,10:20,23.7,1.4
44,Makao,Dry,Dry_P2_T4,P2,Main,pasture,placement,Dry,22/07/2017,10:30,25.3,2.9
45,Makao,Dry,Dry_P2_T5,P2,Main,pasture,placement,Dry,22/07/2017,10:30,26.8,5.8
46,Makao,Dry,Dry_P2_T6,P2,Main,pasture,placement,Dry,,,,
47,Makao,Dry,Dry_P2_T7,P2,Main,pasture,placement,Dry,22/07/2017,10:35,25.1,6.4
48,Makao,Dry,Dry_P2_T8,P2,Main,pasture,placement,Dry,22/07/2017,10:30,24.6,3.6
49,Makao,Dry,Dry_P3_T1,P3,Main,pasture,placement,Dry,22/07/2017,12:15,28.6,6.3
50,Makao,Dry,Dry_P3_T2,P3,Main,pasture,placement,Dry,22/07/2017,12:15,27.6,6.4
51,Makao,Dry,Dry_P3_T3,P3,Main,pasture,placement,Dry,22/07/2017,12:10,34,3.2
52,Makao,Dry,Dry_P3_T4,P3,Main,pasture,placement,Dry,22/07/2017,12:20,28.2,8.6
53,Makao,Dry,Dry_P3_T5,P3,Main,pasture,placement,Dry,22/07/2017,12:25,27.3,8.9
54,Makao,Dry,Dry_P3_T6,P3,Main,pasture,placement,Dry,,,,
55,Makao,Dry,Dry_P3_T7,P3,Main,pasture,placement,Dry,22/07/2017,12:15,28.3,4.6
56,Makao,Dry,Dry_P3_T8,P3,Main,pasture,placement,Dry,22/07/2017,12:10,27.7,9.1
57,Makao,Dry,Dry_P4_T1,P4,Main,pasture,placement,Dry,22/07/2017,13:05,32.6,6.2
58,Makao,Dry,Dry_P4_T2,P4,Main,pasture,placement,Dry,22/07/2017,13:10,31.1,9.6
59,Makao,Dry,Dry_P4_T3,P4,Main,pasture,placement,Dry,22/07/2017,13:15,31.6,7.6
60,Makao,Dry,Dry_P4_T4,P4,Main,pasture,placement,Dry,22/07/2017,13:20,33.1,7.4
61,Makao,Dry,Dry_P4_T5,P4,Main,pasture,placement,Dry,22/07/2017,13:25,33,4.9
62,Makao,Dry,Dry_P4_T6,P4,Main,pasture,placement,Dry,,,,
63,Makao,Dry,Dry_P4_T7,P4,Main,pasture,placement,Dry,22/07/2017,13:10,30.5,4.7
64,Makao,Dry,Dry_P4_T8,P4,Main,pasture,placement,Dry,22/07/2017,13:20,30.4,3.5
65,Maswa,Dry,Dry_W1_T1,W1,Main,wild,placement,Dry,21/07/2017,12:05,27.1,11.5
66,Maswa,Dry,Dry_W1_T2,W1,Main,wild,placement,Dry,21/07/2017,11:55,21.3,11.3
67,Maswa,Dry,Dry_W1_T3,W1,Main,wild,placement,Dry,,,,
68,Maswa,Dry,Dry_W1_T4,W1,Main,wild,placement,Dry,21/07/2017,11:55,25.6,7.9
69,Maswa,Dry,Dry_W1_T5,W1,Main,wild,placement,Dry,21/07/2017,12:05,25,7.6
70,Maswa,Dry,Dry_W1_T6,W1,Main,wild,placement,Dry,21/07/2017,12:00,25.8,10.2
71,Maswa,Dry,Dry_W1_T7,W1,Main,wild,placement,Dry,21/07/2017,11:50,26.8,8.8
72,Maswa,Dry,Dry_W1_T8,W1,Main,wild,placement,Dry,21/07/2017,11:50,25.6,9.2
73,Maswa,Dry,Dry_W2_T1,W2,Main,wild,placement,Dry,21/07/2017,15:55,27.8,10.4
74,Maswa,Dry,Dry_W2_T2,W2,Main,wild,placement,Dry,21/07/2017,15:50,27.3,10.8
75,Maswa,Dry,Dry_W2_T3,W2,Main,wild,placement,Dry,21/07/2017,15:50,25.1,13
76,Maswa,Dry,Dry_W2_T4,W2,Main,wild,placement,Dry,21/07/2017,15:45,27.5,11.2
77,Maswa,Dry,Dry_W2_T5,W2,Main,wild,placement,Dry,,,,
78,Maswa,Dry,Dry_W2_T6,W2,Main,wild,placement,Dry,21/07/2017,15:55,27.1,13.2
79,Maswa,Dry,Dry_W2_T7,W2,Main,wild,placement,Dry,21/07/2017,16:00,23.8,7.5
80,Maswa,Dry,Dry_W2_T8,W2,Main,wild,placement,Dry,21/07/2017,15:50,26.5,12.4
81,Maswa,Dry,Dry_W3_T1,W3,Main,wild,placement,Dry,21/07/2017,07:55,24.9,11.3
82,Maswa,Dry,Dry_W3_T2,W3,Main,wild,placement,Dry,21/07/2017,07:40,24.2,10.7
83,Maswa,Dry,Dry_W3_T3,W3,Main,wild,placement,Dry,21/07/2017,07:30,23.8,11.1
84,Maswa,Dry,Dry_W3_T4,W3,Main,wild,placement,Dry,21/07/2017,07:40,24.9,8.8
85,Maswa,Dry,Dry_W3_T5,W3,Main,wild,placement,Dry,,,,
86,Maswa,Dry,Dry_W3_T6,W3,Main,wild,placement,Dry,21/07/2017,07:30,25.8,13.4
87,Maswa,Dry,Dry_W3_T7,W3,Main,wild,placement,Dry,21/07/2017,07:50,21.6,11.3
88,Maswa,Dry,Dry_W3_T8,W3,Main,wild,placement,Dry,21/07/2017,07:45,24.7,11.1
89,Maswa,Dry,Dry_W4_T1,W4,Main,wild,placement,Dry,21/07/2017,09:50,25.2,11.6
90,Maswa,Dry,Dry_W4_T2,W4,Main,wild,placement,Dry,21/07/2017,10:00,24.9,9.7
91,Maswa,Dry,Dry_W4_T3,W4,Main,wild,placement,Dry,21/07/2017,09:55,24,11.5
92,Maswa,Dry,Dry_W4_T4,W4,Main,wild,placement,Dry,21/07/2017,10:00,24.4,7.5
93,Maswa,Dry,Dry_W4_T5,W4,Main,wild,placement,Dry,21/07/2017,10:05,24.8,10.5
94,Maswa,Dry,Dry_W4_T6,W4,Main,wild,placement,Dry,,,,
95,Maswa,Dry,Dry_W4_T7,W4,Main,wild,placement,Dry,21/07/2017,10:00,25.9,9.1
96,Maswa,Dry,Dry_W4_T8,W4,Main,wild,placement,Dry,21/07/2017,10:00,23.6,3.3
97,Mwantimba,Wet,Wet_Ag1_T1,A1,Main,agriculture,placement,Dry,23/07/2017,13:45,29.1,5.6
98,Mwantimba,Wet,Wet_Ag1_T2,A1,Main,agriculture,placement,Dry,23/07/2017,13:45,30.1,5.4
99,Mwantimba,Wet,Wet_Ag1_T3,A1,Main,agriculture,placement,Dry,,,,
100,Mwantimba,Wet,Wet_Ag1_T4,A1,Main,agriculture,placement,Dry,23/07/2017,13:50,31.3,5.5
101,Mwantimba,Wet,Wet_Ag1_T5,A1,Main,agriculture,placement,Dry,23/07/2017,13:50,31.2,6
102,Mwantimba,Wet,Wet_Ag1_T6,A1,Main,agriculture,placement,Dry,23/07/2017,13:40,30.1,5.8
103,Mwantimba,Wet,Wet_Ag1_T7,A1,Main,agriculture,placement,Dry,23/07/2017,13:40,30.2,52
104,Mwantimba,Wet,Wet_Ag1_T8,A1,Main,agriculture,placement,Dry,23/07/2017,13:50,28.6,7.6
105,Mwantimba,Wet,Wet_Ag2_T1,A2,Main,agriculture,placement,Dry,23/07/2017,14:00,32.8,5.7
106,Mwantimba,Wet,Wet_Ag2_T2,A2,Main,agriculture,placement,Dry,23/07/2017,14:00,31.1,5.7
107,Mwantimba,Wet,Wet_Ag2_T3,A2,Main,agriculture,placement,Dry,23/07/2017,14:00,31.3,5.6
108,Mwantimba,Wet,Wet_Ag2_T4,A2,Main,agriculture,placement,Dry,23/07/2017,13:55,33.7,5.5
109,Mwantimba,Wet,Wet_Ag2_T5,A2,Main,agriculture,placement,Dry,23/07/2017,13:55,32.4,5.1
110,Mwantimba,Wet,Wet_Ag2_T6,A2,Main,agriculture,placement,Dry,23/07/2017,14:00,32.7,5.9
111,Mwantimba,Wet,Wet_Ag2_T7,A2,Main,agriculture,placement,Dry,23/07/2017,14:05,31.2,7.1
112,Mwantimba,Wet,Wet_Ag2_T8,A2,Main,agriculture,placement,Dry,,,,
113,Mwantimba,Wet,Wet_Ag3_T1,A3,Main,agriculture,placement,Dry,23/07/2017,,26.8,5.8
114,Mwantimba,Wet,Wet_Ag3_T2,A3,Main,agriculture,placement,Dry,23/07/2017,,26.6,7.2
115,Mwantimba,Wet,Wet_Ag3_T3,A3,Main,agriculture,placement,Dry,23/07/2017,,27,4
116,Mwantimba,Wet,Wet_Ag3_T4,A3,Main,agriculture,placement,Dry,23/07/2017,,28.7,5.8
117,Mwantimba,Wet,Wet_Ag3_T5,A3,Main,agriculture,placement,Dry,23/07/2017,,27.6,5.6
118,Mwantimba,Wet,Wet_Ag3_T6,A3,Main,agriculture,placement,Dry,23/07/2017,,26.8,5.3
119,Mwantimba,Wet,Wet_Ag3_T7,A3,Main,agriculture,placement,Dry,23/07/2017,07:15,26.4,9.1
120,Mwantimba,Wet,Wet_Ag3_T8,A3,Main,agriculture,placement,Dry,,,,
121,Mwantimba,Wet,Wet_Ag4_T1,A4,Main,agriculture,placement,Dry,23/07/2017,07:50,26.7,3.7
122,Mwantimba,Wet,Wet_Ag4_T2,A4,Main,agriculture,placement,Dry,23/07/2017,,26.8,3.8
123,Mwantimba,Wet,Wet_Ag4_T3,A4,Main,agriculture,placement,Dry,23/07/2017,,25.9,7.8
124,Mwantimba,Wet,Wet_Ag4_T4,A4,Main,agriculture,placement,Dry,23/07/2017,,28.1,6.7
125,Mwantimba,Wet,Wet_Ag4_T5,A4,Main,agriculture,placement,Dry,23/07/2017,,27.5,4.2
126,Mwantimba,Wet,Wet_Ag4_T6,A4,Main,agriculture,placement,Dry,,,,
127,Mwantimba,Wet,Wet_Ag4_T7,A4,Main,agriculture,placement,Dry,23/07/2017,,27.5,5.8
128,Mwantimba,Wet,Wet_Ag4_T8,A4,Main,agriculture,placement,Dry,23/07/2017,,26.3,3
129,Mwantimba,Wet,Wet_P1_T1,P1,Main,pasture,placement,Dry,23/07/2017,11:00,30.5,6.1
130,Mwantimba,Wet,Wet_P1_T2,P1,Main,pasture,placement,Dry,23/07/2017,11:00,29.8,5.5
131,Mwantimba,Wet,Wet_P1_T3,P1,Main,pasture,placement,Dry,23/07/2017,11:05,29,5.5
132,Mwantimba,Wet,Wet_P1_T4,P1,Main,pasture,placement,Dry,,,,
133,Mwantimba,Wet,Wet_P1_T5,P1,Main,pasture,placement,Dry,23/07/2017,11:10,33.7,5.9
134,Mwantimba,Wet,Wet_P1_T6,P1,Main,pasture,placement,Dry,23/07/2017,11:10,29.8,5.5
135,Mwantimba,Wet,Wet_P1_T7,P1,Main,pasture,placement,Dry,23/07/2017,11:00,34.4,5.3
136,Mwantimba,Wet,Wet_P1_T8,P1,Main,pasture,placement,Dry,23/07/2017,11:10,30.7,5.3
137,Mwantimba,Wet,Wet_P2_T1,P2,Main,pasture,placement,Dry,23/07/2017,08:40,26.5,5.7
138,Mwantimba,Wet,Wet_P2_T2,P2,Main,pasture,placement,Dry,23/07/2017,08:40,28.7,5
139,Mwantimba,Wet,Wet_P2_T3,P2,Main,pasture,placement,Dry,23/07/2017,08:40,27.3,5.3
140,Mwantimba,Wet,Wet_P2_T4,P2,Main,pasture,placement,Dry,23/07/2017,08:45,25.4,5.3
141,Mwantimba,Wet,Wet_P2_T5,P2,Main,pasture,placement,Dry,,,,
142,Mwantimba,Wet,Wet_P2_T6,P2,Main,pasture,placement,Dry,23/07/2017,09:10,27,6.2
143,Mwantimba,Wet,Wet_P2_T7,P2,Main,pasture,placement,Dry,23/07/2017,09:15,27.2,6.3
144,Mwantimba,Wet,Wet_P2_T8,P2,Main,pasture,placement,Dry,23/07/2017,09:15,27.8,2.9
145,Mwantimba,Wet,Wet_P3_T1,P3,Main,pasture,placement,Dry,23/07/2017,15:05,31.2,5.6
146,Mwantimba,Wet,Wet_P3_T2,P3,Main,pasture,placement,Dry,23/07/2017,15:10,34.1,2.6
147,Mwantimba,Wet,Wet_P3_T3,P3,Main,pasture,placement,Dry,23/07/2017,15:00,32.2,5
148,Mwantimba,Wet,Wet_P3_T4,P3,Main,pasture,placement,Dry,23/07/2017,15:05,34.2,4.6
149,Mwantimba,Wet,Wet_P3_T5,P3,Main,pasture,placement,Dry,23/07/2017,15:05,34.3,5.2
150,Mwantimba,Wet,Wet_P3_T6,P3,Main,pasture,placement,Dry,23/07/2017,15:10,34.1,4.3
151,Mwantimba,Wet,Wet_P3_T7,P3,Main,pasture,placement,Dry,,,,
152,Mwantimba,Wet,Wet_P3_T8,P3,Main,pasture,placement,Dry,23/07/2017,15:10,30.9,6.4
153,Mwantimba,Wet,Wet_P4_T1,P4,Main,pasture,placement,Dry,23/07/2017,14:40,35.5,4.9
154,Mwantimba,Wet,Wet_P4_T2,P4,Main,pasture,placement,Dry,23/07/2017,14:40,32.9,3.8
155,Mwantimba,Wet,Wet_P4_T3,P4,Main,pasture,placement,Dry,23/07/2017,14:40,31.2,4.9
156,Mwantimba,Wet,Wet_P4_T4,P4,Main,pasture,placement,Dry,23/07/2017,14:30,32.2,4.7
157,Mwantimba,Wet,Wet_P4_T5,P4,Main,pasture,placement,Dry,23/07/2017,14:30,31.3,5.6
158,Mwantimba,Wet,Wet_P4_T6,P4,Main,pasture,placement,Dry,23/07/2017,14:25,35.7,6.9
159,Mwantimba,Wet,Wet_P4_T7,P4,Main,pasture,placement,Dry,,,,
160,Mwantimba,Wet,Wet_P4_T8,P4,Main,pasture,placement,Dry,23/07/2017,14:35,29.8,6.1
161,Handajega,Wet,Wet_W1_T1,W1,Main,agriculture,placement,Dry,24/07/2017,12:20,33.3,3.6
162,Handajega,Wet,Wet_W1_T2,W1,Main,agriculture,placement,Dry,24/07/2017,12:20,33.2,4.6
163,Handajega,Wet,Wet_W1_T3,W1,Main,agriculture,placement,Dry,24/07/2017,12:20,35.4,4
164,Handajega,Wet,Wet_W1_T4,W1,Main,agriculture,placement,Dry,24/07/2017,12:25,33.1,3.2
165,Handajega,Wet,Wet_W1_T5,W1,Main,pasture,placement,Dry,24/07/2017,12:30,33.6,3.7
166,Handajega,Wet,Wet_W1_T6,W1,Main,pasture,placement,Dry,24/07/2017,12:35,38.7,5.1
167,Handajega,Wet,Wet_W1_T7,W1,Main,pasture,placement,Dry,,,,
168,Handajega,Wet,Wet_W1_T8,W1,Main,pasture,placement,Dry,24/07/2017,12:30,32,5
169,Handajega,Wet,Wet_W2_T1,W2,Main,wild,placement,Dry,24/07/2017,13:45,38.6,5.6
170,Handajega,Wet,Wet_W2_T2,W2,Main,wild,placement,Dry,24/07/2017,13:50,37,5
171,Handajega,Wet,Wet_W2_T3,W2,Main,wild,placement,Dry,24/07/2017,13:35,35.1,4.5
172,Handajega,Wet,Wet_W2_T4,W2,Main,wild,placement,Dry,,,,
173,Handajega,Wet,Wet_W2_T5,W2,Main,agriculture,placement,Dry,24/07/2017,13:45,37.2,4.5
174,Handajega,Wet,Wet_W2_T6,W2,Main,agriculture,placement,Dry,24/07/2017,13:40,37,4.6
175,Handajega,Wet,Wet_W2_T7,W2,Main,agriculture,placement,Dry,24/07/2017,13:30,37.1,4.1
176,Handajega,Wet,Wet_W2_T8,W2,Main,agriculture,placement,Dry,24/07/2017,13:30,37.4,3.7
177,Handajega,Wet,Wet_W3_T1,W3,Main,pasture,placement,Dry,24/07/2017,15:30,36.1,3.8
178,Handajega,Wet,Wet_W3_T2,W3,Main,pasture,placement,Dry,24/07/2017,15:25,37.9,6.2
179,Handajega,Wet,Wet_W3_T3,W3,Main,pasture,placement,Dry,24/07/2017,15:25,35.9,8.6
180,Handajega,Wet,Wet_W3_T4,W3,Main,pasture,placement,Dry,24/07/2017,15:20,28.4,2.9
181,Handajega,Wet,Wet_W3_T5,W3,Main,wild,placement,Dry,24/07/2017,15:30,36.8,4.2
182,Handajega,Wet,Wet_W3_T6,W3,Main,wild,placement,Dry,24/07/2017,15:35,38.1,5.5
183,Handajega,Wet,Wet_W3_T7,W3,Main,wild,placement,Dry,,,,
184,Handajega,Wet,Wet_W3_T8,W3,Main,wild,placement,Dry,24/07/2017,,28.3,4.3
185,Handajega,Wet,Wet_W4_T1,W4,Main,wild,placement,Dry,24/07/2017,16:30,36,4.4
186,Handajega,Wet,Wet_W4_T2,W4,Main,wild,placement,Dry,24/07/2017,16:30,36.9,4.4
187,Handajega,Wet,Wet_W4_T3,W4,Main,wild,placement,Dry,24/07/2017,17:00,35.1,3.5
188,Handajega,Wet,Wet_W4_T4,W4,Main,wild,placement,Dry,24/07/2017,16:40,35.1,6.3
189,Handajega,Wet,Wet_W4_T5,W4,Main,wild,placement,Dry,24/07/2017,16:50,35.1,5.8
190,Handajega,Wet,Wet_W4_T6,W4,Main,wild,placement,Dry,24/07/2017,16:45,35.8,5.7
191,Handajega,Wet,Wet_W4_T7,W4,Main,wild,placement,Dry,24/07/2017,16:35,36.9,5.4
192,Handajega,Wet,Wet_W4_T8,W4,Main,wild,placement,Dry,,,,
193,Makao,Dry,Dry_Ag1_CG4,3,CG,wild,placement,Dry,26/07/2017,15:35,29.2,4.4
194,Makao,Dry,Dry_Ag2_CG3,6,CG,wild,placement,Dry,26/07/2017,15:30,32.8,6
195,Makao,Dry,Dry_Ag3_CG2,4,CG,wild,placement,Dry,26/07/2017,15:20,29.1,9.9
196,Makao,Dry,Dry_Ag4_CG1,4,CG,wild,placement,Dry,26/07/2017,15:10,26.2,9.9
197,Makao,Dry,Dry_P1_CG2,1,CG,wild,placement,Dry,26/07/2017,15:15,29.6,5.7
198,Makao,Dry,Dry_P2_CG3,2,CG,wild,placement,Dry,26/07/2017,15:25,32.1,4.3
199,Makao,Dry,Dry_P3_CG1,1,CG,wild,placement,Dry,26/07/2017,15:10,27.1,5.6
200,Makao,Dry,Dry_P4_CG4,7,CG,wild,placement,Dry,26/07/2017,15:40,32.9,5.5
201,Maswa,Dry,Dry_W3_CG4,5,CG,wild,placement,Dry,26/07/2017,15:40,30.7,8.3
202,Maswa,Dry,Dry_W2_CG1,5,CG,wild,placement,Dry,26/07/2017,15:10,30.5,7.3
203,Maswa,Dry,Dry_W1_CG2,7,CG,wild,placement,Dry,26/07/2017,15:20,29.4,9.3
204,Maswa,Dry,Dry_W4_CG3,4,CG,wild,placement,Dry,26/07/2017,15:25,26.9,7.4
205,Mwantimba,Wet,Wet_Ag1_CG2,6,CG,wild,placement,Dry,26/07/2017,15:20,30.6,7.8
206,Mwantimba,Wet,Wet_Ag2_CG1,3,CG,wild,placement,Dry,26/07/2017,15:10,28.9,6.9
207,Mwantimba,Wet,Wet_Ag3_CG4,1,CG,wild,placement,Dry,26/07/2017,15:30,31.1,5
208,Mwantimba,Wet,Wet_Ag4_CG3,3,CG,wild,placement,Dry,26/07/2017,15:25,29.6,4.7
209,Mwantimba,Wet,Wet_P1_CG2,3,CG,wild,placement,Dry,26/07/2017,15:15,31.1,8.4
210,Mwantimba,Wet,Wet_P2_CG4,2,CG,wild,placement,Dry,26/07/2017,15:35,27.1,5.8
211,Mwantimba,Wet,Wet_P3_CG1,2,CG,wild,placement,Dry,26/07/2017,14:15,28.3,7
215,Handajega,Wet,Wet_W3_CG1,7,CG,wild,placement,Dry,26/07/2017,15:10,30.2,4.3
212,Mwantimba,Wet,Wet_P4_CG3,5,CG,wild,placement,Dry,26/07/2017,15:30,29,8.2
213,Handajega,Wet,Wet_W1_CG4,6,CG,wild,placement,Dry,26/07/2017,15:40,30,5.1
214,Handajega,Wet,Wet_W2_CG3,7,CG,wild,placement,Dry,26/07/2017,15:30,31.3,4.8
216,Handajega,Wet,Wet_W4_CG2,2,CG,wild,placement,Dry,26/07/2017,15:15,30.5,6.4
217,Seronera,Intermediate,Local1_CG1,6,CG,wild,placement,Dry,26/07/2017,15:10,35.6,5.7
218,Seronera,Intermediate,Local2_CG2,5,CG,wild,placement,Dry,26/07/2017,15:20,30,4.5
219,Seronera,Intermediate,Local3_CG3,1,CG,wild,placement,Dry,26/07/2017,15:20,37.6,2.9
220,Seronera,Intermediate,Local4_CG4,4,CG,wild,placement,Dry,26/07/2017,15:35,39,4.6
1,Makao,Dry,Dry_Ag1_T1,A1,Main,agriculture,collection,Dry,29/09/2017,08:34,27.4,3.6
2,Makao,Dry,Dry_Ag1_T2,A1,Main,agriculture,collection,Dry,,,,
3,Makao,Dry,Dry_Ag1_T3,A1,Main,agriculture,collection,Dry,29/09/2017,08:31,26.1,3.7
4,Makao,Dry,Dry_Ag1_T4,A1,Main,agriculture,collection,Dry,29/09/2017,08:26,27.9,3.2
5,Makao,Dry,Dry_Ag1_T5,A1,Main,agriculture,collection,Dry,,,,
6,Makao,Dry,Dry_Ag1_T6,A1,Main,agriculture,collection,Dry,29/09/2017,08:21,26.6,4.2
7,Makao,Dry,Dry_Ag1_T7,A1,Main,agriculture,collection,Dry,29/09/2017,08:36,26.2,3.7
8,Makao,Dry,Dry_Ag1_T8,A1,Main,agriculture,collection,Dry,29/09/2017,08:39,26.4,2.8
9,Makao,Dry,Dry_Ag2_T1,A2,Main,agriculture,collection,Dry,29/09/2017,08:58,26.7,3.1
10,Makao,Dry,Dry_Ag2_T2,A2,Main,agriculture,collection,Dry,,,,
11,Makao,Dry,Dry_Ag2_T3,A2,Main,agriculture,collection,Dry,29/09/2017,08:50,26.8,4.6
12,Makao,Dry,Dry_Ag2_T4,A2,Main,agriculture,collection,Dry,,,,
13,Makao,Dry,Dry_Ag2_T5,A2,Main,agriculture,collection,Dry,29/09/2017,09:01,26.5,3.8
14,Makao,Dry,Dry_Ag2_T6,A2,Main,agriculture,collection,Dry,29/09/2017,09:05,25.8,2.9
15,Makao,Dry,Dry_Ag2_T7,A2,Main,agriculture,collection,Dry,29/09/2017,08:54,28,2.9
16,Makao,Dry,Dry_Ag2_T8,A2,Main,agriculture,collection,Dry,29/09/2017,08:46,27.2,8.6
17,Makao,Dry,Dry_Ag3_T1,A3,Main,agriculture,collection,Dry,29/09/2017,10:52,26.5,7.7
18,Makao,Dry,Dry_Ag3_T2,A3,Main,agriculture,collection,Dry,29/09/2017,10:45,26.5,10.5
19,Makao,Dry,Dry_Ag3_T3,A3,Main,agriculture,collection,Dry,29/09/2017,10:49,25.8,12.1
20,Makao,Dry,Dry_Ag3_T4,A3,Main,agriculture,collection,Dry,29/09/2017,10:47,26.6,11.7
21,Makao,Dry,Dry_Ag3_T5,A3,Main,agriculture,collection,Dry,29/09/2017,10:42,26,11.4
22,Makao,Dry,Dry_Ag3_T6,A3,Main,agriculture,collection,Dry,29/09/2017,10:55,26.5,12.9
23,Makao,Dry,Dry_Ag3_T7,A3,Main,agriculture,collection,Dry,,,,
24,Makao,Dry,Dry_Ag3_T8,A3,Main,agriculture,collection,Dry,29/09/2017,10:59,25.5,7.3
25,Makao,Dry,Dry_Ag4_T1,A4,Main,agriculture,collection,Dry,29/09/2017,11:18,25.2,3.9
26,Makao,Dry,Dry_Ag4_T2,A4,Main,agriculture,collection,Dry,29/09/2017,11:16,26.2,5.8
27,Makao,Dry,Dry_Ag4_T3,A4,Main,agriculture,collection,Dry,29/09/2017,11:06,26.4,10.3
28,Makao,Dry,Dry_Ag4_T4,A4,Main,agriculture,collection,Dry,29/09/2017,11:15,26.3,6.4
29,Makao,Dry,Dry_Ag4_T5,A4,Main,agriculture,collection,Dry,29/09/2017,11:11,26,9.3
