plotcode,latitude,longitude,year,month,day,time,plot.ID,area,block,block.rep,landuse,n_vs_non.N,Moisture.m3.m3
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,11,03:00:00,13,Makao,3,3,pasture,legume,0.295
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,11,06:00:00,13,Makao,3,3,pasture,legume,0.292
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,11,09:00:00,13,Makao,3,3,pasture,legume,0.290
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,11,12:00:00,13,Makao,3,3,pasture,legume,0.288
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,11,15:00:00,13,Makao,3,3,pasture,legume,0.287
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,11,18:00:00,13,Makao,3,3,pasture,legume,0.288
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,11,21:00:00,13,Makao,3,3,pasture,legume,0.288
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,12,00:00:00,13,Makao,3,3,pasture,legume,0.286
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,12,03:00:00,13,Makao,3,3,pasture,legume,0.283
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,12,06:00:00,13,Makao,3,3,pasture,legume,0.281
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,12,09:00:00,13,Makao,3,3,pasture,legume,0.275
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,12,12:00:00,13,Makao,3,3,pasture,legume,0.270
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,12,15:00:00,13,Makao,3,3,pasture,legume,0.268
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,12,18:00:00,13,Makao,3,3,pasture,legume,0.268
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,12,21:00:00,13,Makao,3,3,pasture,legume,0.268
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,13,00:00:00,13,Makao,3,3,pasture,legume,0.266
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,13,03:00:00,13,Makao,3,3,pasture,legume,0.264
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,13,06:00:00,13,Makao,3,3,pasture,legume,0.263
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,13,09:00:00,13,Makao,3,3,pasture,legume,0.261
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,13,12:00:00,13,Makao,3,3,pasture,legume,0.260
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,13,15:00:00,13,Makao,3,3,pasture,legume,0.260
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,13,18:00:00,13,Makao,3,3,pasture,legume,0.260
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,13,21:00:00,13,Makao,3,3,pasture,legume,0.261
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,14,00:00:00,13,Makao,3,3,pasture,legume,0.262
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,14,03:00:00,13,Makao,3,3,pasture,legume,0.262
