site,protect,area,landuse,block,date,month,year,wild_broswer,wild_grazer,live_broswer,live_grazer,distance_pa_boundary.km,rain.region,total_dung,livgrazer_prop
30,PA,SNP,wild,30,12/06/2016,6,2016,0,5,0,0,0.81,wet,5,0
31,PA,SNP,wild,31,12/06/2016,6,2016,0,1,0,0,0.61,wet,1,0
32,PA,SNP,wild,32,12/06/2016,6,2016,2,5,0,0,0.24,wet,7,0
1,UP,Makao,pasture,1,03/07/2016,7,2016,0,3,0,9,-3.36,dry,12,0.75
2,UP,Makao,pasture,2,03/07/2016,7,2016,3,0,0,15,-3.78,dry,18,0.833333333
3,UP,Makao,pasture,3,03/07/2016,7,2016,0,0,15,20,-3.51,dry,35,0.571428571
4,UP,Makao,pasture,4,03/07/2016,7,2016,0,0,0,32,-4.09,dry,32,1
5,PA,MakaoWMA,wild,5,04/07/2016,7,2016,6,13,0,0,0.52,dry,19,0
6,PA,MakaoWMA,wild,6,04/07/2016,7,2016,8,6,0,0,0.49,dry,14,0
7,PA,MakaoWMA,wild,7,04/07/2016,7,2016,5,2,0,0,0.67,dry,7,0
8,PA,MakaoWMA,wild,8,04/07/2016,7,2016,4,8,0,0,0.38,dry,12,0
9,PA,Maswa,illegal,9,05/07/2016,7,2016,2,2,0,4,0.61,dry,8,0.5
10,PA,Maswa,illegal,10,05/07/2016,7,2016,0,2,0,0,1.03,dry,2,0
11,PA,Maswa,illegal,11,05/07/2016,7,2016,2,2,0,0,1.14,dry,4,0
12,PA,Maswa,illegal,12,05/07/2016,7,2016,3,1,0,0,1.04,dry,4,0
13,PA,Maswa,wild,13,05/07/2016,7,2016,0,5,0,0,9.16,dry,5,0
14,PA,Maswa,wild,14,05/07/2016,7,2016,0,15,0,0,9.09,dry,15,0
15,PA,Maswa,wild,15,05/07/2016,7,2016,1,12,0,0,8.82,dry,13,0
16,PA,Maswa,wild,16,05/07/2016,7,2016,3,5,0,0,8.54,dry,8,0
17,UP,Mwantimba,pasture common,17,28/07/2016,7,2016,0,0,8,30,-0.41,wet,38,0.789473684
18,UP,Mwantimba,pasture common,18,28/07/2016,7,2016,0,0,4,33,-0.2,wet,37,0.891891892
19,UP,Mwantimba,pasture common,19,28/07/2016,7,2016,0,0,4,15,-0.11,wet,19,0.789473684
20,UP,Mwantimba,pasture common,20,28/07/2016,7,2016,0,0,2,12,-0.06,wet,14,0.857142857
21,UP,Mwantimba,pasture,21,28/07/2016,7,2016,0,0,2,9,-5.1,wet,11,0.818181818
22,UP,Mwantimba,pasture,22,28/07/2016,7,2016,0,0,4,13,-4.92,wet,17,0.764705882
23,UP,Mwantimba,pasture,23,28/07/2016,7,2016,0,0,0,4,-5.95,wet,4,1
24,UP,Mwantimba,pasture,24,28/07/2016,7,2016,0,0,3,20,-5.93,wet,23,0.869565217
25,PA,SNP,illegal,25,01/07/2016,7,2016,0,1,0,9,0.29,wet,10,0.9
26,PA,SNP,illegal,26,01/07/2016,7,2016,0,0,0,13,0.39,wet,13,1
27,PA,SNP,illegal,27,01/07/2016,7,2016,0,0,0,9,0.44,wet,9,1
28,PA,SNP,illegal,28,01/07/2016,7,2016,0,0,0,7,0.59,wet,7,1
29,PA,SNP,wild,29,01/07/2016,7,2016,1,8,0,0,0.58,wet,9,0
30,PA,SNP,wild,30,01/07/2016,7,2016,1,3,0,2,0.81,wet,6,0.333333333
31,PA,SNP,wild,31,01/07/2016,7,2016,0,2,0,0,0.61,wet,2,0
32,PA,SNP,wild,32,01/07/2016,7,2016,0,8,0,0,0.24,wet,8,0
1,UP,Makao,pasture,1,25/08/2016,8,2016,7,2,15,40,-3.36,dry,64,0.625
2,UP,Makao,pasture,2,25/08/2016,8,2016,8,0,14,30,-3.78,dry,52,0.576923077
3,UP,Makao,pasture,3,25/08/2016,8,2016,0,0,30,40,-3.51,dry,70,0.571428571
4,UP,Makao,pasture,4,25/08/2016,8,2016,17,2,2,30,-4.09,dry,51,0.588235294
5,PA,MakaoWMA,wild,5,25/08/2016,8,2016,13,8,0,0,0.52,dry,21,0
6,PA,MakaoWMA,wild,6,25/08/2016,8,2016,5,7,0,0,0.49,dry,12,0
7,PA,MakaoWMA,wild,7,25/08/2016,8,2016,0,6,0,0,0.67,dry,6,0
8,PA,MakaoWMA,wild,8,25/08/2016,8,2016,7,5,0,0,0.38,dry,12,0
9,PA,Maswa,illegal,9,10/08/2016,8,2016,2,7,0,0,0.61,dry,9,0
10,PA,Maswa,illegal,10,10/08/2016,8,2016,5,13,0,0,1.03,dry,18,0
11,PA,Maswa,illegal,11,10/08/2016,8,2016,2,8,0,0,1.14,dry,10,0
12,PA,Maswa,illegal,12,10/08/2016,8,2016,4,7,0,0,1.04,dry,11,0
13,PA,Maswa,wild,13,10/08/2016,8,2016,7,2,0,0,9.16,dry,9,0
14,PA,Maswa,wild,14,10/08/2016,8,2016,7,1,0,0,9.09,dry,8,0
15,PA,Maswa,wild,15,10/08/2016,8,2016,1,5,0,0,8.82,dry,6,0
16,PA,Maswa,wild,16,10/08/2016,8,2016,8,6,0,0,8.54,dry,14,0
17,UP,Mwantimba,pasture common,17,31/08/2016,8,2016,0,0,10,40,-0.41,wet,50,0.8
18,UP,Mwantimba,pasture common,18,31/08/2016,8,2016,0,0,8,56,-0.2,wet,64,0.875
19,UP,Mwantimba,pasture common,19,31/08/2016,8,2016,0,0,7,18,-0.11,wet,25,0.72
20,UP,Mwantimba,pasture common,20,31/08/2016,8,2016,0,0,8,14,-0.06,wet,22,0.636363636
21,UP,Mwantimba,pasture,21,31/08/2016,8,2016,0,0,4,12,-5.1,wet,16,0.75
22,UP,Mwantimba,pasture,22,31/08/2016,8,2016,0,0,6,18,-4.92,wet,24,0.75
23,UP,Mwantimba,pasture,23,31/08/2016,8,2016,0,0,2,10,-5.95,wet,12,0.833333333
24,UP,Mwantimba,pasture,24,31/08/2016,8,2016,0,0,8,30,-5.93,wet,38,0.789473684
25,PA,SNP,illegal,25,01/08/2016,8,2016,0,1,0,1,0.29,wet,2,0.5
26,PA,SNP,illegal,26,01/08/2016,8,2016,0,0,0,1,0.39,wet,1,1
27,PA,SNP,illegal,27,01/08/2016,8,2016,0,0,0,0,0.44,wet,0,
28,PA,SNP,illegal,28,01/08/2016,8,2016,0,1,0,0,0.59,wet,1,0
29,PA,SNP,wild,29,01/08/2016,8,2016,1,4,0,0,0.58,wet,5,0
30,PA,SNP,wild,30,01/08/2016,8,2016,1,0,0,0,0.81,wet,1,0
31,PA,SNP,wild,31,01/08/2016,8,2016,1,2,0,0,0.61,wet,3,0
32,PA,SNP,wild,32,01/08/2016,8,2016,1,2,0,0,0.24,wet,3,0
1,UP,Makao,pasture,1,27/09/2016,9,2016,7,5,5,25,-3.36,dry,42,0.595238095
2,UP,Makao,pasture,2,27/09/2016,9,2016,9,0,2,20,-3.78,dry,31,0.64516129
3,UP,Makao,pasture,3,27/09/2016,9,2016,4,0,5,20,-3.51,dry,29,0.689655172
4,UP,Makao,pasture,4,27/09/2016,9,2016,15,5,7,40,-4.09,dry,67,0.597014925
5,PA,MakaoWMA,wild,5,27/09/2016,9,2016,3,43,0,0,0.52,dry,46,0
6,PA,MakaoWMA,wild,6,27/09/2016,9,2016,3,24,0,0,0.49,dry,27,0
7,PA,MakaoWMA,wild,7,27/09/2016,9,2016,2,15,0,0,0.67,dry,17,0
8,PA,MakaoWMA,wild,8,27/09/2016,9,2016,6,17,0,0,0.38,dry,23,0
9,PA,Maswa,illegal,9,27/09/2016,9,2016,10,3,0,0,0.61,dry,13,0
10,PA,Maswa,illegal,10,27/09/2016,9,2016,2,13,0,0,1.03,dry,15,0
11,PA,Maswa,illegal,11,27/09/2016,9,2016,1,2,0,0,1.14,dry,3,0
12,PA,Maswa,illegal,12,27/09/2016,9,2016,4,6,0,0,1.04,dry,10,0
13,PA,Maswa,wild,13,27/09/2016,9,2016,5,3,0,0,9.16,dry,8,0
14,PA,Maswa,wild,14,27/09/2016,9,2016,1,6,0,0,9.09,dry,7,0
15,PA,Maswa,wild,15,27/09/2016,9,2016,1,4,0,0,8.82,dry,5,0
16,PA,Maswa,wild,16,27/09/2016,9,2016,4,3,0,0,8.54,dry,7,0
17,UP,Mwantimba,pasture common,17,18/09/2016,9,2016,0,0,86,30,-0.41,wet,116,0.25862069
18,UP,Mwantimba,pasture common,18,18/09/2016,9,2016,0,0,6,40,-0.2,wet,46,0.869565217
19,UP,Mwantimba,pasture common,19,18/09/2016,9,2016,0,0,7,17,-0.11,wet,24,0.708333333
20,UP,Mwantimba,pasture common,20,18/09/2016,9,2016,0,0,2,14,-0.06,wet,16,0.875
21,UP,Mwantimba,pasture,21,18/09/2016,9,2016,0,0,6,8,-5.1,wet,14,0.571428571
22,UP,Mwantimba,pasture,22,18/09/2016,9,2016,0,0,13,5,-4.92,wet,18,0.277777778
23,UP,Mwantimba,pasture,23,18/09/2016,9,2016,0,0,8,3,-5.95,wet,11,0.272727273
24,UP,Mwantimba,pasture,24,18/09/2016,9,2016,0,0,6,22,-5.93,wet,28,0.785714286
25,PA,SNP,illegal,25,29/09/2016,9,2016,0,6,0,5,0.29,wet,11,0.454545455
26,PA,SNP,illegal,26,29/09/2016,9,2016,0,0,0,17,0.39,wet,17,1
27,PA,SNP,illegal,27,29/09/2016,9,2016,0,0,0,8,0.44,wet,8,1
28,PA,SNP,illegal,28,29/09/2016,9,2016,0,0,0,7,0.59,wet,7,1
29,PA,SNP,wild,29,29/09/2016,9,2016,4,15,0,0,0.58,wet,19,0
30,PA,SNP,wild,30,29/09/2016,9,2016,11,18,0,0,0.81,wet,29,0
31,PA,SNP,wild,31,29/09/2016,9,2016,1,12,0,0,0.61,wet,13,0
32,PA,SNP,wild,32,29/09/2016,9,2016,5,11,0,0,0.24,wet,16,0
1,UP,Makao,pasture,1,08/10/2016,10,2016,8,0,8,30,-3.36,dry,46,0.652173913
2,UP,Makao,pasture,2,08/10/2016,10,2016,3,0,8,38,-3.78,dry,49,0.775510204
3,UP,Makao,pasture,3,08/10/2016,10,2016,8,0,12,26,-3.51,dry,46,0.565217391
4,UP,Makao,pasture,4,08/10/2016,10,2016,10,0,0,30,-4.09,dry,40,0.75
5,PA,MakaoWMA,wild,5,08/10/2016,10,2016,8,32,0,0,0.52,dry,40,0
6,PA,MakaoWMA,wild,6,08/10/2016,10,2016,11,8,0,0,0.49,dry,19,0
7,PA,MakaoWMA,wild,7,08/10/2016,10,2016,4,9,0,0,0.67,dry,13,0
8,PA,MakaoWMA,wild,8,08/10/2016,10,2016,3,23,0,0,0.38,dry,26,0
9,PA,Maswa,illegal,9,09/10/2016,10,2016,8,23,0,0,0.61,dry,31,0
10,PA,Maswa,illegal,10,09/10/2016,10,2016,2,24,0,0,1.03,dry,26,0
11,PA,Maswa,illegal,11,09/10/2016,10,2016,1,17,0,0,1.14,dry,18,0
12,PA,Maswa,illegal,12,09/10/2016,10,2016,12,19,0,0,1.04,dry,31,0
13,PA,Maswa,wild,13,08/10/2016,10,2016,3,1,0,0,9.16,dry,4,0
14,PA,Maswa,wild,14,08/10/2016,10,2016,18,3,0,0,9.09,dry,21,0
15,PA,Maswa,wild,15,08/10/2016,10,2016,11,3,0,0,8.82,dry,14,0
16,PA,Maswa,wild,16,08/10/2016,10,2016,7,9,0,0,8.54,dry,16,0
17,UP,Mwantimba,pasture common,18,04/10/2016,10,2016,0,0,0,2,-0.2,wet,2,1
18,UP,Mwantimba,pasture common,18,04/10/2016,10,2016,0,0,0,6,-0.2,wet,6,1
19,UP,Mwantimba,pasture common,19,04/10/2016,10,2016,0,0,0,22,-0.11,wet,22,1
20,UP,Mwantimba,pasture common,20,04/10/2016,10,2016,0,0,1,21,-0.06,wet,22,0.954545455
21,UP,Mwantimba,pasture,21,06/10/2016,10,2016,0,0,0,4,-5.1,wet,4,1
22,UP,Mwantimba,pasture,22,06/10/2016,10,2016,0,0,4,19,-4.92,wet,23,0.826086957
23,UP,Mwantimba,pasture,23,06/10/2016,10,2016,0,0,0,4,-5.95,wet,4,1
24,UP,Mwantimba,pasture,24,06/10/2016,10,2016,0,0,0,14,-5.93,wet,14,1
25,PA,SNP,illegal,25,05/10/2016,10,2016,0,2,0,5,0.29,wet,7,0.714285714
26,PA,SNP,illegal,26,05/10/2016,10,2016,1,0,0,6,0.39,wet,7,0.857142857
27,PA,SNP,illegal,27,05/10/2016,10,2016,0,0,0,2,0.44,wet,2,1
28,PA,SNP,illegal,28,05/10/2016,10,2016,0,0,0,7,0.59,wet,7,1
29,PA,SNP,wild,29,04/10/2016,10,2016,14,4,0,1,0.58,wet,19,0.052631579
30,PA,SNP,wild,30,06/10/2016,10,2016,2,2,0,0,0.81,wet,4,0
31,PA,SNP,wild,31,06/10/2016,10,2016,3,0,0,0,0.61,wet,3,0
32,PA,SNP,wild,32,04/10/2016,10,2016,0,2,0,0,0.24,wet,2,0
1,UP,Makao,pasture,1,25/11/2016,11,2016,7,0,0,10,-3.36,dry,17,0.588235294
2,UP,Makao,pasture,2,25/11/2016,11,2016,0,0,0,15,-3.78,dry,15,1
3,UP,Makao,pasture,3,25/11/2016,11,2016,0,0,0,10,-3.51,dry,10,1
4,UP,Makao,pasture,4,25/11/2016,11,2016,2,0,0,6,-4.09,dry,8,0.75
5,PA,MakaoWMA,wild,5,25/11/2016,11,2016,0,10,0,0,0.52,dry,10,0
6,PA,MakaoWMA,wild,6,25/11/2016,11,2016,0,25,0,0,0.49,dry,25,0
7,PA,MakaoWMA,wild,7,25/11/2016,11,2016,0,9,0,0,0.67,dry,9,0
8,PA,MakaoWMA,wild,8,25/11/2016,11,2016,0,7,0,0,0.38,dry,7,0
9,PA,Maswa,illegal,9,14/11/2016,11,2016,6,3,0,0,0.61,dry,9,0
10,PA,Maswa,illegal,10,14/11/2016,11,2016,5,5,0,0,1.03,dry,10,0
11,PA,Maswa,illegal,11,14/11/2016,11,2016,9,4,0,0,1.14,dry,13,0
12,PA,Maswa,illegal,12,14/11/2016,11,2016,6,7,0,0,1.04,dry,13,0
13,PA,Maswa,wild,13,14/11/2016,11,2016,4,3,0,0,9.16,dry,7,0
14,PA,Maswa,wild,14,14/11/2016,11,2016,11,3,0,0,9.09,dry,14,0
15,PA,Maswa,wild,15,14/11/2016,11,2016,5,4,0,0,8.82,dry,9,0
16,PA,Maswa,wild,16,14/11/2016,11,2016,6,3,0,0,8.54,dry,9,0
17,UP,Mwantimba,pasture common,17,25/11/2016,11,2016,0,0,12,40,-0.41,wet,52,0.769230769
18,UP,Mwantimba,pasture common,18,25/11/2016,11,2016,0,0,8,30,-0.2,wet,38,0.789473684
19,UP,Mwantimba,pasture common,19,25/11/2016,11,2016,0,0,10,25,-0.11,wet,35,0.714285714
20,UP,Mwantimba,pasture common,20,25/11/2016,11,2016,0,0,0,18,-0.06,wet,18,1
21,UP,Mwantimba,pasture,21,25/11/2016,11,2016,0,0,10,4,-5.1,wet,14,0.285714286
22,UP,Mwantimba,pasture,22,25/11/2016,11,2016,0,0,7,2,-4.92,wet,9,0.222222222
23,UP,Mwantimba,pasture,23,25/11/2016,11,2016,0,0,1,2,-5.95,wet,3,0.666666667
24,UP,Mwantimba,pasture,24,25/11/2016,11,2016,0,0,2,6,-5.93,wet,8,0.75
25,PA,SNP,illegal,25,10/11/2016,11,2016,0,2,0,7,0.29,wet,9,0.777777778
28,PA,SNP,illegal,28,10/11/2016,11,2016,0,0,0,5,0.59,wet,5,1
29,PA,SNP,wild,29,10/11/2016,11,2016,0,4,0,0,0.58,wet,4,0
30,PA,SNP,wild,30,10/11/2016,11,2016,0,2,0,0,0.81,wet,2,0
31,PA,SNP,wild,31,10/11/2016,11,2016,1,3,0,0,0.61,wet,4,0
32,PA,SNP,wild,32,10/11/2016,11,2016,0,4,0,0,0.24,wet,4,0
1,UP,Makao,pasture,1,27/12/2016,12,2016,0,0,0,12,-3.36,dry,12,1
2,UP,Makao,pasture,2,27/12/2016,12,2016,2,0,0,17,-3.78,dry,19,0.894736842
3,UP,Makao,pasture,3,27/12/2016,12,2016,0,0,0,7,-3.51,dry,7,1
4,UP,Makao,pasture,4,27/12/2016,12,2016,2,0,0,8,-4.09,dry,10,0.8
5,PA,MakaoWMA,wild,5,27/12/2016,12,2016,0,20,0,0,0.52,dry,20,0
6,PA,MakaoWMA,wild,6,27/12/2016,12,2016,0,27,0,0,0.49,dry,27,0
7,PA,MakaoWMA,wild,7,27/12/2016,12,2016,0,7,0,0,0.67,dry,7,0
8,PA,MakaoWMA,wild,8,27/12/2016,12,2016,0,6,0,0,0.38,dry,6,0
9,PA,Maswa,illegal,9,04/12/2016,12,2016,7,4,0,0,0.61,dry,11,0
10,PA,Maswa,illegal,10,04/12/2016,12,2016,9,3,0,0,1.03,dry,12,0
11,PA,Maswa,illegal,11,04/12/2016,12,2016,7,5,0,0,1.14,dry,12,0
12,PA,Maswa,illegal,12,04/12/2016,12,2016,13,2,0,0,1.04,dry,15,0
13,PA,Maswa,wild,13,04/12/2016,12,2016,7,5,0,0,9.16,dry,12,0
14,PA,Maswa,wild,14,04/12/2016,12,2016,13,4,0,0,9.09,dry,17,0
15,PA,Maswa,wild,15,04/12/2016,12,2016,5,6,0,0,8.82,dry,11,0
16,PA,Maswa,wild,16,04/12/2016,12,2016,6,8,0,0,8.54,dry,14,0
17,UP,Mwantimba,pasture common,17,27/12/2016,12,2016,0,0,13,30,-0.41,wet,43,0.697674419
18,UP,Mwantimba,pasture common,18,27/12/2016,12,2016,0,0,10,22,-0.2,wet,32,0.6875
19,UP,Mwantimba,pasture common,19,27/12/2016,12,2016,0,0,14,20,-0.11,wet,34,0.588235294
20,UP,Mwantimba,pasture common,20,27/12/2016,12,2016,0,0,8,10,-0.06,wet,18,0.555555556
21,UP,Mwantimba,pasture,21,27/12/2016,12,2016,0,0,12,2,-5.1,wet,14,0.142857143
22,UP,Mwantimba,pasture,22,27/12/2016,12,2016,0,0,8,3,-4.92,wet,11,0.272727273
23,UP,Mwantimba,pasture,23,27/12/2016,12,2016,0,0,4,6,-5.95,wet,10,0.6
24,UP,Mwantimba,pasture,24,27/12/2016,12,2016,0,0,6,4,-5.93,wet,10,0.4
25,PA,SNP,illegal,25,13/12/2016,12,2016,2,3,0,3,0.29,wet,8,0.375
26,PA,SNP,illegal,26,13/12/2016,12,2016,1,4,0,4,0.39,wet,9,0.444444444
27,PA,SNP,illegal,27,13/12/2016,12,2016,2,3,0,7,0.44,wet,12,0.583333333
28,PA,SNP,illegal,28,13/12/2016,12,2016,2,2,0,2,0.59,wet,6,0.333333333
29,PA,SNP,wild,29,13/12/2016,12,2016,2,3,0,6,0.58,wet,11,0.545454545
30,PA,SNP,wild,30,13/12/2016,12,2016,1,4,0,4,0.81,wet,9,0.444444444
31,PA,SNP,wild,31,13/12/2016,12,2016,2,3,0,2,0.61,wet,7,0.285714286
32,PA,SNP,wild,32,13/12/2016,12,2016,2,2,0,3,0.24,wet,7,0.428571429
1,UP,Makao,pasture,1,31/01/2017,1,2017,4,0,0,24,-3.36,dry,28,0.857142857
2,UP,Makao,pasture,2,31/01/2017,1,2017,4,8,9,8,-3.78,dry,29,0.275862069
3,UP,Makao,pasture,3,31/01/2017,1,2017,4,0,0,24,-3.51,dry,28,0.857142857
4,UP,Makao,pasture,4,31/01/2017,1,2017,0,0,0,23,-4.09,dry,23,1
5,PA,MakaoWMA,wild,5,31/01/2017,1,2017,4,32,0,0,0.52,dry,36,0
6,PA,MakaoWMA,wild,6,31/01/2017,1,2017,0,34,0,0,0.49,dry,34,0
7,PA,MakaoWMA,wild,7,31/01/2017,1,2017,0,26,0,0,0.67,dry,26,0
8,PA,MakaoWMA,wild,8,31/01/2017,1,2017,0,36,0,0,0.38,dry,36,0
10,PA,Maswa,illegal,10,01/02/2017,1,2017,2,15,0,0,1.03,dry,17,0
11,PA,Maswa,illegal,11,01/02/2017,1,2017,0,24,0,0,1.14,dry,24,0
13,PA,Maswa,wild,13,01/02/2017,1,2017,5,0,0,0,9.16,dry,5,0
14,PA,Maswa,wild,14,01/02/2017,1,2017,1,4,0,0,9.09,dry,5,0
15,PA,Maswa,wild,15,01/02/2017,1,2017,0,4,0,0,8.82,dry,4,0
16,PA,Maswa,wild,16,01/02/2017,1,2017,4,0,0,0,8.54,dry,4,0
21,UP,Mwantimba,pasture,21,27/01/2017,1,2017,0,0,3,10,-5.1,wet,13,0.769230769
22,UP,Mwantimba,pasture,22,27/01/2017,1,2017,0,0,4,17,-4.92,wet,21,0.80952381
23,UP,Mwantimba,pasture,23,27/01/2017,1,2017,0,0,4,16,-5.95,wet,20,0.8
24,UP,Mwantimba,pasture,24,27/01/2017,1,2017,0,0,1,14,-5.93,wet,15,0.933333333
29,PA,SNP,wild,29,28/01/2017,1,2017,3,6,0,3,0.58,wet,12,0.25
30,PA,SNP,wild,30,28/01/2017,1,2017,5,3,0,1,0.81,wet,9,0.111111111
31,PA,SNP,wild,31,28/01/2017,1,2017,0,4,0,0,0.61,wet,4,0
32,PA,SNP,wild,32,28/01/2017,1,2017,0,3,0,0,0.24,wet,3,0
10,PA,Maswa,illegal,10,20/01/2017,1,2017,5,8,0,0,1.03,dry,13,0
11,PA,Maswa,illegal,11,20/01/2017,1,2017,3,11,0,0,1.14,dry,14,0
13,PA,Maswa,wild,13,18/01/2017,1,2017,7,6,0,0,9.16,dry,13,0
14,PA,Maswa,wild,14,18/01/2017,1,2017,5,6,0,0,9.09,dry,11,0
15,PA,Maswa,wild,15,18/01/2017,1,2017,7,5,0,0,8.82,dry,12,0
16,PA,Maswa,wild,16,18/01/2017,1,2017,9,5,0,0,8.54,dry,14,0
1,UP,Makao,pasture,1,22/02/2017,2,2017,1,15,0,9,-3.36,dry,25,0.36
2,UP,Makao,pasture,2,22/02/2017,2,2017,30,17,0,10,-3.78,dry,57,0.175438596
3,UP,Makao,pasture,3,22/02/2017,2,2017,3,17,0,12,-3.51,dry,32,0.375
4,UP,Makao,pasture,4,22/02/2017,2,2017,4,32,0,5,-4.09,dry,41,0.12195122
5,PA,MakaoWMA,wild,5,22/02/2017,2,2017,0,13,0,0,0.52,dry,13,0
6,PA,MakaoWMA,wild,6,22/02/2017,2,2017,0,50,0,0,0.49,dry,50,0
7,PA,MakaoWMA,wild,7,22/02/2017,2,2017,0,21,0,0,0.67,dry,21,0
8,PA,MakaoWMA,wild,8,22/02/2017,2,2017,5,17,0,0,0.38,dry,22,0
10,PA,Maswa,illegal,10,17/02/2017,2,2017,3,6,0,0,1.03,dry,9,0
11,PA,Maswa,illegal,11,17/02/2017,2,2017,9,3,0,0,1.14,dry,12,0
13,PA,Maswa,wild,13,17/02/2017,2,2017,5,7,0,0,9.16,dry,12,0
14,PA,Maswa,wild,14,17/02/2017,2,2017,6,12,0,0,9.09,dry,18,0
15,PA,Maswa,wild,15,17/02/2017,2,2017,9,10,0,0,8.82,dry,19,0
16,PA,Maswa,wild,16,17/02/2017,2,2017,5,15,0,0,8.54,dry,20,0
21,UP,Mwantimba,pasture,21,24/02/2017,2,2017,0,0,2,4,-5.1,wet,6,0.666666667
22,UP,Mwantimba,pasture,22,24/02/2017,2,2017,0,0,3,3,-4.92,wet,6,0.5
23,UP,Mwantimba,pasture,23,24/02/2017,2,2017,0,0,1,3,-5.95,wet,4,0.75
24,UP,Mwantimba,pasture,24,24/02/2017,2,2017,0,0,2,4,-5.93,wet,6,0.666666667
29,PA,SNP,wild,29,28/02/2017,2,2017,3,1,0,0,0.58,wet,4,0
30,PA,SNP,wild,30,28/02/2017,2,2017,2,0,0,2,0.81,wet,4,0.5
31,PA,SNP,wild,31,28/02/2017,2,2017,0,0,0,0,0.61,wet,0,
32,PA,SNP,wild,32,28/02/2017,2,2017,0,0,0,0,0.24,wet,0,
1,UP,Makao,pasture,1,30/03/2017,3,2017,0,0,0,15,-3.36,dry,15,1
2,UP,Makao,pasture,2,30/03/2017,3,2017,0,0,0,17,-3.78,dry,17,1
3,UP,Makao,pasture,3,30/03/2017,3,2017,0,0,0,20,-3.51,dry,20,1
