,X.1,X,Region,Site,Block,Circle,Block.ID,Latitude,Longitude,landuse,Last_fire.yr,Fire_frequency.2000_2017.x,MAP.mm_yr,AhorC.kg_m2,AhorN.kg_m2,livestock,wild,total.dung,Livestock.bm,MinC.kg_m2,MinN.kg_m2,tot.C.kg_m2,tot.N.kg_m2,mean.N.kg_m2.x,Clay,Silt,Sand,Class.x,mean.N.kg_m2.y,Total.basal.area_m2,TreeBM.kg_m2,No.trees_m2,Small.N,Small.N.non,Large.N,Large.N.non,BM.Large.N.m2,BM.Large.non.m2,BM.Small.N.m2,BM.Small.non.m2,N.trees,BM.N.trees.m2,non.N.trees,BM.non.N.trees.m2,climate,fMAP,Shrubbiness,fShrubbiness,CN,Shrubbiness2
36,36,36,Mwantimba,3,1,4,9,-2.353118454,34.05038596,Pasture,2000,0,1295.06,1.29,0.1,11.84,0,11.84,1944.542512,1.82,0.21,3.11,0.31,0.155,35.5,19.5,45,SaCl,0.19125,0.000905,0.020317023,0.015,6,NA,NA,NA,NA,NA,0.020317023,NA,6,0.020317023,0,0,Wet,672,4.514253871,5,10.03225806,0.011285635
37,37,37,Mwantimba,3,2,1,10,-2.351254717,34.05082521,Pasture,2000,0,1295.06,1.18,0.09,10.36,0,10.36,1944.542512,2.2,0.22,3.38,0.31,0.155,34.6,19.43,45.98,SaCl,0.16375,0.0014608,0.029759575,0.02,1,1,1,NA,0.00513651,NA,0.003204631,0.004622203,2,0.008341142,1,0.004622203,Wet,672,5.475003712,5,10.90322581,0.013687509
38,38,38,Mwantimba,3,2,2,10,-2.351517116,34.05072648,Pasture,2000,0,1295.06,0.94,0.08,10.36,0,10.36,1944.542512,1.77,0.21,2.71,0.29,0.145,34.6,19.43,45.98,SaCl,0.16375,0.0014608,0.029759575,0.02,1,1,1,NA,0.00513651,NA,0.003204631,0.004622203,2,0.008341142,1,0.004622203,Wet,672,5.475003712,5,9.344827586,0.013687509
39,39,39,Mwantimba,3,2,3,10,-2.351453708,34.05084334,Pasture,2000,0,1295.06,1.57,0.12,10.36,0,10.36,1944.542512,2.52,0.27,4.09,0.39,0.195,34.6,19.43,45.98,SaCl,0.16375,0.0014608,0.029759575,0.02,1,1,1,NA,0.00513651,NA,0.003204631,0.004622203,2,0.008341142,1,0.004622203,Wet,672,5.475003712,5,10.48717949,0.013687509
40,40,40,Mwantimba,3,2,4,10,-2.351390381,34.05085229,Pasture,2000,0,1295.06,1.27,0.1,10.36,0,10.36,1944.542512,2.08,0.22,3.35,0.32,0.16,34.6,19.43,45.98,SaCl,0.16375,0.0014608,0.029759575,0.02,1,1,1,NA,0.00513651,NA,0.003204631,0.004622203,2,0.008341142,1,0.004622203,Wet,672,5.475003712,5,10.46875,0.013687509
41,41,41,Mwantimba,3,3,1,11,-2.370424264,34.06027312,Pasture,2000,0,1295.06,1.01,0.07,6.64,0,6.64,87.40922896,2.7,0.28,3.71,0.35,0.175,31,26.5,42.5,ClLo,0.21375,0.0012935,0.033599857,0.025,8,2,NA,NA,NA,NA,0.025578345,0.008021511,8,0.025578345,2,0.008021511,Wet,672,7.342304464,7,10.6,0.018355761
42,42,42,Mwantimba,3,3,2,11,-2.37045156,34.06006631,Pasture,2000,0,1295.06,1.05,0.08,6.64,0,6.64,87.40922896,2.68,0.35,3.73,0.43,0.215,31,26.5,42.5,ClLo,0.21375,0.0012935,0.033599857,0.025,8,2,NA,NA,NA,NA,0.025578345,0.008021511,8,0.025578345,2,0.008021511,Wet,672,7.342304464,7,8.674418605,0.018355761
43,43,43,Mwantimba,3,3,3,11,-2.370551069,34.06005739,Pasture,2000,0,1295.06,1.2,0.08,6.64,0,6.64,87.40922896,3.39,0.32,4.59,0.4,0.2,31,26.5,42.5,ClLo,0.21375,0.0012935,0.033599857,0.025,8,2,NA,NA,NA,NA,0.025578345,0.008021511,8,0.025578345,2,0.008021511,Wet,672,7.342304464,7,11.475,0.018355761
44,44,44,Mwantimba,3,3,4,11,-2.370370088,34.06014718,Pasture,2000,0,1295.06,1.96,0.13,6.64,0,6.64,87.40922896,4.07,0.4,6.03,0.53,0.265,31,26.5,42.5,ClLo,0.21375,0.0012935,0.033599857,0.025,8,2,NA,NA,NA,NA,0.025578345,0.008021511,8,0.025578345,2,0.008021511,Wet,672,7.342304464,7,11.37735849,0.018355761
45,45,45,Mwantimba,3,4,1,12,-2.370251727,34.0611453,Pasture,2000,0,1295.06,1.82,0.12,9.68,0,9.68,87.40922896,4.07,0.38,5.89,0.5,0.25,26.56,16.18,57.26,SaClLo,0.18,0.0020664,0.012963345,0.0075,5,3,NA,NA,NA,NA,0.018466282,0.011293293,5,0.018466282,3,0.011293293,Wet,672,1.622602862,2,11.78,0.004056507
