plot;Site;sitecode;rain.region;season;Landuse;Sitenumber;block_code;rain.sum
109;Mwantimba;Wet_Ag2_T5;Wet;Wet;Agriculture;2;A2_Mwantimba;206.8514082
110;Mwantimba;Wet_Ag2_T6;Wet;Wet;Agriculture;2;A2_Mwantimba;206.8514082
111;Mwantimba;Wet_Ag2_T7;Wet;Wet;Agriculture;2;A2_Mwantimba;206.8514082
112;Mwantimba;Wet_Ag2_T8;Wet;Wet;Agriculture;2;A2_Mwantimba;206.8514082
113;Mwantimba;Wet_Ag3_T1;Wet;Wet;Agriculture;3;A3_Mwantimba;206.8514082
114;Mwantimba;Wet_Ag3_T2;Wet;Wet;Agriculture;3;A3_Mwantimba;206.8514082
115;Mwantimba;Wet_Ag3_T3;Wet;Wet;Agriculture;3;A3_Mwantimba;206.8514082
116;Mwantimba;Wet_Ag3_T4;Wet;Wet;Agriculture;3;A3_Mwantimba;206.8514082
117;Mwantimba;Wet_Ag3_T5;Wet;Wet;Agriculture;3;A3_Mwantimba;206.8514082
118;Mwantimba;Wet_Ag3_T6;Wet;Wet;Agriculture;3;A3_Mwantimba;206.8514082
119;Mwantimba;Wet_Ag3_T7;Wet;Wet;Agriculture;3;A3_Mwantimba;206.8514082
120;Mwantimba;Wet_Ag3_T8;Wet;Wet;Agriculture;3;A3_Mwantimba;206.8514082
121;Mwantimba;Wet_Ag4_T1;Wet;Wet;Agriculture;4;A4_Mwantimba;206.8514082
122;Mwantimba;Wet_Ag4_T2;Wet;Wet;Agriculture;4;A4_Mwantimba;206.8514082
123;Mwantimba;Wet_Ag4_T3;Wet;Wet;Agriculture;4;A4_Mwantimba;206.8514082
124;Mwantimba;Wet_Ag4_T4;Wet;Wet;Agriculture;4;A4_Mwantimba;206.8514082
125;Mwantimba;Wet_Ag4_T5;Wet;Wet;Agriculture;4;A4_Mwantimba;206.8514082
126;Mwantimba;Wet_Ag4_T6;Wet;Wet;Agriculture;4;A4_Mwantimba;206.8514082
127;Mwantimba;Wet_Ag4_T7;Wet;Wet;Agriculture;4;A4_Mwantimba;206.8514082
128;Mwantimba;Wet_Ag4_T8;Wet;Wet;Agriculture;4;A4_Mwantimba;206.8514082
129;Mwantimba;Wet_P1_T1;Wet;Wet;Pasture;1;P1_Mwantimba;206.8514082
130;Mwantimba;Wet_P1_T2;Wet;Wet;Pasture;1;P1_Mwantimba;206.8514082
131;Mwantimba;Wet_P1_T3;Wet;Wet;Pasture;1;P1_Mwantimba;206.8514082
132;Mwantimba;Wet_P1_T4;Wet;Wet;Pasture;1;P1_Mwantimba;206.8514082
133;Mwantimba;Wet_P1_T5;Wet;Wet;Pasture;1;P1_Mwantimba;206.8514082
134;Mwantimba;Wet_P1_T6;Wet;Wet;Pasture;1;P1_Mwantimba;206.8514082
135;Mwantimba;Wet_P1_T7;Wet;Wet;Pasture;1;P1_Mwantimba;206.8514082
136;Mwantimba;Wet_P1_T8;Wet;Wet;Pasture;1;P1_Mwantimba;206.8514082
137;Mwantimba;Wet_P2_T1;Wet;Wet;Pasture;2;P2_Mwantimba;206.8514082
138;Mwantimba;Wet_P2_T2;Wet;Wet;Pasture;2;P2_Mwantimba;206.8514082
139;Mwantimba;Wet_P2_T3;Wet;Wet;Pasture;2;P2_Mwantimba;206.8514082
140;Mwantimba;Wet_P2_T4;Wet;Wet;Pasture;2;P2_Mwantimba;206.8514082
141;Mwantimba;Wet_P2_T5;Wet;Wet;Pasture;2;P2_Mwantimba;206.8514082
142;Mwantimba;Wet_P2_T6;Wet;Wet;Pasture;2;P2_Mwantimba;206.8514082
143;Mwantimba;Wet_P2_T7;Wet;Wet;Pasture;2;P2_Mwantimba;206.8514082
144;Mwantimba;Wet_P2_T8;Wet;Wet;Pasture;2;P2_Mwantimba;206.8514082
147;Mwantimba;Wet_P3_T3;Wet;Wet;Pasture;3;P3_Mwantimba;206.8514082
148;Mwantimba;Wet_P3_T4;Wet;Wet;Pasture;3;P3_Mwantimba;206.8514082
149;Mwantimba;Wet_P3_T5;Wet;Wet;Pasture;3;P3_Mwantimba;206.8514082
150;Mwantimba;Wet_P3_T6;Wet;Wet;Pasture;3;P3_Mwantimba;206.8514082
151;Mwantimba;Wet_P3_T7;Wet;Wet;Pasture;3;P3_Mwantimba;206.8514082
152;Mwantimba;Wet_P3_T8;Wet;Wet;Pasture;3;P3_Mwantimba;206.8514082
153;Mwantimba;Wet_P4_T1;Wet;Wet;Pasture;4;P4_Mwantimba;206.8514082
154;Mwantimba;Wet_P4_T2;Wet;Wet;Pasture;4;P4_Mwantimba;206.8514082
155;Mwantimba;Wet_P4_T3;Wet;Wet;Pasture;4;P4_Mwantimba;206.8514082
156;Mwantimba;Wet_P4_T4;Wet;Wet;Pasture;4;P4_Mwantimba;206.8514082
157;Mwantimba;Wet_P4_T5;Wet;Wet;Pasture;4;P4_Mwantimba;206.8514082
158;Mwantimba;Wet_P4_T6;Wet;Wet;Pasture;4;P4_Mwantimba;206.8514082
159;Mwantimba;Wet_P4_T7;Wet;Wet;Pasture;4;P4_Mwantimba;206.8514082
160;Mwantimba;Wet_P4_T8;Wet;Wet;Pasture;4;P4_Mwantimba;206.8514082
41;Makao;Dry_P2_T1;Dry;Wet;Pasture;2;P2_Makao;214.2628987
42;Makao;Dry_P2_T2;Dry;Wet;Pasture;2;P2_Makao;214.2628987
43;Makao;Dry_P2_T3;Dry;Wet;Pasture;2;P2_Makao;214.2628987
44;Makao;Dry_P2_T4;Dry;Wet;Pasture;2;P2_Makao;214.2628987
45;Makao;Dry_P2_T5;Dry;Wet;Pasture;2;P2_Makao;214.2628987
46;Makao;Dry_P2_T6;Dry;Wet;Pasture;2;P2_Makao;214.2628987
47;Makao;Dry_P2_T7;Dry;Wet;Pasture;2;P2_Makao;214.2628987
48;Makao;Dry_P2_T8;Dry;Wet;Pasture;2;P2_Makao;214.2628987
49;Makao;Dry_P3_T1;Dry;Wet;Pasture;3;P3_Makao;214.2628987
50;Makao;Dry_P3_T2;Dry;Wet;Pasture;3;P3_Makao;214.2628987
51;Makao;Dry_P3_T3;Dry;Wet;Pasture;3;P3_Makao;214.2628987
52;Makao;Dry_P3_T4;Dry;Wet;Pasture;3;P3_Makao;214.2628987
53;Makao;Dry_P3_T5;Dry;Wet;Pasture;3;P3_Makao;214.2628987
54;Makao;Dry_P3_T6;Dry;Wet;Pasture;3;P3_Makao;214.2628987
55;Makao;Dry_P3_T7;Dry;Wet;Pasture;3;P3_Makao;214.2628987
56;Makao;Dry_P3_T8;Dry;Wet;Pasture;3;P3_Makao;214.2628987
57;Makao;Dry_P4_T1;Dry;Wet;Pasture;4;P4_Makao;214.2628987
58;Makao;Dry_P4_T2;Dry;Wet;Pasture;4;P4_Makao;214.2628987
59;Makao;Dry_P4_T3;Dry;Wet;Pasture;4;P4_Makao;214.2628987
60;Makao;Dry_P4_T4;Dry;Wet;Pasture;4;P4_Makao;214.2628987
61;Makao;Dry_P4_T5;Dry;Wet;Pasture;4;P4_Makao;214.2628987
62;Makao;Dry_P4_T6;Dry;Wet;Pasture;4;P4_Makao;214.2628987
63;Makao;Dry_P4_T7;Dry;Wet;Pasture;4;P4_Makao;214.2628987
64;Makao;Dry_P4_T8;Dry;Wet;Pasture;4;P4_Makao;214.2628987
33;Makao;Dry_P1_T1;Dry;Wet;Pasture;1;P1_Makao;228.3243592
34;Makao;Dry_P1_T2;Dry;Wet;Pasture;1;P1_Makao;228.3243592
35;Makao;Dry_P1_T3;Dry;Wet;Pasture;1;P1_Makao;228.3243592
36;Makao;Dry_P1_T4;Dry;Wet;Pasture;1;P1_Makao;228.3243592
37;Makao;Dry_P1_T5;Dry;Wet;Pasture;1;P1_Makao;228.3243592
38;Makao;Dry_P1_T6;Dry;Wet;Pasture;1;P1_Makao;228.3243592
39;Makao;Dry_P1_T7;Dry;Wet;Pasture;1;P1_Makao;228.3243592
40;Makao;Dry_P1_T8;Dry;Wet;Pasture;1;P1_Makao;228.3243592
