,plot.id,block.id.harvest,site.id,site.name,region,landuse,block,treatment,harvest,Rdate,YrMonth,month,wp,lat,long,setup.date,harvest.date,biomass.total.g,prodtot,constot,prodtot.sum,constot.sum,Cum_prod,Cum_cons
164,DRY_P_4_OP_H3,DRY_P_4_H3,DRY_P,Makao,Dry Region,pasture,4,open,H3,22/07/2017,2017-07,Jul,1003,-3.406853,34.8516,05/09/2017,7/22/2017,5.72,-1.570195195,NA,-116.1944444,NA,-19.72222222,NA
171,DRY_W_1_OP_H3,DRY_W_1_H3,DRY_W,Maswa,Dry Region,wild,1,open,H3,21/07/2017,2017-07,Jul,995,-3.299332,34.848458,05/11/2017,7/21/2017,11.25,-0.520735524,NA,-36.9722222,NA,-8.249999979,NA
178,DRY_W_2_OP_H3,DRY_W_2_H3,DRY_W,Maswa,Dry Region,wild,2,open,H3,21/07/2017,2017-07,Jul,980,-3.303268,34.847796,05/11/2017,7/21/2017,8.6,-0.298904538,NA,-21.2222222,NA,-7.361111079,NA
185,DRY_W_3_OP_H3,DRY_W_3_H3,DRY_W,Maswa,Dry Region,wild,3,open,H3,21/07/2017,2017-07,Jul,998,-3.295645,34.852435,05/11/2017,7/21/2017,10.24,0.400625978,NA,28.44444444,NA,-8.972222218,NA
192,DRY_W_4_OP_H3,DRY_W_4_H3,DRY_W,Maswa,Dry Region,wild,4,open,H3,21/07/2017,2017-07,Jul,1000,-3.296013,34.854327,05/11/2017,7/21/2017,13.57,-0.087245696,NA,-6.194444416,NA,-3.499999971,NA
199,SE_1_OP_H3,SE_1_H3,SE,Seronera,Intermediate Region,wild,1,open,H3,26/07/2017,2017-07,Jul,1023,-2.437747,34.855162,5/17/2017,7/26/2017,29.92,-1.453174603,NA,-101.7222222,NA,48.80555555,NA
206,SE_2_OP_H3,SE_2_H3,SE,Seronera,Intermediate Region,wild,2,open,H3,26/07/2017,2017-07,Jul,1025,-2.437766,34.855394,5/17/2017,7/26/2017,33.74,0.936507937,NA,65.55555559,NA,70.16666672,NA
213,SE_3_OP_H3,SE_3_H3,SE,Seronera,Intermediate Region,wild,3,open,H3,26/07/2017,2017-07,Jul,1027,-2.437991,34.855418,5/17/2017,7/26/2017,29.12,-1.009920635,NA,-70.69444445,NA,53.63888886,NA
220,SE_4_OP_H3,SE_4_H3,SE,Seronera,Intermediate Region,wild,4,open,H3,26/07/2017,2017-07,Jul,1026,-2.438079,34.854989,5/17/2017,7/26/2017,13.57,-1.425396825,NA,-99.77777775,NA,9.638888931,NA
227,WET_P_1_OP_H3,WET_P_1_H3,WET_P,Mwantimba,Wet Region,pasture,1,open,H3,23/07/2017,2017-07,Jul,957,-2.350052,34.049976,5/14/2017,7/23/2017,37.92,0.332936508,NA,23.30555556,NA,96.22222222,NA
234,WET_P_2_OP_H3,WET_P_2_H3,WET_P,Mwantimba,Wet Region,pasture,2,open,H3,23/07/2017,2017-07,Jul,959,-2.348488,34.05011,5/14/2017,7/23/2017,30.82,0.067460317,NA,4.72222219,NA,76.69444442,NA
241,WET_P_3_OP_H3,WET_P_3_H3,WET_P,Mwantimba,Wet Region,pasture,3,open,H3,23/07/2017,2017-07,Jul,1022,-2.367293,34.062509,5/14/2017,7/23/2017,24.27,-2.587698413,NA,-181.1388889,NA,53.63888886,NA
248,WET_P_4_OP_H3,WET_P_4_H3,WET_P,Mwantimba,Wet Region,pasture,4,open,H3,23/07/2017,2017-07,Jul,1020,-2.36857,34.062586,5/14/2017,7/23/2017,36.38,-1.253968254,NA,-87.77777778,NA,88.80555558,NA
255,WET_W_1_OP_H3,WET_W_1_H3,WET_W,Handajega,Wet Region,wild,1,open,H3,24/07/2017,2017-07,Jul,954,-2.272484,34.023326,5/13/2017,7/24/2017,19.33,-1.166666667,NA,-84.00000002,NA,-25.94444448,NA
262,WET_W_2_OP_H3,WET_W_2_H3,WET_W,Handajega,Wet Region,wild,2,open,H3,24/07/2017,2017-07,Jul,953,-2.2783,34.024459,5/13/2017,7/24/2017,16.45,0.134259259,NA,9.666666648,NA,11.36111108,NA
269,WET_W_3_OP_H3,WET_W_3_H3,WET_W,Handajega,Wet Region,wild,3,open,H3,24/07/2017,2017-07,Jul,951,-2.277999,34.027678,5/13/2017,7/24/2017,18.93,0.064429012,NA,4.638888864,NA,-10.66666673,NA
276,WET_W_4_OP_H3,WET_W_4_H3,WET_W,Handajega,Wet Region,wild,4,open,H3,24/07/2017,2017-07,Jul,950,-2.278837,34.031884,5/13/2017,7/24/2017,41.48,0.616898148,NA,44.41666666,NA,33.94444446,NA
4,DRY_P_1_EX_H4,DRY_P_1_H4,DRY_P,Makao,Dry Region,pasture,1,exclosed,H4,27/09/2017,2017-09,Sep,1009,-3.303212,34.847736,7/22/2017,9/27/2017,2.37,-0.419983416,0.098258706,-28.13888887,6.583333302,283.9166667,322.1388889
11,DRY_P_2_EX_H4,DRY_P_2_H4,DRY_P,Makao,Dry Region,pasture,2,exclosed,H4,27/09/2017,2017-09,Sep,1006,-3.408426,34.850244,7/22/2017,9/27/2017,0,-0.332504146,0,-22.27777778,0,77.97222224,106.0833333
18,DRY_P_3_EX_H4,DRY_P_3_H4,DRY_P,Makao,Dry Region,pasture,3,exclosed,H4,27/09/2017,2017-09,Sep,1001,-3.406316,34.850407,7/22/2017,9/27/2017,0,-0.348258706,0.049129353,-23.3333333,3.291666651,11.78675651,70.78240742
25,DRY_P_4_EX_H4,DRY_P_4_H4,DRY_P,Makao,Dry Region,pasture,4,exclosed,H4,27/09/2017,2017-09,Sep,1003,-3.406853,34.8516,7/22/2017,9/27/2017,0,-0.237147595,0.049129353,-15.88888887,3.291666651,2.055555607,40.95833326
32,DRY_W_1_EX_H4,DRY_W_1_H4,DRY_W,Maswa,Dry Region,wild,1,exclosed,H4,28/09/2017,2017-09,Sep,995,-3.299332,34.848458,7/21/2017,9/28/2017,9.65,-0.023752013,0.004428341,-1.638888897,0.305555529,92.55762411,140.8930259
39,DRY_W_2_EX_H4,DRY_W_2_H4,DRY_W,Maswa,Dry Region,wild,2,exclosed,H4,28/09/2017,2017-09,Sep,980,-3.303268,34.847796,7/21/2017,9/28/2017,15.76,0.088164251,0.450483092,6.083333319,31.08333335,78.94444439,111.3055556
46,DRY_W_3_EX_H4,DRY_W_3_H4,DRY_W,Maswa,Dry Region,wild,3,exclosed,H4,28/09/2017,2017-09,Sep,998,-3.295645,34.852435,7/21/2017,9/28/2017,10.57,-0.027375201,0.148148148,-1.888888869,10.22222221,96.47429078,95.9763593
53,DRY_W_4_EX_H4,DRY_W_4_H4,DRY_W,Maswa,Dry Region,wild,4,exclosed,H4,28/09/2017,2017-09,Sep,1000,-3.296013,34.854327,7/21/2017,9/28/2017,7.67,-0.037439614,0.05394525,-2.583333366,3.72222225,91.30555556,101.1111111
60,SE_1_EX_H4,SE_1_H4,SE,Seronera,Intermediate Region,wild,1,exclosed,H4,25/09/2017,2017-09,Sep,1023,-2.437747,34.855162,7/26/2017,9/25/2017,61.24,1.426229508,0.643442623,86.99999999,39.25,185.6666667,89.11111107
67,SE_2_EX_H4,SE_2_H4,SE,Seronera,Intermediate Region,wild,2,exclosed,H4,25/09/2017,2017-09,Sep,1025,-2.437766,34.855394,7/26/2017,9/25/2017,82.75,2.231785064,1.805100182,136.1388889,110.1111111,409.6111112,313.4166666
74,SE_3_EX_H4,SE_3_H4,SE,Seronera,Intermediate Region,wild,3,exclosed,H4,25/09/2017,2017-09,Sep,1027,-2.437991,34.855418,7/26/2017,9/25/2017,88.07,2.68442623,2.939435337,163.75,179.3055556,245.0833333,207
81,SE_4_EX_H4,SE_4_H4,SE,Seronera,Intermediate Region,wild,4,exclosed,H4,25/09/2017,2017-09,Sep,1026,-2.438079,34.854989,7/26/2017,9/25/2017,37.26,1.078779599,0.33287796,65.80555554,20.30555556,228.6388889,173.5
88,WET_P_1_EX_H4,WET_P_1_H4,WET_P,Mwantimba,Wet Region,pasture,1,exclosed,H4,30/09/2017,2017-09,Sep,957,-2.350052,34.049976,7/23/2017,9/30/2017,23.96,-0.561996779,-0.46215781,-38.77777775,-31.88888889,179.9722222,90.63888886
95,WET_P_2_EX_H4,WET_P_2_H4,WET_P,Mwantimba,Wet Region,pasture,2,exclosed,H4,30/09/2017,2017-09,Sep,959,-2.348488,34.05011,7/23/2017,9/30/2017,26.78,-0.162640902,0.312801932,-11.22222224,21.58333331,204.8888889,161
102,WET_P_3_EX_H4,WET_P_3_H4,WET_P,Mwantimba,Wet Region,pasture,3,exclosed,H4,30/09/2017,2017-09,Sep,1022,-2.367293,34.062509,7/23/2017,9/30/2017,18.56,-0.229871176,0.153784219,-15.86111114,10.61111111,221.9722222,194.8055556
109,WET_P_4_EX_H4,WET_P_4_H4,WET_P,Mwantimba,Wet Region,pasture,4,exclosed,H4,30/09/2017,2017-09,Sep,1020,-2.36857,34.062586,7/23/2017,9/30/2017,21.18,-0.611916264,-0.357487923,-42.22222222,-24.66666669,150.8611111,79.6111111
116,WET_W_1_EX_H4,WET_W_1_H4,WET_W,Handajega,Wet Region,wild,1,exclosed,H4,01/10/2017,2017-10,Oct,954,-2.272484,34.023326,7/24/2017,10/01/2017,56.77,1.507246377,0.44605475,104,30.77777775,66.5355556,19.16666663
123,WET_W_2_EX_H4,WET_W_2_H4,WET_W,Handajega,Wet Region,wild,2,exclosed,H4,01/10/2017,2017-10,Oct,953,-2.2783,34.024459,7/24/2017,10/01/2017,27.75,0.454911433,-0.085748792,31.38888888,-5.916666648,194.6388889,145.9722223
130,WET_W_3_EX_H4,WET_W_3_H4,WET_W,Handajega,Wet Region,wild,3,exclosed,H4,01/10/2017,2017-10,Oct,951,-2.277999,34.027678,7/24/2017,10/01/2017,39.04,0.80958132,-2.389291465,55.86111108,-164.8611111,259.1111111,49.05555558
137,WET_W_4_EX_H4,WET_W_4_H4,WET_W,Handajega,Wet Region,wild,4,exclosed,H4,01/10/2017,2017-10,Oct,950,-2.278837,34.031884,7/24/2017,10/01/2017,58.63,0.69041868,0.953301127,47.63888892,65.77777776,85.91666676,70.11111107
144,DRY_P_1_OP_H4,DRY_P_1_H4,DRY_P,Makao,Dry Region,pasture,1,open,H4,27/09/2017,2017-09,Sep,1009,-3.303212,34.847736,7/22/2017,9/27/2017,0,-0.518242123,NA,-34.72222224,NA,-38.22222225,NA
151,DRY_P_2_OP_H4,DRY_P_2_H4,DRY_P,Makao,Dry Region,pasture,2,open,H4,27/09/2017,2017-09,Sep,1006,-3.408426,34.850244,7/22/2017,9/27/2017,0,-0.332504146,NA,-22.27777778,NA,-28.11111109,NA
158,DRY_P_3_OP_H4,DRY_P_3_H4,DRY_P,Makao,Dry Region,pasture,3,open,H4,27/09/2017,2017-09,Sep,1001,-3.406316,34.850407,7/22/2017,9/27/2017,NA,-0.425373134,NA,-28.49999998,NA,-37.91666661,NA
165,DRY_P_4_OP_H4,DRY_P_4_H4,DRY_P,Makao,Dry Region,pasture,4,open,H4,27/09/2017,2017-09,Sep,1003,-3.406853,34.8516,7/22/2017,9/27/2017,NA,-0.425373134,NA,-28.49999998,NA,-48.2222222,NA
172,DRY_W_1_OP_H4,DRY_W_1_H4,DRY_W,Maswa,Dry Region,wild,1,open,H4,28/09/2017,2017-09,Sep,995,-3.299332,34.848458,7/21/2017,9/28/2017,9.54,-0.028180354,NA,-1.944444426,NA,-10.19444441,NA
179,DRY_W_2_OP_H4,DRY_W_2_H4,DRY_W,Maswa,Dry Region,wild,2,open,H4,28/09/2017,2017-09,Sep,980,-3.303268,34.847796,7/21/2017,9/28/2017,4.57,-0.362318841,NA,-25.00000003,NA,-32.36111111,NA
186,DRY_W_3_OP_H4,DRY_W_3_H4,DRY_W,Maswa,Dry Region,wild,3,open,H4,28/09/2017,2017-09,Sep,998,-3.295645,34.852435,7/21/2017,9/28/2017,6.89,-0.175523349,NA,-12.11111108,NA,-21.0833333,NA
193,DRY_W_4_OP_H4,DRY_W_4_H4,DRY_W,Maswa,Dry Region,wild,4,open,H4,28/09/2017,2017-09,Sep,1000,-3.296013,34.854327,7/21/2017,9/28/2017,6.33,-0.091384863,NA,-6.305555547,NA,-9.805555518,NA
200,SE_1_OP_H4,SE_1_H4,SE,Seronera,Intermediate Region,wild,1,open,H4,25/09/2017,2017-09,Sep,1023,-2.437747,34.855162,7/26/2017,9/25/2017,47.11,0.782786885,NA,47.74999999,NA,96.55555553,NA
207,SE_2_OP_H4,SE_2_H4,SE,Seronera,Intermediate Region,wild,2,open,H4,25/09/2017,2017-09,Sep,1025,-2.437766,34.855394,7/26/2017,9/25/2017,43.11,0.426684882,NA,26.0277778,NA,96.19444452,NA
214,SE_3_OP_H4,SE_3_H4,SE,Seronera,Intermediate Region,wild,3,open,H4,25/09/2017,2017-09,Sep,1027,-2.437991,34.855418,7/26/2017,9/25/2017,23.52,-0.255009107,NA,-15.55555553,NA,38.08333333,NA
221,SE_4_OP_H4,SE_4_H4,SE,Seronera,Intermediate Region,wild,4,open,H4,25/09/2017,2017-09,Sep,1026,-2.438079,34.854989,7/26/2017,9/25/2017,29.95,0.745901639,NA,45.49999998,NA,55.13888891,NA
228,WET_P_1_OP_H4,WET_P_1_H4,WET_P,Mwantimba,Wet Region,pasture,1,open,H4,30/09/2017,2017-09,Sep,957,-2.350052,34.049976,7/23/2017,9/30/2017,35.44,-0.099838969,NA,-6.888888861,NA,89.33333336,NA
235,WET_P_2_OP_H4,WET_P_2_H4,WET_P,Mwantimba,Wet Region,pasture,2,open,H4,30/09/2017,2017-09,Sep,959,-2.348488,34.05011,7/23/2017,9/30/2017,19.01,-0.475442834,NA,-32.80555555,NA,43.88888887,NA
242,WET_P_3_OP_H4,WET_P_3_H4,WET_P,Mwantimba,Wet Region,pasture,3,open,H4,30/09/2017,2017-09,Sep,1022,-2.367293,34.062509,7/23/2017,9/30/2017,14.74,-0.383655395,NA,-26.47222226,NA,27.1666666,NA
249,WET_P_4_OP_H4,WET_P_4_H4,WET_P,Mwantimba,Wet Region,pasture,4,open,H4,30/09/2017,2017-09,Sep,1020,-2.36857,34.062586,7/23/2017,9/30/2017,30.06,-0.254428341,NA,-17.55555553,NA,71.25000005,NA
256,WET_W_1_OP_H4,WET_W_1_H4,WET_W,Handajega,Wet Region,wild,1,open,H4,01/10/2017,2017-10,Oct,954,-2.272484,34.023326,7/24/2017,10/01/2017,45.69,1.061191626,NA,73.22222219,NA,47.27777772,NA
263,WET_W_2_OP_H4,WET_W_2_H4,WET_W,Handajega,Wet Region,wild,2,open,H4,01/10/2017,2017-10,Oct,953,-2.2783,34.024459,7/24/2017,10/01/2017,29.88,0.540660225,NA,37.30555553,NA,48.66666661,NA
270,WET_W_3_OP_H4,WET_W_3_H4,WET_W,Handajega,Wet Region,wild,3,open,H4,01/10/2017,2017-10,Oct,951,-2.277999,34.027678,7/24/2017,10/01/2017,98.39,3.198872786,NA,220.7222222,NA,210.0555555,NA
277,WET_W_4_OP_H4,WET_W_4_H4,WET_W,Handajega,Wet Region,wild,4,open,H4,01/10/2017,2017-10,Oct,950,-2.278837,34.031884,7/24/2017,10/01/2017,34.95,-0.262882448,NA,-18.13888891,NA,15.80555554,NA
5,DRY_P_1_EX_H5,DRY_P_1_H5,DRY_P,Makao,Dry Region,pasture,1,exclosed,H5,10/12/2017,2017-12,Dec,1009,-3.303212,34.847736,9/27/2017,12/10/2017,2,0.075075075,-0.336336336,5.55555555,-24.88888886,289.4722223,297.25
12,DRY_P_2_EX_H5,DRY_P_2_H5,DRY_P,Makao,Dry Region,pasture,2,exclosed,H5,10/12/2017,2017-12,Dec,1006,-3.408426,34.850244,9/27/2017,12/10/2017,5,0.187687688,0.112612613,13.88888891,8.333333362,91.86111115,114.4166667
19,DRY_P_3_EX_H5,DRY_P_3_H5,DRY_P,Makao,Dry Region,pasture,3,exclosed,H5,10/12/2017,2017-12,Dec,1001,-3.406316,34.850407,9/27/2017,12/10/2017,4.17,0.131381381,0.073573574,9.722222194,5.444444476,21.5089787,76.2268519
26,DRY_P_4_EX_H5,DRY_P_4_H5,DRY_P,Makao,Dry Region,pasture,4,exclosed,H5,10/12/2017,2017-12,Dec,1003,-3.406853,34.8516,9/27/2017,12/10/2017,2,0.131381381,0,9.722222194,0,11.7777778,40.95833326
33,DRY_W_1_EX_H5,DRY_W_1_H5,DRY_W,Maswa,Dry Region,wild,1,exclosed,H5,11/12/2017,2017-12,Dec,995,-3.299332,34.848458,9/28/2017,12/11/2017,29.7,0.756756757,0.964714715,56.00000002,71.38888891,148.5576241,212.2819148
40,DRY_W_2_EX_H5,DRY_W_2_H5,DRY_W,Maswa,Dry Region,wild,2,exclosed,H5,11/12/2017,2017-12,Dec,980,-3.303268,34.847796,9/28/2017,12/11/2017,20.87,0.611861862,0.595720721,45.27777779,44.08333335,124.2222222,155.3888889
47,DRY_W_3_EX_H5,DRY_W_3_H5,DRY_W,Maswa,Dry Region,wild,3,exclosed,H5,11/12/2017,2017-12,Dec,998,-3.295645,34.852435,9/28/2017,12/11/2017,14.29,0.277777778,0.348723724,20.55555557,25.80555558,117.0298464,121.7819149
54,DRY_W_4_EX_H5,DRY_W_4_H5,DRY_W,Maswa,Dry Region,wild,4,exclosed,H5,11/12/2017,2017-12,Dec,1000,-3.296013,34.854327,9/28/2017,12/11/2017,11,0.1753003,0.075075075,12.9722222,5.55555555,104.2777778,106.6666667
61,SE_1_EX_H5,SE_1_H5,SE,Seronera,Intermediate Region,wild,1,exclosed,H5,15/12/2017,2017-12,Dec,1023,-2.437747,34.855162,9/25/2017,12/15/2017,35,-0.415294925,0.171467764,-33.63888893,13.88888888,152.0277777,103
68,SE_2_EX_H5,SE_2_H5,SE,Seronera,Intermediate Region,wild,2,exclosed,H5,15/12/2017,2017-12,Dec,1025,-2.437766,34.855394,9/25/2017,12/15/2017,31,-0.415294925,0.411522634,-33.63888893,33.33333335,375.9722222,346.75
75,SE_3_EX_H5,SE_3_H5,SE,Seronera,Intermediate Region,wild,3,exclosed,H5,15/12/2017,2017-12,Dec,1027,-2.437991,34.855418,9/25/2017,12/15/2017,33.8,0.352537723,0.679012346,28.55555556,55.00000003,273.6388889,262
82,SE_4_EX_H5,SE_4_H5,SE,Seronera,Intermediate Region,wild,4,exclosed,H5,15/12/2017,2017-12,Dec,1026,-2.438079,34.854989,9/25/2017,12/15/2017,29,-0.032578875,-0.493484225,-2.638888875,-39.97222223,226.0000001,133.5277778
89,WET_P_1_EX_H5,WET_P_1_H5,WET_P,Mwantimba,Wet Region,pasture,1,exclosed,H5,13/12/2017,2017-12,Dec,957,-2.350052,34.049976,9/30/2017,12/13/2017,16,-0.72972973,0.3003003,-54.00000002,22.2222222,125.9722222,112.8611111
96,WET_P_2_EX_H5,WET_P_2_H5,WET_P,Mwantimba,Wet Region,pasture,2,exclosed,H5,13/12/2017,2017-12,Dec,959,-2.348488,34.05011,9/30/2017,12/13/2017,20,0.037162162,0.45045045,2.749999988,33.3333333,207.6388889,194.3333333
103,WET_P_3_EX_H5,WET_P_3_H5,WET_P,Mwantimba,Wet Region,pasture,3,exclosed,H5,13/12/2017,2017-12,Dec,1022,-2.367293,34.062509,9/30/2017,12/13/2017,21,0.234984985,0.154279279,17.38888889,11.41666665,239.3611111,206.2222222
110,WET_P_4_EX_H5,WET_P_4_H5,WET_P,Mwantimba,Wet Region,pasture,4,exclosed,H5,13/12/2017,2017-12,Dec,1020,-2.36857,34.062586,9/30/2017,12/13/2017,56.25,0.983108108,1.548423423,72.74999999,114.5833333,223.6111111,194.1944444
117,WET_W_1_EX_H5,WET_W_1_H5,WET_W,Handajega,Wet Region,wild,1,exclosed,H5,14/12/2017,2017-12,Dec,954,-2.272484,34.023326,10/01/2017,12/14/2017,55.45,0.366366366,0.992867868,27.11111108,73.47222223,93.64666668,92.63888887
124,WET_W_2_EX_H5,WET_W_2_H5,WET_W,Handajega,Wet Region,wild,2,exclosed,H5,14/12/2017,2017-12,Dec,953,-2.2783,34.024459,10/01/2017,12/14/2017,21,-0.333333333,-0.788288288,-24.66666664,-58.33333331,169.9722223,87.63888895
131,WET_W_3_EX_H5,WET_W_3_H5,WET_W,Handajega,Wet Region,wild,3,exclosed,H5,14/12/2017,2017-12,Dec,951,-2.277999,34.027678,10/01/2017,12/14/2017,46,-1.966591592,1.276276276,-145.5277778,94.44444442,113.5833333,143.5
138,WET_W_4_EX_H5,WET_W_4_H5,WET_W,Handajega,Wet Region,wild,4,exclosed,H5,14/12/2017,2017-12,Dec,950,-2.278837,34.031884,10/01/2017,12/14/2017,62.29,1.026276276,1.287162162,75.94444442,95.24999999,161.8611112,165.3611111
145,DRY_P_1_OP_H5,DRY_P_1_H5,DRY_P,Makao,Dry Region,pasture,1,open,H5,10/12/2017,2017-12,Dec,1009,-3.303212,34.847736,9/27/2017,12/10/2017,10.96,0.411411411,NA,30.44444441,NA,-7.777777832,NA
152,DRY_P_2_OP_H5,DRY_P_2_H5,DRY_P,Makao,Dry Region,pasture,2,open,H5,10/12/2017,2017-12,Dec,1006,-3.408426,34.850244,9/27/2017,12/10/2017,2,0.075075075,NA,5.55555555,NA,-22.55555554,NA
159,DRY_P_3_OP_H5,DRY_P_3_H5,DRY_P,Makao,Dry Region,pasture,3,open,H5,10/12/2017,2017-12,Dec,1001,-3.406316,34.850407,9/27/2017,12/10/2017,2.21,NA,NA,NA,NA,NA,NA
166,DRY_P_4_OP_H5,DRY_P_4_H5,DRY_P,Makao,Dry Region,pasture,4,open,H5,10/12/2017,2017-12,Dec,1003,-3.406853,34.8516,9/27/2017,12/10/2017,2,NA,NA,NA,NA,NA,NA
173,DRY_W_1_OP_H5,DRY_W_1_H5,DRY_W,Maswa,Dry Region,wild,1,open,H5,11/12/2017,2017-12,Dec,995,-3.299332,34.848458,9/28/2017,12/11/2017,4,-0.207957958,NA,-15.38888889,NA,-25.5833333,NA
180,DRY_W_2_OP_H5,DRY_W_2_H5,DRY_W,Maswa,Dry Region,wild,2,open,H5,11/12/2017,2017-12,Dec,980,-3.303268,34.847796,9/28/2017,12/11/2017,5,0.016141141,NA,1.194444434,NA,-31.16666667,NA
187,DRY_W_3_OP_H5,DRY_W_3_H5,DRY_W,Maswa,Dry Region,wild,3,open,H5,11/12/2017,2017-12,Dec,998,-3.295645,34.852435,9/28/2017,12/11/2017,5,-0.070945946,NA,-5.250000004,NA,-26.3333333,NA
194,DRY_W_4_OP_H5,DRY_W_4_H5,DRY_W,Maswa,Dry Region,wild,4,open,H5,11/12/2017,2017-12,Dec,1000,-3.296013,34.854327,9/28/2017,12/11/2017,9,0.100225225,NA,7.41666665,NA,-2.388888868,NA
201,SE_1_OP_H5,SE_1_H5,SE,Seronera,Intermediate Region,wild,1,open,H5,15/12/2017,2017-12,Dec,1023,-2.437747,34.855162,9/25/2017,12/15/2017,30,-0.586762689,NA,-47.52777781,NA,49.02777772,NA
208,SE_2_OP_H5,SE_2_H5,SE,Seronera,Intermediate Region,wild,2,open,H5,15/12/2017,2017-12,Dec,1025,-2.437766,34.855394,9/25/2017,12/15/2017,19,-0.826817558,NA,-66.9722222,NA,29.22222233,NA
215,SE_3_OP_H5,SE_3_H5,SE,Seronera,Intermediate Region,wild,3,open,H5,15/12/2017,2017-12,Dec,1027,-2.437991,34.855418,9/25/2017,12/15/2017,14,-0.326474623,NA,-26.44444446,NA,11.63888887,NA
222,SE_4_OP_H5,SE_4_H5,SE,Seronera,Intermediate Region,wild,4,open,H5,15/12/2017,2017-12,Dec,1026,-2.438079,34.854989,9/25/2017,12/15/2017,43.39,0.46090535,NA,37.33333335,NA,92.47222226,NA
229,WET_P_1_OP_H5,WET_P_1_H5,WET_P,Mwantimba,Wet Region,pasture,1,open,H5,13/12/2017,2017-12,Dec,957,-2.350052,34.049976,9/30/2017,12/13/2017,8,-1.03003003,NA,-76.22222222,NA,13.11111114,NA
236,WET_P_2_OP_H5,WET_P_2_H5,WET_P,Mwantimba,Wet Region,pasture,2,open,H5,13/12/2017,2017-12,Dec,959,-2.348488,34.05011,9/30/2017,12/13/2017,8,-0.413288288,NA,-30.58333331,NA,13.30555556,NA
243,WET_P_3_OP_H5,WET_P_3_H5,WET_P,Mwantimba,Wet Region,pasture,3,open,H5,13/12/2017,2017-12,Dec,1022,-2.367293,34.062509,9/30/2017,12/13/2017,16.89,0.080705706,NA,5.972222244,NA,33.13888884,NA
250,WET_P_4_OP_H5,WET_P_4_H5,WET_P,Mwantimba,Wet Region,pasture,4,open,H5,13/12/2017,2017-12,Dec,1020,-2.36857,34.062586,9/30/2017,12/13/2017,15,-0.565315315,NA,-41.83333331,NA,29.41666674,NA
257,WET_W_1_OP_H5,WET_W_1_H5,WET_W,Handajega,Wet Region,wild,1,open,H5,14/12/2017,2017-12,Dec,954,-2.272484,34.023326,10/01/2017,12/14/2017,29,-0.626501502,NA,-46.36111115,NA,0.91666657,NA
264,WET_W_2_OP_H5,WET_W_2_H5,WET_W,Handajega,Wet Region,wild,2,open,H5,14/12/2017,2017-12,Dec,953,-2.2783,34.024459,10/01/2017,12/14/2017,42,0.454954955,NA,33.66666667,NA,82.33333328,NA
271,WET_W_3_OP_H5,WET_W_3_H5,WET_W,Handajega,Wet Region,wild,3,open,H5,14/12/2017,2017-12,Dec,951,-2.277999,34.027678,10/01/2017,12/14/2017,12,-3.242867868,NA,-239.9722222,NA,-29.91666673,NA
278,WET_W_4_OP_H5,WET_W_4_H5,WET_W,Handajega,Wet Region,wild,4,open,H5,14/12/2017,2017-12,Dec,950,-2.278837,34.031884,10/01/2017,12/14/2017,28,-0.260885886,NA,-19.30555556,NA,-3.500000021,NA
6,DRY_P_1_EX_H6,DRY_P_1_H6,DRY_P,Makao,Dry Region,pasture,1,exclosed,H6,08/03/2018,2018-03,Mar,1009,-3.303212,34.847736,12/10/2017,03/08/2018,93.2,2.595959596,1.538510101,228.4444444,135.3888889,517.9166667,432.6388889
13,DRY_P_2_EX_H6,DRY_P_2_H6,DRY_P,Makao,Dry Region,pasture,2,exclosed,H6,08/03/2018,2018-03,Mar,1006,-3.408426,34.850244,12/10/2017,03/08/2018,48.66,1.472853535,1.033459596,129.6111111,90.94444445,221.4722222,205.3611111
20,DRY_P_3_EX_H6,DRY_P_3_H6,DRY_P,Makao,Dry Region,pasture,3,exclosed,H6,08/03/2018,2018-03,Mar,1001,-3.406316,34.850407,12/10/2017,03/08/2018,38.81,1.15530303,0.558080808,101.6666666,49.1111111,123.1756453,125.337963
27,DRY_P_4_EX_H6,DRY_P_4_H6,DRY_P,Makao,Dry Region,pasture,4,exclosed,H6,08/03/2018,2018-03,Mar,1003,-3.406853,34.8516,12/10/2017,03/08/2018,57.71,1.758522727,0.632260101,154.75,55.63888889,166.5277778,96.59722215
34,DRY_W_1_EX_H6,DRY_W_1_H6,DRY_W,Maswa,Dry Region,wild,1,exclosed,H6,07/03/2018,2018-03,Mar,995,-3.299332,34.848458,12/11/2017,03/07/2018,40.12,1.166666667,1.169573643,100.3333334,100.5833333,248.8909575,312.8652481
41,DRY_W_2_EX_H6,DRY_W_2_H6,DRY_W,Maswa,Dry Region,wild,2,exclosed,H6,07/03/2018,2018-03,Mar,980,-3.303268,34.847796,12/11/2017,03/07/2018,38.04,1.067183463,0.92248062,91.77777782,79.33333332,216,234.7222222
48,DRY_W_3_EX_H6,DRY_W_3_H6,DRY_W,Maswa,Dry Region,wild,3,exclosed,H6,07/03/2018,2018-03,Mar,998,-3.295645,34.852435,12/11/2017,03/07/2018,14.33,0.301356589,0.201550388,25.91666665,17.33333337,142.946513,139.1152482
55,DRY_W_4_EX_H6,DRY_W_4_H6,DRY_W,Maswa,Dry Region,wild,4,exclosed,H6,07/03/2018,2018-03,Mar,1000,-3.296013,34.854327,12/11/2017,03/07/2018,20.74,0.379198966,-0.249031008,32.61111108,-21.41666669,136.8888888,85.25000001
