"","Block.ID","Region.x","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Class","mean.N.kg_m2.x","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","Shrubbiness","Small.N","Small.N.non","Large.N","Large.N.non","BM.Large.N.m2","BM.Large.non.m2","BM.Small.N.m2","BM.Small.non.m2","Carbon.pool","C.amount","SE.C.amount","mean.N.kg_m2"
"78",8,"Maswa",4,"Wild",754.84,2004,1,28.91,34.69,36.4,"ClLo",NA,0.0253542,0.0568430663608,0.0012,2.73495803144453,NA,1,5,NA,0.44490594064,NA,NA,0.000637836912,"SoilAC.kg_m2",1.5875,0.0765261393250699,0.27375
"79",8,"Maswa",4,"Wild",754.84,2004,1,28.91,34.69,36.4,"ClLo",NA,0.0253542,0.0568430663608,0.0012,2.73495803144453,NA,1,5,NA,0.44490594064,NA,NA,0.000637836912,"SoilMC.kg_m2",3.3625,0.282086718345027,0.27375
"80",8,"Maswa",4,"Wild",754.84,2004,1,28.91,34.69,36.4,"ClLo",NA,0.0253542,0.0568430663608,0.0012,2.73495803144453,NA,1,5,NA,0.44490594064,NA,NA,0.000637836912,"DWC.kg_m2",0.00205,0.00095,0.27375
"17",9,"Mwantimba",1,"Pasture",1295.061318,2000,0,35.5,19.5,45,"SaCl",0.19125,0.000905,0.0203170229675,0.015,4.51425387114734,6,NA,NA,NA,NA,NA,0.0203170229675,NA,"TreeC.kg_m2",0.010158511485,NA,NA
"18",9,"Mwantimba",1,"Pasture",1295.061318,2000,0,35.5,19.5,45,"SaCl",0.19125,0.000905,0.0203170229675,0.015,4.51425387114734,6,NA,NA,NA,NA,NA,0.0203170229675,NA,"HerbC.kg_m2",0.0111,NA,NA
"81",9,"Mwantimba",1,"Pasture",1295.06,2000,0,35.5,19.5,45,"SaCl",NA,0.000905,0.0203170229675,0.015,4.51425387114734,6,NA,NA,NA,NA,NA,0.0203170229675,NA,"SoilAC.kg_m2",1.2325,0.0529740502510427,0.19125
"82",9,"Mwantimba",1,"Pasture",1295.06,2000,0,35.5,19.5,45,"SaCl",NA,0.000905,0.0203170229675,0.015,4.51425387114734,6,NA,NA,NA,NA,NA,0.0203170229675,NA,"SoilMC.kg_m2",2.415,0.414819237740971,0.19125
"83",9,"Mwantimba",1,"Pasture",1295.06,2000,0,35.5,19.5,45,"SaCl",NA,0.000905,0.0203170229675,0.015,4.51425387114734,6,NA,NA,NA,NA,NA,0.0203170229675,NA,"DWC.kg_m2",0.00395,0.00305,0.19125
"19",10,"Mwantimba",2,"Pasture",1295.061318,2000,0,34.6,19.43,45.98,"SaCl",0.16375,0.0014608,0.02975957524,0.02,5.47500371177877,1,1,1,NA,0.0051365103625,NA,0.003204631365,0.0046222031125,"TreeC.kg_m2",0.0148797876225,NA,NA
"20",10,"Mwantimba",2,"Pasture",1295.061318,2000,0,34.6,19.43,45.98,"SaCl",0.16375,0.0014608,0.02975957524,0.02,5.47500371177877,1,1,1,NA,0.0051365103625,NA,0.003204631365,0.0046222031125,"HerbC.kg_m2",0.0111,NA,NA
"84",10,"Mwantimba",2,"Pasture",1295.06,2000,0,34.6,19.43,45.98,"SaCl",NA,0.0014608,0.02975957524,0.02,5.47500371177877,1,1,1,NA,0.0051365103625,NA,0.003204631365,0.0046222031125,"SoilAC.kg_m2",1.24,0.130192165662915,0.16375
"85",10,"Mwantimba",2,"Pasture",1295.06,2000,0,34.6,19.43,45.98,"SaCl",NA,0.0014608,0.02975957524,0.02,5.47500371177877,1,1,1,NA,0.0051365103625,NA,0.003204631365,0.0046222031125,"SoilMC.kg_m2",2.1425,0.155047035874064,0.16375
"86",10,"Mwantimba",2,"Pasture",1295.06,2000,0,34.6,19.43,45.98,"SaCl",NA,0.0014608,0.02975957524,0.02,5.47500371177877,1,1,1,NA,0.0051365103625,NA,0.003204631365,0.0046222031125,"DWC.kg_m2",0.00095,0.00075,0.16375
"21",11,"Mwantimba",3,"Pasture",1295.061318,2000,0,31,26.5,42.5,"ClLo",0.21375,0.0012935,0.03359985655,0.025,7.34230446367474,8,2,NA,NA,NA,NA,0.0255783452075,0.0080215113425,"TreeC.kg_m2",0.0167999282775,NA,NA
"22",11,"Mwantimba",3,"Pasture",1295.061318,2000,0,31,26.5,42.5,"ClLo",0.21375,0.0012935,0.03359985655,0.025,7.34230446367474,8,2,NA,NA,NA,NA,0.0255783452075,0.0080215113425,"HerbC.kg_m2",0.0235,NA,NA
"87",11,"Mwantimba",3,"Pasture",1295.06,2000,0,31,26.5,42.5,"ClLo",NA,0.0012935,0.03359985655,0.025,7.34230446367474,8,2,NA,NA,NA,NA,0.0255783452075,0.0080215113425,"SoilAC.kg_m2",1.305,0.222129841909336,0.21375
"88",11,"Mwantimba",3,"Pasture",1295.06,2000,0,31,26.5,42.5,"ClLo",NA,0.0012935,0.03359985655,0.025,7.34230446367474,8,2,NA,NA,NA,NA,0.0255783452075,0.0080215113425,"SoilMC.kg_m2",3.21,0.330781901963615,0.21375
