X,Region,Site,Block,Circle,Block.ID,Lat.decimal.degrees,Long.decimal.degrees,UTM.zone,UTM.East,UTM.North,Land_Use,Last_fire.yr,Fire_frequency.2000_2017,Clay.per,Silt.per,Sand.per,AhorC.kg_m2,AhorN.kg_m2,Livestock.bm,Clay.min,Silt.min,Sand.min,MinC.kg_m2,MinN.kg_m2,tot.C.kg_m2,tot.N.kg_m2,mean.N.kg_m2,Latitude,Longitude,layer,optiol
53,Maswa,2,3,3,7,-3.4875,34.88694444,36 M,705802,9635543,Wild,2004,1,44,39,17,1.21,0.1,174.8184579,45,39,16,3.31,0.37,4.52,0.47,0.235,-3.298328121,34.85295713,174.8184579,TRUE
55,Maswa,2,3,4,7,-3.48861,34.89055556,36 M,705826,9635536,Wild,2004,1,44,39,17,1.48,0.12,174.8184579,45,39,16,2.76,0.31,4.24,0.43,0.215,-3.298391013,34.85317317,174.8184579,TRUE
57,Maswa,2,4,1,8,-3.50611,34.92416667,36 M,706051,9635420,Wild,2004,1,,,,1.58,0.13,174.8184579,,,,3.16,0.36,4.74,0.49,0.245,-3.299436128,34.8551994,174.8184579,TRUE
59,Maswa,2,4,2,8,-3.50417,34.92194444,36 M,706037,9635433,Wild,2004,1,,,,1.53,0.13,174.8184579,,,,3.47,0.45,5,0.58,0.29,-3.299318814,34.85507323,174.8184579,TRUE
61,Maswa,2,4,3,8,-3.5075,34.92194444,36 M,706036,9635411,Wild,2004,1,,,,1.8,0.16,174.8184579,,,,4.08,0.49,5.88,0.65,0.325,-3.29951776,34.8550646,174.8184579,TRUE
63,Maswa,2,4,4,8,-3.50556,34.92138889,36 M,706032,9635423,Wild,2004,1,,,,1.44,0.13,174.8184579,,,,2.74,0.34,4.18,0.47,0.235,-3.299409321,34.85502841,174.8184579,TRUE
65,Mwantimba,3,1,1,9,-2.35389,34.305,36 M,616706,9740183,Pasture,2000,0,34,20,46,1.17,0.11,174.8184579,37,19,44,1.59,0.19,2.76,0.3,0.15,-2.352973737,34.05036786,1944.542512,TRUE
67,Mwantimba,3,1,2,9,-2.35806,34.30472222,36 M,616704,9740156,Pasture,2000,0,34,20,46,1.35,0.11,174.8184579,37,19,44,3.02,0.35,4.37,0.46,0.23,-2.353217983,34.05035006,1944.542512,TRUE
69,Mwantimba,3,1,3,9,-2.35611,34.30638889,36 M,616716,9740169,Pasture,2000,0,34,20,46,1.12,0.09,174.8184579,37,19,44,3.23,0.37,4.35,0.46,0.23,-2.353100308,34.05045788,1944.542512,TRUE
71,Mwantimba,3,1,4,9,-2.35639,34.305,36 M,616708,9740167,Pasture,2000,0,34,20,46,1.29,0.1,174.8184579,37,19,44,1.82,0.21,3.11,0.31,0.155,-2.353118454,34.05038596,1944.542512,TRUE
73,Mwantimba,3,2,1,10,-2.58639,34.05138889,36 M,616757,9740373,Pasture,2000,0,,,,1.18,0.09,174.8184579,,,,2.2,0.22,3.38,0.31,0.155,-2.351254717,34.05082521,1944.542512,TRUE
75,Mwantimba,3,2,2,10,-2.59083,34.31083333,36 M,616746,9740344,Pasture,2000,0,,,,0.94,0.08,174.8184579,,,,1.77,0.21,2.71,0.29,0.145,-2.351517116,34.05072648,1944.542512,TRUE
77,Mwantimba,3,2,3,10,-2.58972,34.05166667,36 M,616759,9740351,Pasture,2000,0,,,,1.57,0.12,174.8184579,,,,2.52,0.27,4.09,0.39,0.195,-2.351453708,34.05084334,1944.542512,TRUE
79,Mwantimba,3,2,4,10,-2.58861,34.05194444,36 M,616760,9740358,Pasture,2000,0,,,,1.27,0.1,174.8184579,,,,2.08,0.22,3.35,0.32,0.16,-2.351390381,34.05085229,1944.542512,TRUE
81,Mwantimba,3,3,1,11,-2.38361,34.20888889,36 M,617806,9738253,Pasture,2000,0,28,27,46,1.01,0.07,58.27281931,34,26,39,2.7,0.28,3.71,0.35,0.175,-2.370424264,34.06027312,87.40922896,TRUE
83,Mwantimba,3,3,2,11,-2.38417,34.20555556,36 M,617783,9738250,Pasture,2000,0,28,27,46,1.05,0.08,58.27281931,34,26,39,2.68,0.35,3.73,0.43,0.215,-2.37045156,34.06006631,87.40922896,TRUE
85,Mwantimba,3,3,3,11,-2.38583,34.20527778,36 M,617782,9738239,Pasture,2000,0,28,27,46,1.2,0.08,58.27281931,34,26,39,3.39,0.32,4.59,0.4,0.2,-2.370551069,34.06005739,87.40922896,TRUE
87,Mwantimba,3,3,4,11,-2.38278,34.20666667,36 M,617792,9738259,Pasture,2000,0,28,27,46,1.96,0.13,58.27281931,34,26,39,4.07,0.4,6.03,0.53,0.265,-2.370370088,34.06014718,87.40922896,TRUE
89,Mwantimba,3,4,1,12,-2.38083,34.22333333,36 M,617903,9738272,Pasture,2000,0,,,,1.82,0.12,58.27281931,,,,4.07,0.38,5.89,0.5,0.25,-2.370251727,34.0611453,87.40922896,TRUE
91,Mwantimba,3,4,2,12,-2.38361,34.22333333,36 M,617903,9738253,Pasture,2000,0,,,,1.14,0.08,58.27281931,,,,2.8,0.29,3.94,0.37,0.185,-2.370423593,34.06114543,87.40922896,TRUE
93,Mwantimba,3,4,3,12,-2.38056,34.22444444,36 M,617910,9738274,Pasture,2000,0,,,,0.97,0.07,58.27281931,,,,2.15,0.2,3.12,0.27,0.135,-2.370233587,34.06120824,87.40922896,TRUE
95,Mwantimba,3,4,4,12,-2.38222,34.22694444,36 M,617927,9738262,Pasture,2000,0,,,,1.48,0.1,58.27281931,,,,2.23,0.2,3.71,0.3,0.15,-2.370342017,34.0613612,87.40922896,TRUE
97,Handajega,4,1,1,13,-2.37056,34.1275,36 M,613787,9748735,Wild,2014,3,16,18,65,1.42,0.09,174.8184579,21,15,64,1.87,0.17,3.29,0.26,0.13,-2.27563426,34.02406238,116.5456386,TRUE
100,Handajega,4,1,2,13,-2.37,34.12388889,36 M,613762,9748738,Wild,2014,3,21,15,64,1.5,0.11,174.8184579,16,18,65,1.86,0.2,3.36,0.31,0.155,-2.275607284,34.02383755,116.5456386,TRUE
103,Handajega,4,1,3,13,-2.37028,34.12333333,36 M,613759,9748737,Wild,2014,3,16,18,65,1.23,0.08,174.8184579,21,15,64,1.5,0.14,2.73,0.22,0.11,-2.275616349,34.02381058,116.5456386,TRUE
106,Handajega,4,1,4,13,-2.36806,34.12527778,36 M,613771,9748752,Wild,2014,3,,,,1.06,0.07,174.8184579,,,,1.83,0.19,2.89,0.26,0.13,-2.275480586,34.02391839,116.5456386,TRUE
109,Handajega,4,2,1,14,-2.46056,34.145,36 M,613903,9748138,Wild,2014,4,,,,1.1,0.08,174.8184579,,,,2.02,0.2,3.12,0.28,0.14,-2.281033818,34.02510931,1748.529253,TRUE
112,Handajega,4,2,2,14,-2.46139,34.14416667,36 M,613897,9748132,Wild,2014,4,,,,1.95,0.12,174.8184579,,,,2.08,0.19,4.03,0.31,0.155,-2.281088131,34.02505539,1748.529253,TRUE
115,Handajega,4,2,3,14,-2.46333,34.14416667,36 M,613898,9748119,Wild,2014,4,,,,1.39,0.09,174.8184579,,,,1.97,0.2,3.36,0.29,0.145,-2.281205719,34.02506447,1748.529253,TRUE
118,Handajega,4,2,4,14,-2.46056,34.14444444,36 M,613900,9748137,Wild,2014,4,,,,1.61,0.1,174.8184579,,,,2.59,0.23,4.2,0.33,0.165,-2.281042883,34.02508234,1748.529253,TRUE
121,Handajega,4,3,1,15,-2.45083,34.20027778,36 M,614271,9748202,Wild,2014,9,20,20,60,1.45,0.08,174.8184579,22,18,59,1.96,0.19,3.41,0.27,0.135,-2.28045252,34.0284181,1748.529253,TRUE
124,Handajega,4,3,2,15,-2.45306,34.20055556,36 M,614273,9748188,Wild,2014,9,20,20,60,1.57,0.09,174.8184579,22,18,59,2.71,0.23,4.28,0.32,0.16,-2.280579147,34.02843617,1748.529253,TRUE
127,Handajega,4,3,3,15,-2.45417,34.20138889,36 M,614278,9748180,Wild,2014,9,20,20,60,1.48,0.09,174.8184579,22,18,59,2.1,0.19,3.58,0.28,0.14,-2.280651481,34.02848119,1748.529253,TRUE
130,Handajega,4,3,4,15,-2.45333,34.20222222,36 M,614284,9748186,Wild,2014,9,20,20,60,1.22,0.07,174.8184579,22,18,59,2.1,0.2,3.32,0.27,0.135,-2.280597168,34.0285351,1748.529253,TRUE
133,Handajega,4,4,1,16,-2.46583,34.27277778,36 M,614755,9748103,Wild,2016,13,,,,1.15,0.08,174.8184579,,,,3.02,0.31,4.17,0.39,0.195,-2.281344915,34.03277105,672.4016528,TRUE
135,Handajega,4,4,2,16,-2.465,34.27527778,36 M,614772,9748108,Wild,2016,13,,,,1.78,0.12,174.8184579,,,,2.3,0.23,4.08,0.35,0.175,-2.281299576,34.03292389,672.4016528,TRUE
137,Handajega,4,4,3,16,-2.47028,34.275,36 M,614770,9748073,Wild,2016,13,,,,1.63,0.11,174.8184579,,,,2.88,0.28,4.51,0.39,0.195,-2.281616189,34.03290613,672.4016528,TRUE
139,Handajega,4,4,4,16,-2.46667,34.27611111,36 M,614778,9748097,Wild,2016,13,,,,0.83,0.06,174.8184579,,,,3.08,0.33,3.91,0.39,0.195,-2.28139904,34.03297791,672.4016528,TRUE
142,Seronera,5,1,1,17,-2.53194,34.91805556,36 M,704421,9730248,Wild,2016,4,,,,0.63,0.04,,,,,2.75,0.32,3.38,0.36,0.18,-2.441990376,34.83916365,,TRUE
144,Seronera,5,1,2,17,-2.53306,34.91972222,36 M,704431,9730240,Wild,2016,4,,,,0.73,0.07,,,,,1.74,0.21,2.47,0.28,0.14,-2.442062592,34.83925365,,TRUE
146,Seronera,5,1,3,17,-2.53361,34.91972222,36 M,704432,9730236,Wild,2016,4,,,,1.16,0.11,,,,,2.13,0.26,3.29,0.37,0.185,-2.44209875,34.83926269,,TRUE
148,Seronera,5,1,4,17,-2.53472,34.91861111,36 M,704425,9730230,Wild,2016,4,,,,0.76,0.07,,,,,3.15,0.35,3.91,0.42,0.21,-2.442153091,34.83919984,,TRUE
150,Seronera,5,2,1,18,-2.51556,34.88972222,36 M,704232,9730358,Wild,2016,4,12,21,67,1.29,0.1,,24,17,60,2.31,0.26,3.6,0.36,0.18,-2.440998037,34.83746315,,TRUE
152,Seronera,5,2,2,18,-2.51278,34.89055556,36 M,704237,9730375,Wild,2016,4,12,21,67,0.85,0.07,,24,17,60,3.21,0.38,4.06,0.45,0.225,-2.440844254,34.8375079,,TRUE
154,Seronera,5,2,3,18,-2.51639,34.88694444,36 M,704213,9730351,Wild,2016,4,12,21,67,0.83,0.07,,24,17,60,1.84,0.22,2.67,0.29,0.145,-2.441061569,34.83729242,,TRUE
156,Seronera,5,2,4,18,-2.51417,34.88805556,36 M,704220,9730367,Wild,2016,4,12,21,67,1.04,0.09,,24,17,60,1.71,0.23,2.75,0.32,0.16,-2.440916803,34.83735516,,TRUE
159,Seronera,5,3,1,19,-2.4575,34.845,36 M,703934,9730743,Wild,2016,6,,,,0.74,0.07,,,,,3.62,0.43,4.36,0.5,0.25,-2.437520351,34.83477935,,TRUE
162,Seronera,5,3,2,19,-2.45556,34.84722222,36 M,703948,9730755,Wild,2016,6,,,,1.18,0.1,,,,,2.55,0.32,3.73,0.42,0.21,-2.437411669,34.83490507,,TRUE
164,Seronera,5,3,3,19,-2.45861,34.84361111,36 M,703925,9730735,Wild,2016,6,,,,1.07,0.09,,,,,2.9,0.34,3.97,0.43,0.215,-2.437592802,34.83469854,,TRUE
167,Seronera,5,3,4,19,-2.45722,34.8425,36 M,703918,9730745,Wild,2016,6,,,,1.02,0.09,,,,,1.69,0.21,2.71,0.3,0.15,-2.437502463,34.83463548,,TRUE
169,Seronera,5,4,1,20,-2.51139,34.93666667,36 M,706288,9730382,Wild,,,10,21,69,1.27,0.11,,21,16,62,3.73,0.42,5,0.53,0.265,-2.440755517,34.85594664,,TRUE
171,Seronera,5,4,2,20,-2.50972,34.93944444,36 M,706306,9730393,Wild,,,10,21,69,1.61,0.14,,21,16,62,3.2,0.38,4.81,0.52,0.26,-2.440655826,34.85610833,,TRUE
173,Seronera,5,4,3,20,-2.50778,34.93805556,36 M,706297,9730406,Wild,,,10,21,69,0.88,0.08,,21,16,62,1.93,0.24,2.81,0.32,0.16,-2.440538387,34.85602726,,TRUE
175,Seronera,5,4,4,20,-2.50972,34.93888889,36 M,706302,9730392,Wild,,,10,21,69,1.42,0.1,,21,16,62,2.43,0.31,3.85,0.41,0.205,-2.440664918,34.85607238,,TRUE
177,Park Nyigoti,6,1,1,21,-2.04472,34.75611111,36 M,684225,9776816,Pasture,2013,8,23,46,32,1.44,0.09,985.3676892,26,39,35,4.12,0.35,5.56,0.44,0.22,-2.021095318,34.65711712,131.1138434,TRUE
179,Park Nyigoti,6,1,2,21,-2.0475,34.75666667,36 M,684227,9776799,Pasture,2013,8,23,46,32,1.51,0.09,985.3676892,26,39,35,2.43,0.23,3.94,0.32,0.16,-2.021249038,34.65713526,131.1138434,TRUE
181,Park Nyigoti,6,1,3,21,-2.04778,34.75777778,36 M,684236,9776797,Pasture,2013,8,23,46,32,1.95,0.12,985.3676892,26,39,35,2.69,0.22,4.64,0.34,0.17,-2.021267042,34.65721617,131.1138434,TRUE
183,Park Nyigoti,6,1,4,21,-2.0475,34.75527778,36 M,684219,9776799,Pasture,2013,8,23,46,32,1.33,0.08,985.3676892,26,39,35,3.87,0.31,5.2,0.39,0.195,-2.021249112,34.65706335,131.1138434,TRUE
185,Park Nyigoti,6,2,1,22,-2.155,34.69694444,36 M,683829,9776085,Pasture,2010,7,,,,1.65,0.1,985.3676892,,,,3.79,0.31,5.44,0.41,0.205,-2.02770971,34.65356435,174.8184579,TRUE
187,Park Nyigoti,6,2,2,22,-2.15306,34.69833333,36 M,683838,9776098,Pasture,2010,7,,,,1.67,0.09,985.3676892,,,,4.99,0.39,6.66,0.48,0.24,-2.027592063,34.65364513,174.8184579,TRUE
189,Park Nyigoti,6,2,3,22,-2.15444,34.69944444,36 M,683845,9776089,Pasture,2010,7,,,,1.56,0.09,985.3676892,,,,4.74,0.45,6.3,0.54,0.27,-2.027673389,34.65370813,174.8184579,TRUE
191,Park Nyigoti,6,2,4,22,-2.15222,34.69944444,36 M,683845,9776105,Pasture,2010,7,,,,1.53,0.11,985.3676892,,,,3.23,0.33,4.76,0.44,0.22,-2.027528694,34.65370799,174.8184579,TRUE
193,Park Nyigoti,6,3,1,23,-2.28111,34.68777778,36 M,683767,9775249,Pasture,2007,6,21,36,44,1.42,0.1,985.3676892,22,37,41,4.04,0.39,5.46,0.49,0.245,-2.03527059,34.65301474,174.8184579,TRUE
195,Park Nyigoti,6,3,2,23,-2.27917,34.68833333,36 M,683770,9775263,Pasture,2007,6,21,36,44,1.52,0.11,985.3676892,22,37,41,4.12,0.38,5.64,0.49,0.245,-2.035143954,34.65304157,174.8184579,TRUE
197,Park Nyigoti,6,3,3,23,-2.27944,34.6875,36 M,683765,9775261,Pasture,2007,6,21,36,44,2.68,0.18,985.3676892,22,37,41,3.18,0.28,5.86,0.46,0.23,-2.035162087,34.65299665,174.8184579,TRUE
199,Park Nyigoti,6,3,4,23,-2.28139,34.68833333,36 M,683771,9775247,Pasture,2007,6,21,36,44,1.86,0.13,985.3676892,22,37,41,3.58,0.34,5.44,0.47,0.235,-2.03528864,34.65305071,174.8184579,TRUE
201,Park Nyigoti,6,4,1,24,-2.11583,34.68361111,36 M,683739,9774614,Pasture,2013,5,,,,1.86,0.14,831.8551542,,,,1.96,0.19,3.82,0.33,0.165,-2.041013427,34.6527689,174.8184579,TRUE
203,Park Nyigoti,6,4,2,24,-2.11944,34.68611111,36 M,683754,9774589,Pasture,2013,5,,,,1.6,0.11,831.8551542,,,,3.93,0.33,5.53,0.44,0.22,-2.041239374,34.65290396,174.8184579,TRUE
205,Park Nyigoti,6,4,3,24,-2.11611,34.68472222,36 M,683746,9774612,Pasture,2013,5,,,,1.2,0.08,831.8551542,,,,4.15,0.38,5.35,0.46,0.23,-2.041031449,34.65283184,174.8184579,TRUE
207,Park Nyigoti,6,4,4,24,-2.11861,34.68583333,36 M,683753,9774595,Pasture,2013,5,,,,1.68,0.11,831.8551542,,,,5,0.43,6.68,0.54,0.27,-2.041185123,34.65289492,174.8184579,TRUE
209,Ikorongo,7,1,1,25,-2.21,34.88638889,36 M,685095,9777452,Wild,2015,11,35,40,25,2.06,0.12,985.3676892,39,36,25,4.57,0.35,6.63,0.47,0.235,-2.015335694,34.66493129,131.1138434,TRUE
211,Ikorongo,7,1,2,25,-2.205,34.88861111,36 M,685109,9777485,Wild,2015,11,35,40,25,2.48,0.14,985.3676892,39,36,25,5.91,0.49,8.39,0.63,0.315,-2.015037134,34.66505683,131.1138434,TRUE
213,Ikorongo,7,1,3,25,-2.20778,34.88666667,36 M,685096,9777466,Wild,2015,11,35,40,25,1.58,0.09,985.3676892,39,36,25,4.68,0.42,6.26,0.51,0.255,-2.015209078,34.66494015,131.1138434,TRUE
215,Ikorongo,7,1,4,25,-2.20861,34.88888889,36 M,685112,9777461,Wild,2015,11,35,40,25,1.4,0.09,985.3676892,39,36,25,3.98,0.37,5.38,0.46,0.23,-2.015254147,34.66508401,131.1138434,TRUE
217,Ikorongo,7,2,1,26,-2.27444,34.87055556,36 M,684989,9777025,Wild,2013,10,,,,2.2,0.13,985.3676892,,,,4.13,0.34,6.33,0.47,0.235,-2.019198197,34.66398243,131.1138434,TRUE
219,Ikorongo,7,2,2,26,-2.27639,34.86916667,36 M,684980,9777012,Wild,2013,10,,,,1.68,0.1,985.3676892,,,,3.74,0.3,5.42,0.4,0.2,-2.019315844,34.66390166,131.1138434,TRUE
221,Ikorongo,7,2,3,26,-2.275,34.87166667,36 M,684997,9777021,Wild,2013,10,,,,1.84,0.11,985.3676892,,,,4.88,0.41,6.72,0.52,0.26,-2.019234296,34.66405438,131.1138434,TRUE
223,Ikorongo,7,2,4,26,-2.27278,34.87166667,36 M,684995,9777035,Wild,2013,10,,,,2.3,0.14,985.3676892,,,,4.26,0.33,6.56,0.47,0.235,-2.019107707,34.66403627,131.1138434,TRUE
225,Ikorongo,7,3,1,27,-2.06472,34.82861111,36 M,684709,9776684,Wild,2013,10,25,44,31,1.99,0.12,985.3676892,28,40,31,3.77,0.32,5.76,0.44,0.22,-2.02228458,34.66146878,131.1138434,TRUE
227,Ikorongo,7,3,2,27,-2.06306,34.83111111,36 M,684724,9776694,Wild,2013,10,25,44,31,1.44,0.08,985.3676892,28,40,31,5.77,0.52,7.21,0.6,0.3,-2.022194008,34.66160352,131.1138434,TRUE
229,Ikorongo,7,3,3,27,-2.06722,34.83,36 M,684717,9776667,Wild,2013,10,25,44,31,1.38,0.09,985.3676892,28,40,31,3.48,0.31,4.86,0.4,0.2,-2.022438244,34.66154085,131.1138434,TRUE
231,Ikorongo,7,3,4,27,-2.06778,34.83222222,36 M,684733,9776664,Wild,2013,10,25,44,31,1.38,0.09,985.3676892,28,40,31,2.57,0.24,3.95,0.33,0.165,-2.022465226,34.66168469,131.1138434,TRUE
233,Ikorongo,7,4,1,28,-2.22333,34.82138889,36 M,684660,9775631,Wild,2017,7,,,,2.41,0.14,985.3676892,,,,4.64,0.39,7.05,0.53,0.265,-2.031807727,34.66103804,131.1138434,TRUE
235,Ikorongo,7,4,2,28,-2.22083,34.82555556,36 M,684686,9775648,Wild,2017,7,,,,2.13,0.12,985.3676892,,,,3.6,0.34,5.73,0.46,0.23,-2.031653748,34.66127159,131.1138434,TRUE
237,Ikorongo,7,4,3,28,-2.22361,34.8225,36 M,684666,9775630,Wild,2017,7,,,,1.43,0.09,985.3676892,,,,3.8,0.31,5.23,0.4,0.2,-2.031816715,34.66109198,131.1138434,TRUE
239,Ikorongo,7,4,4,28,-2.22222,34.82333333,36 M,684672,9775638,Wild,2017,7,,,,1.77,0.1,985.3676892,,,,3.98,0.34,5.75,0.44,0.22,-2.031744312,34.66114584,131.1138434,TRUE
