site,plot,area,landuse,Stu_block,Block,sub_vs_inter,n_vs_non.N,excl_vs_open,wp,soil_ depth.cm,soil_wet_wt.g,soil_dry_wt.g,soil_water_content.g,core_vol.cm3,bulk_density_cm3,Soil.sub.sample.g,Oven.dry.sub.g,Soil.moist.per,If 1 - need soil,if 1 have roots,Stone.plus.bag.g,Bag.wt.g,Stone.wt.g,Volume.cm3,core_vol.cm3stones.adj,bulk_density_g.cm3,Roots.mg.g1soil,,Bulk.kg.m3,Roots kg.kg,Roots.kg.m2,
13,75,Maswa,wild,1,3,S,non,Excl,242,12.5,161,154.48,6.52,173.18,0.892,12.647,11.383,9.994465091,0,0,0,0,0,0,173.18,0.80286725,,0,120.4300875,0,0, 564.48 
13,76,Maswa,wild,1,3,S,non,Open,243,13.5,182.35,176.26,6.09,187.035,0.942,13.746,12.307,10.46849993,0,1,0.36,0,0.36,0.2,186.835,0.842712672,0.25006013,1,126.4069008,0.00025006,0.031609326,
13,77,Maswa,wild,1,3,I,,Excl,244,13,209.28,205.37,3.91,180.108,1.14,18.981,17.479,7.913176334,0,1,0.42,0,0.42,0.2,179.908,1.04886225,2.179843952,1,157.3293376,0.002179844,0.342953405,
13,78,Maswa,wild,1,3,I,,Open,245,13.4,209.44,204.87,4.57,185.649,1.104,20.28,18.362,9.457593688,0,1,0.25,0,0.25,0.1,185.549,0.998357457,0.080974381,1,149.7536186,8.09744E-05,0.012126207," 12,089.01 "
14,79,Maswa,wild,2,4,S,N,Excl,246,13,231.01,222.69,8.32,180.108,1.236,17.358,16.069,7.425970734,0,1,1.47,0.71,0.76,1,179.108,1.146755621,0.056811281,1,172.0133432,5.68113E-05,0.009772298," 21,596.14 "
14,80,Maswa,wild,2,4,S,N,Open,247,18,288.85,281.54,7.31,249.38,1.129,18.223,16.683,8.450858805,0,0,0.86,0,0.86,0.5,248.88,1.032173948,,0,154.8260922,0,0,
14,81,Maswa,wild,2,4,S,non,Excl,248,13,196.92,191,5.92,180.108,1.06,13.399,11.296,15.69520113,0,0,3.38,0,3.38,2,178.108,0.885093122,,0,132.7639684,0,0, 784.62 
14,82,Maswa,wild,2,4,S,non,Open,249,14,214.69,207.76,6.93,193.962,1.071,16.037,14.956,6.740662219,0,1,4.18,0.7,3.48,2,191.962,0.991214929,0.125328589,1,148.6822393,0.000125329,0.018634135," 8,920.14 "
14,83,Maswa,wild,2,4,I,,Excl,250,13.2,266,261.98,4.02,182.878,1.433,19.224,17.546,8.728672493,0,1,2.08,0,2.08,1,181.878,1.303250661,0.104663666,1,195.4875992,0.000104664,0.020460449," 15,752.58 "
14,84,Maswa,wild,2,4,I,,Open,251,13,207.5,204.76,2.74,180.108,1.137,18.846,17.51,7.089037462,0,1,0.32,0,0.32,0.2,179.908,1.055675606,0.667617728,1,158.3513409,0.000667618,0.105718162,
15,85,Maswa,wild,3,1,S,N,Excl,252,13,191.03,185.53,5.5,180.108,1.03,13.899,12.257,11.81379955,0,1,0.22,0,0.22,0.1,180.008,0.907692201,0.522750425,1,136.1538301,0.00052275,0.071174473,
15,86,Maswa,wild,3,1,S,N,Open,253,14,182.07,176.16,5.91,193.962,0.908,17.064,15.325,10.19104548,0,0,0,0,0,0,193.962,0.815662111,,0,122.3493166,0,0,
15,87,Maswa,wild,3,1,S,non,Excl,256,13.5,169.66,164.24,5.42,187.035,0.878,13.718,11.995,12.56013996,0,1,0,0,0,0,187.035,0.76783076,0.095690565,1,115.1746139,9.56906E-05,0.011021124,
15,88,Maswa,wild,3,1,S,non,Open,257,12.8,188.87,185.89,2.98,177.337,1.048,13.848,12.099,12.62998267,0,1,0,0,0,0,177.337,0.915838912,1.21106899,1,137.3758369,0.001211069,0.166371616, 623.12 
15,89,Maswa,wild,3,1,I,,Excl,258,13.8,190.34,185.68,4.66,191.191,0.971,16.495,14.677,11.02152167,0,1,0.29,0,0.29,0.2,190.991,0.863523614,1.986328051,1,129.5285421,0.001986328,0.257286177," 13,204.78 "
15,90,Maswa,wild,3,1,I,,Open,259,13.3,211.31,207.4,3.91,184.264,1.126,20.273,18.107,10.6841612,0,1,0,0,0,0,184.264,1.005302445,3.006791594,1,150.7953667,0.003006792,0.453410241,
16,91,Maswa,wild,4,2,S,N,Excl,260,13,185.16,177.43,7.73,180.108,0.985,15.253,13.624,10.67986626,0,0,0.88,0,0.88,0.5,179.608,0.877470454,,0,131.6205681,0,0,
16,92,Maswa,wild,4,2,S,N,Open,261,14.4,213.64,203.4,10.24,199.504,1.02,11.779,10.512,10.75643094,0,0,0.57,0,0.57,0.3,199.204,0.90837242,,0,136.2558629,0,0,
16,93,Maswa,wild,4,2,S,non,Excl,262,14.2,177.22,169.78,7.44,196.733,0.863,12.574,11.203,10.90345157,0,0,0,0,0,0,196.733,0.768900591,,0,115.3350886,0,0,
16,94,Maswa,wild,4,2,S,non,Open,265,13.4,190.5,184.33,6.17,185.649,0.993,14.278,12.444,12.84493627,0,0,0,0,0,0,185.649,0.86535844,,0,129.803766,0,0,
16,95,Maswa,wild,4,2,I,,Excl,263,14.5,243.26,237.75,5.51,200.889,1.183,16.828,15.397,8.503684336,0,0,0.42,0,0.42,0.2,200.689,1.081835529,,0,162.2753294,0,0,
16,96,Maswa,wild,4,2,I,,Open,264,16.5,261,254.89,6.11,228.598,1.115,15.087,13.411,11.1089017,0,0,0.63,0,0.63,0.3,228.298,0.989691195,,0,148.4536793,0,0,
21,121,Mwantimba,pasture,1,1,S,N,Excl,384,15.3,270.94,268.22,2.72,211.973,1.265,18.848,17.717,6.000636672,0,1,2.33,0,2.33,1,210.973,1.184014506,0.303493318,1,177.6021759,0.000303493,0.053901074,
