ID,Region, Site,Block,Block.ID, Circle,WP,Date_time ,Latitude_S,Longitude_E,Debris_type,Length.cm,Diameter.cm,Volume.cm3,Mass.g,Mass.kg,Carbon.g,Carbon.kg,Carbon.kg_m2,dc,,,
8,Makao,1,1,1,4,5,10/12/2017 16:30,3 24.552,34 51.164,FDW,21.70,2.80,133.55,21.3681,0.0214,10.6840,0.0107,0.0005,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,15.60,3.20,125.40,20.0638,0.0201,10.0319,0.0100,0.0005,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,25.10,2.20,95.36,15.2584,0.0153,7.6292,0.0076,0.0004,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,70.70,2.00,222.00,35.5197,0.0355,17.7598,0.0178,0.0009,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,63.80,2.70,365.11,58.4168,0.0584,29.2084,0.0292,0.0015,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,23.00,6.00,649.98,103.9968,0.1040,51.9984,0.0520,0.0026,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,13.20,5.70,336.66,53.8658,0.0539,26.9329,0.0269,0.0014,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,13.30,4.70,230.63,36.9009,0.0369,18.4505,0.0185,0.0009,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,21.20,2.00,66.57,10.6509,0.0107,5.3254,0.0053,0.0003,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,15.80,4.20,218.79,35.0062,0.0350,17.5031,0.0175,0.0009,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,19.00,2.00,59.66,9.5456,0.0095,4.7728,0.0048,0.0002,5.00,,,
9,Makao,1,2,2,1,6,10/12/2017 16:53,3 24.499,34 51.006,FDW,11.30,2.00,35.48,5.6771,0.0057,2.8386,0.0028,0.0001,5.00,,,
12,Makao,1,2,2,2,7,10/12/2017 17:08,3 24.503,34 51.018,FDW,5.70,4.30,82.73,13.2374,0.0132,6.6187,0.0066,0.0003,5.00,,,
13,Makao,1,2,2,3,8,10/12/2017 17:22,3 24.504,34 51.013,FDW,15.70,2.50,77.03,12.3245,0.0123,6.1623,0.0062,0.0003,5.00,,,
13,Makao,1,2,2,3,8,10/12/2017 17:22,3 24.504,34 51.013,FDW,6.60,2.90,43.57,6.9716,0.0070,3.4858,0.0035,0.0002,5.00,,,
13,Makao,1,2,2,3,8,10/12/2017 17:22,3 24.504,34 51.013,FDW,8.10,2.00,25.43,4.0694,0.0041,2.0347,0.0020,0.0001,5.00,,,
16,Makao,1,2,2,4,9,10/12/2017 17:32,3 24.502,34 51.016,FDW,16.50,2.40,74.61,19.3977,0.0194,9.6988,0.0097,0.0005,4.00,,,
16,Makao,1,2,2,4,9,10/12/2017 17:32,3 24.502,34 51.016,FDW,27.70,2.00,86.98,22.6143,0.0226,11.3071,0.0113,0.0006,4.00,,,
16,Makao,1,2,2,4,9,10/12/2017 17:32,3 24.502,34 51.016,FDW,16.50,2.50,80.95,21.0478,0.0210,10.5239,0.0105,0.0005,4.00,,,
17,Makao,1,3,3,1,10,10/12/2017 18:08,3 24.377,34 51.029,FDW,27.00,2.00,84.78,13.5648,0.0136,6.7824,0.0068,0.0003,5.00,,,
17,Makao,1,3,3,1,10,10/12/2017 18:08,3 24.377,34 51.029,FDW,20.20,3.90,241.18,38.5896,0.0386,19.2948,0.0193,0.0010,5.00,,,
20,Makao,1,3,3,2,11,10/12/2017 18:09,3 24.376,34 51.034,FDW,95.50,2.50,468.55,271.7572,0.2718,135.8786,0.1359,0.0069,2.00,,,
20,Makao,1,3,3,2,11,10/12/2017 18:09,3 24.376,34 51.034,FDW,38.20,3.60,388.63,62.1810,0.0622,31.0905,0.0311,0.0016,5.00,,,
24,Makao,1,3,3,4,,,,,FDW,16.00,2.60,84.91,13.5849,0.0136,6.7924,0.0068,0.0003,5.00,,,
24,Makao,1,3,3,4,,,,,FDW,9.70,2.00,30.46,4.8733,0.0049,2.4366,0.0024,0.0001,5.00,,,
24,Makao,1,3,3,4,,,,,FDW,11.80,5.00,231.58,37.0520,0.0371,18.5260,0.0185,0.0009,5.00,,,
25,Makao,1,4,4,1,28,11/12/2017 15:54,3 24.391,34 51.074,FDW,127.00,1.20,143.56,83.2653,0.0833,41.6326,0.0416,0.0021,2.00,,,
25,Makao,1,4,4,1,28,11/12/2017 15:54,3 24.391,34 51.074,FDW,27.70,1.50,48.93,28.3766,0.0284,14.1883,0.0142,0.0007,2.00,,,
25,Makao,1,4,4,1,28,11/12/2017 15:54,3 24.391,34 51.074,FDW,18.10,2.80,111.39,17.8231,0.0178,8.9116,0.0089,0.0005,5.00,,,
25,Makao,1,4,4,1,28,11/12/2017 15:54,3 24.391,34 51.074,FDW,24.70,2.80,152.01,24.3222,0.0243,12.1611,0.0122,0.0006,5.00,,,
28,Makao,1,4,4,2,29,11/12/2017 16:06,3 24.389,34 51.068,FDW,25.00,2.00,78.50,45.5300,0.0455,22.7650,0.0228,0.0012,2.00,,,
28,Makao,1,4,4,2,29,11/12/2017 16:06,3 24.389,34 51.068,FDW,19.00,1.60,38.18,9.9274,0.0099,4.9637,0.0050,0.0003,4.00,,,
28,Makao,1,4,4,2,29,11/12/2017 16:06,3 24.389,34 51.068,FDW,32.00,4.50,508.68,81.3888,0.0814,40.6944,0.0407,0.0021,5.00,,,
29,Makao,1,4,4,3,30,11/12/2017 16:27,3 24.382,34 51.066,FDW,13.00,3.20,104.50,16.7199,0.0167,8.3599,0.0084,0.0004,5.00,,,
29,Makao,1,4,4,3,30,11/12/2017 16:27,3 24.382,34 51.066,FDW,12.50,9.00,794.81,127.1700,0.1272,63.5850,0.0636,0.0032,5.00,,,
29,Makao,1,4,4,3,30,11/12/2017 16:27,3 24.382,34 51.066,FDW,12.00,6.00,339.12,54.2592,0.0543,27.1296,0.0271,0.0014,5.00,,,
32,Makao,1,4,4,4,31,11/12/2017 16:34,3 24.379,34 51.074,FDW,74.00,1.00,58.09,33.6922,0.0337,16.8461,0.0168,0.0009,2.00,,,
32,Makao,1,4,4,4,31,11/12/2017 16:34,3 24.379,34 51.074,FDW,15.00,3.90,179.10,28.6556,0.0287,14.3278,0.0143,0.0007,5.00,,,
32,Makao,1,4,4,4,31,11/12/2017 16:34,3 24.379,34 51.074,FDW,8.60,4.00,108.02,17.2826,0.0173,8.6413,0.0086,0.0004,5.00,,,
32,Makao,1,4,4,4,31,11/12/2017 16:34,3 24.379,34 51.074,FDW,4.50,4.00,56.52,9.0432,0.0090,4.5216,0.0045,0.0002,5.00,,,
33,Maswa,2,1,5,1,21,11/12/2017 11:11,3 17.971,34 50.892,FDW,,,,,,,,,,,,
36,Maswa,2,1,5,2,22,11/12/2017 11:24,3 17.969,34 50.902,FDW,,,,,,,,,,,,
37,Maswa,2,1,5,3,23,11/12/2017 11:27,3 17.958,34 50.894,FDW,,,,,,,,,,,,
40,Maswa,2,1,5,4,24,11/12/2017 11:38,3 17.974,34 50.891,FDW,,,,,,,,,,,,
41,Maswa,2,2,6,1,25,11/12/2017 12:07,3 18.144,34 50.887,FDW,,,,,,,,,,,,
43,Maswa,2,2,6,2,26,11/12/2017 12:24,3 18.155,34 50.886,FDW,16.20,3.20,130.22,20.8355,0.0208,10.4178,0.0104,0.0005,5.00,,,
44,Maswa,2,2,6,2,26,11/12/2017 12:24,3 18.155,34 50.886,FDW,35.90,4.40,545.59,87.2950,0.0873,43.6475,0.0436,0.0022,5.00,,,
45,Maswa,2,2,6,3,27,11/12/2017 12:25,3 18.155,34 50.885,FDW,,,,,,,,,,,,
47,Maswa,2,2,6,4,,,,,FDW,67.70,2.90,446.95,116.2058,0.1162,58.1029,0.0581,0.0030,4.00,,,
47,Maswa,2,2,6,4,,,,,FDW,52.00,3.00,367.38,58.7808,0.0588,29.3904,0.0294,0.0015,5.00,,,
48,Maswa,2,2,6,4,,,,,FDW,388.00,15.50,73175.35,11708.0552,11.7081,5854.0276,5.8540,0.2981,5.00,,,
49,Maswa,2,3,7,1,13,11/12/2017 08:23,3 17.744,34 51.128,FDW,36.70,4.90,691.72,110.6746,0.1107,55.3373,0.0553,0.0028,5.00,,,
50,Maswa,2,3,7,1,13,11/12/2017 08:23,3 17.744,34 51.128,FDW,89.60,1.30,118.87,30.9056,0.0309,15.4528,0.0155,0.0008,4.00,,,
50,Maswa,2,3,7,1,13,11/12/2017 08:23,3 17.744,34 51.128,FDW,11.00,5.50,261.21,41.7934,0.0418,20.8967,0.0209,0.0011,5.00,,,
51,Maswa,2,3,7,2,14,11/12/2017 08:34,3 17.746,34 51.140,FDW,189.90,2.80,1168.72,677.8579,0.6779,338.9290,0.3389,0.0173,2.00,,,
52,Maswa,2,3,7,2,14,11/12/2017 08:34,3 17.746,34 51.140,FDW,74.60,1.50,131.76,76.4221,0.0764,38.2111,0.0382,0.0019,2.00,,,
52,Maswa,2,3,7,2,14,11/12/2017 08:34,3 17.746,34 51.140,FDW,68.20,2.70,390.28,226.3651,0.2264,113.1826,0.1132,0.0058,2.00,,,
53,Maswa,2,3,7,3,15,11/12/2017 08:40,3 17.735,34 51.133,FDW,,,,,,,,,,,,
56,Maswa,2,3,7,4,16,11/12/2017 08:52,3 17.739,34 51.146,FDW,,,,,,,,,,,,
