number,Latitude,Longitude,area,rain.region,landuse,block,date,area.m2,ind.no,species,N.non,tree.part,entity,circum.cm,dbh.cm,base.di.raw,base.di.cm,height.cm,age,condition,dbh.kg.per.tree,basal.diamter,basal.diamter,total.basal.area.m2,Biomass.kg.per.tree,Biomass.kg.per.treePhilipo,Carbon.kg.per.tree,References,Fire.freq,Year.of.last.fire,annual.precip.mm2015_2017,precip.mm2017,precip.mm2016
11,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,6,Ormocarpum trachycarpum,non,trunk,live,79.8,25.40112892,,0,0,middle,good,310.1716741,0.018,0,0.0506754,310.1716741,241.2513621,155.085837,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
12,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,6,Ormocarpum trachycarpum,non,trunk,live,79.8,25.40112892,,0,0,middle,good,310.1716741,0.018,0,0.0506754,310.1716741,241.2513621,155.085837,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
13,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,7,Balanites aegyptiaca,non,trunk,live,,0,20,6.366197724,0,young,good,0,5.130068251,2.260988335,0.0031831,2.260988335,2.260988335,1.130494167,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
14,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,7,Balanites aegyptiaca,non,trunk,live,,0,21,6.68450761,0,young,good,0,5.238368137,2.284812495,0.0035094,2.284812495,2.284812495,1.142406247,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
15,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,8,Balanites aegyptiaca,non,trunk,live,33.2,10.56788822,,0,0,middle,good,41.61686662,0.018,0,0.0087714,41.61686662,25.71117475,20.80843331,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
16,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,8,Balanites aegyptiaca,non,trunk,live,33.4,10.6315502,,0,0,middle,good,42.19331222,0.018,0,0.0088774,42.19331222,26.10845196,21.09665611,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
17,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,8,Balanites aegyptiaca,non,branch,live,,0,17.3,5.506761031,0,young,good,0,4.812474995,2.189628963,0.0023817,2.189628963,2.189628963,1.094814481,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
18,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,8,Balanites aegyptiaca,non,branch,live,,0,17.7,5.634084985,0,young,good,0,4.862085123,2.200928241,0.0024931,2.200928241,2.200928241,1.100464121,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
19,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,9,Balanites aegyptiaca,non,trunk,live,,0,22.1,7.034648485,0,young,good,0,5.352433921,2.309639349,0.0038866,2.309639349,2.309639349,1.154819674,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
20,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,9,Balanites aegyptiaca,non,trunk,live,,0,22.3,7.098310462,0,young,good,0,5.372637965,2.314009068,0.0039573,2.314009068,2.314009068,1.157004534,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
21,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,10,Acacia seyal,N,trunk,live,45,14.32394488,,0,0,middle,good,83.51657068,0.018,0,0.0161145,83.51657068,55.8866323,41.75828534,Lugana. 2015,8,2013,1134.810804,1021.567122,1120.036641
22,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Acacia seyal,N,trunk,live,45,14.32394488,,0,0,middle,good,83.51657068,0.018,0,0.0161145,83.51657068,55.8866323,41.75828534,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
23,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,06.05.2017,2500,10,Acacia seyal,N,branch,live,,0,40,12.73239545,0,middle,good,0,6.724579642,2.589706478,0.0127324,2.589706478,2.589706478,1.294853239,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
24,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Acacia seyal,N,branch,live,,0,40,12.73239545,0,middle,good,0,6.724579642,2.589706478,0.0127324,2.589706478,2.589706478,1.294853239,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
25,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.8,0.8,45,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
26,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.8,0.8,34,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
27,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.8,0.8,40,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
28,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.8,0.8,29,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
29,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,1,1,21,young,good,0,1.792456782,1.332087378,0.0000785,1.332087378,1.332087378,0.666043689,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
30,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,1.8,1.8,76,young,good,0,2.653825708,1.623522623,0.0002545,1.623522623,1.623522623,0.811761312,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
31,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,1.2,1.2,60,young,good,0,2.036450843,1.420721944,0.0001131,1.420721944,1.420721944,0.710360972,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
32,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,1,1,32,young,good,0,1.792456782,1.332087378,0.0000785,1.332087378,1.332087378,0.666043689,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
33,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,1.2,1.2,30,young,good,0,2.036450843,1.420721944,0.0001131,1.420721944,1.420721944,0.710360972,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
34,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.9,0.9,43,young,good,0,1.661145949,1.281852546,0.0000636,1.281852546,1.281852546,0.640926273,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
35,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.9,0.9,35,young,good,0,1.661145949,1.281852546,0.0000636,1.281852546,1.281852546,0.640926273,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
36,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,1.4,1.4,25,young,good,0,2.259199968,1.497063782,0.0001539,1.497063782,1.497063782,0.748531891,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
37,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.8,0.8,26,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
38,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.8,0.8,21,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
39,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.8,0.8,35,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
40,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.5,0.5,13,young,good,0,1.055990677,1.018818275,0.0000196,1.018818275,1.018818275,0.509409137,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
41,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.85,0.85,14,young,good,0,1.592875236,1.254940332,0.0000567,1.254940332,1.254940332,0.627470166,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
42,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,1.8,1.8,38,young,good,0,2.653825708,1.623522623,0.0002545,1.623522623,1.623522623,0.811761312,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
43,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.6,0.6,50,young,good,0,1.221209291,1.096908971,0.0000283,1.096908971,1.096908971,0.548454486,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
44,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,1.4,1.4,49,young,good,0,2.259199968,1.497063782,0.0001539,1.497063782,1.497063782,0.748531891,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
45,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.6,0.6,32,young,good,0,1.221209291,1.096908971,0.0000283,1.096908971,1.096908971,0.548454486,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
46,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.5,0.5,15,young,good,0,1.055990677,1.018818275,0.0000196,1.018818275,1.018818275,0.509409137,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
47,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,1.2,1.2,25,young,good,0,2.036450843,1.420721944,0.0001131,1.420721944,1.420721944,0.710360972,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
48,-2.018421963,34.65589003,Park Nyigoti,Intermediate,pasture,1,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,0.8,0.8,18,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,8,2013,1134.810804,1021.567122,1120.036641
49,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,1,Acacia seyal,N,trunk,live,,0,9.9,3.151267873,0,young,good,0,3.661939326,1.908910508,0.0007799,1.908910508,1.908910508,0.954455254,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
50,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,1,Acacia seyal,N,trunk,live,,0,11,3.501408748,0,young,good,0,3.869239431,1.962457498,0.0009629,1.962457498,1.962457498,0.981228749,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
51,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,1,Acacia seyal,N,branch,live,,0,10.4,3.310422816,0,young,good,0,3.758252161,1.933973154,0.0008607,1.933973154,1.933973154,0.966986577,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
52,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,1,Acacia seyal,N,branch,live,,0,10.6,3.374084794,0,young,good,0,3.795785108,1.943652517,0.0008941,1.943652517,1.943652517,0.971826259,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
53,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,2,Ormocarpum trachycarpum,non,trunk,live,,0,4,1.273239545,0,young,good,0,2.120287171,1.449926609,0.0001273,1.449926609,1.449926609,0.724963304,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
54,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,2,Ormocarpum trachycarpum,non,trunk,live,,0,7,2.228169203,0,young,good,0,3.018102826,1.732080491,0.0003899,1.732080491,1.732080491,0.866040245,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
55,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,3,Acacia nilotica,N,trunk,live,,0,6.9,2.196338215,0,young,good,0,2.992734967,1.724742,0.0003789,1.724742,1.724742,0.862371,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
56,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,3,Acacia nilotica,N,trunk,live,,0,8,2.546479089,0,young,good,0,3.258845582,1.800234869,0.0005093,1.800234869,1.800234869,0.900117434,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
57,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,4,Acacia nilotica,N,trunk,live,,0,10.2,3.246760839,0,young,good,0,3.720160734,1.92409998,0.0008279,1.92409998,1.92409998,0.96204999,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
58,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,4,Acacia nilotica,N,trunk,live,,0,11,3.501408748,0,young,good,0,3.869239431,1.962457498,0.0009629,1.962457498,1.962457498,0.981228749,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
59,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,5,Ormocarpum trachycarpum,non,trunk,live,,0,13,4.13802852,0,young,good,0,4.207873791,2.04691812,0.0013449,2.04691812,2.04691812,1.02345906,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
60,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,5,Ormocarpum trachycarpum,non,trunk,live,,0,13.4,4.265352475,0,young,good,0,4.270539111,2.062168546,0.0014289,2.062168546,2.062168546,1.031084273,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
61,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,6,Ormocarpum trachycarpum,non,trunk,live,,0,10.6,3.374084794,0,young,good,0,3.795785108,1.943652517,0.0008941,1.943652517,1.943652517,0.971826259,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
62,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,6,Ormocarpum trachycarpum,non,trunk,live,,0,109,34.69577759,0,young,good,0,9.170082962,3.025240976,0.094546,3.025240976,3.025240976,1.512620488,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
63,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,7,Ormocarpum trachycarpum,non,trunk,live,,0,17.2,5.474930042,0,young,good,0,4.799920776,2.186760338,0.0023542,2.186760338,2.186760338,1.093380169,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
64,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,7,Ormocarpum trachycarpum,non,trunk,live,,0,17.35,5.522676525,0,young,good,0,4.818729092,2.191056616,0.0023955,2.191056616,2.191056616,1.095528308,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
65,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,8,Ormocarpum trachycarpum,non,trunk,live,,0,13.1,4.169859509,0,young,good,0,4.223684516,2.050776564,0.0013656,2.050776564,2.050776564,1.025388282,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
66,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,8,Ormocarpum trachycarpum,non,trunk,live,,0,13.7,4.360845441,0,young,good,0,4.316551537,2.07329485,0.0014936,2.07329485,2.07329485,1.036647425,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
67,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,9,Ormocarpum trachycarpum,non,trunk,live,,0,9.9,3.151267873,0,young,good,0,3.661939326,1.908910508,0.0007799,1.908910508,1.908910508,0.954455254,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
68,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,9,Ormocarpum trachycarpum,non,trunk,live,,0,11,3.501408748,0,young,good,0,3.869239431,1.962457498,0.0009629,1.962457498,1.962457498,0.981228749,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
69,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,14.2,4.520000384,0,young,good,0,4.3914475,2.091278915,0.0016046,2.091278915,2.091278915,1.045639458,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
70,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,10,Ormocarpum trachycarpum,non,trunk,live,,0,14.3,4.551831372,0,young,good,0,4.406167297,2.094795288,0.0016273,2.094795288,2.094795288,1.047397644,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
71,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,11,Ormocarpum trachycarpum,non,trunk,live,,0,10.1,3.21492985,0,young,good,0,3.700900348,1.919088416,0.0008118,1.919088416,1.919088416,0.959544208,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
72,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,11,Ormocarpum trachycarpum,non,trunk,live,,0,10.7,3.405915782,0,young,good,0,3.814347223,1.948421726,0.0009111,1.948421726,1.948421726,0.974210863,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
73,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,12,Ormocarpum trachycarpum,non,trunk,live,,0,16,5.092958179,0,young,good,0,4.644262291,2.150874773,0.0020372,2.150874773,2.150874773,1.075437387,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
74,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,12,Ormocarpum trachycarpum,non,trunk,live,,0,16.5,5.252113122,0,young,good,0,4.710273936,2.166165722,0.0021665,2.166165722,2.166165722,1.083082861,Lugana. 2015,7,2010,1134.810804,1021.567122,1120.036641
75,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,13,Ormocarpum trachycarpum,non,trunk,live,60,19.09859317,,0,0,mature,good,161.4107054,0.018,0,0.028648,161.4107054,116.4867516,80.70535272,Lugana. 2015,7,2010,1134.810804,1021.567122,1120.036641
76,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,13,Ormocarpum trachycarpum,non,trunk,live,60,19.09859317,,0,0,mature,good,161.4107054,0.018,0,0.028648,161.4107054,116.4867516,80.70535272,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
77,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,14,Ormocarpum trachycarpum,non,trunk,live,,0,19.8,6.302535746,0,young,good,0,5.107847425,2.25606902,0.0031198,2.25606902,2.25606902,1.12803451,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
78,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,14,Ormocarpum trachycarpum,non,trunk,live,,0,20.2,6.429859701,0,young,good,0,5.152097858,2.265854774,0.0032471,2.265854774,2.265854774,1.132927387,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
79,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,15,Ormocarpum trachycarpum,non,trunk,live,,0,12.1,3.851549623,0,young,good,0,4.061003299,2.010722084,0.0011651,2.010722084,2.010722084,1.005361042,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
80,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,15,Ormocarpum trachycarpum,non,trunk,live,,0,12.45,3.962958083,0,young,good,0,4.119124994,2.025123451,0.0012335,2.025123451,2.025123451,1.012561726,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
81,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,16,Ormocarpum trachycarpum,non,trunk,live,,0,10.3,3.278591828,0,young,good,0,3.739277295,1.929061247,0.0008442,1.929061247,1.929061247,0.964530624,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
82,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,16,Ormocarpum trachycarpum,non,trunk,live,,0,11,3.501408748,0,young,good,0,3.869239431,1.962457498,0.0009629,1.962457498,1.962457498,0.981228749,Lugana. 2015,7,2010,1134.810804,1021.567122,1120.036641
83,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,17,Ormocarpum trachycarpum,non,trunk,live,35,11.14084602,,0,0,young,good,46.96649602,0.018,0,0.0097483,46.96649602,29.42131702,23.48324801,Lugana. 2015,7,2010,1134.810804,1021.567122,1120.036641
84,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,16.12.2017,2500,17,Ormocarpum trachycarpum,non,trunk,live,35,11.14084602,,0,0,young,good,46.96649602,0.018,0,0.0097483,46.96649602,29.42131702,23.48324801,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
85,-2.025082977,34.65268303,Park Nyigoti,Intermediate,pasture,2,06.05.2017,2500,18,Acacia senegal,N,trunk,live,,0,11,3.501408748,0,young,good,0,3.869239431,1.962457498,0.0009629,1.962457498,1.962457498,0.981228749,Chamshama et al. 2004,7,2010,1134.810804,1021.567122,1120.036641
