"","number","Latitude","Longitude","area","landuse","block","area.m2","total.basal.area.m2","Biomass.kg.per.tree","Carbon.kg.per.tree","Fire.freq","Year.of.last.fire","annual.precip.mm2015_2017","Carbon.g.tree","Biomass.g.tree","Block.ID"
"74",853,-3.302328028,34.84822302,"Maswa","wild",4,2500,0.0718188,462.4160049,231.2080024,2,2007,717.3581404,231208.0024,462416.0049,"8"
"75",867,-3.302328028,34.84822302,"Maswa","wild",4,2500,0.033415,192.5245448,96.26227238,2,2007,717.3581404,96262.27238,192524.5448,"8"
"76",875,-3.302328028,34.84822302,"Maswa","wild",4,2500,0.0213526,115.2804315,57.64021575,2,2007,717.3581404,57640.21575,115280.4315,"8"
"77",882,-3.302328028,34.84822302,"Maswa","wild",4,2500,0.000227,1.59459228,0.79729614,2,2007,717.3581404,797.29614,1594.59228,"8"
"153",1794,-2.350215996,34.04982202,"Mwantimba","pasture",1,400,0.0001989,1.561337628,0.780668814,0,2000,1295.061318,780.668814,1561.337628,"9"
"154",1808,-2.350215996,34.04982202,"Mwantimba","pasture",1,400,2.83e-05,1.096908971,0.548454486,0,2000,1295.061318,548.454486,1096.908971,"9"
"155",1815,-2.350215996,34.04982202,"Mwantimba","pasture",1,400,0.0003464,1.701878199,0.8509391,0,2000,1295.061318,850.9391,1701.878199,"9"
"156",1822,-2.350215996,34.04982202,"Mwantimba","pasture",1,400,0.0002835,1.650957143,0.825478571,0,2000,1295.061318,825.478571,1650.957143,"9"
"157",1829,-2.350215996,34.04982202,"Mwantimba","pasture",1,400,2.83e-05,1.096908971,0.548454486,0,2000,1295.061318,548.454486,1096.908971,"9"
"158",1836,-2.350215996,34.04982202,"Mwantimba","pasture",1,400,1.96e-05,1.018818275,0.509409137,0,2000,1295.061318,509.409137,1018.818275,"9"
"150",1759,-2.367547005,34.05949499,"Mwantimba","pasture",2,400,0.0006162,1.848881245,0.924440623,0,2000,1295.061318,924.440623,1848.881245,"10"
"151",1773,-2.367547005,34.05949499,"Mwantimba","pasture",2,400,0.0013866,2.054604145,1.027302072,0,2000,1295.061318,1027.302072,2054.604145,"10"
"152",1787,-2.367547005,34.05949499,"Mwantimba","pasture",2,400,6.36e-05,1.281852546,0.640926273,0,2000,1295.061318,640.926273,1281.852546,"10"
"132",1502,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,1.56e-05,0.971330297,0.485665148,0,2000,1295.061318,485.665148,971.330297,"11"
"133",1512,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,0.0002865,1.653586442,0.826793221,0,2000,1295.061318,826.793221,1653.586442,"11"
"134",1530,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,2.17e-05,1.039548167,0.519774084,0,2000,1295.061318,519.774084,1039.548167,"11"
"135",1580,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,2.3e-05,1.052252552,0.526126276,0,2000,1295.061318,526.126276,1052.252552,"11"
"136",1620,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,0.0001541,1.497264493,0.748632247,0,2000,1295.061318,748.632247,1497.264493,"11"
"137",1634,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,0.0002011,1.564004252,0.782002126,0,2000,1295.061318,782.002126,1564.004252,"11"
"138",1641,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,5.03e-05,1.22667594,0.61333797,0,2000,1295.061318,613.33797,1226.67594,"11"
"139",1648,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,5.03e-05,1.22667594,0.61333797,0,2000,1295.061318,613.33797,1226.67594,"11"
"140",1655,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,0.0001767,1.531569219,0.76578461,0,2000,1295.061318,765.78461,1531.569219,"11"
"141",1662,-2.367523033,34.06051297,"Mwantimba","pasture",3,400,0.0003142,1.677035318,0.838517659,0,2000,1295.061318,838.517659,1677.035318,"11"
"142",1670,-2.348497035,34.04997901,"Mwantimba","pasture",4,400,6.69e-05,1.293862707,0.646931354,0,2000,1295.061318,646.931354,1293.862707,"12"
"143",1684,-2.348497035,34.04997901,"Mwantimba","pasture",4,400,0.0004841,1.787309204,0.893654602,0,2000,1295.061318,893.654602,1787.309204,"12"
"144",1694,-2.348497035,34.04997901,"Mwantimba","pasture",4,400,0.0001989,1.561337628,0.780668814,0,2000,1295.061318,780.668814,1561.337628,"12"
"145",1708,-2.348497035,34.04997901,"Mwantimba","pasture",4,400,0.0001338,1.462150768,0.731075384,0,2000,1295.061318,731.075384,1462.150768,"12"
"146",1722,-2.348497035,34.04997901,"Mwantimba","pasture",4,400,0.0002677,1.636373619,0.81818681,0,2000,1295.061318,818.18681,1636.373619,"12"
"147",1738,-2.348497035,34.04997901,"Mwantimba","pasture",4,400,0.0001327,1.46022168,0.73011084,0,2000,1295.061318,730.11084,1460.22168,"12"
"148",1745,-2.348497035,34.04997901,"Mwantimba","pasture",4,400,0.0001131,1.420721944,0.710360972,0,2000,1295.061318,710.360972,1420.721944,"12"
"149",1752,-2.348497035,34.04997901,"Mwantimba","pasture",4,400,6.36e-05,1.281852546,0.640926273,0,2000,1295.061318,640.926273,1281.852546,"12"
"78",898,-2.277516983,34.02776697,"Handajega","wild",1,2500,0.05615,348.8381611,174.4190806,9,2014,1279.262855,174419.0806,348838.1611,"13"
"79",914,-2.277516983,34.02776697,"Handajega","wild",1,2500,0.0238975,131.1468014,65.5734007,9,2014,1279.262855,65573.4007,131146.8014,"13"
"80",938,-2.277516983,34.02776697,"Handajega","wild",1,2500,0.0094169,45.14276629,22.57138314,9,2014,1279.262855,22571.38314,45142.76629,"13"
"81",954,-2.277516983,34.02776697,"Handajega","wild",1,2500,0.0580373,362.2979017,181.1489508,9,2014,1279.262855,181148.9508,362297.9017,"13"
"82",961,-2.277516983,34.02776697,"Handajega","wild",1,2500,1.26e-05,0.928099631,0.464049816,9,2014,1279.262855,464.049816,928.099631,"13"
"83",968,-2.277516983,34.02776697,"Handajega","wild",1,2500,1.96e-05,1.018818275,0.509409137,9,2014,1279.262855,509.409137,1018.818275,"13"
"84",975,-2.277516983,34.02776697,"Handajega","wild",1,2500,1.26e-05,0.928099631,0.464049816,9,2014,1279.262855,464.049816,928.099631,"13"
"85",982,-2.277516983,34.02776697,"Handajega","wild",1,2500,1.96e-05,1.018818275,0.509409137,9,2014,1279.262855,509.409137,1018.818275,"13"
"86",989,-2.277516983,34.02776697,"Handajega","wild",1,2500,5.03e-05,1.22667594,0.61333797,9,2014,1279.262855,613.33797,1226.67594,"13"
"87",996,-2.277516983,34.02776697,"Handajega","wild",1,2500,1.96e-05,1.018818275,0.509409137,9,2014,1279.262855,509.409137,1018.818275,"13"
"88",1003,-2.277516983,34.02776697,"Handajega","wild",1,2500,1.26e-05,0.928099631,0.464049816,9,2014,1279.262855,464.049816,928.099631,"13"
"89",1010,-2.277516983,34.02776697,"Handajega","wild",1,2500,3.1e-06,0.683186055,0.341593027,9,2014,1279.262855,341.593027,683.186055,"13"
"90",1017,-2.277516983,34.02776697,"Handajega","wild",1,2500,1.26e-05,0.928099631,0.464049816,9,2014,1279.262855,464.049816,928.099631,"13"
"91",1024,-2.277516983,34.02776697,"Handajega","wild",1,2500,3.85e-05,1.165507753,0.582753877,9,2014,1279.262855,582.753877,1165.507753,"13"
"92",1031,-2.277516983,34.02776697,"Handajega","wild",1,2500,7.85e-05,1.332087378,0.666043689,9,2014,1279.262855,666.043689,1332.087378,"13"
"93",1038,-2.277516983,34.02776697,"Handajega","wild",1,2500,1.96e-05,1.018818275,0.509409137,9,2014,1279.262855,509.409137,1018.818275,"13"
"94",1045,-2.277516983,34.02776697,"Handajega","wild",1,2500,2.83e-05,1.096908971,0.548454486,9,2014,1279.262855,548.454486,1096.908971,"13"
"95",1059,-2.278422983,34.03226101,"Handajega","wild",2,2500,0.3476032,2813.959,1406.9795,13,2016,1279.262855,1406979.5,2813959,"14"
"96",1066,-2.278422983,34.03226101,"Handajega","wild",2,2500,0.0002545,1.623522623,0.811761312,13,2016,1279.262855,811.761312,1623.522623,"14"
"97",1073,-2.278422983,34.03226101,"Handajega","wild",2,2500,0.0002545,1.623522623,0.811761312,13,2016,1279.262855,811.761312,1623.522623,"14"
"98",1080,-2.278422983,34.03226101,"Handajega","wild",2,2500,0.0003464,1.701878199,0.8509391,13,2016,1279.262855,850.9391,1701.878199,"14"
"99",1087,-2.278422983,34.03226101,"Handajega","wild",2,2500,2.83e-05,1.096908971,0.548454486,13,2016,1279.262855,548.454486,1096.908971,"14"
"100",1094,-2.278422983,34.03226101,"Handajega","wild",2,2500,7.85e-05,1.332087378,0.666043689,13,2016,1279.262855,666.043689,1332.087378,"14"
"101",1101,-2.278422983,34.03226101,"Handajega","wild",2,2500,0.0001131,1.420721944,0.710360972,13,2016,1279.262855,710.360972,1420.721944,"14"
"102",1108,-2.278422983,34.03226101,"Handajega","wild",2,2500,1.96e-05,1.018818275,0.509409137,13,2016,1279.262855,509.409137,1018.818275,"14"
"103",1115,-2.278422983,34.03226101,"Handajega","wild",2,2500,0.0001327,1.46022168,0.73011084,13,2016,1279.262855,730.11084,1460.22168,"14"
"104",1122,-2.278422983,34.03226101,"Handajega","wild",2,2500,1.96e-05,1.018818275,0.509409137,13,2016,1279.262855,509.409137,1018.818275,"14"
"105",1129,-2.272475017,34.02334501,"Handajega","wild",3,2500,0.0158293,81.82599068,40.91299534,3,2014,1279.262855,40912.99534,81825.99068,"15"
"106",1151,-2.272475017,34.02334501,"Handajega","wild",3,2500,0.0187959,99.61538615,49.80769307,3,2014,1279.262855,49807.69307,99615.38615,"15"
"107",1158,-2.272475017,34.02334501,"Handajega","wild",3,2500,2.83e-05,1.096908971,0.548454486,3,2014,1279.262855,548.454486,1096.908971,"15"
"108",1165,-2.272475017,34.02334501,"Handajega","wild",3,2500,3.85e-05,1.165507753,0.582753877,3,2014,1279.262855,582.753877,1165.507753,"15"
"109",1179,-2.278290968,34.02457497,"Handajega","wild",4,2500,0.1089339,745.1223828,372.5611914,4,2014,1279.262855,372561.1914,745122.3828,"16"
"110",1188,-2.278290968,34.02457497,"Handajega","wild",4,2500,7.85e-05,1.332087378,0.666043689,4,2014,1279.262855,666.043689,1332.087378,"16"
"111",1195,-2.278290968,34.02457497,"Handajega","wild",4,2500,9.5e-05,1.378172559,0.68908628,4,2014,1279.262855,689.08628,1378.172559,"16"
"112",1202,-2.278290968,34.02457497,"Handajega","wild",4,2500,0.0001131,1.420721944,0.710360972,4,2014,1279.262855,710.360972,1420.721944,"16"
"159",1840,-2.439734973,34.83883202,"Seronera","wild",1,2500,7e-07,0.483201216,0.241600608,4,2016,855.6199048,241.600608,483.201216,"17"
"160",1854,-2.439734973,34.83883202,"Seronera","wild",1,2500,5.1e-06,0.762068734,0.381034367,4,2016,855.6199048,381.034367,762.068734,"17"
"161",1868,-2.439734973,34.83883202,"Seronera","wild",1,2500,2.4e-06,0.642650696,0.321325348,4,2016,855.6199048,321.325348,642.650696,"17"
"162",1878,-2.43808399,34.83679698,"Seronera","wild",2,2500,0.0249556,137.8175638,68.90878192,4,2016,855.6199048,68908.78192,137817.5638,"18"
"163",1892,-2.43808399,34.83679698,"Seronera","wild",2,2500,0.028648,161.4107054,80.70535272,4,2016,855.6199048,80705.35272,161410.7054,"18"
"164",1906,-2.43808399,34.83679698,"Seronera","wild",2,2500,1.79e-05,0.99961934,0.49980967,4,2016,855.6199048,499.80967,999.61934,"18"
"165",1930,-2.434529979,34.83409901,"Seronera","wild",3,2500,9.6e-06,0.876661213,0.438330607,6,2016,855.6199048,438.330607,876.661213,"19"
"166",1944,-2.434529979,34.83409901,"Seronera","wild",3,2500,2.9e-06,0.668909997,0.334454998,6,2016,855.6199048,334.454998,668.909997,"19"
"1",12,-2.018421963,34.65589003,"Park Nyigoti","pasture",1,2500,0.0506754,310.1716741,155.085837,8,2013,1134.810804,155085.837,310171.6741,"20"
"2",30,-2.018421963,34.65589003,"Park Nyigoti","pasture",1,2500,0.0002545,1.623522623,0.811761312,8,2013,1134.810804,811.761312,1623.522623,"20"
"3",37,-2.018421963,34.65589003,"Park Nyigoti","pasture",1,2500,5.03e-05,1.22667594,0.61333797,8,2013,1134.810804,613.33797,1226.67594,"20"
"4",44,-2.018421963,34.65589003,"Park Nyigoti","pasture",1,2500,0.0001539,1.497063782,0.748531891,8,2013,1134.810804,748.531891,1497.063782,"20"
"5",60,-2.025082977,34.65268303,"Park Nyigoti","pasture",2,2500,0.0014289,2.062168546,1.031084273,7,2010,1134.810804,1031.084273,2062.168546,"21"
"6",74,-2.025082977,34.65268303,"Park Nyigoti","pasture",2,2500,0.0021665,2.166165722,1.083082861,7,2010,1134.810804,1083.082861,2166.165722,"21"
"7",88,-2.025082977,34.65268303,"Park Nyigoti","pasture",2,2500,0.0012039,2.019003987,1.009501994,7,2010,1134.810804,1009.501994,2019.003987,"21"
"8",95,-2.025082977,34.65268303,"Park Nyigoti","pasture",2,2500,0.0003801,1.725591514,0.862795757,7,2010,1134.810804,862.795757,1725.591514,"21"
"9",102,-2.025082977,34.65268303,"Park Nyigoti","pasture",2,2500,0.0001131,1.420721944,0.710360972,7,2010,1134.810804,710.360972,1420.721944,"21"
"10",109,-2.025082977,34.65268303,"Park Nyigoti","pasture",2,2500,0.0002545,1.623522623,0.811761312,7,2010,1134.810804,811.761312,1623.522623,"21"
"11",123,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.0003414,1.698209042,0.849104521,6,2007,1134.810804,849.104521,1698.209042,"22"
"12",137,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.0018386,2.125316454,1.062658227,6,2007,1134.810804,1062.658227,2125.316454,"22"
"13",151,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.002665,2.217372994,1.108686497,6,2007,1134.810804,1108.686497,2217.372994,"22"
"14",179,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.0026942,2.220057353,1.110028676,6,2007,1134.810804,1110.028676,2220.057353,"22"
"15",186,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.0008553,1.932370166,0.966185083,6,2007,1134.810804,966.185083,1932.370166,"22"
"16",193,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.0001539,1.497063782,0.748531891,6,2007,1134.810804,748.531891,1497.063782,"22"
"17",200,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.0003464,1.701878199,0.8509391,6,2007,1134.810804,850.9391,1701.878199,"22"
"18",207,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.000227,1.59459228,0.79729614,6,2007,1134.810804,797.29614,1594.59228,"22"
"19",214,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.0001767,1.531569219,0.76578461,6,2007,1134.810804,765.78461,1531.569219,"22"
"20",221,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.0015904,2.089056035,1.044528017,6,2007,1134.810804,1044.528017,2089.056035,"22"
"21",228,-2.032524012,34.652563,"Park Nyigoti","pasture",3,2500,0.0015904,2.089056035,1.044528017,6,2007,1134.810804,1044.528017,2089.056035,"22"
"22",242,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,0.0008279,1.92409998,0.96204999,5,2013,1134.810804,962.04999,1924.09998,"23"
"23",300,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,0.0020372,2.150874773,1.075437387,5,2013,1134.810804,1075.437387,2150.874773,"23"
"24",307,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,6.36e-05,1.281852546,0.640926273,5,2013,1134.810804,640.926273,1281.852546,"23"
"25",314,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,3.85e-05,1.165507753,0.582753877,5,2013,1134.810804,582.753877,1165.507753,"23"
"26",321,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,0.0004909,1.79083031,0.895415155,5,2013,1134.810804,895.415155,1790.83031,"23"
"27",328,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,0.0003801,1.725591514,0.862795757,5,2013,1134.810804,862.795757,1725.591514,"23"
"28",335,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,5.03e-05,1.22667594,0.61333797,5,2013,1134.810804,613.33797,1226.67594,"23"
"29",342,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,2.83e-05,1.096908971,0.548454486,5,2013,1134.810804,548.454486,1096.908971,"23"
"30",349,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,9.5e-05,1.378172559,0.68908628,5,2013,1134.810804,689.08628,1378.172559,"23"
"31",356,-2.03866099,34.65196797,"Park Nyigoti","pasture",4,2500,1.26e-05,0.928099631,0.464049816,5,2013,1134.810804,464.049816,928.099631,"23"
"32",364,-2.01245497,34.66410798,"Ikorongo","wild",1,2500,0.0075491,35.04542029,17.52271015,11,2015,1134.810804,17522.71015,35045.42029,"24"
"33",382,-2.01245497,34.66410798,"Ikorongo","wild",1,2500,0.0194985,103.8911274,51.94556372,11,2015,1134.810804,51945.56372,103891.1274,"24"
"34",414,-2.01245497,34.66410798,"Ikorongo","wild",1,2500,4.9e-06,0.755809163,0.377904582,11,2015,1134.810804,377.904582,755.809163,"24"
"35",421,-2.01245497,34.66410798,"Ikorongo","wild",1,2500,1.96e-05,1.018818275,0.509409137,11,2015,1134.810804,509.409137,1018.818275,"24"
"36",428,-2.01245497,34.66410798,"Ikorongo","wild",1,2500,1.26e-05,0.928099631,0.464049816,11,2015,1134.810804,464.049816,928.099631,"24"
"37",435,-2.01245497,34.66410798,"Ikorongo","wild",1,2500,7.1e-06,0.819544091,0.409772045,11,2015,1134.810804,409.772045,819.544091,"24"
"38",442,-2.01245497,34.66410798,"Ikorongo","wild",1,2500,1.26e-05,0.928099631,0.464049816,11,2015,1134.810804,464.049816,928.099631,"24"
"39",449,-2.01245497,34.66410798,"Ikorongo","wild",1,2500,3.85e-05,1.165507753,0.582753877,11,2015,1134.810804,582.753877,1165.507753,"24"
"40",456,-2.01245497,34.66410798,"Ikorongo","wild",1,2500,5.03e-05,1.22667594,0.61333797,11,2015,1134.810804,613.33797,1226.67594,"24"
"41",463,-2.016259013,34.66320198,"Ikorongo","wild",2,2500,0.0033443,13.79417575,6.897087876,10,2013,1134.810804,6897.087876,13794.17575,"25"
"42",477,-2.016259013,34.66320198,"Ikorongo","wild",2,2500,0.0258548,143.5193574,71.75967869,10,2013,1134.810804,71759.67869,143519.3574,"25"
"43",491,-2.016259013,34.66320198,"Ikorongo","wild",2,2500,0.0147139,75.2576863,37.62884315,10,2013,1134.810804,37628.84315,75257.6863,"25"
"44",498,-2.016259013,34.66320198,"Ikorongo","wild",2,2500,0.0007069,1.883856036,0.941928018,10,2013,1134.810804,941.928018,1883.856036,"25"
"45",505,-2.016259013,34.66320198,"Ikorongo","wild",2,2500,0.0003464,1.701878199,0.8509391,10,2013,1134.810804,850.9391,1701.878199,"25"
"46",512,-2.016259013,34.66320198,"Ikorongo","wild",2,2500,0.0007793,1.90870567,0.954352835,10,2013,1134.810804,954.352835,1908.70567,"25"
"47",542,-2.019805983,34.66064097,"Ikorongo","wild",3,2500,0.0006303,2.040504622,1.020252311,10,2013,1134.810804,1020.252311,2040.504622,"26"
"48",564,-2.019805983,34.66064097,"Ikorongo","wild",3,2500,9.6e-06,0.876508846,0.438254423,10,2013,1134.810804,438.254423,876.508846,"26"
"49",571,-2.019805983,34.66064097,"Ikorongo","wild",3,2500,0.0005309,1.810853568,0.905426784,10,2013,1134.810804,905.426784,1810.853568,"26"
"50",578,-2.019805983,34.66064097,"Ikorongo","wild",3,2500,6.36e-05,1.281852546,0.640926273,10,2013,1134.810804,640.926273,1281.852546,"26"
"51",585,-2.019805983,34.66064097,"Ikorongo","wild",3,2500,0.0002688,1.63741767,0.818708835,10,2013,1134.810804,818.708835,1637.41767,"26"
"52",592,-2.019805983,34.66064097,"Ikorongo","wild",3,2500,4.9e-06,0.755809163,0.377904582,10,2013,1134.810804,377.904582,755.809163,"26"
"53",599,-2.019805983,34.66064097,"Ikorongo","wild",3,2500,1.26e-05,0.928099631,0.464049816,10,2013,1134.810804,464.049816,928.099631,"26"
"54",606,-2.019805983,34.66064097,"Ikorongo","wild",3,2500,3.85e-05,1.165507753,0.582753877,10,2013,1134.810804,582.753877,1165.507753,"26"
"55",613,-2.019805983,34.66064097,"Ikorongo","wild",3,2500,1.26e-05,0.928099631,0.464049816,10,2013,1134.810804,464.049816,928.099631,"26"
"56",627,-2.028793981,34.66028399,"Ikorongo","wild",4,2500,0.0725768,468.0092469,234.0046235,7,2017,1134.810804,234004.6235,468009.2469,"27"
"57",634,-2.028793981,34.66028399,"Ikorongo","wild",4,2500,7.1e-06,0.819544091,0.409772045,7,2017,1134.810804,409.772045,819.544091,"27"
"58",641,-2.028793981,34.66028399,"Ikorongo","wild",4,2500,9.6e-06,0.876508846,0.438254423,7,2017,1134.810804,438.254423,876.508846,"27"
"59",648,-2.028793981,34.66028399,"Ikorongo","wild",4,2500,1.59e-05,0.975296214,0.487648107,7,2017,1134.810804,487.648107,975.296214,"27"
"60",655,-2.028793981,34.66028399,"Ikorongo","wild",4,2500,2.83e-05,1.096908971,0.548454486,7,2017,1134.810804,548.454486,1096.908971,"27"
"61",662,-2.028793981,34.66028399,"Ikorongo","wild",4,2500,7.1e-06,0.819544091,0.409772045,7,2017,1134.810804,409.772045,819.544091,"27"
"62",669,-2.028793981,34.66028399,"Ikorongo","wild",4,2500,2.83e-05,1.096908971,0.548454486,7,2017,1134.810804,548.454486,1096.908971,"27"
"63",676,-2.028793981,34.66028399,"Ikorongo","wild",4,2500,3.02e-05,1.111310462,0.555655231,7,2017,1134.810804,555.655231,1111.310462,"27"
