"Current.placement.of.the.turf","date_extracted","insertion_date","harvest_date","region","site","block","placement","wp","latitude","longitude","source.ID","landuse","Tagsp","transplant","treatment","InitialVegH","InitialVegCover","InitialTagSpcover","FilVegCover","FilTagspCover","FilVegH","Average.H.outside","Themeda.triandra","Digitaria.macroblephara","Crysochloa.orientalis","Chloris.pycnothris","Cynodon.dactylon","Other.weight.g","Other.subsample.wt.g","Target.weight.g","Target.subsample.wt.g","Plant.N","Plant.C","Plant.CN","Soil.depth","weight.g","airdry.weight.g","ovendry.weight.g","weight.stones.g","pH","Total.depth.cm","Core.depth.cm","Vol.cm3","Stone.vol.cm3","BD.gcm3","rain.sum.mm","Tot.Zero.days","Mean.ConscZero.days","Fire.freq2000.2016","Year.of.last.fire","wild_grazerTot","wild_grazerMean","live_broswerMean","live_broswerTot","live_grazerTot","live_grazerMean","wild_broswerrMean","wild_broswerTot","total_dungTot","total_dungMean","HerbPRC","fSite","fBlock","fTagsp","fLanduse","fregion","FinalPresAb","CoverChange"
"CG_DRY_W_2_1","22/02/2017","23/02/2017","25/05/2018","DRY","Maswa",2,"DRY_W",1009,-3.303211983,34.84773603,"SE_2_EX_3","Wild","Dig mac","Trasnplant","Open",2.2,20,16,10,10,7,12,0,16,0,0,0,7.12,1.36,5.95,0.43,1.85,36.45,19.74643036,"5cm",91.93,62.4556,60.7758,3.3878,6.19,10,5,69.27211801,1.77588476,0.850240039,1184.444078,256,13,2,2007,540,5.625,0,0,0,0,7.5,720,1260,13.125,0.14469328,"Maswa","2","Dig mac","Wild","DRY",1,-6
"CG_DRY_W_2_2","22/02/2017","23/02/2017","25/05/2018","DRY","Maswa",2,"DRY_W",1009,-3.303211983,34.84773603,"SE_2_OP_3","Wild","Dig mac","Trasnplant","Open",2.7,25,14,20,10,43,46,2,14,0,0,0,43.61,14.36,7.55,1.74,1.7,38.4,22.63416788,"5cm",94.47,43.7103,42.1934,0.6381,6.63,15,5,69.27211801,0.33449202,0.602795634,1184.444078,256,13,2,2007,540,5.625,0,0,0,0,7.5,720,1260,13.125,0.14469328,"Maswa","2","Dig mac","Wild","DRY",1,-4
"CG_DRY_W_3_1","22/02/2017","23/02/2017","25/05/2018","DRY","Maswa",3,"DRY_W",998,-3.295644969,34.85243501,"SE_3_EX_3","Wild","Dig mac","Trasnplant","Open",1.8,35,11,3,0,0,1,2,11,0,0,0,5.68,0.28,NA,NA,NA,NA,NA,"5cm",103.97,39.4015,38.0109,0.4247,6.5,13,5,69.27211801,0.22262774,0.54433711,1184.444078,256,13,1,2004,642,6.6875,0,0,0,0,3.9375,378,1020,10.625,0.129417744,"Maswa","3","Dig mac","Wild","DRY",0,-11
"CG_DRY_W_3_2","22/02/2017","23/02/2017","25/05/2018","DRY","Maswa",3,"DRY_W",998,-3.295644969,34.85243501,"SE_3_OP_3","Wild","Dig mac","Trasnplant","Open",2.3,35,16,5,2,6,1,16,16,0,0,0,5.84,0.53,5.85,0.32,2.49,37.79,15.18220303,"5cm",92.24,30.7871,30.1388,0.2829,5.63,13,5,69.27211801,0.14829618,0.431919116,1184.444078,256,13,1,2004,642,6.6875,0,0,0,0,3.9375,378,1020,10.625,0.129417744,"Maswa","3","Dig mac","Wild","DRY",1,-14
"CG_DRY_W_4_1","22/02/2017","23/02/2017","25/05/2018","DRY","Maswa",4,"DRY_W",999,-5.73399303,34.85480399,"SE_4_EX_3","Wild","Dig mac","Trasnplant","Open",1.7,6,5,10,0,1,1,0,5,0,0,0,5.2,0.87,NA,NA,NA,NA,NA,"5cm",97.25,40.7548,39.5454,1.014,6.7,13,5,69.27211801,0.5315388,0.560533537,1272.978807,248,13,1,2004,576,6,0,0,0,0,3.5,336,912,9.5,0.114976233,"Maswa","4","Dig mac","Wild","DRY",0,-5
"CG_DRY_W_4_2","22/02/2017","23/02/2017","25/05/2018","DRY","Maswa",4,"DRY_W",999,-5.73399303,34.85480399,"SE_4_OP_3","Wild","Dig mac","Trasnplant","Open",2.5,20,14,15,12,2,5,0,14,0,0,0,6.55,0.93,6.42,0.83,2.08,38.4,18.49555622,"5cm",98.05,54.8657,53.0501,0.6328,6.65,13,5,69.27211801,0.33171376,0.760327714,1272.978807,248,13,1,2004,576,6,0,0,0,0,3.5,336,912,9.5,0.114976233,"Maswa","4","Dig mac","Wild","DRY",1,-2
"CG_WET_P_1_1","18/02/2017","20/02/2017","21/05/2018","WET","Mwantimba",1,"WET_P",958,-2.350156987,34.05000198,"SE_1_EX_2","Pasture","Dig mac","Trasnplant","Open",3.1,40,36,75,0,5,20,0,36,0,0,0,NA,NA,5.77,0.16,1.36,38.81,28.51631564,"5cm",72.44,39.8317,39.0631,0.4546,5.86,11,5,69.27211801,0.23830132,0.559269382,1870.308277,175,9,0,1999,0,0,3.875,372,432,4.5,0,0,804,8.375,-0.341820279,"Mwantimba","1","Dig mac","Pasture","WET",0,-36
"CG_WET_P_1_2","18/02/2017","19/02/2017","21/05/2018","WET","Mwantimba",1,"WET_P",958,-2.350156987,34.05000198,"SE_1_OP_2","Pasture","Dig mac","Trasnplant","Open",2.7,18,9,70,2,7,3,0,9,0,0,0,8.27,1.78,NA,NA,NA,NA,NA,"5cm",58.85,41.9721,41.0281,1.2755,5.79,13,5,69.27211801,0.6686171,0.579454393,1880.505188,175,9,0,1999,0,0,3.875,372,432,4.5,0,0,804,8.375,-0.341820279,"Mwantimba","1","Dig mac","Pasture","WET",1,-7
"CG_WET_P_2_1","18/02/2017","20/02/2017","21/05/2018","WET","Mwantimba",2,"WET_P",960,-2.348458981,34.05039702,"SE_2_EX_2","Pasture","Dig mac","Trasnplant","Open",3.5,45,38,90,2,25,37,2,38,0,0,0,18.81,5.17,NA,NA,NA,NA,NA,"5cm",73.98,39.5237,38.7852,1.3173,6.09,15,5,69.27211801,0.69052866,0.546325921,1870.308277,175,9,0,1999,0,0,2.5,240,300,3.125,0,0,540,5.625,-0.292316226,"Mwantimba","2","Dig mac","Pasture","WET",1,-36
"CG_WET_P_2_2","18/02/2017","19/02/2017","21/05/2018","WET","Mwantimba",2,"WET_P",960,-2.348458981,34.05039702,"SE_2_OP_2","Pasture","Dig mac","Trasnplant","Open",2.7,25,12,97,20,38,32,0,12,0,0,0,19.7,14.54,6.78,0.82,1.09,38.35,35.27098843,"5cm",54.63,25.6232,25.0751,0.8023,5.71,13.5,5,69.27211801,0.42056566,0.352538166,1880.505188,175,9,0,1999,0,0,2.5,240,300,3.125,0,0,540,5.625,-0.292316226,"Mwantimba","2","Dig mac","Pasture","WET",1,8
"CG_WET_W_1_1","18/02/2017","20/02/2017","21/05/2018","WET","Handajega",1,"WET_W",955,-2.272336967,34.02335901,"SE_1_EX_1","Wild","Dig mac","Trasnplant","Open",4,30,27,45,20,61,71,0,27,0,0,0,40.58,12.69,19.05,6.8,0.89,34.22,38.58175484,"5cm",70.61,22.9123,22.4796,1.0125,6.43,11,5,69.27211801,0.5307525,0.312287948,1821.251739,173,10,3,2014,228,2.235294118,0,0,12,0.117647059,1.352941176,138,378,3.705882353,0.044823023,"Handajega","1","Dig mac","Wild","WET",1,-7
"CG_WET_W_1_2","18/02/2017","20/02/2017","22/05/2018","WET","Handajega",1,"WET_W",955,-2.272336967,34.02335901,"SE_1_OP_1","Wild","Dig mac","Trasnplant","Open",8,30,20,50,35,35,70,0,20,0,0,0,6.05,0.46,NA,1.88,0.67,38.46,57.31716251,"5cm",96.65,39.9807,39.1241,1.1946,6.26,11,5,69.27211801,0.62620932,0.552538392,1823.163417,173,10,3,2014,240,2.222222222,0,0,12,0.111111111,1.277777778,138,390,3.611111111,0.04058436,"Handajega","1","Dig mac","Wild","WET",1,15
"CG_WET_W_2_1","18/02/2017","21/02/2017","22/05/2018","WET","Handajega",2,"WET_W",956,-2.278161971,34.02460003,"SE_2_OP_1","Wild","Dig mac","Trasnplant","Open",3.9,12,7,65,20,17,51,1,7,0,0,0,11.02,2.06,18.16,4.76,0.73,36.19,49.4173745,"5cm",125.21,40.2817,39.6085,0.8382,5.9,14,5,69.27211801,0.43938444,0.563253818,1813.826051,173,11,3,2014,192,1.777777778,0.277777778,30,84,0.777777778,0.666666667,72,378,3.5,-0.0292427,"Handajega","2","Dig mac","Wild","WET",1,13
"CG_WET_W_2_2","18/02/2017","20/02/2017","22/05/2018","WET","Handajega",2,"WET_W",956,-2.278161971,34.02460003,"SE_2_EX_1","Wild","Dig mac","Trasnplant","Open",3.2,45,40,97,10,24,75,2,40,0,0,0,16.06,8.91,16.81,5.46,0.98,36.68,37.24539563,"5cm",123.49,40.8794,39.8272,2.527,5.82,12,5,69.27211801,1.3246534,0.548956465,1823.163417,173,10,3,2014,192,1.777777778,0.277777778,30,84,0.777777778,0.666666667,72,378,3.5,-0.0292427,"Handajega","2","Dig mac","Wild","WET",1,-30
"CG_WET_W_3_1","18/02/2017","21/02/2017","22/05/2018","WET","Handajega",3,"WET_W",952,-2.277948987,34.02770201,"SE_3_EX_1","Wild","Dig mac","Trasnplant","Open",2.9,45,22,80,15,26,68,1,22,0,0,0,13.25,4.82,12.04,2.12,1,39.21,39.05697334,"5cm",72.4,40.2243,39.6132,2.8741,5.81,13.4,5,69.27211801,1.50660322,0.542150386,1813.826051,173,11,9,2014,150,1.388888889,0,0,36,0.333333333,0.888888889,96,282,2.611111111,0,"Handajega","3","Dig mac","Wild","WET",1,-7
"CG_WET_W_3_2","18/02/2017","21/02/2017","22/05/2018","WET","Handajega",3,"WET_W",952,-2.277948987,34.02770201,"SE_3_OP_1","Wild","Dig mac","Trasnplant","Open",2.6,40,30,15,5,9,36,0,30,0,0,10,4.78,0.22,9.57,0.8,0.86,36.35,42.21811361,"5cm",80.38,42.9996,42.0901,1.9041,6.14,12,5,69.27211801,0.99812922,0.588598978,1813.826051,173,11,9,2014,150,1.388888889,0,0,36,0.333333333,0.888888889,96,282,2.611111111,0,"Handajega","3","Dig mac","Wild","WET",1,-25
"CG_WET_W_4_1","18/02/2017","21/02/2017","22/05/2018","WET","Handajega",4,"WET_W",949,-2.278803019,34.03195297,"SE_4_EX_1","Wild","Dig mac","Trasnplant","Open",3,32,22,45,0,19,83,10,22,0,0,0,23.9,10.37,NA,NA,NA,NA,NA,"5cm",83.92,39.8898,39.1008,0.8724,5.74,11,5,69.27211801,0.45731208,0.555525798,1813.826051,173,11,13,2016,210,1.944444444,0,0,156,1.444444444,0.944444444,102,468,4.333333333,-0.023191294,"Handajega","4","Dig mac","Wild","WET",0,-22
"CG_WET_W_4_2","18/02/2017","21/02/2017","22/05/2018","WET","Handajega",4,"WET_W",949,-2.278803019,34.03195297,"SE_4_OP_1","Wild","Dig mac","Trasnplant","Open",2.2,15,12,70,0,53,72,0,12,0,0,0,39.75,7.84,NA,NA,NA,NA,NA,"5cm",64.89,36.1687,35.4637,8.1557,6.09,11,5,69.27211801,4.27521794,0.420143114,1813.826051,173,11,13,2016,210,1.944444444,0,0,156,1.444444444,0.944444444,102,468,4.333333333,-0.023191294,"Handajega","4","Dig mac","Wild","WET",0,-12
"SE_1_EX_5","17/02/2017","18/02/2017","19/05/2018","SE","Seronera",1,"SE_EX",976,-4.87471501,34.85509099,"SE_1_EX_5","Wild","Dig mac","Control","Exclosed",4.2,15,14,80,70,48,59,0,14,0,0,0,11.42,4.24,73.13,20.65,0.81,40.02,49.42117395,"5cm",81.11,41.0222,40.1595,1.7155,6.22,14,5,69.27211801,0.8992651,0.562269941,1467.374564,206,10,6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seronera","1","Dig mac","Wild","SE",1,56
"SE_1_OP_5","23/02/2017","25/02/2017","19/05/2018","SE","Seronera",1,"SE_OP",964,-2.43741503,34.85508897,"SE_1_OP_5","Wild","Dig mac","Control","Open",3,20,18,30,20,27,35,0,18,0,0,0,7.19,1.58,NA,NA,NA,NA,NA,"5cm",84.69,40.6223,39.7669,1.802,6.12,14,5,69.27211801,0.9446084,0.555631256,1400.774683,206,10,6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seronera","1","Dig mac","Wild","SE",1,2
"SE_2_EX_5","23/02/2017","25/02/2017","19/05/2018","SE","Seronera",2,"SE_EX",972,-2.43735401,34.855194,"SE_2_EX_5","Wild","Dig mac","Control","Exclosed",3.1,55,10,95,0,36,50,0,10,0,0,0,83.16,18.48,NA,NA,NA,NA,NA,"5cm",79.88,39.8517,39.2764,1.6339,5.95,14,5,69.27211801,0.85649038,0.55020324,1400.774683,206,11,6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seronera","2","Dig mac","Wild","SE",0,-10
"SE_2_OP_5","16/02/2017","18/02/2017","19/05/2018","SE","Seronera",2,"SE_OP",977,-2.437377982,34.85516299,"SE_2_OP_5","Wild","Dig mac","Control","Open",2.2,15,4,55,0,34,21,0,4,0,0,0,43.07,11.57,NA,NA,NA,NA,NA,"5cm",109.01,30.6914,30.316,1.7156,5.8,14,5,69.27211801,0.89931752,0.418300842,1467.374564,206,10,6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seronera","2","Dig mac","Wild","SE",0,-4
"SE_3_EX_5","17/02/2017","18/02/2017","19/05/2018","SE","Seronera",3,"SE_EX",973,-2.43755199,34.85471799,"SE_3_EX_5","Wild","Dig mac","Control","Exclosed",2.7,45,16,90,5,64,101,0,16,0,0,0,78.26,17.71,7.23,7.23,1.22,38.24,31.46966968,"5cm",67.89,40.5373,39.6326,1.4984,5.86,14,5,69.27211801,0.78546128,0.556812112,1467.374564,206,11,6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seronera","3","Dig mac","Wild","SE",1,-11
"SE_3_OP_5","16/02/2017","18/02/2017","19/05/2018","SE","Seronera",3,"SE_OP",978,-2.43747496,34.85473098,"SE_3_OP_5","Wild","Dig mac","Control","Open",2.6,25,12,98,0,52,81,0,12,0,0,5,61.98,22.39,NA,NA,NA,NA,NA,"5cm",92.61,36.0029,35.0191,0.8313,6.37,13,5,69.27211801,0.43576746,0.49665329,1467.374564,206,11,6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seronera","3","Dig mac","Wild","SE",0,-12
"SE_4_EX_5","16/02/2017","18/02/2017","19/05/2018","SE","Seronera",4,"SE_EX",975,-2.43743699,34.85444801,"SE_4_EX_5","Wild","Dig mac","Control","Exclosed",2,25,25,95,60,79,86,0,25,0,0,0,20.83,0.5,75.66,20.3,0.79,38.87,49.38378684,"5cm",77.08,39.312,38.2939,1.2058,6,13,5,69.27211801,0.63208036,0.540327501,1467.374564,206,11,6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seronera","4","Dig mac","Wild","SE",1,35
"SE_4_OP_5","16/02/2017","18/02/2017","19/05/2018","SE","Seronera",4,"SE_OP",974,-2.43735401,34.85454298,"SE_4_OP_5","Wild","Dig mac","Control","Open",2,15,6,80,0,54,98,6,6,0,0,0,40.86,11.74,NA,NA,NA,NA,NA,"5cm",87.09,42.0701,40.1492,0.8502,6.27,13,5,69.27211801,0.44567484,0.570986937,1467.374564,206,11,6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seronera","4","Dig mac","Wild","SE",0,-6
