plot.id,block.id.harvest,site.id,block.id,site.name,region,landuse,block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,target.sp.,pasture.disc.setup,height. setup,target.sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,target.sp.cover.harvest,total.veg.cover.harvest,pre.biomass.target.sp.g,pre.biomass.total.g,biomass.target.sp.,biomass.other.sp.,biomass.total.g,productivity.target.g.m2.day,consumption.target.g.m2.day,productivity.total.g.m2.day,consumption.total.g.m2.day,consumption.per
SE_2_H0,SE_2_H1,SE_2_,SE_2,Seronera,SE,W,2,H0,H0,1025,-2.437766,34.855394,2/26/2017,,,,Dig.mac,,,,30,,,,,,,,8.48,8.48,,,,,
SE_3_H0,SE_3_H1,SE_3_,SE_3,Seronera,SE,W,3,H0,H0,1027,-2.437991,34.855418,2/26/2017,,,,Dig.mac,,,,40,,,,,,,,9.81,9.81,,,,,
SE_4_H0,SE_4_H1,SE_4_,SE_4,Seronera,SE,W,4,H0,H0,1026,-2.438079,34.854989,2/26/2017,,,,Dig.mac,,,,35,,,,,,,,10.1,10.1,,,,,
WET_W_1_EX_H1,WET_W_1_H1,WET_W,WET_W_1,Handajega,WET,W,1,EX,H1,954,-2.272484,34.023326,2/16/2017,20/03/2017,32,145.67,The.tri,3,1.9,10,65,4,1.2,4,45,,,1.28,16.1,17.38,-0.05,-0.04,0.14,0.32,-228.4314286
WET_W_1_OP_H1,WET_W_1_H1,WET_W,WET_W_1,Handajega,WET,W,1,OP,H1,954,-2.272484,34.023326,2/16/2017,20/03/2017,32,145.67,The.tri,2.5,2.3,10,40,1.5,1.4,8,30,1.83,15.8,1.74,11.99,13.73,-0.01,,-0.18,,
WET_W_2_EX_H1,WET_W_2_H1,WET_W,WET_W_2,Handajega,WET,W,2,EX,H1,953,-2.2783,34.024459,2/16/2017,20/03/2017,32,145.67,The.tri,2.3,2.1,20,40,2.3,2.6,5,20,,,2.47,5.28,7.75,0.02,0.05,-0.4,0.04,9.6
WET_W_2_OP_H1,WET_W_2_H1,WET_W,WET_W_2,Handajega,WET,W,2,OP,H1,953,-2.2783,34.024459,2/16/2017,20/03/2017,32,145.67,The.tri,2.5,0.6,12,40,1.5,0.6,7,24,2.22,12.36,1.85,5.44,7.29,-0.03,,-0.44,,
WET_W_3_EX_H1,WET_W_3_H1,WET_W,WET_W_3,Handajega,WET,W,3,EX,H1,951,-2.277999,34.027678,2/16/2017,21/03/2017,33,152.53,The.tri,3.5,2.4,25,55,2.5,4.1,20,50,,,8.18,6.52,14.7,-0.04,-0.23,-0.68,-0.76,-112.4447059
WET_W_3_OP_H1,WET_W_3_H1,WET_W,WET_W_3,Handajega,WET,W,3,OP,H1,951,-2.277999,34.027678,2/16/2017,21/03/2017,33,152.53,The.tri,2.5,2.6,20,45,0.7,4.5,15,40,8.61,22.77,10.92,12.83,23.75,0.19,,0.08,,
WET_W_4_EX_H1,WET_W_4_H1,WET_W,WET_W_4,Handajega,WET,W,4,EX,H1,950,-2.278837,34.031884,2/16/2017,21/03/2017,33,152.53,The.tri,1.5,0.9,15,70,1.8,2.7,5,35,,,2.91,10.26,13.17,,-0.22,-1.35,0.27,18.65
WET_W_4_OP_H1,WET_W_4_H1,WET_W,WET_W_4,Handajega,WET,W,4,OP,H1,950,-2.278837,34.031884,2/16/2017,21/03/2017,33,152.53,The.tri,2.5,1.8,25,65,1.8,2.2,18,30,,29.26,5.55,4.45,10,,,-1.62,,
WET_P_1_EX_H1,WET_P_1_H1,WET_P,WET_P_1,Mwantimba,WET,P,1,EX,H1,957,-2.350052,34.049976,2/17/2017,22/03/2017,33,161.6,Chr.ori,0.5,0.4,1,7,1.8,0.9,6,25,,,1.91,13.25,15.16,-0.04,-0.57,1,0.29,-28
WET_P_1_OP_H1,WET_P_1_H1,WET_P,WET_P_1,Mwantimba,WET,P,1,OP,H1,957,-2.350052,34.049976,2/17/2017,22/03/2017,33,161.6,Chr.ori,1,1,10,15,1.5,0.8,10,18,2.42,3.28,8.69,3,11.69,0.53,,0.71,,
WET_P_2_EX_H1,WET_P_2_H1,WET_P,WET_P_2,Mwantimba,WET,P,2,EX,H1,959,-2.348488,34.05011,2/17/2017,22/03/2017,33,161.6,Chr.ori,0.5,0.6,0,15,1.6,3,0,40,,,0,13.46,13.46,-0.06,-0.01,0.86,0.68,-78.20976744
WET_P_2_OP_H1,WET_P_2_H1,WET_P,WET_P_2,Mwantimba,WET,P,2,OP,H1,959,-2.348488,34.05011,2/17/2017,22/03/2017,33,161.6,Chr.ori,1,0.2,0,7,1,2.6,3,20,0.69,3.21,0.15,5.26,5.41,-0.05,,0.19,,
WET_P_3_EX_H1,WET_P_3_H1,WET_P,WET_P_3,Mwantimba,WET,P,3,EX,H1,1022,-2.367293,34.062509,2/17/2017,22/03/2017,33,161.6,Chr.ori,1,1.5,,,3.2,2.6,5,70,,,5.16,31.55,36.71,,0.35,2.67,1.26,-44.52101124
WET_P_3_OP_H1,WET_P_3_H1,WET_P,WET_P_3,Mwantimba,WET,P,3,OP,H1,1022,-2.367293,34.062509,2/17/2017,22/03/2017,33,161.6,Chr.ori,1,0.9,,,1.6,0.8,2,55,,4.96,0.97,20.81,21.78,,,1.42,,
WET_P_4_EX_H1,WET_P_4_H1,WET_P,WET_P_4,Mwantimba,WET,P,4,EX,H1,1020,-2.36857,34.062586,2/23/2017,22/03/2017,27,119.69,Chr.ori,,0.7,9,20,1.5,0.7,0,60,,,0,26.71,26.71,-0.17,0,2.29,0.91,-37.44799127
WET_P_4_OP_H1,WET_P_4_H1,WET_P,WET_P_4,Mwantimba,WET,P,4,OP,H1,1020,-2.36857,34.062586,2/23/2017,22/03/2017,27,119.69,Chr.ori,,0.4,8,15,0.5,1.5,0,40,1.65,4.41,0,17.84,17.84,-0.17,,1.38,,
DRY_W_1_EX_H1,DRY_W_1_H1,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX,H1,995,-3.299332,34.848458,2/19/2017,24/03/2017,33,165.31,Cyn.dac,,1.8,10,20,3.5,6.8,12,55,,,14.67,41.78,56.45,0.2,0.61,3.55,2.38,-63.49225352
DRY_W_1_EX2_H1,DRY_W_1_H1,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX2,H1,995,-3.299332,34.848458,2/19/2017,25/03/2017,34,167.02,Cyn.dac,,1.2,10,30,2.8,13.4,28,78,,,24.35,56.73,81.08,0.99,1.38,5.46,4.32,-73.66087912
DRY_W_1_OP_H1,DRY_W_1_H1,DRY_W,DRY_W_1,Maswa,DRY,W,1,OP,H1,995,-3.299332,34.848458,2/19/2017,24/03/2017,33,165.31,Cyn.dac,,0.4,18,35,2,1.7,8,28,12.24,14.22,7.46,20.77,28.23,-0.4,,1.18,,
DRY_W_2_EX_H1,DRY_W_2_H1,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX,H1,980,-3.303268,34.847796,2/19/2017,24/03/2017,33,165.31,Cyn.dac,,0.4,15,45,0.5,1.7,4,40,,,3.03,34.02,37.05,-0.08,0.08,2.17,-0.28,15.07322581
DRY_W_2_EX2_H1,DRY_W_2_H1,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX2,H1,980,-3.303268,34.847796,2/19/2017,25/03/2017,34,167.02,Cyn.dac,,0.7,15,50,3,24.6,10,80,,,9.42,80.87,90.29,0.44,0.6,6.46,4.08,-56.69789474
DRY_W_2_OP_H1,DRY_W_2_H1,DRY_W,DRY_W_2,Maswa,DRY,W,2,OP,H1,980,-3.303268,34.847796,2/19/2017,24/03/2017,33,165.31,Cyn.dac,,1.1,7,60,1.5,2.8,6,45,3.99,11.25,2.09,38.32,40.41,-0.16,,2.45,,
DRY_W_3_EX_H1,DRY_W_3_H1,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX,H1,998,-3.295645,34.852435,2/20/2017,24/03/2017,32,164.63,Cyn.dac,,0.6,10,25,1.5,4.8,20,53,,,8.26,30.12,38.38,0.51,0.09,2.16,1.15,-51.08074074
DRY_W_3_EX2_H1,DRY_W_3_H1,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX2,H1,998,-3.295645,34.852435,2/20/2017,25/03/2017,33,166.34,Cyn.dac,,0.2,10,40,2,12,25,70,,,17.64,56.39,74.03,1.28,0.87,5.1,4.11,-75.48823529
DRY_W_3_OP_H1,DRY_W_3_H1,DRY_W,DRY_W_3,Maswa,DRY,W,3,OP,H1,998,-3.295645,34.852435,2/20/2017,24/03/2017,32,164.63,Cyn.dac,,0.3,20,45,1.3,3.3,20,60,2.42,13.47,7.26,17.91,25.17,0.42,,1.02,,
DRY_W_4_EX_H1,DRY_W_4_H1,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX,H1,1000,-3.296013,34.854327,2/20/2017,25/03/2017,33,170.33,Cyn.dac,,0.2,8,30,1.6,3.9,10,50,,,3.59,49.69,53.28,0.18,-0.4,3.24,2.28,-67.13037037
DRY_W_4_EX2_H1,DRY_W_4_H1,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX2,H1,1000,-3.296013,34.854327,2/20/2017,25/03/2017,33,170.33,Cyn.dac,,0.3,12,25,3.5,3.3,15,50,,,49.76,46.73,96.49,4.06,3.48,6.87,5.92,-79.30176128
DRY_W_4_OP_H1,DRY_W_4_H1,DRY_W,DRY_W_4,Maswa,DRY,W,4,OP,H1,1000,-3.296013,34.854327,2/20/2017,25/03/2017,33,170.33,Cyn.dac,,0.5,8,45,4,14,9,60,1.47,14.83,8.39,17.82,26.21,0.58,,0.96,,
DRY_P_1_EX_H1,DRY_P_1_H1,DRY_P,DRY_P_1,Makao,DRY,P,1,EX,H1,1009,-3.303212,34.847736,2/21/2017,26/03/2017,33,156.81,Chl.pyc,1.3,1.4,5,55,7.5,18.6,3,95,,,3.06,106.62,109.68,0.09,-0.42,8.07,4.59,-48.80732342
DRY_P_1_OP_H1,DRY_P_1_H1,DRY_P,DRY_P_1,Makao,DRY,P,1,OP,H1,1009,-3.303212,34.847736,2/21/2017,26/03/2017,33,156.81,Chl.pyc,1.4,1.3,8,50,2,4,8,70,2.03,13.76,8.04,47.08,55.12,0.51,,3.48,,
DRY_P_2_EX_H1,DRY_P_2_H1,DRY_P,DRY_P_2,Makao,DRY,P,2,EX,H1,1006,-3.408426,34.850244,2/21/2017,26/03/2017,33,156.81,Chl.pyc,1,0.2,24,45,3,10,20,47,,,20.78,33.33,54.11,1.25,1.49,3.7,0.99,-23.05675676
DRY_P_2_OP_H1,DRY_P_2_H1,DRY_P,DRY_P_2,Makao,DRY,P,2,OP,H1,1006,-3.408426,34.850244,2/21/2017,26/03/2017,33,156.81,Chl.pyc,0.8,1.1,3,30,1,0.9,9,55,5.9,10.12,3.13,39.21,42.34,-0.23,,2.71,,
DRY_P_3_EX_H1,DRY_P_3_H1,DRY_P,DRY_P_3,Makao,DRY,P,3,EX,H1,1001,-3.406316,34.850407,2/20/2017,26/03/2017,34,176.82,Chl.pyc,1.7,1.5,4,55,,,,,,,,,,,,,,
DRY_P_3_OP_H1,DRY_P_3_H1,DRY_P,DRY_P_3,Makao,DRY,P,3,OP,H1,1001,-3.406316,34.850407,2/20/2017,26/03/2017,34,176.82,Chl.pyc,1.2,1.2,2,50,2,2.4,7,60,0.79,11.79,1.61,51.76,53.37,0.07,,3.4,,
DRY_P_4_EX_H1,DRY_P_4_H1,DRY_P,DRY_P_4,Makao,DRY,P,4,EX,H1,1003,-3.406853,34.8516,2/20/2017,26/03/2017,34,176.82,Chl.pyc,1.5,1.9,10,45,4,8.2,10,55,,,9.01,47.2,56.21,0.64,0.57,3.54,1.57,-40.81028249
DRY_P_4_OP_H1,DRY_P_4_H1,DRY_P,DRY_P_4,Makao,DRY,P,4,OP,H1,1003,-3.406853,34.8516,2/20/2017,26/03/2017,34,176.82,Chl.pyc,1.5,3.5,5,45,2.3,5.6,4,50,1.16,12.82,2.04,34.92,36.96,0.07,,1.97,,
SE_1_EX_H1,SE_1_H1,SE,SE_1,Seronera,SE,W,1,EX,H1,1023,-2.437747,34.855162,2/26/2017,18/03/2017,20,84.86,Dig.mac,,0.9,4,45,4,7.3,6,65,,,5.02,36.34,41.36,,-0.65,4.03,-0.36,12.96300248
SE_1_EX2_H1,SE_1_H1,SE,SE_1,Seronera,SE,W,1,EX2,H1,1023,-2.437747,34.855162,2/25/2017,18/03/2017,21,86.14,Dig.mac,,1,2,45,3.9,8.3,3,60,,,3.18,47.03,50.21,,-0.87,5.01,0.83,-11.55686627
SE_1_OP_H1,SE_1_H1,SE,SE_1,Seronera,SE,W,1,OP,H1,1023,-2.437747,34.855162,2/25/2017,18/03/2017,21,86.14,Dig.mac,,2.6,2,45,4.3,10.3,10,55,,12.35,9.72,34.21,43.93,,,4.18,,
SE_2_EX_H1,SE_2_H1,SE,SE_2,Seronera,SE,W,2,EX,H1,1025,-2.437766,34.855394,2/26/2017,18/03/2017,20,84.86,Dig.mac,,1.8,3,35,3.9,7.4,5,70,,,4.68,36.83,41.51,,-0.39,4.59,1.11,-19.59300654
SE_2_EX2_H1,SE_2_H1,SE,SE_2,Seronera,SE,W,2,EX2,H1,1025,-2.437766,34.855394,2/25/2017,18/03/2017,21,86.14,Dig.mac,,2.1,12,30,3.4,5.4,18,45,,,7.25,16.19,23.44,,-0.03,1.98,-1.33,69.15171717
SE_2_OP_H1,SE_2_H1,SE,SE_2,Seronera,SE,W,2,OP,H1,1025,-2.437766,34.855394,2/25/2017,18/03/2017,21,86.14,Dig.mac,,3.3,8,35,3.4,4.4,10,40,,8.48,7.5,26.02,33.52,,,3.31,,
SE_3_EX_H1,SE_3_H1,SE,SE_3,Seronera,SE,W,3,EX,H1,1027,-2.437991,34.855418,2/26/2017,18/03/2017,20,84.86,Dig.mac,,2.4,5,50,5,8.3,7,70,,,16.94,46.21,63.15,,1.48,7.41,3.32,-37.39431849
SE_3_EX2_H1,SE_3_H1,SE,SE_3,Seronera,SE,W,3,EX2,H1,1027,-2.437991,34.855418,2/25/2017,18/03/2017,21,86.14,Dig.mac,,1.4,5,45,5,3.3,15,65,,,9.12,30.96,40.08,,0.37,4,0.11,1.25
SE_3_OP_H1,SE_3_H1,SE,SE_3,Seronera,SE,W,3,OP,H1,1027,-2.437991,34.855418,2/25/2017,18/03/2017,21,86.14,Dig.mac,,1.3,10,40,4.1,6,6,50,,9.81,6.31,32.97,39.28,,,3.9,,
SE_4_EX_H1,SE_4_H1,SE,SE_4,Seronera,SE,W,4,EX,H1,1026,-2.438079,34.854989,2/26/2017,18/03/2017,20,84.86,Dig.mac,,3.9,6,35,5.6,8.8,8,65,,,9.73,42.17,51.9,,0.09,5.81,2.14,-31.02304647
SE_4_EX2_H1,SE_4_H1,SE,SE_4,Seronera,SE,W,4,EX2,H1,1026,-2.438079,34.854989,2/25/2017,18/03/2017,21,86.14,Dig.mac,,2.7,15,35,5.4,12.5,25,55,,,26.28,34.41,60.69,,2.28,6.69,3.2,-41.14258595
SE_4_OP_H1,SE_4_H1,SE,SE_4,Seronera,SE,W,4,OP,H1,1026,-2.438079,34.854989,2/25/2017,18/03/2017,21,86.14,Dig.mac,,4.1,6,40,4.7,7.1,10,45,,10.1,9.08,27.41,36.49,,,3.49,,
WET_W_1_EX_H2,WET_W_1_H2,WET_W,WET_W_1,Handajega,WET,W,1,EX,H2,954,-2.272484,34.023326,3/20/2017,13/05/2017,54,217.8,The.tri,1.5,2.7,7,45,3.5,17,5,40,1.28,17.38,2.22,23.49,25.71,0.02,0.04,0.62,-0.57,92.55548387
WET_W_1_OP_H2,WET_W_1_H2,WET_W,WET_W_1,Handajega,WET,W,1,OP,H2,954,-2.272484,34.023326,3/20/2017,13/05/2017,54,217.8,The.tri,1.5,5.5,5,45,5.2,10.2,5,30,1.74,13.73,1.43,35.27,36.7,-0.02,,1.18,,
WET_W_2_EX_H2,WET_W_2_H2,WET_W,WET_W_2,Handajega,WET,W,2,EX,H2,953,-2.2783,34.024459,3/20/2017,13/05/2017,54,217.8,The.tri,1.5,1.4,8,35,5,24.6,20,55,2.47,7.75,14.86,37.83,52.69,0.67,0.76,2.34,2.04,-84.83948718
WET_W_2_OP_H2,WET_W_2_H2,WET_W,WET_W_2,Handajega,WET,W,2,OP,H2,953,-2.2783,34.024459,3/20/2017,13/05/2017,54,217.8,The.tri,0.8,3.7,15,35,3,9.6,15,50,1.85,7.29,,12.97,12.97,,,0.29,,
WET_W_3_EX_H2,WET_W_3_H2,WET_W,WET_W_3,Handajega,WET,W,3,EX,H2,951,-2.277999,34.027678,3/21/2017,13/05/2017,53,213.79,The.tri,2.8,1.4,15,35,3.5,31.6,40,65,8.18,14.7,63.96,17.08,81.04,2.78,3.35,3,3.34,-108.3333333
WET_W_3_OP_H2,WET_W_3_H2,WET_W,WET_W_3,Handajega,WET,W,3,OP,H2,951,-2.277999,34.027678,3/21/2017,13/05/2017,53,213.79,The.tri,2.7,1.5,33,40,3.2,13.2,20,55,10.92,23.75,,17.26,17.26,,,-0.34,,
WET_W_4_EX_H2,WET_W_4_H2,WET_W,WET_W_4,Handajega,WET,W,4,EX,H2,950,-2.278837,34.031884,3/21/2017,13/05/2017,53,213.79,The.tri,1,3.3,25,40,3.5,20.6,15,50,2.91,13.17,9.28,24.44,33.72,0.2,0.11,1.24,0.43,-33.43741935
WET_W_4_OP_H2,WET_W_4_H2,WET_W,WET_W_4,Handajega,WET,W,4,OP,H2,950,-2.278837,34.031884,3/21/2017,13/05/2017,53,213.79,The.tri,0.7,1.4,18,35,2,6,10,30,5.55,10,7.11,18.38,25.49,0.08,,0.81,,
WET_P_1_EX_H2,WET_P_1_H2,WET_P,WET_P_1,Mwantimba,WET,P,1,EX,H2,957,-2.350052,34.049976,3/22/2017,14/05/2017,53,222.92,Chr.ori,1,0.3,12,15,3,14.2,55,92,1.91,15.16,24.25,33.89,58.14,0.82,0.41,2.43,1.5,-59.29839506
WET_P_1_OP_H2,WET_P_1_H2,WET_P,WET_P_1,Mwantimba,WET,P,1,OP,H2,957,-2.350052,34.049976,3/22/2017,14/05/2017,53,222.92,Chr.ori,1.2,0.6,8,12,1,9.6,45,60,8.69,11.69,16.37,13.16,29.53,0.4,,0.94,,
WET_P_2_EX_H2,WET_P_2_H2,WET_P,WET_P_2,Mwantimba,WET,P,2,EX,H2,959,-2.348488,34.05011,3/22/2017,14/05/2017,53,222.92,Chr.ori,1.5,1.6,12,50,5.5,16.8,20,80,0,13.46,24.42,36.79,61.21,1.27,0.67,2.92,1.68,-54.61424658
WET_P_2_OP_H2,WET_P_2_H2,WET_P,WET_P_2,Mwantimba,WET,P,2,OP,H2,959,-2.348488,34.05011,3/22/2017,14/05/2017,53,222.92,Chr.ori,1.6,2,7,40,2.2,5.2,30,65,0.15,5.41,11.62,17.5,29.12,0.6,,1.24,,
WET_P_3_EX_H2,WET_P_3_H2,WET_P,WET_P_3,Mwantimba,WET,P,3,EX,H2,1022,-2.367293,34.062509,3/22/2017,14/05/2017,53,222.92,Chr.ori,1.5,3.8,7,60,12,51.4,5,95,5.16,36.71,4.8,99.42,104.22,0.2,0.19,4.32,0.77,-13.50407407
WET_P_3_OP_H2,WET_P_3_H2,WET_P,WET_P_3,Mwantimba,WET,P,3,OP,H2,1022,-2.367293,34.062509,3/22/2017,14/05/2017,53,222.92,Chr.ori,1.8,0.7,8,45,4,28.6,3,95,0.97,21.78,1.11,88.37,89.48,0.01,,3.55,,
WET_P_4_EX_H2,WET_P_4_H2,WET_P,WET_P_4,Mwantimba,WET,P,4,EX,H2,1020,-2.36857,34.062586,3/22/2017,14/05/2017,53,222.92,Chr.ori,1.8,0.4,18,35,5.2,28.6,25,85,0,26.71,9.22,68.18,77.4,0.48,-0.45,3.12,0.49,-12.58512821
WET_P_4_OP_H2,WET_P_4_H2,WET_P,WET_P_4,Mwantimba,WET,P,4,OP,H2,1020,-2.36857,34.062586,3/22/2017,14/05/2017,53,222.92,Chr.ori,1.7,2.1,55,70,2.5,17.6,25,95,0,17.84,17.76,50.22,67.98,0.93,,2.63,,
DRY_W_1_EX_H2,DRY_W_1_H2,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX,H2,995,-3.299332,34.848458,3/24/2017,11/05/2017,48,115.33,Cyn.dac,2,6.8,13,30,,,,,14.67,56.45,,,,,,,,
DRY_W_1_EX2_H2,DRY_W_1_H2,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX2,H2,995,-3.299332,34.848458,3/25/2017,11/05/2017,47,115.33,Cyn.dac,2.3,19.5,13,35,,,,,24.35,81.08,,,,,,,,
DRY_W_1_OP_H2,DRY_W_1_H2,DRY_W,DRY_W_1,Maswa,DRY,W,1,OP,H2,995,-3.299332,34.848458,3/24/2017,11/05/2017,48,115.33,Cyn.dac,1.5,3.6,8,38,,,,,7.46,28.23,0,,0,-0.43,,-1.63,,
DRY_W_2_EX_H2,DRY_W_2_H2,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX,H2,980,-3.303268,34.847796,3/24/2017,11/05/2017,48,115.33,Cyn.dac,0.5,1.5,4,35,2,3.6,18,25,3.03,37.05,14.46,11.35,25.81,0.72,0.54,-0.84,0.58,68.20761905
DRY_W_2_EX2_H2,DRY_W_2_H2,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX2,H2,980,-3.303268,34.847796,3/25/2017,11/05/2017,47,115.33,Cyn.dac,2.5,6.4,15,40,,,,,9.42,90.29,,,,,,,,
DRY_W_2_OP_H2,DRY_W_2_H2,DRY_W,DRY_W_2,Maswa,DRY,W,2,OP,H2,980,-3.303268,34.847796,3/24/2017,11/05/2017,48,115.33,Cyn.dac,1.7,3.5,10,30,1.5,1.2,10,25,2.09,40.41,5.07,10.73,15.8,0.17,,-1.42,,
DRY_W_3_EX_H2,DRY_W_3_H2,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX,H2,998,-3.295645,34.852435,3/24/2017,11/05/2017,48,115.33,Cyn.dac,1.2,4.1,6,50,,,,,8.26,38.38,,,,,,,,
DRY_W_3_EX2_H2,DRY_W_3_H2,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX2,H2,998,-3.295645,34.852435,3/25/2017,11/05/2017,47,115.33,Cyn.dac,1.5,4.3,6,31,2.5,13,15,60,17.64,74.03,8.04,38.37,46.41,0.05,0.13,1.26,1.29,-101.1209524
DRY_W_3_OP_H2,DRY_W_3_H2,DRY_W,DRY_W_3,Maswa,DRY,W,3,OP,H2,998,-3.295645,34.852435,3/24/2017,11/05/2017,48,115.33,Cyn.dac,1.5,14.8,15,62,1.7,3.3,10,30,7.26,25.17,5.92,18.64,24.56,-0.08,,-0.04,,
DRY_W_4_EX_H2,DRY_W_4_H2,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX,H2,1000,-3.296013,34.854327,3/25/2017,11/05/2017,47,132.71,Cyn.dac,1,2.3,6,35,1.5,6.8,10,40,3.59,53.28,4.07,39.53,43.6,-0.26,-0.08,1.03,1.62,-156.2515534
DRY_W_4_EX2_H2,DRY_W_4_H2,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX2,H2,1000,-3.296013,34.854327,3/25/2017,11/05/2017,47,132.71,Cyn.dac,1.8,3.2,7,35,2,9.6,40,60,49.76,96.49,24.86,21.43,46.29,0.97,1.15,1.19,1.78,-148.3898319
