Current.placement.of.the.turf,date_extracted,insertion_date,harvest_date,Site,Block,Placement,wp,latitude,longitude,Source.ID,date,Landuse,Tagsp,Trasnplant,Treatment,InitialVegH,InitialVegCover,InitialTagSpcover,FilVegCover,FilTagspCover,FilVegH,Average.H.outside,Themeda.triandra,Digitaria.macroblephara,Crysochloa.orientalis,Chloris.pycnothris,Cynodon.dactylon,Other.weight.g,Other.subsample.wt.g,Target.weight.g,Target.subsample.wt.g,Soil.depth,weight.g,airdry.weight.g,ovendry.weight.g,weight.stones.g,pH,Total.depth.cm,Core.depth.cm,Vol.cm3,Stone.vol.cm3,BD.gcm3
CG_WET_P_2_1,18/02/2017,20/02/2017,21/05/2018,Mwantimba,2,WET_P,960,-2.348458981,34.05039702,SE_2_EX_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,3.5,45,38,90,2,25,37,2,38,0,0,0,18.81,5.17,,,5cm,73.98,39.5237,38.7852,1.3173,6.09,15,5,69.27211801,0.69052866,0.546325921
CG_WET_P_2_2,18/02/2017,19/02/2017,21/05/2018,Mwantimba,2,WET_P,960,-2.348458981,34.05039702,SE_2_OP_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,2.7,25,12,97,20,38,32,0,12,0,0,0,19.7,14.54,6.78,0.82,5cm,54.63,25.6232,25.0751,0.8023,5.71,13.5,5,69.27211801,0.42056566,0.352538166
CG_WET_P_3_1,18/02/2017,20/02/2017,21/05/2018,Mwantimba,3,WET_P,1021,-2.367334021,34.06259201,SE_3_EX_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,2.8,50,44,,,,,2,44,0,0,0,,,,,,,,,,,,,,,
CG_WET_P_3_2,18/02/2017,20/02/2017,21/05/2018,Mwantimba,3,WET_P,1021,-2.367334021,34.06259201,SE_3_OP_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,3,30,18,,,,,0,18,0,0,10,,,,,,,,,,,,,,,
CG_WET_P_4_1,18/02/2017,19/02/2017,21/05/2018,Mwantimba,4,WET_P,1019,-2.368505979,34.06260199,SE_4_EX_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,2.5,45,45,,,,,0,45,0,0,0,,,,,,,,,,,,,,,
CG_WET_P_4_2,18/02/2017,19/02/2017,21/05/2018,Mwantimba,4,WET_P,1019,-2.368505979,34.06260199,SE_4_OP_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,2.3,35,11,,,,,12,11,0,0,0,,,,,,,,,,,,,,,
CG_WET_W_1_1,18/02/2017,20/02/2017,21/05/2018,Handajega,1,WET_W,955,-2.272336967,34.02335901,SE_1_EX_1,25.5.2018,Wild,Dig mac,Trasnplant,Open,4,30,27,45,20,61,71,0,27,0,0,0,40.58,12.69,19.05,6.8,5cm,70.61,22.9123,22.4796,1.0125,6.43,11,5,69.27211801,0.5307525,0.312287948
CG_WET_W_1_2,18/02/2017,20/02/2017,22/05/2018,Handajega,1,WET_W,955,-2.272336967,34.02335901,SE_1_OP_1,22.5.2018,Wild,Dig mac,Trasnplant,Open,8,30,20,50,35,35,70,0,20,0,0,0,6.05,0.46,,,5cm,96.65,39.9807,39.1241,1.1946,6.26,11,5,69.27211801,0.62620932,0.552538392
CG_WET_W_2_1,18/02/2017,21/02/2017,22/05/2018,Handajega,2,WET_W,956,-2.278161971,34.02460003,SE_2_OP_1,22.5.2018,Wild,Dig mac,Trasnplant,Open,3.9,12,7,65,20,17,51,1,7,0,0,0,11.02,2.06,18.16,4.76,5cm,125.21,40.2817,39.6085,0.8382,5.9,14,5,69.27211801,0.43938444,0.563253818
CG_WET_W_2_2,18/02/2017,20/02/2017,22/05/2018,Handajega,2,WET_W,956,-2.278161971,34.02460003,SE_2_EX_1,22.5.2018,Wild,Dig mac,Trasnplant,Open,3.2,45,40,97,10,24,75,2,40,0,0,0,16.06,8.91,16.81,5.46,5cm,123.49,40.8794,39.8272,2.527,5.82,12,5,69.27211801,1.3246534,0.548956465
CG_WET_W_3_1,18/02/2017,21/02/2017,22/05/2018,Handajega,3,WET_W,952,-2.277948987,34.02770201,SE_3_EX_1,22.5.2018,Wild,Dig mac,Trasnplant,Open,2.9,45,22,80,15,26,68,1,22,0,0,0,13.25,4.82,12.04,2.12,5cm,72.4,40.2243,39.6132,2.8741,5.81,13.4,5,69.27211801,1.50660322,0.542150386
CG_WET_W_3_2,18/02/2017,21/02/2017,22/05/2018,Handajega,3,WET_W,952,-2.277948987,34.02770201,SE_3_OP_1,22.5.2018,Wild,Dig mac,Trasnplant,Open,2.6,40,30,15,5,9,36,0,30,0,0,10,4.78,0.22,9.57,0.8,5cm,80.38,42.9996,42.0901,1.9041,6.14,12,5,69.27211801,0.99812922,0.588598978
CG_WET_W_4_1,18/02/2017,21/02/2017,22/05/2018,Handajega,4,WET_W,949,-2.278803019,34.03195297,SE_4_EX_1,22.5.2018,Wild,Dig mac,Trasnplant,Open,3,32,22,45,0,19,83,10,22,0,0,0,23.9,10.37,,,5cm,83.92,39.8898,39.1008,0.8724,5.74,11,5,69.27211801,0.45731208,0.555525798
CG_WET_W_4_2,18/02/2017,21/02/2017,22/05/2018,Handajega,4,WET_W,949,-2.278803019,34.03195297,SE_4_OP_1,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.2,15,12,70,0,53,72,0,12,0,0,0,39.75,7.84,,,5cm,64.89,36.1687,35.4637,8.1557,6.09,11,5,69.27211801,4.27521794,0.420143114
DRY_P_1_1,16/02/2017,21/02/2017,24/05/2018,Makao,1,DRY_P,1007,-3.40903502,34.85271798,WET_W_1_4,24.5.2018,Pasture,The tri,Trasnplant,Open,6,55,55,30,10,17,34,55,0,0,0,0,15.13,2.19,7.39,1.13,5cm,96.53,40.8664,39.9612,1.5636,5.59,14,5,69.27211801,0.81963912,0.56093805
DRY_P_1_2,17/02/2017,21/02/2017,24/05/2018,Makao,1,DRY_P,1007,-3.40903502,34.85271798,WET_P_1_4,24.5.2018,Pasture,Chr ori,Trasnplant,Open,2.9,15,12,25,0,12,28,0,0,12,0,0,9.62,2.5,,,5cm,73.29,34.8013,33.9359,2.3054,6.08,12,5,69.27211801,1.20849068,0.464719575
DRY_P_1_3,19/02/2017,21/02/2017,24/05/2018,Makao,1,DRY_P,1007,-3.40903502,34.85271798,DRY_W_1_4,24.5.2018,Pasture,Cyn dac,Trasnplant,Open,2.2,30,20,20,0,18,29,0,0,0,0,20,10.59,2.99,,,5cm,62.17,30.265,28.4427,0.5292,6.63,11,5,69.27211801,0.27740664,0.404574488
DRY_P_1_4,21/02/2017,23/02/2017,24/05/2018,Makao,1,DRY_P,1007,-3.40903502,34.85271798,DRY_P_2_3,24.5.2018,Pasture,Chl pyc,Trasnplant,Open,3,20,17,30,25,10,20,0,0,0,17,0,6.63,0.76,8.79,2.41,5cm,110.71,40.3225,39.7816,3.29,6.42,13,5,69.27211801,1.724618,0.54023613
DRY_P_1_5,21/02/2017,21/02/2017,24/05/2018,Makao,1,DRY_P,1007,-3.40903502,34.85271798,DRY_P_1_5,24.5.2018,Pasture,Chl pyc,Control,Open,3.3,25,19,90,85,27,34,0,0,0,19,0,6.25,0.49,14.75,3.18,5cm,122.28,64.6962,63.79,5.8328,6.6,12,5,69.27211801,3.05755376,0.875293837
DRY_P_2_1,16/02/2017,21/02/2017,24/05/2018,Makao,2,DRY_P,1005,-3.408438982,34.85037197,WET_W_2_4,24.5.2018,Pasture,The tri,Trasnplant,Open,5.7,55,51,20,0,11,34,51,2,0,0,0,9.9,5.39,,,5cm,109.64,45.0256,44.0621,3.5049,6.28,12,5,69.27211801,1.83726858,0.601427902
DRY_P_2_2,17/02/2017,21/02/2017,24/05/2018,Makao,2,DRY_P,1005,-3.408438982,34.85037197,WET_P_2_4,24.5.2018,Pasture,Chr ori,Trasnplant,Open,1.7,10,7,5,0,7,18,0,0,7,1,0,6.14,0.46,,,5cm,122.09,35.1785,34.6103,3.4267,6.19,13,5,69.27211801,1.79627614,0.46214466
DRY_P_2_3,19/02/2017,21/02/2017,24/05/2018,Makao,2,DRY_P,1005,-3.408438982,34.85037197,DRY_W_2_4,24.5.2018,Pasture,Cyn dac,Trasnplant,Open,2.2,25,13,35,5,27,33,0,0,0,0,13,12.78,4.05,6.21,0.4,5cm,95.06,46.6314,46.0368,4.0703,6.11,14,5,69.27211801,2.13365126,0.625073852
DRY_P_2_4,21/02/2017,21/02/2017,24/05/2018,Makao,2,DRY_P,1005,-3.408438982,34.85037197,DRY_P_1_4,24.5.2018,Pasture,Chl pyc,Trasnplant,Open,4.2,10,7,15,8,9,21,0,0,0,7,0,7.34,1.04,6.04,0.77,5cm,81.42,52.1614,49.1489,0.8471,6.63,9,5,69.27211801,0.44404982,0.701774745
DRY_P_2_5,21/02/2017,21/02/2017,24/05/2018,Makao,2,DRY_P,1005,-3.408438982,34.85037197,DRY_P_2_5,24.5.2018,Pasture,Chl pyc,Control,Open,3.5,60,48,35,15,9,26,0,0,0,48,0,7.31,1.05,11.65,3.55,5cm,110.77,62.8934,62.0345,5.0913,6.27,14.5,5,69.27211801,2.66885946,0.854961172
DRY_P_3_1,16/02/2017,20/02/2017,24/05/2018,Makao,3,DRY_P,1002,-3.406233033,34.85054699,WET_W_3_4,24.5.2018,Pasture,The tri,Trasnplant,Open,5.5,80,74,95,5,38,46,74,0,0,0,0,28.69,8.5,6.85,1.02,5cm,104.73,35.7378,34.9766,0.7474,5.68,13,5,69.27211801,0.39178708,0.496937218
DRY_P_3_2,17/02/2017,20/02/2017,24/05/2018,Makao,3,DRY_P,1002,-3.406233033,34.85054699,WET_P_3_4,24.5.2018,Pasture,Chr ori,Trasnplant,Open,,50,25,90,0,43,42,0,0,25,25,0,31.53,11.59,,,5cm,76.08,40.9345,39.8601,2.517,6.54,15,5,69.27211801,1.3194114,0.549545439
DRY_P_3_3,20/02/2017,20/02/2017,24/05/2018,Makao,3,DRY_P,1002,-3.406233033,34.85054699,DRY_W_3_4,24.5.2018,Pasture,Cyn dac,Trasnplant,Open,1.2,45,22,95,0,47,58,0,0,0,0,22,26.6,8.06,,,5cm,100.3,52.9711,51.9698,5.0496,6.52,13,5,69.27211801,2.64700032,0.704241908
DRY_P_3_4,20/02/2017,20/02/2017,24/05/2018,Makao,3,DRY_P,1002,-3.406233033,34.85054699,DRY_P_4_4,24.5.2018,Pasture,Chl pyc,Trasnplant,Open,4.2,60,15,95,20,51,33,0,0,0,15,0,,,,,5cm,101.66,45.9182,44.9005,6.5201,6.44,13.5,5,69.27211801,3.41783642,0.582807967
DRY_P_3_5,20/02/2017,20/02/2017,24/05/2018,Makao,3,DRY_P,1002,-3.406233033,34.85054699,DRY_P_3_5,24.5.2018,Pasture,Chl pyc,Control,Open,3.7,55,15,95,80,40,30,0,0,0,15,0,10.6,2.8,12.71,4.67,5cm,104.95,39.637,38.8111,3.0993,6.37,13,5,69.27211801,1.62465306,0.527910396
DRY_P_4_1,16/02/2017,20/02/2017,24/05/2018,Makao,4,DRY_P,1004,-3.40675598,34.85159498,WET_W_4_4,24.5.2018,Pasture,The tri,Trasnplant,Open,6,40,35,75,0,34,45,35,0,0,0,0,19.62,7.55,,,5cm,85.97,39.6527,38.8893,0.7262,5.89,10,5,69.27211801,0.38067404,0.553959938
DRY_P_4_2,23/02/2017,23/02/2017,24/05/2018,Makao,4,DRY_P,1004,-3.40675598,34.85159498,WET_P_4_4,24.5.2018,Pasture,Chr ori,Trasnplant,Open,2,40,31,45,0,12,21,0,0,31,8,0,11.52,3.18,,,5cm,85.67,37.1852,36.4361,3.0523,6.64,12,5,69.27211801,1.60001566,0.493317022
DRY_P_4_3,20/02/2017,20/02/2017,24/05/2018,Makao,4,DRY_P,1004,-3.40675598,34.85159498,DRY_W_4_4,24.5.2018,Pasture,Cyn dac,Trasnplant,Open,3,35,20,80,15,12,32,0,0,0,0,20,20.55,7.42,6.96,1.09,5cm,81.24,40.2982,38.0119,0.4826,7.17,12,5,69.27211801,0.25297892,0.543752074
DRY_P_4_4,20/02/2017,21/02/2017,24/05/2018,Makao,4,DRY_P,1004,-3.40675598,34.85159498,DRY_P_3_4,24.5.2018,Pasture,Chl pyc,Trasnplant,Open,2.3,50,25,,,,,0,0,0,25,0,20.52,7.61,8.5,1.84,,,,,,,,,,,
DRY_P_4_5,20/02/2017,21/02/2017,24/05/2018,Makao,4,DRY_P,1004,-3.40675598,34.85159498,DRY_P_4_5,24.5.2018,Pasture,Chl pyc,Control,Open,6.1,40,16,,,,,0,0,0,16,0,,,,,,,,,,,,,,,
DRY_W_1_1,16/02/2017,19/02/2017,25/05/2018,Maswa,1,DRY_W,996,-3.299337029,34.84838798,WET_W_1_3,25.5.2018,Wild,The tri,Trasnplant,Open,4.7,45,45,25,3,13,18,45,0,0,0,0,13.52,6.79,5,0.34,5cm,92.53,39.5222,38.5274,2.0175,5.88,14,5,69.27211801,1.0575735,0.535221634
DRY_W_1_2,17/02/2017,19/02/2017,25/05/2018,Maswa,1,DRY_W,996,-3.299337029,34.84838798,WET_P_1_3,25.5.2018,Wild,Chr ori,Trasnplant,Open,2.7,25,23,10,0,7,51,0,0,23,0,0,6.94,1.6,,,,,,,,,,,,,
DRY_W_1_3,19/02/2017,19/02/2017,25/05/2018,Maswa,1,DRY_W,996,-3.299337029,34.84838798,DRY_W_2_3,25.5.2018,Wild,Cyn dac,Trasnplant,Open,4.5,30,18,50,10,30,32,0,0,0,5,18,28.95,14.37,5.63,0.83,5cm,89.27,39.4172,36.4997,0.1878,6.91,14,5,69.27211801,0.09844476,0.524938149
DRY_W_1_4,21/02/2017,23/02/2017,25/05/2018,Maswa,1,DRY_W,996,-3.299337029,34.84838798,DRY_P_1_3,25.5.2018,Wild,Chl pyc,Trasnplant,Open,2.7,35,10,0,0,0,0,0,0,0,10,0,,,,,,,,,,,,,,,
DRY_W_1_5,21/02/2017,23/02/2017,25/05/2018,Maswa,1,DRY_W,996,-3.299337029,34.84838798,DRY_W_1_5,25.5.2018,Wild,Cyn dac,Control,Open,3.3,25,20,75,30,26,27,0,0,0,0,20,13.41,4.07,10.08,4.55,5cm,79.69,39.4817,35.6567,0.0977,6.59,13,5,69.27211801,0.05121434,0.513703204
DRY_W_2_1,16/02/2017,19/02/2017,25/05/2018,Maswa,2,DRY_W,1009,-3.303211983,34.84773603,WET_W_2_3,25.5.2018,Wild,The tri,Trasnplant,Open,7,45,39,,,,,39,0,0,0,0,,,,,,,,,,,,,,,
DRY_W_2_2,17/02/2017,19/02/2017,25/05/2018,Maswa,2,DRY_W,1009,-3.303211983,34.84773603,WET_P_2_3,25.5.2018,Wild,Chr ori,Trasnplant,Open,1.5,25,22,,,,,0,0,22,1,0,,,,,,,,,,,,,,,
DRY_W_2_3,19/02/2017,21/02/2017,25/05/2018,Maswa,2,DRY_W,1009,-3.303211983,34.84773603,DRY_W_1_3,25.5.2018,Wild,Cyn dac,Trasnplant,Open,3,45,25,,,,,0,0,0,0,25,,,,,,,,,,,,,,,
DRY_W_2_4,21/02/2017,21/02/2017,25/05/2018,Maswa,2,DRY_W,1009,-3.303211983,34.84773603,DRY_P_2_4,25.5.2018,Wild,Chl pyc,Trasnplant,Open,2.8,35,33,,,,,0,0,0,33,0,,,,,,,,,,,,,,,
DRY_W_2_5,21/02/2017,21/02/2017,25/05/2018,Maswa,2,DRY_W,1009,-3.303211983,34.84773603,DRY_W_2_5,25.5.2018,Wild,Cyn dac,Control,Open,4,30,18,,,,,0,0,0,3,18,,,,,,,,,,,,,,,
DRY_W_3_1,16/02/2017,19/02/2017,25/05/2018,Maswa,3,DRY_W,998,-3.295644969,34.85243501,WET_W_3_3,25.5.2018,Wild,The tri,Trasnplant,Open,6,70,55,25,0,3,4,55,0,0,0,0,6.6,0.59,,,5cm,107.69,41.9143,40.9989,2.1446,6.84,14,5,69.27211801,1.12419932,0.570146539
DRY_W_3_2,17/02/2017,19/02/2017,25/05/2018,Maswa,3,DRY_W,998,-3.295644969,34.85243501,WET_P_3_3,25.5.2018,Wild,Chr ori,Trasnplant,Open,,55,44,0,0,0,2,0,0,44,10,0,,,,,5cm,96.69,47.4241,46.1795,1.9692,6.94,13,5,69.27211801,1.03225464,0.647866186
DRY_W_3_3,20/02/2017,20/02/2017,25/05/2018,Maswa,3,DRY_W,998,-3.295644969,34.85243501,DRY_W_4_3,25.5.2018,Wild,Cyn dac,Trasnplant,Open,5,25,23,55,20,3,2,0,0,0,0,23,7.33,1.36,7.79,1.68,5cm,85.7,37.7856,35.1721,0.0454,7.25,13,5,69.27211801,0.02379868,0.507257076
DRY_W_3_4,20/02/2017,23/02/2017,25/05/2018,Maswa,3,DRY_W,998,-3.295644969,34.85243501,DRY_P_3_3,25.5.2018,Wild,Chl pyc,Trasnplant,Open,3,30,9,90,0,2,2,0,0,0,9,0,23.01,5.22,,,5cm,88.86,26.7194,25.2291,0.1082,7.24,13,5,69.27211801,0.05671844,0.362938019
DRY_W_3_5,20/02/2017,23/02/2017,25/05/2018,Maswa,3,DRY_W,998,-3.295644969,34.85243501,DRY_W_3_5,25.5.2018,Wild,Cyn dac,Control,Open,2.2,45,30,25,23,1,1,0,0,0,0,30,5.9,0.25,6.36,0.8,5cm,75.87,35.4954,33.5123,0.1074,7.27,14,5,69.27211801,0.05629908,0.482619443
DRY_W_4_1,16/02/2017,24/02/2017,25/05/2018,Maswa,4,DRY_W,999,-3.296578-2.43741503,34.85480399,WET_W_4_3,25.5.2018,Wild,The tri,Trasnplant,Open,4,50,40,49,15,5,7,40,0,0,0,0,8.03,1.67,6,0.6,5cm,106.78,53.1198,51.7668,1.5127,6.55,12,5,69.27211801,0.79295734,0.733859754
DRY_W_4_2,23/02/2017,24/02/2017,25/05/2018,Maswa,4,DRY_W,999,-3.296578-2.43741503,34.85480399,WET_P_4_3,25.5.2018,Wild,Chr ori,Trasnplant,Open,3.1,10,9,10,0,0,2,0,0,9,1,0,6.07,0.7,,,5cm,135.08,39.5733,37.8486,1.8708,7.03,12,5,69.27211801,0.98067336,0.526827338
DRY_W_4_3,20/02/2017,24/02/2017,25/05/2018,Maswa,4,DRY_W,999,-3.296578-2.43741503,34.85480399,DRY_W_3_3,25.5.2018,Wild,Cyn dac,Trasnplant,Open,2.3,35,17,75,60,6,6,0,0,0,0,17,6.23,0.67,10.26,3.63,5cm,103.71,39.1649,37.2354,0.5675,7.38,14,5,69.27211801,0.2974835,0.53161427
DRY_W_4_4,20/02/2017,24/02/2017,25/05/2018,Maswa,4,DRY_W,999,-3.296578-2.43741503,34.85480399,DRY_P_4_3,25.5.2018,Wild,Chl pyc,Trasnplant,Open,4.3,25,14,15,0,2,2,0,0,0,14,0,7.01,1.52,13.38,4.44,5cm,67.67,43.9974,42.8757,7.502,7.24,12,5,69.27211801,3.9325484,0.541382507
DRY_W_4_5,20/02/2017,24/02/2017,25/05/2018,Maswa,4,DRY_W,999,-3.296578-2.43741503,34.85480399,DRY_W_4_5,22.5.2018,Wild,Cyn dac,Control,Open,4.2,35,25,56,50,4,1,0,0,0,0,25,5.83,0.43,,,5cm,85.4,49.6208,46.8219,0.5016,7.3,12,5,69.27211801,0.26293872,0.671219401
SE_1_EX_1,20/02/2017,22/02/2017,19/05/2018,Seronera,1,SE_EX,976,-2.437361-2.43735401,34.85509099,CG_WET_W_1_1,19.5.2018,Wild,The tri,Trasnplant,Exclosed,3.3,30,8,70,35,73,73,0,0,0,8,0,21.1,9.27,21.16,8.55,5cm,72.8,35.7053,35.0534,1.051,5.63,14,5,69.27211801,0.5509342,0.494787751
SE_1_EX_2,20/02/2017,22/02/2017,19/05/2018,Seronera,1,SE_EX,976,-2.437361-2.43735401,34.85509099,CG_WET_P_1_1,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,2.5,55,50,85,50,17,72,0,0,0,0,50,16.14,8.24,22.65,12.22,5cm,70.48,39.8401,38.5176,1.3624,5.99,12,5,69.27211801,0.71417008,0.541953211
SE_1_EX_3,17/02/2017,18/02/2017,19/05/2018,Seronera,1,SE_EX,976,-2.437361-2.43735401,34.85509099,CG_DRY_W_1_1,19.5.2018,Wild,Cyn dac,Trasnplant,Exclosed,2.2,35,35,10,5,17,54,0,0,35,0,0,,,10.75,4.03,5cm,48.85,39.4242,35.8419,0.0797,6.34,12,5,69.27211801,0.04177874,0.516568319
