Current.placement.of.the.turf,Site,Block,Placement,Source.ID,date,Landuse,Tagsp,Trasnplant,Treatment,InitialVegH,InitialVegCover,InitialTagSpcover,FilVegCover,FilTagspCover,FilVegH,Average.H.outside,Themeda.triandra,Digitaria.macroblephara,Crysochloa.orientalis,Chloris.pycnothris,Cynodon.dactylon,Other.weight.g,Other.subsample.wt.g,Target.weight.g,Target.subsample.wt.g
DRY_P_4_4,Makao,4,DRY_P,DRY_P_3_4,24.5.2018,Pasture,Chl pyc,Trasnplant,Open,2.3,50,25,,,,,0,0,0,25,0,20.52,7.61,8.5,1.84
DRY_P_4_5,Makao,4,DRY_P,DRY_P_4_5,24.5.2018,Pasture,Chl pyc,Control,Open,6.1,40,16,,,,,0,0,0,16,0,,,,
DRY_W_1_1,Maswa,1,DRY_W,WET_W_1_3,25.5.2018,Wild,The tri,Trasnplant,Open,4.7,45,45,25,3,13,18,45,0,0,0,0,13.52,6.79,5,0.34
DRY_W_1_2,Maswa,1,DRY_W,WET_P_1_3,25.5.2018,Wild,Chr ori,Trasnplant,Open,2.7,25,23,10,0,7,51,0,0,23,0,0,6.94,1.6,,
DRY_W_1_3,Maswa,1,DRY_W,DRY_W_2_3,25.5.2018,Wild,Cyn dac,Trasnplant,Open,4.5,30,18,50,10,30,32,0,0,0,5,18,28.95,14.37,5.63,0.83
DRY_W_1_4,Maswa,1,DRY_W,DRY_P_1_3,25.5.2018,Wild,Chl pyc,Trasnplant,Open,2.7,35,10,0,0,0,0,0,0,0,10,0,,,,
DRY_W_1_5,Maswa,1,DRY_W,DRY_W_1_5,25.5.2018,Wild,Cyn dac,Control,Open,3.3,25,20,75,30,26,27,0,0,0,0,20,13.41,4.07,10.08,4.55
DRY_W_2_1,Maswa,2,DRY_W,WET_W_2_3,25.5.2018,Wild,The tri,Trasnplant,Open,7,45,39,,,,,39,0,0,0,0,,,,
DRY_W_2_2,Maswa,2,DRY_W,WET_P_2_3,25.5.2018,Wild,Chr ori,Trasnplant,Open,1.5,25,22,,,,,0,0,22,1,0,,,,
DRY_W_2_3,Maswa,2,DRY_W,DRY_W_1_3,25.5.2018,Wild,Cyn dac,Trasnplant,Open,3,45,25,,,,,0,0,0,0,25,,,,
DRY_W_2_4,Maswa,2,DRY_W,DRY_P_2_4,25.5.2018,Wild,Chl pyc,Trasnplant,Open,2.8,35,33,,,,,0,0,0,33,0,,,,
DRY_W_2_5,Maswa,2,DRY_W,DRY_W_2_5,25.5.2018,Wild,Cyn dac,Control,Open,4,30,18,,,,,0,0,0,3,18,,,,
DRY_W_3_1,Maswa,3,DRY_W,WET_W_3_3,25.5.2018,Wild,The tri,Trasnplant,Open,6,70,55,25,0,3,4,55,0,0,0,0,6.6,0.59,,
DRY_W_3_2,Maswa,3,DRY_W,WET_P_3_3,25.5.2018,Wild,Chr ori,Trasnplant,Open,,55,44,0,0,0,2,0,0,44,10,0,,,,
DRY_W_3_3,Maswa,3,DRY_W,DRY_W_4_3,25.5.2018,Wild,Cyn dac,Trasnplant,Open,5,25,23,55,20,3,2,0,0,0,0,23,7.33,1.36,7.79,1.68
DRY_W_3_4,Maswa,3,DRY_W,DRY_P_3_3,25.5.2018,Wild,Chl pyc,Trasnplant,Open,3,30,9,90,0,2,2,0,0,0,9,0,23.01,5.22,,
DRY_W_3_5,Maswa,3,DRY_W,DRY_W_3_5,25.5.2018,Wild,Cyn dac,Control,Open,2.2,45,30,25,23,1,1,0,0,0,0,30,5.9,0.25,6.36,0.8
DRY_W_4_1,Maswa,4,DRY_W,WET_W_4_3,25.5.2018,Wild,The tri,Trasnplant,Open,4,50,40,49,15,5,7,40,0,0,0,0,8.03,1.67,6,0.6
DRY_W_4_2,Maswa,4,DRY_W,WET_P_4_3,25.5.2018,Wild,Chr ori,Trasnplant,Open,3.1,10,9,10,0,0,2,0,0,9,1,0,6.07,0.7,,
DRY_W_4_3,Maswa,4,DRY_W,DRY_W_3_3,25.5.2018,Wild,Cyn dac,Trasnplant,Open,2.3,35,17,75,60,6,6,0,0,0,0,17,6.23,0.67,10.26,3.63
DRY_W_4_4,Maswa,4,DRY_W,DRY_P_4_3,25.5.2018,Wild,Chl pyc,Trasnplant,Open,4.3,25,14,15,0,2,2,0,0,0,14,0,7.01,1.52,13.38,4.44
DRY_W_4_5,Maswa,4,DRY_W,DRY_W_4_5,22.5.2018,Wild,Cyn dac,Control,Open,4.2,35,25,56,50,4,1,0,0,0,0,25,5.83,0.43,,
SE_1_EX_1,Seronera,1,SE_EX,CG_DRY_P_3_1,19.5.2018,Wild,Chl pyc,Trasnplant,Exclosed,3.3,30,8,70,35,73,73,0,0,0,8,0,21.1,9.27,21.16,8.55
SE_1_EX_2,Seronera,1,SE_EX,CG_DRY_W_3_2,19.5.2018,Wild,Cyn dac,Trasnplant,Exclosed,2.5,55,50,85,50,17,72,0,0,0,0,50,16.14,8.24,22.65,12.22
SE_1_EX_3,Seronera,1,SE_EX,CG_WET_P_1_1,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,2.2,35,35,10,5,17,54,0,0,35,0,0,,,10.75,4.03
SE_1_EX_4,Seronera,1,SE_EX,CG_WET_P_1_2,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,4.3,30,19,15,2,55,47,0,0,19,0,0,23.08,19.13,5.65,0.33
SE_1_EX_5,Seronera,1,SE_EX,SE_1_EX_5,19.5.2018,Wild,Dig mac,Control,Exclosed,4.2,15,14,80,70,48,59,0,14,0,0,0,11.42,4.24,73.13,20.65
SE_1_OP_1,Seronera,1,SE_OP,CG_DRY_P_4_1,19.5.2018,Wild,Chl pyc,Trasnplant,Open,4.6,25,8,80,55,45,68,0,0,0,8,0,9.77,2.57,23.5,12.22
SE_1_OP_2,Seronera,1,SE_OP,CG_DRY_W_1_1,19.5.2018,Wild,Cyn dac,Trasnplant,Open,4,25,23,80,70,32,41,0,0,0,0,23,8.65,2.45,9.86,2.61
SE_1_OP_3,Seronera,1,SE_OP,CG_WET_P_4_2,19.5.2018,Wild,Chr ori,Trasnplant,Open,2,8,7,20,3,20,66,0,0,7,1,0,15.24,6.37,6.18,0.75
SE_1_OP_4,Seronera,1,SE_OP,CG_WET_P_4_1,19.5.2018,Wild,Chr ori,Trasnplant,Open,2.2,25,15,75,0,23,21,0,0,15,10,0,14.01,5.9,,
SE_1_OP_5,Seronera,1,SE_OP,SE_1_OP_5,19.5.2018,Wild,Dig mac,Control,Open,3,20,18,30,20,27,35,0,18,0,0,0,7.19,1.58,,
SE_2_EX_1,Seronera,2,SE_EX,CG_DRY_P_4_2,19.5.2018,Wild,Chl pyc,Trasnplant,Exclosed,5.5,40,16,95,15,54,57,0,0,0,16,0,76.93,18.15,,
SE_2_EX_2,Seronera,2,SE_EX,CG_DRY_W_3_1,19.5.2018,Wild,Cyn dac,Trasnplant,Exclosed,2.7,30,18,88,80,44,44,0,0,0,0,18,160.28,26.23,18.74,9.25
SE_2_EX_3,Seronera,2,SE_EX,CG_WET_P_3_2,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,1.6,30,24,25,8,44,59,0,0,24,5,0,11.99,4.63,16.45,7.23
SE_2_EX_4,Seronera,2,SE_EX,CG_WET_P_3_1,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,1.4,25,15,80,0,15,64,0,0,15,10,0,19.53,10.46,,
SE_2_EX_5,Seronera,2,SE_EX,SE_2_EX_5,19.5.2018,Wild,Dig mac,Control,Exclosed,3.1,55,10,95,0,36,50,0,10,0,0,0,83.16,18.48,,
SE_2_OP_1,Seronera,2,SE_OP,CG_DRY_P_1_1,19.5.2018,Wild,Chl pyc,Trasnplant,Open,3.3,25,15,10,5,18,46,0,0,0,15,0,9.49,2.05,6.26,1.01
SE_2_OP_2,Seronera,2,SE_OP,CG_DRY_W_2_2,19.5.2018,Wild,Cyn dac,Trasnplant,Open,2.5,40,20,70,55,50,26,0,0,0,0,20,31.3,12.8,8.66,1.9
SE_2_OP_3,Seronera,2,SE_OP,CG_WET_W_2_1,19.5.2018,Wild,The tri,Trasnplant,Open,7.3,75,71,25,5,28,55,71,0,0,0,0,21.07,7.11,6.3,0.73
SE_2_OP_4,Seronera,2,SE_OP,CG_WET_W_2_2,19.5.2018,Wild,The tri,Trasnplant,Open,5.2,65,57,3,0,5,38,57,2,0,0,0,5.31,0.07,,
SE_2_OP_5,Seronera,2,SE_OP,SE_2_OP_5,19.5.2018,Wild,Dig mac,Control,Open,2.2,15,4,55,0,34,21,0,4,0,0,0,43.07,11.57,,
SE_3_EX_1,Seronera,3,SE_EX,CG_DRY_P_3_2,19.5.2018,Wild,Chl pyc,Trasnplant,Exclosed,3.5,30,17,75,60,64,80,0,0,0,17,0,33.61,7.5,55.61,16.49
SE_3_EX_2,Seronera,3,SE_EX,CG_DRY_W_4_2,19.5.2018,Wild,Cyn dac,Trasnplant,Exclosed,2.7,20,9,15,0,34,99,0,0,0,0,9,24.19,12.26,,
SE_3_EX_3,Seronera,3,SE_EX,CG_WET_P_2_2,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,1.5,8,7,10,0,41,92,0,0,7,1,0,14.7,6.22,,
SE_3_EX_4,Seronera,3,SE_EX,CG_WET_P_2_1,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,2.2,15,10,15,0,39,88,0,0,10,2,0,15.34,4.27,,
SE_3_EX_5,Seronera,3,SE_EX,SE_3_EX_5,19.5.2018,Wild,Dig mac,Control,Exclosed,2.7,45,16,90,5,64,101,0,16,0,0,0,78.26,17.71,,
SE_3_OP_1,Seronera,3,SE_OP,CG_DRY_P_2_2,19.5.2018,Wild,Chl pyc,Trasnplant,Open,2.5,45,31,95,90,58,68,0,0,0,31,0,6.28,0.68,71.94,16.43
SE_3_OP_2,Seronera,3,SE_OP,CG_DRY_W_4_1,19.5.2018,Wild,Cyn dac,Trasnplant,Open,2.8,15,11,85,70,56,76,0,0,0,0,11,36.64,16.69,9.85,2.43
SE_3_OP_3,Seronera,3,SE_OP,CG_WET_W_4_2,19.5.2018,Wild,The tri,Trasnplant,Open,8,50,44,45,0,37,89,44,5,0,0,0,31.08,5.26,,
SE_3_OP_4,Seronera,3,SE_OP,CG_WET_W_4_1,19.5.2018,Wild,The tri,Trasnplant,Open,3,40,38,10,1,46,87,38,0,0,0,0,17.38,8.98,6.06,0.68
SE_3_OP_5,Seronera,3,SE_OP,SE_3_OP_5,19.5.2018,Wild,Dig mac,Control,Open,2.6,25,12,98,0,52,81,0,12,0,0,5,61.98,22.39,,
SE_4_EX_1,Seronera,4,SE_EX,CG_DRY_P_2_1,19.5.2018,Wild,Chl pyc,Trasnplant,Exclosed,3.2,10,7,90,80,91,93,0,0,0,7,3,8.67,2.77,78.36,14.38
SE_4_EX_2,Seronera,4,SE_EX,CG_DRY_W_1_2,19.5.2018,Wild,Cyn dac,Trasnplant,Exclosed,2.5,29,22,5,0,29,92,0,0,0,0,22,6.4,1.28,,
SE_4_EX_3,Seronera,4,SE_EX,CG_WET_W_3_2,19.5.2018,Wild,The tri,Trasnplant,Exclosed,7.2,65,45,10,2,40,82,45,0,0,0,0,15.01,5.71,,
SE_4_EX_4,Seronera,4,SE_EX,CG_WET_W_3_1,19.5.2018,Wild,The tri,Trasnplant,Exclosed,7,50,43,30,0,25,88,43,0,0,0,0,7.43,1.22,,
SE_4_EX_5,Seronera,4,SE_EX,SE_4_EX_5,19.5.2018,Wild,Dig mac,Control,Exclosed,2,25,25,95,60,79,86,0,25,0,0,0,20.83,0.5,75.66,20.3
SE_4_OP_1,Seronera,4,SE_OP,CG_DRY_P_1_2,19.5.2018,Wild,Chl pyc,Trasnplant,Open,4,25,10,20,0,41,63,0,0,0,10,0,18.22,8.59,,
SE_4_OP_2,Seronera,4,SE_OP,CG_DRY_W_2_1,19.5.2018,Wild,Cyn dac,Trasnplant,Open,2.8,20,10,55,0,25,76,0,0,0,0,10,15.96,7.56,,
SE_4_OP_3,Seronera,4,SE_OP,CG_WET_W_1_1,19.5.2018,Wild,The tri,Trasnplant,Open,6.3,60,60,1,0,4,86,60,0,0,0,0,7.21,0.84,,
SE_4_OP_4,Seronera,4,SE_OP,CG_WET_W_1_2,19.5.2018,Wild,The tri,Trasnplant,Open,6.3,55,53,1,0,2,77,53,0,0,0,0,6.93,1.1,,
SE_4_OP_5,Seronera,4,SE_OP,SE_4_OP_5,19.5.2018,Wild,Dig mac,Control,Open,2,15,6,80,0,54,98,6,6,0,0,0,40.86,11.74,,
WET_P_1_1,Mwantimba,1,WET_P,WET_W_1_2,21.5.2018,Pasture,The tri,Trasnplant,Open,4.5,50,47,95,85,4,10,47,0,0,0,0,6.38,0.87,8.93,2
WET_P_1_2,Mwantimba,1,WET_P,WET_P_2_2,21.5.2018,Pasture,Chr ori,Trasnplant,Open,1.3,15,6,90,8,4,4,0,0,6,6,0,8.62,2.33,8.2,1.77
WET_P_1_3,Mwantimba,1,WET_P,DRY_W_2_2,21.5.2018,Pasture,Cyn dac,Trasnplant,Open,2.5,14,12,97,3,23,9,0,0,0,1,12,9.63,2.9,5.51,0.24
WET_P_1_4,Mwantimba,1,WET_P,DRY_P_1_2,21.5.2018,Pasture,Chl pyc,Trasnplant,Open,3.2,40,29,97,0,19,5,0,0,0,29,0,9.29,2.98,,
WET_P_1_5,Mwantimba,1,WET_P,WET_P_1_5,21.5.2018,Pasture,Chr ori,Control,Open,2.1,25,22,97,55,5,4,0,0,22,0,0,8.89,2.6,,
WET_P_2_1,Mwantimba,2,WET_P,WET_W_2_2,21.5.2018,Pasture,The tri,Trasnplant,Open,6.8,50,35,90,45,14,33,35,0,0,0,0,13.1,3.55,12.33,2.61
WET_P_2_2,Mwantimba,2,WET_P,WET_P_1_1,21.5.2018,Pasture,Chr ori,Trasnplant,Open,1.4,20,9,90,80,21,41,0,0,9,0,0,8.62,1.55,10.04,2.81
WET_P_2_3,Mwantimba,2,WET_P,DRY_W_1_2,21.5.2018,Pasture,Cyn dac,Trasnplant,Open,2.2,29,15,90,0,20,25,0,0,0,0,15,14.4,3.55,,
WET_P_2_4,Mwantimba,2,WET_P,DRY_P_2_2,21.5.2018,Pasture,Chl pyc,Trasnplant,Open,5.8,30,10,80,3,23,38,0,0,0,10,0,12.54,1.83,6.03,0.28
WET_P_2_5,Mwantimba,2,WET_P,WET_P_2_5,21.5.2018,Pasture,Chr ori,Control,Open,1.6,25,10,80,70,14,39,0,0,10,12,0,,,,
WET_P_3_1,Mwantimba,3,WET_P,DRY_W_4_2,21.5.2018,Pasture,Cyn dac,Trasnplant,Open,4.3,40,22,95,10,28,29,0,0,0,0,22,12.18,2.88,10.43,1.5
WET_P_3_2,Mwantimba,3,WET_P,DRY_P_4_2,21.5.2018,Pasture,Chl pyc,Trasnplant,Open,5.7,30,8,75,0,29,32,0,0,0,8,0,17.08,4.67,,
WET_P_3_3,Mwantimba,3,WET_P,DRY_W_3_2,21.5.2018,Pasture,Cyn dac,Trasnplant,Open,3.2,50,30,80,65,17,32,0,0,0,0,30,13.09,3.47,11.32,1.88
WET_P_3_4,Mwantimba,3,WET_P,DRY_P_3_2,21.5.2018,Pasture,Chl pyc,Trasnplant,Open,3.5,40,32,98,90,53,47,0,0,0,32,0,11.62,2.41,15.51,5.71
WET_P_3_5,Mwantimba,3,WET_P,WET_P_3_5,21.5.2018,Pasture,Chr ori,Control,Open,1.3,40,30,75,45,17,32,0,0,30,10,0,,,,
WET_P_4_1,Mwantimba,4,WET_P,WET_W_3_2,21.5.2018,Pasture,The tri,Trasnplant,Open,5.5,45,40,90,0,42,59,40,0,0,0,0,16.7,3.42,,
WET_P_4_2,Mwantimba,4,WET_P,WET_P_3_2,21.5.2018,Pasture,Chr ori,Trasnplant,Open,1.8,50,42,85,0,21,49,0,0,42,7,0,16.92,4.43,,
WET_P_4_3,Mwantimba,4,WET_P,WET_W_4_2,21.5.2018,Pasture,The tri,Trasnplant,Open,,35,20,90,0,56,54,20,5,0,0,0,14.27,4.36,,
WET_P_4_4,Mwantimba,4,WET_P,WET_P_4_2,21.5.2018,Pasture,Chr ori,Trasnplant,Open,2.8,25,20,,,,,0,0,20,5,0,,,,
WET_P_4_5,Mwantimba,4,WET_P,WET_P_4_5,21.5.2018,Pasture,Chr ori,Control,Open,1.7,40,33,,,,,0,0,33,7,0,22.6,7.54,,
WET_W_1_1,Handajega,1,WET_W,WET_W_2_1,22.5.2018,Wild,The tri,Trasnplant,Open,6.7,50,25,80,35,35,38,25,10,0,0,0,15.11,4.28,22.03,8.72
WET_W_1_2,Handajega,1,WET_W,WET_P_1_2,22.5.2018,Wild,Chr ori,Trasnplant,Open,1.3,15,5,10,0,25,66,0,0,5,5,0,9.63,2.7,,
WET_W_1_3,Handajega,1,WET_W,DRY_W_2_1,22.5.2018,Wild,Cyn dac,Trasnplant,Open,2.2,25,13,20,13,67,143,0,0,0,0,13,6.15,0.55,17.48,8.54
WET_W_1_4,Handajega,1,WET_W,DRY_P_1_1,22.5.2018,Wild,Chl pyc,Trasnplant,Open,3.7,20,9,20,0,19,116,0,0,0,9,3,10.04,3.02,,
WET_W_1_5,Handajega,1,WET_W,WET_W_1_5,22.5.2018,Wild,The tri,Control,Open,4.3,75,75,85,85,59,79,75,0,0,0,0,,,54.12,17.32
WET_W_2_1,Handajega,2,WET_W,WET_W_1_1,22.5.2018,Wild,The tri,Trasnplant,Open,6,55,53,70,5,46,85,53,2,0,0,0,42.77,16.18,7.1,1.39
