Current placement of the turf,Placement,Source ID ,Tagsp,InitialVegH,InitialVegCover (%),InitialTagSpcover,FinalVegCover,FinalTagspCover,FinalVegH,Average H outside,Themeda triandra (%) ,Digitaria macroblephara (%),Crysochloa orientalis (%) ,Chloris pycnothris (%),Cynodon dactylon
DRY_W_2_4,DRY_W,DRY_P_2_4,Chl pyc,2.8,35,33,,,,,0,0,0,33,0
DRY_P_2_5,DRY_P,DRY_P_2_5,Chl pyc,3.5,60,48,35,15,9,26,0,0,0,48,0
WET_W_3_4,WET_W,DRY_P_3_1,Chl pyc,2.7,45,12,20,0,26,35,0,0,0,12,0
WET_P_3_4,WET_P,DRY_P_3_2,Chl pyc,3.5,40,32,98,90,53,47,0,0,0,32,0
DRY_W_3_4,DRY_W,DRY_P_3_3,Chl pyc,3.0,30,9,90,0,2,2,0,0,0,9,0
DRY_P_4_4,DRY_P,DRY_P_3_4,Chl pyc,2.3,50,25,,,,,0,0,0,25,0
DRY_P_3_5,DRY_P,DRY_P_3_5,Chl pyc,3.7,55,15,95,80,40,30,0,0,0,15,0
WET_W_4_4,WET_W,DRY_P_4_1,Chl pyc,3.5,40,29,10,0,15,73,0,0,0,29,0
WET_P_3_2,WET_P,DRY_P_4_2,Chl pyc,5.7,30,8,75,0,29,32,0,0,0,8,0
DRY_W_4_4,DRY_W,DRY_P_4_3,Chl pyc,4.3,25,14,15,0,2,2,0,0,0,14,0
DRY_P_3_4,DRY_P,DRY_P_4_4,Chl pyc,4.2,60,15,95,20,51,33,0,0,0,15,0
DRY_P_4_5,DRY_P,DRY_P_4_5,Chl pyc,6.1,40,16,,,,,0,0,0,16,0
WET_W_2_3,WET_W,DRY_W_1_1,Cyn dac,2.6,30,25,20,18,62,60,0,0,0,1,25
WET_P_2_3,WET_P,DRY_W_1_2,Cyn dac,2.2,29,15,90,0,20,25,0,0,0,0,15
DRY_W_2_3,DRY_W,DRY_W_1_3,Cyn dac,3.0,45,25,,,,,0,0,0,0,25
DRY_P_1_3,DRY_P,DRY_W_1_4,Cyn dac,2.2,30,20,20,0,18,29,0,0,0,0,20
DRY_W_1_5,DRY_W,DRY_W_1_5,Cyn dac,3.3,25,20,75,30,26,27,0,0,0,0,20
WET_W_1_3,WET_W,DRY_W_2_1,Cyn dac,2.2,25,13,20,13,67,143,0,0,0,0,13
