plot.id,block.id.harvest,site.id,block.id,stu.block.id,site.name,region,transplant,landuse,block,stu.block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,Tagsp,pasture.disc.setup,height..setup,target.sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,target.sp.cover.harvest..,total.veg.cover.harvest..,PREVIOUS..HX.1.biomass.target.sp.g,PREVIOUS..HX.1.biomass.other.sp.g,PREVIOUS..HX.1.biomass.total.g,biomass.total.g,productivity.total.g.m2.day,consumption.total.g.m2.day,productivity.total.g.m2.dayWEIGHTED,consumption.total.g.m2.dayWEIGHTED,pool,biomass.sp,prodsp,conssp,prodsp.per,conssp.per,Plant.N.SUA,Plant.N.NTNU,Plant.C,Plant.N,Plant.CN,Lag.N,rain.sum,rain.acc.sum,map15_17,sand.per,N.per,SOC.per,rain.sum,zero.days,consec.NoRain.days
DRY_W_3_H0,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,Control,W,3,1,H0,H0,998,-3.295645,34.852435,2/20/2017,,0,Cyn dac,,0.4,8,30,,,,,,,,13.47,,,,,target,2.42,,,,,,2.32,39.7,2.32,17.11206897,,0,0,717.36,16.5,0.226,1.97,109.3343321,28,15
DRY_W_4_H0,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,Control,W,4,2,H0,H0,1000,-3.296013,34.854327,2/20/2017,,0,Cyn dac,,0.4,10,40,,,,,,,,14.83,,,,,target,1.47,,,,,,2.03,38.73,2.03,19.07881773,,0,0,717.36,36.4,0.218,,92.76936738,25,13
DRY_P_1_H0,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,Control,P,1,2,H0,H0,1009,-3.303212,34.847736,2/21/2017,,0,Chl pyc,1.4,3.1,10,50,,,,,,,,13.76,,,,,target,2.03,,,,,,,39.9,,,,0,0,672.04,61.83,0.129,1.27,127.0128976,28,12
DRY_P_2_H0,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,Control,P,2,3,H0,H0,1006,-3.408426,34.850244,2/21/2017,,0,Chl pyc,0.5,1.3,27,45,,,,,,,,10.12,,,,,target,5.9,,,,,,2.62,37.39,2.62,14.27099237,,0,0,672.04,66.85,0.129,,127.0128976,28,12
DRY_P_3_H0,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,Control,P,3,1,H0,H0,1001,-3.406316,34.850407,2/20/2017,,0,Chl pyc,1,3,8,30,,,,,,,,11.79,,,,,target,0.79,,,,,,2.95,39.88,2.95,13.51864407,,0,0,672.04,58.83,0.146,1.55,121.0407768,28,13
DRY_P_4_H0,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,Control,P,4,,H0,H0,1003,-3.406853,34.8516,2/20/2017,,0,Chl pyc,1.3,1.9,7,40,,,,,,,,12.82,,,,,target,1.16,,,,,,2.31,39.31,2.31,17.01731602,,0,0,672.04,57.61,0.145,,121.0407768,28,13
SE_1_H0,SE_1_H1,SE_1_,SE_1,,Seronera,SE,Control,W,1,,H0,H0,1023,-2.437747,34.855162,2/26/2017,,0,Dig mac,,,,35,,,,,,,,12.35,,,,,target,,,,,,,,,,,,0,0,855.62,53.59,0.113,,144.2288981,27,11
SE_2_H0,SE_2_H1,SE_2_,SE_2,,Seronera,SE,Control,W,2,,H0,H0,1025,-2.437766,34.855394,2/26/2017,,0,Dig mac,,,,30,,,,,,,,8.48,,,,,target,,,,,,,,,,,,0,0,855.62,63.33,0.13,1.31,144.2288981,27,11
SE_3_H0,SE_3_H1,SE_3_,SE_3,,Seronera,SE,Control,W,3,,H0,H0,1027,-2.437991,34.855418,2/26/2017,,0,Dig mac,,,,40,,,,,,,,9.81,,,,,target,,,,,,,,,,,,0,0,855.62,64.45,0.129,,144.2288981,27,12
SE_4_H0,SE_4_H1,SE_4_,SE_4,,Seronera,SE,Control,W,4,,H0,H0,1026,-2.438079,34.854989,2/26/2017,,0,Dig mac,,,,35,,,,,,,,10.1,,,,,target,,,,,,,,,,,,0,0,855.62,65.67,0.143,1.5,144.2288981,27,12
WET_W_1_EX_H1,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,Control,W,1,3,EX,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,The tri,3,1.9,10,65,4,1.2,4,45,,,,17.38,0.14,0.316840278,0.609567901,0.321354167,target,1.28,-0.047743056,-0.039930556,1.71875,0.889756944,,2.05,40.03,2.05,19.52682927,1.86,145.67,145.67,1279.26,64.67,0.102,1.39,145.6718075,4,3
WET_W_1_OP_H1,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,Control,W,1,3,OP,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,The tri,2.5,2.3,10,40,1.5,1.4,8,30,1.83,13.97,15.8,13.73,-0.1796875,,,,target,1.74,-0.0078125,,,,,1.73,41.86,1.73,24.19653179,1.86,145.67,291.3436151,1279.26,64.67,0.102,1.39,145.6718075,4,3
WET_W_2_EX_H1,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,Control,W,2,4,EX,H1,953,-2.2783,34.024459,2/16/2017,3/20/2017,32,The tri,2.3,2.1,20,40,2.3,2.6,5,20,,,,7.75,-0.400173611,0.039930556,0.681423611,-0.017326389,target,2.47,0.021701389,0.053819444,2.361111111,1.994047619,,1.75,41.15,1.75,23.51428571,1.51,145.67,145.6718075,1279.26,62.05,0.113,,145.6718075,4,3
WET_W_2_OP_H1,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,Control,W,2,4,OP,H1,953,-2.2783,34.024459,2/16/2017,3/20/2017,32,The tri,2.5,0.6,12,40,1.5,0.6,7,24,2.22,10.14,12.36,7.29,-0.440104167,,,,target,1.85,-0.032118056,,,,,1.85,40.73,1.85,22.01621622,1.51,145.67,291.3436151,1279.26,62.05,0.113,,145.6718075,4,3
WET_W_3_EX_H1,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,Control,W,3,1,EX,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,The tri,3.5,2.4,25,55,2.5,4.1,20,50,,,,14.7,-0.679292929,-0.761784512,-0.71969697,-0.180976431,target,8.18,-0.036195286,-0.230639731,0.543771044,-2.685185185,1.47,,,1.47,,1.35,152.53,152.5287964,1279.26,59.67,0.108,1.45,152.5287964,4,3
WET_W_3_OP_H1,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,Control,W,3,1,OP,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,The tri,2.5,2.6,20,45,0.7,4.5,15,40,8.61,14.16,22.77,23.75,0.082491582,,,,target,10.92,0.194444444,,,,,1.24,37.6,1.24,30.32258065,1.35,152.53,305.0575929,1279.26,59.67,0.108,1.45,152.5287964,4,3
WET_W_4_EX_H1,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,Control,W,4,2,EX,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,The tri,1.5,0.9,15,70,1.8,2.7,5,35,,,,13.17,-1.354377104,0.266835017,-0.351130351,0.135479798,target,2.91,,-0.222222222,,2.30359147,,1.69,41.18,1.69,24.36686391,,152.53,152.5287964,1279.26,55.57,0.131,,152.5287964,4,3
WET_W_4_OP_H1,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,Control,W,4,2,OP,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,The tri,2.5,1.8,25,65,1.8,2.2,18,30,,29.26,29.26,10,-1.621212121,,,,target,5.55,,,,,,1.47,41.38,1.47,28.14965986,,152.53,305.0575929,1279.26,55.57,0.131,,152.5287964,4,3
WET_P_1_EX_H1,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,Control,P,1,1,EX,H1,957,-2.350052,34.049976,2/17/2017,3/22/2017,33,Chr ori,0.5,0.4,1,7,1.8,0.9,6,25,,,,15.16,1,0.292087542,-0.417508418,0.141902357,target,1.91,-0.042929293,-0.570707071,-38.06116723,-4.635241302,,3.04,40.43,3.04,13.29934211,3.06,161.6,161.5982631,1295.06,45,0.135,1.17,161.5982631,5,2
WET_P_1_OP_H1,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,Control,P,1,1,OP,H1,957,-2.350052,34.049976,2/17/2017,3/22/2017,33,Chr ori,1,1,10,15,1.5,0.8,10,18,2.42,0.86,3.28,11.69,0.707912458,,,,target,8.69,0.527777778,,,,,3.09,41.27,3.09,13.35598706,3.06,161.6,323.1965263,1295.06,45,0.135,1.17,161.5982631,5,2
WET_P_2_EX_H1,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,Control,P,2,2,EX,H1,959,-2.348488,34.05011,2/17/2017,3/22/2017,33,Chr ori,0.5,0.6,,15,1.6,3,0,40,,,,13.46,0.862794613,0.677609428,1.031144781,0.362121212,target,0,-0.058080808,-0.012626263,,,,,,,,2.12,161.6,161.5982631,1295.06,45.98,0.119,,161.5982631,5,2
WET_P_2_OP_H1,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,Control,P,2,2,OP,H1,959,-2.348488,34.05011,2/17/2017,3/22/2017,33,Chr ori,1,0.2,,7,1,2.6,3,20,0.69,2.52,3.21,5.41,0.185185185,,,,target,0.15,-0.045454545,,,,,2.02,35.79,2.02,17.71782178,2.12,161.6,323.1965263,1295.06,45.98,0.119,,161.5982631,5,2
WET_P_3_EX_H1,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,Control,P,3,4,EX,H1,1022,-2.367293,34.062509,2/17/2017,3/22/2017,33,Chr ori,1,1.5,,,3.2,2.6,5,70,,,,36.71,2.672558923,1.256734007,,1.154713805,target,5.16,,0.352693603,,4.604377104,,2.29,36.11,2.29,15.76855895,,161.6,161.5982631,1295.06,42.5,0.17,1.6,161.5982631,5,2
WET_P_3_OP_H1,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,Control,P,3,4,OP,H1,1022,-2.367293,34.062509,2/17/2017,3/22/2017,33,Chr ori,1,0.9,,,1.6,0.8,2,55,,4.96,4.96,21.78,1.415824916,,,,target,0.97,,,,,,2.49,38.51,2.49,15.46586345,,161.6,323.1965263,1295.06,42.5,0.17,1.6,161.5982631,5,2
WET_P_4_EX_H1,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,Control,P,4,3,EX,H1,1020,-2.36857,34.062586,2/23/2017,3/22/2017,27,Chr ori,,0.7,9,20,1.5,0.7,0,60,,,,26.71,2.294238683,0.91255144,2.31138546,0.914609053,target,0,-0.169753086,0,,,,,,,,2.19,119.69,119.6903966,1295.06,57.26,0.154,,119.6903966,5,3
WET_P_4_OP_H1,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,Control,P,4,3,OP,H1,1020,-2.36857,34.062586,2/23/2017,3/22/2017,27,Chr ori,,0.4,8,15,0.5,1.5,0,40,1.65,2.76,4.41,17.84,1.381687243,,,,target,0,-0.169753086,,,,,,,,,2.19,119.69,239.3807932,1295.06,57.26,0.154,,119.6903966,5,3
DRY_W_1_EX_H1,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,Control,W,1,3,EX,H1,995,-3.299332,34.848458,2/19/2017,3/24/2017,33,Cyn dac,,1.8,10,20,3.5,6.8,12,55,,,,56.45,3.554713805,2.375420875,4.649525559,1.948072391,target,14.67,0.204545455,0.606902357,5.607208448,2.441077441,1.82,1.5,40.39,1.5,26.92666667,2.18,165.31,165.312109,754.84,12,0.294,2.34,165.312109,8,2
DRY_W_1_EX2_H1,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,Control,W,1,3,EX2,H1,995,-3.299332,34.848458,2/19/2017,3/25/2017,34,Cyn dac,,1.2,10,30,2.8,13.4,28,78,,,,81.08,5.462418301,4.317810458,4.619993296,4.521078431,target,24.35,0.989379085,1.379901961,2.559470758,-0.513538749,1.58,,,1.58,,2.18,167.02,497.6428413,754.84,12,0.294,2.34,167.0186233,8,2
DRY_W_1_OP_H1,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,Control,W,1,3,OP,H1,995,-3.299332,34.848458,2/19/2017,3/24/2017,33,Cyn dac,,0.4,18,35,2,1.7,8,28,12.24,1.98,14.22,28.23,1.179292929,,,,target,7.46,-0.402356902,,,,2.03,,,2.03,,2.18,165.31,330.624218,754.84,12,0.294,2.34,165.312109,8,2
DRY_W_2_EX_H1,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,Control,W,2,4,EX,H1,980,-3.303268,34.847796,2/19/2017,3/24/2017,33,Cyn dac,,0.4,15,45,0.5,1.7,4,40,,,,37.05,2.171717172,-0.282828283,5.429292929,-0.283207071,target,3.03,-0.080808081,0.079124579,3.577441077,3.444163861,,,,,,1.76,165.31,165.312109,754.84,17.39,0.264,,165.312109,8,2
DRY_W_2_EX2_H1,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,Control,W,2,4,EX2,H1,980,-3.303268,34.847796,2/19/2017,3/25/2017,34,Cyn dac,,0.7,15,50,3,24.6,10,80,,,,90.29,6.45751634,4.075163399,6.922998366,4.415645425,target,9.42,0.443627451,0.598856209,4.979575163,4.850217865,,1.7,39.85,1.7,23.44117647,1.76,167.02,497.6428413,754.84,17.39,0.264,,167.0186233,8,2
DRY_W_2_OP_H1,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,Control,W,2,4,OP,H1,980,-3.303268,34.847796,2/19/2017,3/24/2017,33,Cyn dac,,1.1,7,60,1.5,2.8,6,45,3.99,7.26,11.25,40.41,2.454545455,,,,target,2.09,-0.15993266,,,,,,,,,1.76,165.31,330.624218,754.84,17.39,0.264,,165.312109,8,2
DRY_W_3_EX_H1,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,Control,W,3,1,EX,H1,998,-3.295645,34.852435,2/20/2017,3/24/2017,32,Cyn dac,,0.6,10,25,1.5,4.8,20,53,,,,38.38,2.162326389,1.146701389,2.38846305,0.454809028,target,8.26,0.506944444,0.086805556,0.959201389,0.434027778,0.39,,,0.39,,2.32,164.63,164.6329572,717.36,16.5,0.226,1.97,164.6329572,8,3
DRY_W_3_EX2_H1,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,Control,W,3,1,EX2,H1,998,-3.295645,34.852435,2/20/2017,3/25/2017,33,Cyn dac,,0.2,10,40,2,12,25,70,,,,74.03,5.097643098,4.112794613,5.122655123,3.090824916,target,17.64,1.281144781,0.873737374,3.393097643,2.883838384,3.5,,,3.5,,2.32,166.34,495.605386,717.36,16.5,0.226,1.97,166.3394715,8,3
DRY_W_3_OP_H1,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,Control,W,3,1,OP,H1,998,-3.295645,34.852435,2/20/2017,3/24/2017,32,Cyn dac,,0.3,20,45,1.3,3.3,20,60,2.42,11.05,13.47,25.17,1.015625,,,,target,7.26,0.420138889,,,,2.1,1.9,38.83,1.9,20.43684211,2.32,164.63,329.2659145,717.36,16.5,0.226,1.97,164.6329572,8,3
DRY_W_4_EX_H1,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,Control,W,4,2,EX,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,Cyn dac,,0.2,8,30,1.6,3.9,10,50,,,,53.28,3.236531987,2.278619529,5.848905724,0.918686869,target,3.59,0.178451178,-0.404040404,1.784511785,-4.825102881,,1.77,40.52,1.77,22.89265537,2.03,170.33,170.3338514,717.36,36.4,0.218,,170.3338514,7,3
DRY_W_4_EX2_H1,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,Control,W,4,2,EX2,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,Cyn dac,,0.3,12,25,3.5,3.3,15,50,,,,96.49,6.873737374,5.915824916,13.1233165,2.737289562,target,49.76,4.064814815,3.482323232,26.68630752,20.07669285,2.28,,,2.28,,2.03,170.33,340.6677029,717.36,36.4,0.218,,170.3338514,7,3
DRY_W_4_OP_H1,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,Control,W,4,2,OP,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,Cyn dac,,0.5,8,45,4,14,9,60,1.47,13.36,14.83,26.21,0.957912458,,,,target,8.39,0.582491582,,,,1.61,,,1.61,,2.03,170.33,511.0015543,717.36,36.4,0.218,,170.3338514,7,3
DRY_P_1_EX_H1,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,Control,P,1,2,EX,H1,1009,-3.303212,34.847736,2/21/2017,3/26/2017,33,Chl pyc,1.3,1.4,5,55,7.5,18.6,3,95,,,,109.68,8.074074074,4.592592593,7.401736665,5.522895623,target,3.06,0.086700337,-0.419191919,6.877104377,0.126262626,,1.59,40.96,1.59,25.76100629,,156.81,156.8064416,672.04,61.83,0.129,1.27,156.8064416,9,1
DRY_P_1_OP_H1,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,Control,P,1,2,OP,H1,1009,-3.303212,34.847736,2/21/2017,3/26/2017,33,Chl pyc,1.4,1.3,8,50,2,4,8,70,2.03,11.73,13.76,55.12,3.481481481,,,,target,8.04,0.505892256,,,,3.92,1.52,39.9,1.52,26.25,,156.81,313.6128831,672.04,61.83,0.129,1.27,156.8064416,9,1
DRY_P_2_EX_H1,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,Control,P,2,3,EX,H1,1006,-3.408426,34.850244,2/21/2017,3/26/2017,33,Chl pyc,1,0.2,24,45,3,10,20,47,,,,54.11,3.702861953,0.990740741,7.79787632,0.180530303,target,20.78,1.252525253,1.485690236,6.906409777,5.818368874,2.91,,,2.91,,2.62,156.81,156.8064416,672.04,66.85,0.129,,156.8064416,9,2
DRY_P_2_OP_H1,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,Control,P,2,3,OP,H1,1006,-3.408426,34.850244,2/21/2017,3/26/2017,33,Chl pyc,0.8,1.1,3,30,1,0.9,9,55,5.9,4.22,10.12,42.34,2.712121212,,,,target,3.13,-0.233164983,,,,,1.86,40.72,1.86,21.89247312,2.62,156.81,313.6128831,672.04,66.85,0.129,,156.8064416,9,2
DRY_P_3_EX_H1,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,Control,P,3,1,EX,H1,1001,-3.406316,34.850407,2/20/2017,3/26/2017,34,Chl pyc,1.7,1.5,4,55,,,,,,,,,,,,,target,,,,,3.05,,,,,,2.95,176.82,176.8158372,672.04,58.83,0.146,1.55,176.8158372,9,2
DRY_P_3_OP_H1,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,Control,P,3,1,OP,H1,1001,-3.406316,34.850407,2/20/2017,3/26/2017,34,Chl pyc,1.2,1.2,2,50,2,2.4,7,60,0.79,11,11.79,53.37,3.397058824,,,,target,1.61,0.066993464,,,,,1.83,41.4,1.83,22.62295082,2.95,176.82,353.6316743,672.04,58.83,0.146,1.55,176.8158372,9,2
DRY_P_4_EX_H1,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,Control,P,4,,EX,H1,1003,-3.406853,34.8516,2/20/2017,3/26/2017,34,Chl pyc,1.5,1.9,10,45,4,8.2,10,55,,,,56.21,3.544934641,1.572712418,5.73120915,1.015972222,target,9.01,0.641339869,0.569444444,6.007236228,3.194444444,,1.59,41.88,1.59,26.33962264,2.31,176.82,176.8158372,672.04,57.61,0.145,,176.8158372,9,2
DRY_P_4_OP_H1,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,Control,P,4,,OP,H1,1003,-3.406853,34.8516,2/20/2017,3/26/2017,34,Chl pyc,1.5,3.5,5,45,2.3,5.6,4,50,1.16,11.66,12.82,36.96,1.972222222,,,,target,2.04,0.071895425,,,,,1.81,41.31,1.81,22.82320442,2.31,176.82,353.6316743,672.04,57.61,0.145,,176.8158372,9,2
SE_1_EX_H1,SE_1_H1,SE,SE_1,,Seronera,SE,Control,W,1,,EX,H1,1023,-2.437747,34.855162,2/26/2017,3/18/2017,20,Dig mac,,0.9,4,45,4,7.3,6,65,,,,41.36,4.029166667,-0.356944444,3.936813187,0.378125,target,5.02,,-0.652777778,,-1.87962963,,1.56,38.54,1.56,24.70512821,,84.86,84.86457834,855.62,53.59,0.113,,84.86457834,4,3
SE_1_EX2_H1,SE_1_H1,SE,SE_1,,Seronera,SE,Control,W,1,,EX2,H1,1023,-2.437747,34.855162,2/25/2017,3/18/2017,21,Dig mac,,1,2,45,3.9,8.3,3,60,,,,50.21,5.007936508,0.830687831,6.401801461,0.788955026,target,3.18,,-0.865079365,,1.164021164,,1.44,40.09,1.44,27.84027778,,86.14,171.0043041,855.62,53.59,0.113,,86.13972578,4,3
SE_1_OP_H1,SE_1_H1,SE,SE_1,,Seronera,SE,Control,W,1,,OP,H1,1023,-2.437747,34.855162,2/25/2017,3/18/2017,21,Dig mac,,2.6,2,45,4.3,10.3,10,55,,12.35,12.35,43.93,4.177248677,,,,target,9.72,,,,,,1.23,38.62,1.23,31.39837398,,86.14,257.1440299,855.62,53.59,0.113,,86.13972578,4,3
SE_2_EX_H1,SE_2_H1,SE,SE_2,,Seronera,SE,Control,W,2,,EX,H1,1025,-2.437766,34.855394,2/26/2017,3/18/2017,20,Dig mac,,1.8,3,35,3.9,7.4,5,70,,,,41.51,4.5875,1.109722222,4.310185185,2.173472222,target,4.68,,-0.391666667,,2.583333333,,1.7,38.99,1.7,22.93529412,,84.86,84.86457834,855.62,63.33,0.13,1.31,84.86457834,4,3
SE_2_EX2_H1,SE_2_H1,SE,SE_2,,Seronera,SE,Control,W,2,,EX2,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,Dig mac,,2.1,12,30,3.4,5.4,18,45,,,,23.44,1.978835979,-1.333333333,3.151087596,-0.378306878,target,7.25,,-0.033068783,,-4.592886537,,1.74,39.09,1.74,22.46551724,,86.14,171.0043041,855.62,63.33,0.13,1.31,86.13972578,4,3
SE_2_OP_H1,SE_2_H1,SE,SE_2,,Seronera,SE,Control,W,2,,OP,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,Dig mac,,3.3,8,35,3.4,4.4,10,40,,8.48,8.48,33.52,3.312169312,,,,target,7.5,,,,,1.72,,,1.72,,,86.14,257.1440299,855.62,63.33,0.13,1.31,86.13972578,4,3
SE_3_EX_H1,SE_3_H1,SE,SE_3,,Seronera,SE,Control,W,3,,EX,H1,1027,-2.437991,34.855418,2/26/2017,3/18/2017,20,Dig mac,,2.4,5,50,5,8.3,7,70,,,,63.15,7.408333333,3.315277778,9.123511905,3.411805556,target,16.94,,1.476388889,,19.00462963,1.65,,,1.65,,,84.86,84.86457834,855.62,64.45,0.129,,84.86457834,4,3
