"Current.placement.of.the.turf.x","Site.x","Block.x","Placement","Source.ID","Landuse.x","Tagsp.x","InitialVegH","InitialVegCover....","InitialTagSpcover","FinalVegCover","FinalTagspCover","FinalVegH","Average.H.outside","Themeda.triandra....","Digitaria.macroblephara....","Crysochloa.orientalis....","Chloris.pycnothris....","Cynodon.dactylon","fCurrent.placement.of.the.turf","Current.placement.of.the.turf.y","Block.y","aspect","Tagsp.y","Site.y","Landuse.y","Other.weight.g","Other.subsample.wt.g","date","Target.weight.g","Target.subsample.wt.g"
"CG_DRY_W_1_2","Maswa",1,"DRY_W","SE_1_OP_3","Wild","Dig mac",2.3,30,25,90,80,16,35,0,25,0,0,0,"CG_DRY_W_1_2","CG_DRY_W_1_2",1,"s","Dig.mac","Maswa","Wild",5.9,0.72,"25.5.2018",14.06,6.18
"CG_DRY_W_2_1","Maswa",2,"DRY_W","SE_2_EX_3","Wild","Dig mac",2.2,20,16,10,10,7,12,0,16,0,0,0,"CG_DRY_W_2_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CG_DRY_W_2_2","Maswa",2,"DRY_W","SE_2_OP_3","Wild","Dig mac",2.7,25,14,20,10,43,46,2,14,0,0,0,"CG_DRY_W_2_2","CG_DRY_W_2_2",2,"s","Dig.mac","Maswa","Wild",43.61,14.36,"25.5.2018",7.55,1.74
"CG_DRY_W_3_1","Maswa",3,"DRY_W","SE_3_EX_3","Wild","Dig mac",1.8,35,11,3,0,0,1,2,11,0,0,0,"CG_DRY_W_3_1","CG_DRY_W_3_1",3,"n","","Maswa","Wild",5.68,0.28,"25.5.2018",NA,NA
"CG_DRY_W_3_2","Maswa",3,"DRY_W","SE_3_OP_3","Wild","Dig mac",2.3,35,16,5,2,6,1,16,16,0,0,0,"CG_DRY_W_3_2","CG_DRY_W_3_2",3,"s","Dig.mac","Maswa","Wild",5.84,0.53,"25.5.2018",5.85,0.32
"CG_DRY_W_4_1","Maswa",4,"DRY_W","SE_4_EX_3","Wild","Dig mac",1.7,6,5,10,0,1,1,0,5,0,0,0,"CG_DRY_W_4_1","CG_DRY_W_4_1",4,"n","","Maswa","Wild",5.2,0.87,"25.5.2018",NA,NA
"CG_DRY_W_4_2","Maswa",4,"DRY_W","SE_4_OP_3","Wild","Dig mac",2.5,20,14,15,12,2,5,0,14,0,0,0,"CG_DRY_W_4_2","CG_DRY_W_4_2",4,"s","Dig.mac","Maswa","Wild",6.55,0.93,"25.5.2018",6.42,0.83
"CG_WET_P_1_1","Mwantimba",1,"WET_P","SE_1_EX_2","Pasture","Dig mac",3.1,40,36,75,0,5,20,0,36,0,0,0,"CG_WET_P_1_1","CG_WET_P_1_1",1,"","Dig.mac","Mwantimba","Pasture",NA,NA,"24.5.2018",5.77,0.16
"CG_WET_P_1_2","Mwantimba",1,"WET_P","SE_1_OP_2","Pasture","Dig mac",2.7,18,9,70,2,7,3,0,9,0,0,0,"CG_WET_P_1_2","CG_WET_P_1_2",1,"s","","Mwantimba","Pasture",8.27,1.78,"21.5.2018",NA,NA
"CG_WET_P_2_1","Mwantimba",2,"WET_P","SE_2_EX_2","Pasture","Dig mac",3.5,45,38,90,2,25,37,2,38,0,0,0,"CG_WET_P_2_1","CG_WET_P_2_1",2,"n","","Mwantimba","Pasture",18.81,5.17,"21.5.2018",NA,NA
"CG_WET_P_2_2","Mwantimba",2,"WET_P","SE_2_OP_2","Pasture","Dig mac",2.7,25,12,97,20,38,32,0,12,0,0,0,"CG_WET_P_2_2","CG_WET_P_2_2",2,"s","Dig.mac","Mwantimba","Pasture",19.7,14.54,"21.5.2018",6.78,0.82
"CG_WET_P_3_1","Mwantimba",3,"WET_P","SE_3_EX_2","Pasture","Dig mac",2.8,50,44,NA,NA,NA,NA,2,44,0,0,0,"CG_WET_P_3_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CG_WET_P_3_2","Mwantimba",3,"WET_P","SE_3_OP_2","Pasture","Dig mac",3,30,18,NA,NA,NA,NA,0,18,0,0,10,"CG_WET_P_3_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CG_WET_P_4_1","Mwantimba",4,"WET_P","SE_4_EX_2","Pasture","Dig mac",2.5,45,45,NA,NA,NA,NA,0,45,0,0,0,"CG_WET_P_4_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CG_WET_P_4_2","Mwantimba",4,"WET_P","SE_4_OP_2","Pasture","Dig mac",2.3,35,11,NA,NA,NA,NA,12,11,0,0,0,"CG_WET_P_4_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CG_WET_W_1_1","Handajega",1,"WET_W","SE_1_EX_1","Wild","Dig mac",4,30,27,45,20,61,71,0,27,0,0,0,"CG_WET_W_1_1","CG_WET_W_1_1",1,"n","Dig.mac","Handajega","Wild",40.58,12.69,"25.5.2018",19.05,6.8
"CG_WET_W_1_2","Handajega",1,"WET_W","SE_1_OP_1","Wild","Dig mac",8,30,20,50,35,35,70,0,20,0,0,0,"CG_WET_W_1_2","CG_WET_W_1_2",1,"s","","Handajega","Wild",6.05,0.46,"22.5.2018",NA,NA
"CG_WET_W_2_1","Handajega",2,"WET_W","SE_2_OP_1","Wild","Dig mac",3.9,12,7,65,20,17,51,1,7,0,0,0,"CG_WET_W_2_1","CG_WET_W_2_1",2,"n","Dig.mac","Handajega","Wild",11.02,2.06,"22.5.2018",18.16,4.76
"CG_WET_W_2_2","Handajega",2,"WET_W","SE_2_EX_1","Wild","Dig mac",3.2,45,40,97,10,24,75,2,40,0,0,0,"CG_WET_W_2_2","CG_WET_W_2_2",2,"s","Dig.mac","Handajega","Wild",16.06,8.91,"22.5.2018",16.81,5.46
"CG_WET_W_3_1","Handajega",3,"WET_W","SE_3_EX_1","Wild","Dig mac",2.9,45,22,80,15,26,68,1,22,0,0,0,"CG_WET_W_3_1","CG_WET_W_3_1",3,"n","Dig.mac","Handajega","Wild",13.25,4.82,"22.5.2018",12.04,2.12
"CG_WET_W_3_2","Handajega",3,"WET_W","SE_3_OP_1","Wild","Dig mac",2.6,40,30,15,5,9,36,0,30,0,0,10,"CG_WET_W_3_2","CG_WET_W_3_2",3,"s","Dig.mac","Handajega","Wild",4.78,0.22,"22.5.2018",9.57,0.8
"CG_WET_W_4_1","Handajega",4,"WET_W","SE_4_EX_1","Wild","Dig mac",3,32,22,45,0,19,83,10,22,0,0,0,"CG_WET_W_4_1","CG_WET_W_4_1",4,"n","","Handajega","Wild",23.9,10.37,"22.5.2018",NA,NA
"CG_WET_W_4_2","Handajega",4,"WET_W","SE_4_OP_1","Wild","Dig mac",2.2,15,12,70,0,53,72,0,12,0,0,0,"CG_WET_W_4_2","CG_WET_W_4_2",4,"s","","Handajega","Wild",39.75,7.84,"25.5.2018",NA,NA
"DRY_P_1_1","Makao",1,"DRY_P","WET_W_1_4","Pasture","The tri",6,55,55,30,10,17,34,55,0,0,0,0,"DRY_P_1_1","DRY_P_1_1",1,"","The.tri","Makao","Pasture",15.13,2.19,"24.5.2018",7.39,1.13
"DRY_P_1_2","Makao",1,"DRY_P","WET_P_1_4","Pasture","Chr ori",2.9,15,12,25,0,12,28,0,0,12,0,0,"DRY_P_1_2","DRY_P_1_2",1,"","","Makao","Pasture",9.62,2.5,"24.5.2018",NA,NA
"DRY_P_1_3","Makao",1,"DRY_P","DRY_W_1_4","Pasture","Cyn dac",2.2,30,20,20,0,18,29,0,0,0,0,20,"DRY_P_1_3","DRY_P_1_3",1,"","","Makao","Pasture",10.59,2.99,"24.5.2018",NA,NA
"DRY_P_1_4","Makao",1,"DRY_P","DRY_P_2_3","Pasture","Chl pyc",3,20,17,30,25,10,20,0,0,0,17,0,"DRY_P_1_4","DRY_P_1_4",1,"","Chl pyc","Makao","Pasture",6.63,0.76,"24.5.2018",8.79,2.41
"DRY_P_1_5","Makao",1,"DRY_P","DRY_P_1_5","Pasture","Chl pyc",3.3,25,19,90,85,27,34,0,0,0,19,0,"DRY_P_1_5","DRY_P_1_5",1,"","Chl.pyc","Makao","Pasture",6.25,0.49,"24.5.2018",14.75,3.18
"DRY_P_2_1","Makao",2,"DRY_P","WET_W_2_4","Pasture","The tri",5.7,55,51,20,0,11,34,51,2,0,0,0,"DRY_P_2_1","DRY_P_2_1",2,"","","Makao","Pasture",9.9,5.39,"24.5.2018",NA,NA
"DRY_P_2_2","Makao",2,"DRY_P","WET_P_2_4","Pasture","Chr ori",1.7,10,7,5,0,7,18,0,0,7,1,0,"DRY_P_2_2","DRY_P_2_2",2,"","","Makao","Pasture",6.14,0.46,"24.5.2018",NA,NA
"DRY_P_2_3","Makao",2,"DRY_P","DRY_W_2_4","Pasture","Cyn dac",2.2,25,13,35,5,27,33,0,0,0,0,13,"DRY_P_2_3","DRY_P_2_3",2,"","Chl.pyc","Makao","Pasture",12.78,4.05,"24.5.2018",6.21,0.4
"DRY_P_2_4","Makao",2,"DRY_P","DRY_P_1_4","Pasture","Chl pyc",4.2,10,7,15,8,9,21,0,0,0,7,0,"DRY_P_2_4","DRY_P_2_4",2,"","Cyn.dac","Makao","Pasture",7.34,1.04,"24.5.2018",6.04,0.77
"DRY_P_2_5","Makao",2,"DRY_P","DRY_P_2_5","Pasture","Chl pyc",3.5,60,48,35,15,9,26,0,0,0,48,0,"DRY_P_2_5","DRY_P_2_5",2,"","Chl.pyc","Makao","Pasture",7.31,1.05,"24.5.2018",11.65,3.55
"DRY_P_3_1","Makao",3,"DRY_P","WET_W_3_4","Pasture","The tri",5.5,80,74,95,5,38,46,74,0,0,0,0,"DRY_P_3_1","DRY_P_3_1",3,"","Cyn.dac","Makao","Pasture",28.69,8.5,"24.5.2018",6.85,1.02
"DRY_P_3_2","Makao",3,"DRY_P","WET_P_3_4","Pasture","Chr ori",NA,50,25,90,0,43,42,0,0,25,25,0,"DRY_P_3_2","DRY_P_3_2",3,"","","Makao","Pasture",31.53,11.59,"24.5.2018",NA,NA
"DRY_P_3_3","Makao",3,"DRY_P","DRY_W_3_4","Pasture","Cyn dac",1.2,45,22,95,0,47,58,0,0,0,0,22,"DRY_P_3_3","DRY_P_3_3",3,"","","Makao","Pasture",26.6,8.06,"24.5.2018",NA,NA
"DRY_P_3_4","Makao",3,"DRY_P","DRY_P_4_4","Pasture","Chl pyc",4.2,60,15,95,20,51,33,0,0,0,15,0,"DRY_P_3_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRY_P_3_5","Makao",3,"DRY_P","DRY_P_3_5","Pasture","Chl pyc",3.7,55,15,95,80,40,30,0,0,0,15,0,"DRY_P_3_5","DRY_P_3_5",3,"","Chl.pyc","Makao","Pasture",10.6,2.8,"24.5.2018",12.71,4.67
"DRY_P_4_1","Makao",4,"DRY_P","WET_W_4_4","Pasture","The tri",6,40,35,75,0,34,45,35,0,0,0,0,"DRY_P_4_1","DRY_P_4_1",4,"","","Makao","Pasture",19.62,7.55,"24.5.2018",NA,NA
"DRY_P_4_2","Makao",4,"DRY_P","WET_P_4_4","Pasture","Chr ori",2,40,31,45,0,12,21,0,0,31,8,0,"DRY_P_4_2","DRY_P_4_2",4,"","","Makao","Pasture",11.52,3.18,"24.5.2018",NA,NA
"DRY_P_4_3","Makao",4,"DRY_P","DRY_W_4_4","Pasture","Cyn dac",3,35,20,80,15,12,32,0,0,0,0,20,"DRY_P_4_3","DRY_P_4_3",4,"","Cyn.dac","Makao","Pasture",20.55,7.42,"24.5.2018",6.96,1.09
"DRY_P_4_4","Makao",4,"DRY_P","DRY_P_3_4","Pasture","Chl pyc",2.3,50,25,NA,NA,NA,NA,0,0,0,25,0,"DRY_P_4_4","DRY_P_4_4",4,"","Chl.pyc","Makao","Pasture",20.52,7.61,"24.5.2018",8.5,1.84
"DRY_P_4_5","Makao",4,"DRY_P","DRY_P_4_5","Pasture","Chl pyc",6.1,40,16,NA,NA,NA,NA,0,0,0,16,0,"DRY_P_4_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRY_W_1_1","Maswa",1,"DRY_W","WET_W_1_3","Wild","The tri",4.7,45,45,25,3,13,18,45,0,0,0,0,"DRY_W_1_1","DRY_W_1_1",1,"","The.tri","Maswa","Wild",13.52,6.79,"25.5.2018",5,0.34
"DRY_W_1_2","Maswa",1,"DRY_W","WET_P_1_3","Wild","Chr ori",2.7,25,23,10,0,7,51,0,0,23,0,0,"DRY_W_1_2","DRY_W_1_2",1,"","Cry.ori","Maswa","Wild",6.94,1.6,"25.5.2018",NA,NA
"DRY_W_1_3","Maswa",1,"DRY_W","DRY_W_2_3","Wild","Cyn dac",4.5,30,18,50,10,30,32,0,0,0,5,18,"DRY_W_1_3","DRY_W_1_3",1,"","Cyn.dac","Maswa","Wild",28.95,14.37,"25.5.2018",5.63,0.83
"DRY_W_1_4","Maswa",1,"DRY_W","DRY_P_1_3","Wild","Chl pyc",2.7,35,10,0,0,0,0,0,0,0,10,0,"DRY_W_1_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRY_W_1_5","Maswa",1,"DRY_W","DRY_W_1_5","Wild","Cyn dac",3.3,25,20,75,30,26,27,0,0,0,0,20,"DRY_W_1_5","DRY_W_1_5",1,"","Cyn.dac","Maswa","Wild",13.41,4.07,"25.5.2018",10.08,4.55
"DRY_W_2_1","Maswa",2,"DRY_W","WET_W_2_3","Wild","The tri",7,45,39,NA,NA,NA,NA,39,0,0,0,0,"DRY_W_2_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRY_W_2_2","Maswa",2,"DRY_W","WET_P_2_3","Wild","Chr ori",1.5,25,22,NA,NA,NA,NA,0,0,22,1,0,"DRY_W_2_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRY_W_2_3","Maswa",2,"DRY_W","DRY_W_1_3","Wild","Cyn dac",3,45,25,NA,NA,NA,NA,0,0,0,0,25,"DRY_W_2_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRY_W_2_4","Maswa",2,"DRY_W","DRY_P_2_4","Wild","Chl pyc",2.8,35,33,NA,NA,NA,NA,0,0,0,33,0,"DRY_W_2_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRY_W_2_5","Maswa",2,"DRY_W","DRY_W_2_5","Wild","Cyn dac",4,30,18,NA,NA,NA,NA,0,0,0,3,18,"DRY_W_2_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRY_W_3_1","Maswa",3,"DRY_W","WET_W_3_3","Wild","The tri",6,70,55,25,0,3,4,55,0,0,0,0,"DRY_W_3_1","DRY_W_3_1",3,"","","Maswa","Wild",6.6,0.59,"25.5.2018",NA,NA
"DRY_W_3_2","Maswa",3,"DRY_W","WET_P_3_3","Wild","Chr ori",NA,55,44,0,0,0,2,0,0,44,10,0,"DRY_W_3_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRY_W_3_3","Maswa",3,"DRY_W","DRY_W_4_3","Wild","Cyn dac",5,25,23,55,20,3,2,0,0,0,0,23,"DRY_W_3_3","DRY_W_3_3",3,"","Cyn.dac","Maswa","Wild",7.33,1.36,"25.5.2018",7.79,1.68
"DRY_W_3_4","Maswa",3,"DRY_W","DRY_P_3_3","Wild","Chl pyc",3,30,9,90,0,2,2,0,0,0,9,0,"DRY_W_3_4","DRY_W_3_4",3,"","","Maswa","Wild",23.01,5.22,"25.5.2018",NA,NA
"DRY_W_3_5","Maswa",3,"DRY_W","DRY_W_3_5","Wild","Cyn dac",2.2,45,30,25,23,1,1,0,0,0,0,30,"DRY_W_3_5","DRY_W_3_5",3,"","Cyn.dac","Maswa","Wild",5.9,0.25,"25.5.2018",6.36,0.8
"DRY_W_4_1","Maswa",4,"DRY_W","WET_W_4_3","Wild","The tri",4,50,40,49,15,5,7,40,0,0,0,0,"DRY_W_4_1","DRY_W_4_1",4,"","The.tri","Maswa","Wild",8.03,1.67,"25.5.2018",6,0.6
"DRY_W_4_2","Maswa",4,"DRY_W","WET_P_4_3","Wild","Chr ori",3.1,10,9,10,0,0,2,0,0,9,1,0,"DRY_W_4_2","DRY_W_4_2",4,"","","Maswa","Wild",6.07,0.7,"25.5.2018",NA,NA
"DRY_W_4_3","Maswa",4,"DRY_W","DRY_W_3_3","Wild","Cyn dac",2.3,35,17,75,60,6,6,0,0,0,0,17,"DRY_W_4_3","DRY_W_4_3",4,"","Cyn.dac","Maswa","Wild",6.23,0.67,"25.5.2018",10.26,3.63
"DRY_W_4_4","Maswa",4,"DRY_W","DRY_P_4_3","Wild","Chl pyc",4.3,25,14,15,0,2,2,0,0,0,14,0,"DRY_W_4_4","DRY_W_4_4",4,"","Cyn.dac","Maswa","Wild",7.01,1.52,"25.5.2018",13.38,4.44
"DRY_W_4_5","Maswa",4,"DRY_W","DRY_W_4_5","Wild","Cyn dac",4.2,35,25,56,50,4,1,0,0,0,0,25,"DRY_W_4_5","DRY_W_4_5",4,"","","Maswa","Wild",5.83,0.43,"22.5.2018",NA,NA
"SE_1_EX_1","Seronera",1,"SE_EX","CG_DRY_P_3_1","Wild","Chl pyc",3.3,30,8,70,35,73,73,0,0,0,8,0,"SE_1_EX_1","SE_1_EX_1",1,"","Chl.pyc","Seronera","Wild",21.1,9.27,"19.5.2018",21.16,8.55
"SE_1_EX_2","Seronera",1,"SE_EX","CG_DRY_W_3_2","Wild","Cyn dac",2.5,55,50,85,50,17,72,0,0,0,0,50,"SE_1_EX_2","SE_1_EX_2",1,"","Cry.ori","Seronera","Wild",16.14,8.24,"19.5.2018",22.65,12.22
"SE_1_EX_3","Seronera",1,"SE_EX","CG_WET_P_1_1","Wild","Chr ori",2.2,35,35,10,5,17,54,0,0,35,0,0,"SE_1_EX_3","SE_1_EX_3",1,"","Cry.ori","Seronera","Wild",NA,NA,"19.5.2018",10.75,4.03
"SE_1_EX_4","Seronera",1,"SE_EX","CG_WET_P_1_2","Wild","Chr ori",4.3,30,19,15,2,55,47,0,0,19,0,0,"SE_1_EX_4","SE_1_EX_4",1,"","Cry.ori","Seronera","Wild",23.08,19.13,"19.5.2018",5.65,0.33
"SE_1_EX_5","Seronera",1,"SE_EX","SE_1_EX_5","Wild","Dig mac",4.2,15,14,80,70,48,59,0,14,0,0,0,"SE_1_EX_5","SE_1_EX_5",1,"","Dig.mac","Seronera","Wild",11.42,4.24,"19.5.2018",73.13,20.65
"SE_1_OP_1","Seronera",1,"SE_OP","CG_DRY_P_4_1","Wild","Chl pyc",4.6,25,8,80,55,45,68,0,0,0,8,0,"SE_1_OP_1","SE_1_OP_1",1,"","The.tri","Seronera","Wild",9.77,2.57,"19.5.2018",23.5,12.22
"SE_1_OP_2","Seronera",1,"SE_OP","CG_DRY_W_1_1","Wild","Cyn dac",4,25,23,80,70,32,41,0,0,0,0,23,"SE_1_OP_2","SE_1_OP_2",1,"","Cry.ori","Seronera","Wild",8.65,2.45,"19.5.2018",9.86,2.61
"SE_1_OP_3","Seronera",1,"SE_OP","CG_WET_P_4_2","Wild","Chr ori",2,8,7,20,3,20,66,0,0,7,1,0,"SE_1_OP_3","SE_1_OP_3",1,"","Cyn.dac","Seronera","Wild",15.24,6.37,"19.5.2018",6.18,0.75
"SE_1_OP_4","Seronera",1,"SE_OP","CG_WET_P_4_1","Wild","Chr ori",2.2,25,15,75,0,23,21,0,0,15,10,0,"SE_1_OP_4","SE_1_OP_4",1,"","","Seronera","Wild",14.01,5.9,"19.5.2018",NA,NA
"SE_1_OP_5","Seronera",1,"SE_OP","SE_1_OP_5","Wild","Dig mac",3,20,18,30,20,27,35,0,18,0,0,0,"SE_1_OP_5","SE_1_OP_5",1,"","","Seronera","Wild",7.19,1.58,"19.5.2018",NA,NA
"SE_2_EX_1","Seronera",2,"SE_EX","CG_DRY_P_4_2","Wild","Chl pyc",5.5,40,16,95,15,54,57,0,0,0,16,0,"SE_2_EX_1","SE_2_EX_1",2,"","","Seronera","Wild",76.93,18.15,"19.5.2018",NA,NA
"SE_2_EX_2","Seronera",2,"SE_EX","CG_DRY_W_3_1","Wild","Cyn dac",2.7,30,18,88,80,44,44,0,0,0,0,18,"SE_2_EX_2","SE_2_EX_2",2,"","Cry.ori","Seronera","Wild",160.28,26.23,"19.5.2018",18.74,9.25
"SE_2_EX_3","Seronera",2,"SE_EX","CG_WET_P_3_2","Wild","Chr ori",1.6,30,24,25,8,44,59,0,0,24,5,0,"SE_2_EX_3","SE_2_EX_3",2,"","Cyn.dac","Seronera","Wild",11.99,4.63,"19.5.2018",16.45,7.23
"SE_2_EX_4","Seronera",2,"SE_EX","CG_WET_P_3_1","Wild","Chr ori",1.4,25,15,80,0,15,64,0,0,15,10,0,"SE_2_EX_4","SE_2_EX_4",2,"","","Seronera","Wild",19.53,10.46,"19.5.2018",NA,NA
"SE_2_EX_5","Seronera",2,"SE_EX","SE_2_EX_5","Wild","Dig mac",3.1,55,10,95,0,36,50,0,10,0,0,0,"SE_2_EX_5","SE_2_EX_5",2,"","","Seronera","Wild",83.16,18.48,"19.5.2018",NA,NA
"SE_2_OP_1","Seronera",2,"SE_OP","CG_DRY_P_1_1","Wild","Chl pyc",3.3,25,15,10,5,18,46,0,0,0,15,0,"SE_2_OP_1","SE_2_OP_1",2,"","The.tri","Seronera","Wild",9.49,2.05,"19.5.2018",6.26,1.01
"SE_2_OP_2","Seronera",2,"SE_OP","CG_DRY_W_2_2","Wild","Cyn dac",2.5,40,20,70,55,50,26,0,0,0,0,20,"SE_2_OP_2","SE_2_OP_2",2,"","Cry.ori","Seronera","Wild",31.3,12.8,"19.5.2018",8.66,1.9
"SE_2_OP_3","Seronera",2,"SE_OP","CG_WET_W_2_1","Wild","The tri",7.3,75,71,25,5,28,55,71,0,0,0,0,"SE_2_OP_3","SE_2_OP_3",2,"","The.tri","Seronera","Wild",21.07,7.11,"19.5.2018",6.3,0.73
"SE_2_OP_4","Seronera",2,"SE_OP","CG_WET_W_2_2","Wild","The tri",5.2,65,57,3,0,5,38,57,2,0,0,0,"SE_2_OP_4","SE_2_OP_4",2,"","","Seronera","Wild",5.31,0.07,"19.5.2018",NA,NA
"SE_2_OP_5","Seronera",2,"SE_OP","SE_2_OP_5","Wild","Dig mac",2.2,15,4,55,0,34,21,0,4,0,0,0,"SE_2_OP_5","SE_2_OP_5",2,"","","Seronera","Wild",43.07,11.57,"19.5.2018",NA,NA
"SE_3_EX_1","Seronera",3,"SE_EX","CG_DRY_P_3_2","Wild","Chl pyc",3.5,30,17,75,60,64,80,0,0,0,17,0,"SE_3_EX_1","SE_3_EX_1",3,"","The.tri","Seronera","Wild",33.61,7.5,"19.5.2018",55.61,16.49
"SE_3_EX_2","Seronera",3,"SE_EX","CG_DRY_W_4_2","Wild","Cyn dac",2.7,20,9,15,0,34,99,0,0,0,0,9,"SE_3_EX_2","SE_3_EX_2",3,"","","Seronera","Wild",24.19,12.26,"19.5.2018",NA,NA
"SE_3_EX_3","Seronera",3,"SE_EX","CG_WET_P_2_2","Wild","Chr ori",1.5,8,7,10,0,41,92,0,0,7,1,0,"SE_3_EX_3","SE_3_EX_3",3,"","","Seronera","Wild",14.7,6.22,"19.5.2018",NA,NA
"SE_3_EX_4","Seronera",3,"SE_EX","CG_WET_P_2_1","Wild","Chr ori",2.2,15,10,15,0,39,88,0,0,10,2,0,"SE_3_EX_4","SE_3_EX_4",3,"","","Seronera","Wild",15.34,4.27,"19.5.2018",NA,NA
"SE_3_EX_5","Seronera",3,"SE_3_","SE_3_EX_5","Wild","Dig mac",2.7,45,16,90,5,64,101,0,16,0,0,0,"SE_3_EX_5","SE_3_EX_5",3,"","","Seronera","Wild",78.26,17.71,"19.5.2018",NA,NA
"SE_3_OP_1","Seronera",3,"SE_OP","CG_DRY_P_2_2","Wild","Chl pyc",2.5,45,31,95,90,58,68,0,0,0,31,0,"SE_3_OP_1","SE_3_OP_1",3,"","The.tri","Seronera","Wild",6.28,0.68,"19.5.2018",71.94,16.43
"SE_3_OP_2","Seronera",3,"SE_OP","CG_DRY_W_4_1","Wild","Cyn dac",2.8,15,11,85,70,56,76,0,0,0,0,11,"SE_3_OP_2","SE_3_OP_2",3,"","Cry.ori","Seronera","Wild",36.64,16.69,"19.5.2018",9.85,2.43
