Current.placement.of.the.turf,Soil.depth,Sample_code,Site,date,weight.g,airdry.weight.g,ovendry.weight.g,weight.stones.g,pH.ID,pH,Total.depth.cm,Core.depth.cm,Vol.cm3,Stone.vol.cm3,BD.gcm3
CG_DRY_W_2_2,deep,CG_DRY_W_2_2_deep,Maswa,25.5.2018,199.19,52.3593,50.0409,2.1405,120,6.45,15,10,138.544236,1.1220501,0.348563805
CG_DRY_W_3_1,5cm,CG_DRY_W_3_1_5cm,Maswa,25.5.2018,103.97,39.4015,38.0109,0.4247,121,6.5,13,5,69.27211801,0.22262774,0.54433711
CG_DRY_W_3_2,5cm,CG_DRY_W_3_2_5cm,Maswa,25.5.2018,92.24,30.7871,30.1388,0.2829,122,5.63,13,5,69.27211801,0.14829618,0.431919116
CG_DRY_W_3_2,deep,CG_DRY_W_3_2_deep,Maswa,25.5.2018,143.56,40.624,38.6233,0.7806,123,7.18,13,8,110.8353888,0.40919052,0.342696757
CG_DRY_W_4_1,5cm,CG_DRY_W_4_1_5cm,Maswa,25.5.2018,97.25,40.7548,39.5454,1.014,127,6.7,13,5,69.27211801,0.5315388,0.560533537
CG_DRY_W_4_1,deep,CG_DRY_W_4_1_deep,Maswa,25.5.2018,101.62,43.3208,42.1255,2.1767,125,5.96,13,8,110.8353888,1.14102614,0.364182799
CG_DRY_W_4_2,5cm,CG_DRY_W_4_2_5cm,Maswa,25.5.2018,98.05,54.8657,53.0501,0.6328,126,6.65,13,5,69.27211801,0.33171376,0.760327714
CG_DRY_W_4_2,deep,CG_DRY_W_4_2_deep,Maswa,25.5.2018,139.56,41.6957,40.1778,2.2179,128,6.9,13,8,110.8353888,1.16262318,0.346119657
CG_WET_P_1_1,5cm,CG_WET_P_1_1_5cm,Mwantimba,21.5.2018,72.44,39.8317,39.0631,0.4546,156,5.86,11,5,69.27211801,0.23830132,0.559269382
CG_WET_P_1_1,deep,CG_WET_P_1_1_deep,Mwantimba,21.5.2018,120.8,42.2812,41.5551,2.4952,157,5.68,11,6,83.12654161,1.30798384,0.477396584
CG_WET_P_1_2,5cm,CG_WET_P_1_2_5cm,Mwantimba,21.5.2018,58.85,41.9721,41.0281,1.2755,158,5.79,13,5,69.27211801,0.6686171,0.579454393
CG_WET_P_1_2,deep,CG_WET_P_1_2_deep,Mwantimba,21.5.2018,142.16,40.1136,39.2673,1.7316,159,5.24,13,8,110.8353888,0.90770472,0.341458117
CG_WET_P_2_1,5cm,CG_WET_P_2_1_5cm,Mwantimba,21.5.2018,73.98,39.5237,38.7852,1.3173,160,6.09,15,5,69.27211801,0.69052866,0.546325921
CG_WET_P_2_1,deep,CG_WET_P_2_1_deep,Mwantimba,21.5.2018,186.62,41.1393,40.153,1.1281,161,5.35,15,10,138.544236,0.59135002,0.282885709
CG_WET_P_2_2,5cm,CG_WET_P_2_2_5cm,Mwantimba,21.5.2018,54.63,25.6232,25.0751,0.8023,162,5.71,13.5,5,69.27211801,0.42056566,0.352538166
CG_WET_P_2_2,deep,CG_WET_P_2_2_deep,Mwantimba,21.5.2018,215.75,40.4835,39.2287,1.1128,163,6.04,13.5,8.5,117.7626006,0.58332976,0.325278522
CG_WET_W_1_1,5cm,CG_WET_W_1_1_5cm,Handajega,22.5.2018,70.61,22.9123,22.4796,1.0125,1,6.43,11,5,69.27211801,0.5307525,0.312287948
CG_WET_W_1_1,deep,CG_WET_W_1_1_deep,Handajega,22.5.2018,117.3,35.9172,35.0295,2.438,2,6.19,11,6,83.12654161,1.2779996,0.398192799
CG_WET_W_1_2,5cm,CG_WET_W_1_2_5cm,Handajega,22.5.2018,96.65,39.9807,39.1241,1.1946,3,6.26,11,5,69.27211801,0.62620932,0.552538392
CG_WET_W_1_2,deep,CG_WET_W_1_2_deep,Handajega,22.5.2018,154.29,35.2496,34.5183,2.9222,4,5.8,11,6,83.12654161,1.53181724,0.387232143
CG_WET_W_2_1,5cm,CG_WET_W_2_1_5cm,Handajega,22.5.2018,125.21,40.2817,39.6085,0.8382,6,5.9,14,5,69.27211801,0.43938444,0.563253818
CG_WET_W_2_1,deep,CG_WET_W_2_1_deep,Handajega,22.5.2018,179.68,48.6861,47.6772,2.6838,7,5.2,14,9,124.6898124,1.40684796,0.3649604
CG_WET_W_2_2,5cm,CG_WET_W_2_2_5cm,Handajega,22.5.2018,123.49,40.8794,39.8272,2.527,10,5.82,12,5,69.27211801,1.3246534,0.548956465
CG_WET_W_2_2,deep,CG_WET_W_2_2_deep,Handajega,22.5.2018,162.94,42.2113,41.0727,2.4536,9,5.26,12,7,96.98096522,1.28617712,0.403565343
CG_WET_W_3_1,5cm,CG_WET_W_3_1_5cm,Handajega,22.5.2018,72.4,40.2243,39.6132,2.8741,11,5.81,13.4,5,69.27211801,1.50660322,0.542150386
CG_WET_W_3_1,deep,CG_WET_W_3_1_deep,Handajega,22.5.2018,166.06,47.4832,46.7333,2.0933,5,6.11,13.4,8.4,116.3771583,1.09730786,0.387231592
CG_WET_W_3_2,5cm,CG_WET_W_3_2_5cm,Handajega,22.5.2018,80.38,42.9996,42.0901,1.9041,13,6.14,12,5,69.27211801,0.99812922,0.588598978
CG_WET_W_3_2,deep,CG_WET_W_3_2_deep,Handajega,22.5.2018,150.81,50.303,49.255,2.2019,14,5.65,12,7,96.98096522,1.15423598,0.491022707
CG_WET_W_4_1,5cm,CG_WET_W_4_1_5cm,Handajega,22.5.2018,83.92,39.8898,39.1008,0.8724,16,5.74,11,5,69.27211801,0.45731208,0.555525798
CG_WET_W_4_1,deep,CG_WET_W_4_1_deep,Handajega,22.5.2018,114.51,49.9488,48.1677,0.5593,17,6.03,11,6,83.12654161,0.29318506,0.574749135
CG_WET_W_4_2,5cm,CG_WET_W_4_2_5cm,Handajega,22.5.2018,64.89,36.1687,35.4637,8.1557,15,6.09,11,5,69.27211801,4.27521794,0.420143114
CG_WET_W_4_2,deep,CG_WET_W_4_2_deep,Handajega,22.5.2018,100.93,51.1956,49.3531,0.9046,18,5.88,11,6,83.12654161,0.47419132,0.586172079
DRY_P_1_1,5cm,DRY_P_1_1_5cm,Makao,23.5.2018,96.53,40.8664,39.9612,1.5636,75,5.59,14,5,69.27211801,0.81963912,0.56093805
DRY_P_1_1,deep,DRY_P_1_1_deep,Makao,23.5.2018,159.39,42.0903,40.9758,6.3503,76,6.72,14,9,124.6898124,3.32882726,0.285309978
DRY_P_1_2,5cm,DRY_P_1_2_5cm,Makao,23.5.2018,73.29,34.8013,33.9359,2.3054,77,6.08,12,5,69.27211801,1.20849068,0.464719575
DRY_P_1_2,deep,DRY_P_1_2_deep,Makao,23.5.2018,155.53,58.0398,56.6258,4.7487,78,6.47,12,7,96.98096522,2.48926854,0.549012261
DRY_P_1_3,5cm,DRY_P_1_3_5cm,Makao,23.5.2018,62.17,30.265,28.4427,0.5292,79,6.63,11,5,69.27211801,0.27740664,0.404574488
DRY_P_1_3,deep,DRY_P_1_3_deep,Makao,23.5.2018,82.44,45.4078,41.8817,9.1781,80,6.77,11,6,83.12654161,4.81116002,0.417588465
DRY_P_1_4,5cm,DRY_P_1_4_5cm,Makao,23.5.2018,110.71,40.3225,39.7816,3.29,81,6.42,13,5,69.27211801,1.724618,0.54023613
DRY_P_1_4,deep,DRY_P_1_4_deep,Makao,23.5.2018,146.15,65.2878,63.953,5.3339,82,6.18,13,8,110.8353888,2.79603038,0.542571715
DRY_P_1_5,5cm,DRY_P_1_5_5cm,Makao,23.5.2018,122.28,64.6962,63.79,5.8328,83,6.6,12,5,69.27211801,3.05755376,0.875293837
DRY_P_1_5,deep,DRY_P_1_5_deep,Makao,23.5.2018,149.78,39.6425,38.097,6.0998,84,7.13,12,7,96.98096522,3.19751516,0.341181733
DRY_P_2_1,5cm,DRY_P_2_1_5cm,Makao,24.5.2018,109.64,45.0256,44.0621,3.5049,85,6.28,12,5,69.27211801,1.83726858,0.601427902
DRY_P_2_1,deep,DRY_P_2_1_deep,Makao,24.5.2018,127.99,41.2298,40.3576,5.2684,86,6.35,12,7,96.98096522,2.76169528,0.372420631
DRY_P_2_2,5cm,DRY_P_2_2_5cm,Makao,24.5.2018,122.09,35.1785,34.6103,3.4267,87,6.19,13,5,69.27211801,1.79627614,0.46214466
DRY_P_2_2,deep,DRY_P_2_2_deep,Makao,24.5.2018,151.34,45.6066,44.6897,5.3792,88,6.15,13,8,110.8353888,2.81977664,0.363933502
DRY_P_2_3,5cm,DRY_P_2_3_5cm,Makao,24.5.2018,95.06,46.6314,46.0368,4.0703,89,6.11,14,5,69.27211801,2.13365126,0.625073852
DRY_P_2_3,deep,DRY_P_2_3_deep,Makao,24.5.2018,172.06,41.796,40.9614,5.4459,90,5.98,14,9,124.6898124,2.85474078,0.291504733
DRY_P_2_4,5cm,DRY_P_2_4_5cm,Makao,24.5.2018,81.42,52.1614,49.1489,0.8471,91,6.63,9,5,69.27211801,0.44404982,0.701774745
DRY_P_2_4,deep,DRY_P_2_4_deep,Makao,24.5.2018,71.48,46.2901,43.5336,3.2575,92,6.58,9,4,55.41769441,1.7075815,0.749879265
DRY_P_2_5,5cm,DRY_P_2_5_5cm,Makao,24.5.2018,110.77,62.8934,62.0345,5.0913,93,6.27,14.5,5,69.27211801,2.66885946,0.854961172
DRY_P_2_5,deep,DRY_P_2_5_deep,Makao,24.5.2018,171.88,40.859,39.9871,3.2244,94,6.07,14.5,9.5,131.6170242,1.69023048,0.282949336
DRY_P_3_1,5cm,DRY_P_3_1_5cm,Makao,24.5.2018,104.73,35.7378,34.9766,0.7474,95,5.68,13,5,69.27211801,0.39178708,0.496937218
DRY_P_3_1,deep,DRY_P_3_1_deep,Makao,24.5.2018,155.34,41.2265,40.5582,2.0774,96,5.92,13,8,110.8353888,1.08897308,0.350633775
DRY_P_3_2,5cm,DRY_P_3_2_5cm,Makao,24.5.2018,76.08,40.9345,39.8601,2.517,97,6.54,15,5,69.27211801,1.3194114,0.549545439
DRY_P_3_2,deep,DRY_P_3_2_deep,Makao,24.5.2018,138.82,33.8407,32.6039,0.9783,98,6.23,15,10,138.544236,0.51282486,0.229118863
DRY_P_3_3,5cm,DRY_P_3_3_5cm,Makao,24.5.2018,100.3,52.9711,51.9698,5.0496,99,6.52,13,5,69.27211801,2.64700032,0.704241908
DRY_P_3_3,deep,DRY_P_3_3_deep,Makao,24.5.2018,175.51,31.4431,30.1998,3.1688,100,7.33,13,8,110.8353888,1.66108496,0.247594892
DRY_P_3_4,5cm,DRY_P_3_4_5cm,Makao,24.5.2018,101.66,45.9182,44.9005,6.5201,101,6.44,13.5,5,69.27211801,3.41783642,0.582807967
DRY_P_3_4,deep,DRY_P_3_4_deep,Makao,24.5.2018,175.73,40.6101,39.9617,6.7589,102,6.82,13.5,8.5,117.7626006,3.54301538,0.290692703
DRY_P_3_5,5cm,DRY_P_3_5_5cm,Makao,24.5.2018,104.95,39.637,38.8111,3.0993,103,6.37,13,5,69.27211801,1.62465306,0.527910396
DRY_P_3_5,deep,DRY_P_3_5_deep,Makao,24.5.2018,159.89,45.4495,43.9349,9.534,104,6.76,13,8,110.8353888,4.9977228,0.325034568
DRY_P_4_1,5cm,DRY_P_4_1_5cm,Makao,24.5.2018,85.97,39.6527,38.8893,0.7262,105,5.89,10,5,69.27211801,0.38067404,0.553959938
DRY_P_4_1,deep,DRY_P_4_1_deep,Makao,24.5.2018,100.95,43.0233,41.6793,1.5523,106,6.6,10,5,69.27211801,0.81371566,0.58615157
DRY_P_4_2,5cm,DRY_P_4_2_5cm,Makao,24.5.2018,85.67,37.1852,36.4361,3.0523,107,6.64,12,5,69.27211801,1.60001566,0.493317022
DRY_P_4_2,deep,DRY_P_4_2_deep,Makao,24.5.2018,118.7,34.6997,34.0674,4.8055,108,6.93,12,7,96.98096522,2.5190431,0.309774556
DRY_P_4_3,5cm,DRY_P_4_3_5cm,Makao,24.5.2018,81.24,40.2982,38.0119,0.4826,109,7.17,12,5,69.27211801,0.25297892,0.543752074
DRY_P_4_3,deep,DRY_P_4_3_deep,Makao,24.5.2018,88.29,38.3705,36.2985,0.6809,110,7.19,12,7,96.98096522,0.35692778,0.36862049
DRY_W_1_1,5cm,DRY_W_1_1_5cm,Maswa,25.5.2018,92.53,39.5222,38.5274,2.0175,129,5.88,14,5,69.27211801,1.0575735,0.535221634
DRY_W_1_1,deep,DRY_W_1_1_deep,Maswa,25.5.2018,174.93,50.5454,48.4313,1.6583,130,5.63,14,9,124.6898124,0.86928086,0.377748338
DRY_W_1_2,deep,DRY_W_1_2_deep,Maswa,25.5.2018,129.17,46.7095,44.7042,1.1813,131,6.42,12,7,96.98096522,0.61923746,0.451661682
DRY_W_1_3,5cm,DRY_W_1_3_5cm,Maswa,25.5.2018,89.27,39.4172,36.4997,0.1878,132,6.91,14,5,69.27211801,0.09844476,0.524938149
DRY_W_1_3,deep,DRY_W_1_3_deep,Maswa,25.5.2018,133.38,39.5644,36.3667,0.202,133,7.01,14,9,124.6898124,0.1058884,0.290283841
DRY_W_1_5,5cm,DRY_W_1_5_5cm,Maswa,25.5.2018,79.69,39.4817,35.6567,0.0977,134,6.59,13,5,69.27211801,0.05121434,0.513703204
DRY_W_1_5,deep,DRY_W_1_5_deep,Maswa,25.5.2018,126.62,34.5114,31.677,0.0624,135,6.55,13,8,110.8353888,0.03271008,0.285323427
DRY_W_3_1,5cm,DRY_W_3_1_5cm,Maswa,25.5.2018,107.69,41.9143,40.9989,2.1446,136,6.84,14,5,69.27211801,1.12419932,0.570146539
DRY_W_3_1,deep,DRY_W_3_1_deep,Maswa,25.5.2018,115.08,54.2884,51.3364,0.5435,137,6.54,14,9,124.6898124,0.2849027,0.408286941
DRY_W_3_2,deep,DRY_W_3_2_deep,Maswa,25.5.2018,160.02,45.7616,44.7017,0.446,138,6.71,11,6,83.12654161,0.2337932,0.533891092
DRY_W_3_3,5cm,DRY_W_3_3_5cm,Maswa,25.5.2018,85.7,37.7856,35.1721,0.0454,139,7.25,13,5,69.27211801,0.02379868,0.507257076
DRY_W_3_2,5cm,DRY_W_3_2_5cm,Maswa,25.5.2018,96.69,47.4241,46.1795,1.9692,140,6.94,13,5,69.27211801,1.03225464,0.647866186
DRY_W_3_3,deep,DRY_W_3_3_deep,Maswa,25.5.2018,109.19,48.5436,45.2799,0.6628,141,7.27,13,8,110.8353888,0.34743976,0.4038187
DRY_W_3_4,5cm,DRY_W_3_4_5cm,Maswa,25.5.2018,88.86,26.7194,25.2291,0.1082,142,7.24,13,5,69.27211801,0.05671844,0.362938019
DRY_W_3_4,deep,DRY_W_3_4_deep,Maswa,25.5.2018,122.74,41.8164,38.6058,0.2257,143,7.19,13,8,110.8353888,0.11831194,0.346650229
DRY_W_3_5,5cm,DRY_W_3_5_5cm,Maswa,22.5.2018,75.87,35.4954,33.5123,0.1074,144,7.27,14,5,69.27211801,0.05629908,0.482619443
DRY_W_3_5,deep,DRY_W_3_5_deep,Maswa,25.5.2018,132.7,54.6147,51.1447,0.1407,145,7.4,14,9,124.6898124,0.07375494,0.409289148
DRY_W_4_1,5cm,DRY_W_4_1_5cm,Maswa,25.5.2018,106.78,53.1198,51.7668,1.5127,146,6.55,12,5,69.27211801,0.79295734,0.733859754
DRY_W_4_1,deep,DRY_W_4_1_deep,Maswa,25.5.2018,127.79,40.8373,38.8967,0.5328,147,7.01,12,7,96.98096522,0.27929376,0.39672427
DRY_W_4_2,5cm,DRY_W_4_2_5cm,Maswa,25.5.2018,135.08,39.5733,37.8486,1.8708,148,7.03,12,5,69.27211801,0.98067336,0.526827338
DRY_W_4_2,deep,DRY_W_4_2_deep,Maswa,25.5.2018,144.64,36.1309,34.7916,0.4905,149,6.92,12,7,96.98096522,0.2571201,0.354629202
DRY_W_4_3,5cm,DRY_W_4_3_5cm,Maswa,25.5.2018,103.71,39.1649,37.2354,0.5675,150,7.38,14,5,69.27211801,0.2974835,0.53161427
DRY_W_4_3,deep,DRY_W_4_3_deep,Maswa,25.5.2018,114.38,44.2768,41.4274,0.9108,151,7.41,14,9,124.6898124,0.47744136,0.326188122
DRY_W_4_4,5cm,DRY_W_4_4_5cm,Maswa,25.5.2018,67.67,43.9974,42.8757,7.502,152,7.24,12,5,69.27211801,3.9325484,0.541382507
DRY_W_4_4,deep,DRY_W_4_4_deep,Maswa,25.5.2018,92.47,38.9518,37.2521,9.6464,153,7.31,12,7,96.98096522,5.05664288,0.300308986
DRY_W_4_5,5cm,DRY_W_4_5_5cm,Maswa,25.5.2018,85.4,49.6208,46.8219,0.5016,154,7.3,12,5,69.27211801,0.26293872,0.671219401
DRY_W_4_5,deep,DRY_W_4_5_deep,Maswa,25.5.2018,102.22,49.6238,45.6534,2.0097,155,7.1,12,7,96.98096522,1.05348474,0.454965561
SE_1_EX_1,5cm,SE_1_EX_1_5cm,Seronera,19.5.2018,72.8,35.7053,35.0534,1.051,200,5.63,14,5,69.27211801,0.5509342,0.494787751
SE_1_EX_1,deep,SE_1_EX_1_deep,Seronera,19.5.2018,147.8,39.5113,38.6519,1.7564,201,5.6,14,9,124.6898124,0.92070488,0.298099427
SE_1_EX_2,5cm,SE_1_EX_2_5cm,Seronera,19.5.2018,70.48,39.8401,38.5176,1.3624,202,5.99,12,5,69.27211801,0.71417008,0.541953211
SE_1_EX_2,deep,SE_1_EX_2_deep,Seronera,19.5.2018,142.76,51.5051,48.5547,1.6795,203,5.74,12,7,96.98096522,0.8803939,0.487772334
SE_1_EX_3,5cm,SE_1_EX_3_5cm,Seronera,19.5.2018,48.85,39.4242,35.8419,0.0797,225,6.34,12,5,69.27211801,0.04177874,0.516568319
SE_1_EX_3,deep,SE_1_EX_3_deep,Seronera,19.5.2018,149.11,37.4727,35.0277,1.6757,205,6.62,12,7,96.98096522,0.87840194,0.347045894
SE_1_EX_4,5cm,SE_1_EX_4_5cm,Seronera,19.5.2018,83.85,40.4403,39.875,4.7074,206,6.55,14,5,69.27211801,2.46761908,0.526425623
SE_1_EX_4,deep,SE_1_EX_4_deep,Seronera,19.5.2018,203.08,45.9076,45.3897,4.2007,207,6.47,14,9,124.6898124,2.20200694,0.336270209
SE_1_EX_5,5cm,SE_1_EX_5_5cm,Seronera,19.5.2018,81.11,41.0222,40.1595,1.7155,208,6.22,14,5,69.27211801,0.8992651,0.562269941
SE_1_EX_5,deep,SE_1_EX_5_deep,Seronera,19.5.2018,198.18,41.1167,40.3267,2.1149,209,6.59,14,9,124.6898124,1.10863058,0.309204034
SE_1_OP_1,5cm,SE_1_OP_1_5cm,Seronera,19.5.2018,72,42.8665,42.0642,1.6976,233,5.7,13,5,69.27211801,0.88988192,0.590308278
SE_1_OP_1,deep,SE_1_OP_1_deep,Seronera,19.5.2018,166.52,57.2168,55.7414,2.6484,211,5.69,13,8,110.8353888,1.38829128,0.485101946
SE_1_OP_2,5cm,SE_1_OP_2_5cm,Seronera,19.5.2018,86.07,39.3895,38.1646,2.1125,212,5.87,13,5,69.27211801,1.1073725,0.528896569
SE_1_OP_2,deep,SE_1_OP_2_deep,Seronera,19.5.2018,194.79,39.3922,38.4408,2.225,213,6.07,13,8,110.8353888,1.166345,0.3302281
SE_1_OP_3,5cm,SE_1_OP_3_5cm,Seronera,19.5.2018,56.95,39.355,35.6448,0.0318,214,6.61,13,5,69.27211801,0.01666956,0.51422669
SE_1_OP_3,deep,SE_1_OP_3_deep,Seronera,19.5.2018,163.03,42.5624,38.9944,1.5844,215,6.48,13,8,110.8353888,0.83054248,0.340075926
SE_1_OP_4,5cm,SE_1_OP_4_5cm,Seronera,19.5.2018,71.81,43.9914,43.3491,2.945,216,6.1,14,5,69.27211801,1.543769,0.596561124
SE_1_OP_4,deep,SE_1_OP_4_deep,Seronera,19.5.2018,165.9,64.309,63.2448,11.7207,217,6.2,14,9,124.6898124,6.14399094,0.434634468
SE_1_OP_5,5cm,SE_1_OP_5_5cm,Seronera,19.5.2018,84.69,40.6223,39.7669,1.802,218,6.12,14,5,69.27211801,0.9446084,0.555631256
SE_1_OP_5,deep,SE_1_OP_5_deep,Seronera,19.5.2018,195.4,39.2488,38.5836,4,219,5.99,14,9,124.6898124,2.0968,0.282100907
SE_2_EX_1,5cm,SE_2_EX_1_5cm,Seronera,19.5.2018,94.69,41.7796,41.0311,1.0831,220,5.63,13.5,5,69.27211801,0.56776102,0.58144784
SE_2_EX_1,deep,SE_2_EX_1_deep,Seronera,19.5.2018,162.79,48.0004,46.9194,2.0919,221,5.35,13.5,8.5,117.7626006,1.09657398,0.384237822
SE_2_EX_2,5cm,SE_2_EX_2_5cm,Seronera,19.5.2018,86.13,40.7992,39.9432,2.264,222,6.23,15,5,69.27211801,1.1867888,0.553411439
SE_2_EX_2,deep,SE_2_EX_2_deep,Seronera,19.5.2018,189.29,41.3328,40.3701,2.4345,223,6.41,15,10,138.544236,1.2761649,0.276361427
SE_2_EX_3,5cm,SE_2_EX_3_5cm,Seronera,19.5.2018,68.08,39.0289,36.1384,0.1449,224,6.48,14,5,69.27211801,0.07595658,0.520166137
SE_2_EX_3,deep,SE_2_EX_3_deep,Seronera,19.5.2018,129.59,43.8901,40.8315,0.8912,226,6.64,14,9,124.6898124,0.46716704,0.321521892
SE_2_EX_4,5cm,SE_2_EX_4_5cm,Seronera,19.5.2018,85.87,39.5427,38.847,5.1034,227,6.67,13.5,5,69.27211801,2.67520228,0.506684125
SE_2_EX_4,deep,SE_2_EX_4_deep,Seronera,19.5.2018,177.11,51.1361,50.2616,6.6053,228,6.77,13.5,8.5,117.7626006,3.46249826,0.38194454
SE_2_EX_4,deep,SE_2_EX_4_deep,Seronera,19.5.2018,118.6,58.4817,57.247,5.2077,229,6.93,13.5,8.5,117.7626006,2.72987634,0.452386921
SE_2_EX_5,5cm,SE_2_EX_5_5cm,Seronera,19.5.2018,79.88,39.8517,39.2764,1.6339,230,5.95,14,5,69.27211801,0.85649038,0.55020324
SE_2_EX_5,deep,SE_2_EX_5_deep,Seronera,19.5.2018,171.94,52.0325,50.9758,2.9988,231,6.07,14,9,124.6898124,1.57197096,0.38968357
SE_2_OP_1,5cm,SE_2_OP_1_5cm,Seronera,19.5.2018,81.62,40.2299,39.3092,0.8576,232,5.61,13.5,5,69.27211801,0.44955392,0.558706298
SE_2_OP_1,deep,SE_2_OP_1_deep,Seronera,19.5.2018,183.21,34.7273,33.8542,2.1714,234,5.37,13.5,8.5,117.7626006,1.13824788,0.271665388
SE_2_OP_2,5cm,SE_2_OP_2_5cm,Seronera,19.5.2018,121.67,50.7182,48.1669,0.7375,235,6.82,14,5,69.27211801,0.3865975,0.688524956
SE_2_OP_2,deep,SE_2_OP_2_deep,Seronera,19.5.2018,140.56,43.6695,41.6013,2.3549,236,6.23,14,9,124.6898124,1.23443858,0.317899487
SE_2_OP_3,5cm,SE_2_OP_3_5cm,Seronera,19.5.2018,66.8,40.1996,37.9782,0.7185,237,6.21,11,5,69.27211801,0.3766377,0.540814867
SE_2_OP_3,deep,SE_2_OP_3_deep,Seronera,19.5.2018,133.17,51.1371,48.0931,2.0066,238,6.2,11,6,83.12654161,1.05185972,0.561519082
